Date,Close,FSLR
19/06/2013,44.54,-0.031383791
18/06/2013,45.96,0.013581808
17/06/2013,45.34,0.013992455
14/06/2013,44.71,-0.025178008
13/06/2013,45.85,-0.017512068
12/06/2013,46.66,-0.113917882
11/06/2013,52.29,-0.07566401
10/06/2013,56.4,0.060480572
07/06/2013,53.09,-0.003196994
06/06/2013,53.26,0.042771885
05/06/2013,51.03,-0.030682581
04/06/2013,52.62,-0.013402749
03/06/2013,53.33,-0.019681289
31/05/2013,54.39,-0.013876432
30/05/2013,55.15,0.063439096
29/05/2013,51.76,0.012637477
28/05/2013,51.11,-0.008572038
24/05/2013,51.55,-0.00058179
23/05/2013,51.58,-0.015772591
22/05/2013,52.4,-0.059816033
21/05/2013,55.63,0.013391442
20/05/2013,54.89,0.093708257
17/05/2013,49.98,0.032743139
16/05/2013,48.37,-0.03454224
15/05/2013,50.07,-0.010924729
14/05/2013,50.62,0.003364008
13/05/2013,50.45,0.022247636
10/05/2013,49.34,0.046037572
09/05/2013,47.12,0.041379238
08/05/2013,45.21,0.040167855
07/05/2013,43.43,-0.093571286
06/05/2013,47.69,0.036080336
03/05/2013,46,-0.00951976
02/05/2013,46.44,0.014313842
01/05/2013,45.78,-0.016894489
30/04/2013,46.56,0.021492198
29/04/2013,45.57,0.03324344
26/04/2013,44.08,-0.00880864
25/04/2013,44.47,-0.014289147
24/04/2013,45.11,0.111760419
23/04/2013,40.34,0.040212777
22/04/2013,38.75,0.016916474
19/04/2013,38.1,0.01135026
18/04/2013,37.67,0.009066729
17/04/2013,37.33,-0.006142361
16/04/2013,37.56,0.042142977
15/04/2013,36.01,-0.030089797
12/04/2013,37.11,-0.002153433
11/04/2013,37.19,0.023671354
10/04/2013,36.32,-0.080127421
09/04/2013,39.35,0.375178724
08/04/2013,27.04,0.022439236
05/04/2013,26.44,-0.000756144
04/04/2013,26.46,0.013698844
03/04/2013,26.1,-0.006111555
02/04/2013,26.26,-0.021101009
01/04/2013,26.82,-0.005206408
28/03/2013,26.96,-0.017283019
27/03/2013,27.43,-0.006178468
26/03/2013,27.6,-0.015102768
25/03/2013,28.02,-0.029191452
22/03/2013,28.85,-0.005185837
21/03/2013,29,-0.016755393
20/03/2013,29.49,0.057577387
19/03/2013,27.84,0.033232929
18/03/2013,26.93,0.011953822
15/03/2013,26.61,-0.024133341
14/03/2013,27.26,0.01329414
13/03/2013,26.9,-0.019875516
12/03/2013,27.44,0.031466598
11/03/2013,26.59,0.011346567
08/03/2013,26.29,0.007253324
07/03/2013,26.1,0.007692346
06/03/2013,25.9,0.031375123
05/03/2013,25.1,0.016064603
04/03/2013,24.7,-0.025975486
01/03/2013,25.35,-0.019144949
28/02/2013,25.84,-0.045393572
27/02/2013,27.04,-0.148215944
26/02/2013,31.36,-0.043064376
25/02/2013,32.74,-0.032159045
22/02/2013,33.81,-0.017590603
21/02/2013,34.41,-0.020708246
20/02/2013,35.13,-0.028068079
19/02/2013,36.13,0.058119459
15/02/2013,34.09,-0.024055645
14/02/2013,34.92,0.073359288
13/02/2013,32.45,-0.038983634
12/02/2013,33.74,0.041760985
11/02/2013,32.36,0.062480484
08/02/2013,30.4,-0.023086702
07/02/2013,31.11,-0.000642674
06/02/2013,31.13,0.070186737
05/02/2013,29.02,0.023711013
04/02/2013,28.34,0.00035292
01/02/2013,28.33,0.005308807
31/01/2013,28.18,0.009627459
30/01/2013,27.91,-0.001074306
29/01/2013,27.94,-0.061087692
28/01/2013,29.7,-0.01702595
25/01/2013,30.21,-0.002974717
24/01/2013,30.3,-0.027666533
23/01/2013,31.15,-0.013709764
