Date,Close,NE
28/01/2013,39.14,0.023524414
25/01/2013,38.23,0.020346851
24/01/2013,37.46,-0.061848708
23/01/2013,39.85,0.006798465
22/01/2013,39.58,-0.007300221
18/01/2013,39.87,0.00654255
17/01/2013,39.61,0.016546133
16/01/2013,38.96,0.035531428
15/01/2013,37.6,0.008010724
14/01/2013,37.3,0.023875252
11/01/2013,36.42,0.0005493
10/01/2013,36.4,0.007168489
09/01/2013,36.14,-0.000276663
08/01/2013,36.15,-0.023781359
07/01/2013,37.02,-0.008606831
04/01/2013,37.34,0.02412368
03/01/2013,36.45,0.00826451
02/01/2013,36.15,0.037485014
31/12/2012,34.82,0.022361902
28/12/2012,34.05,-0.018333119
27/12/2012,34.68,-0.013176931
26/12/2012,35.14,-0.010755835
24/12/2012,35.52,-0.009805373
21/12/2012,35.87,-0.014117882
20/12/2012,36.38,0.01607128
19/12/2012,35.8,0.006164211
18/12/2012,35.58,0.027352132
17/12/2012,34.62,0.021901883
14/12/2012,33.87,-0.004712822
13/12/2012,34.03,-0.020937083
12/12/2012,34.75,-0.003734027
11/12/2012,34.88,0
10/12/2012,34.88,0.000860462
07/12/2012,34.85,-0.019605686
06/12/2012,35.54,-0.006171128
05/12/2012,35.76,0.004765251
04/12/2012,35.59,0.038378135
03/12/2012,34.25,-0.006982862
30/11/2012,34.49,0.001450747
29/11/2012,34.44,-0.000580552
28/11/2012,34.46,0.001452011
27/11/2012,34.41,-0.004349724
26/11/2012,34.56,0.003478264
23/11/2012,34.44,0.010214593
21/11/2012,34.09,0.002643562
20/11/2012,34,-0.009950331
19/11/2012,34.34,0.024466954
16/11/2012,33.51,-0.011866054
15/11/2012,33.91,-0.006173766
14/11/2012,34.12,-0.036828098
13/11/2012,35.4,-0.008158717
12/11/2012,35.69,0.012688736
09/11/2012,35.24,-0.011567346
08/11/2012,35.65,-0.014204389
07/11/2012,36.16,-0.040113779
06/11/2012,37.64,0.009878601
05/11/2012,37.27,0.003763445
02/11/2012,37.13,-0.018412795
01/11/2012,37.82,0.002117523
31/10/2012,37.74,-0.009231241
26/10/2012,38.09,-0.013041395
25/10/2012,38.59,0.018305951
24/10/2012,37.89,-0.007100622
23/10/2012,38.16,-0.025867971
22/10/2012,39.16,-0.016462319
19/10/2012,39.81,0.008323922
18/10/2012,39.48,0.046399407
17/10/2012,37.69,-0.00264971
16/10/2012,37.79,0.024917565
15/10/2012,36.86,0.023608014
12/10/2012,36,0.00445435
11/10/2012,35.84,0.005315441
10/10/2012,35.65,-0.013374398
09/10/2012,36.13,0.028922415
08/10/2012,35.1,-0.001992316
05/10/2012,35.17,-0.003972763
04/10/2012,35.31,0.01713838
03/10/2012,34.71,-0.012027636
02/10/2012,35.13,-0.013290172
01/10/2012,35.6,-0.00504344
28/09/2012,35.78,0.00504344
27/09/2012,35.6,0.012152191
26/09/2012,35.17,-0.028865672
25/09/2012,36.2,-0.01861028
24/09/2012,36.88,-0.023051141
21/09/2012,37.74,0.002122017
20/09/2012,37.66,-0.007407441
19/09/2012,37.94,-0.014132661
18/09/2012,38.48,0.009924344
17/09/2012,38.1,-0.010963305
14/09/2012,38.52,-0.001815589
13/09/2012,38.59,0.013303966
12/09/2012,38.08,0.027420858
11/09/2012,37.05,0.008130126
10/09/2012,36.75,-0.007320081
07/09/2012,37.02,-0.000270088
06/09/2012,37.03,0.006502326
05/09/2012,36.79,-0.013230921
04/09/2012,37.28,-0.02280661
31/08/2012,38.14,0.016656036
30/08/2012,37.51,-0.013241719
29/08/2012,38.01,0.002898171
28/08/2012,37.9,-0.009715187
27/08/2012,38.27,-0.004692397
24/08/2012,38.45,0.002082792
23/08/2012,38.37,-0.005976372
22/08/2012,38.6,0.006758539
21/08/2012,38.34,-0.00624027
20/08/2012,38.58,0.000518538
17/08/2012,38.56,0.001557228
16/08/2012,38.5,0.018349139
15/08/2012,37.8,-0.006066219
14/08/2012,38.03,-0.009421687
13/08/2012,38.39,0
10/08/2012,38.39,0.00443807
09/08/2012,38.22,0.011314421
08/08/2012,37.79,-0.013666441
07/08/2012,38.31,0.009704994
06/08/2012,37.94,0.000791035
03/08/2012,37.91,0.041470671
02/08/2012,36.37,-0.024176106
01/08/2012,37.26,0.007002453
31/07/2012,37,-0.023769312
30/07/2012,37.89,0.007417253
27/07/2012,37.61,0.026948545
26/07/2012,36.61,0.037288683
25/07/2012,35.27,0.010259423
24/07/2012,34.91,-0.027963974
23/07/2012,35.9,-0.029098951
20/07/2012,36.96,0.038333661
19/07/2012,35.57,0.004790766
18/07/2012,35.4,0.025752496
17/07/2012,34.5,0.000579878
16/07/2012,34.48,0
13/07/2012,34.48,0.036625476
12/07/2012,33.24,-0.003003907
11/07/2012,33.34,0.034480914
10/07/2012,32.21,-0.02936889
09/07/2012,33.17,0.001206637
06/07/2012,33.13,-0.01229954
05/07/2012,33.54,-0.003868477
03/07/2012,33.67,0.038140216
02/07/2012,32.41,-0.003695723
29/06/2012,32.53,0.047208262
28/06/2012,31.03,0.012321816
27/06/2012,30.65,0.038920595
26/06/2012,29.48,0.011943496
25/06/2012,29.13,-0.035410882
22/06/2012,30.18,0.010324821
21/06/2012,29.87,-0.076353285
20/06/2012,32.24,0.003417745
19/06/2012,32.13,0.037740328
18/06/2012,30.94,-0.020157457
15/06/2012,31.57,0.010187926
