Date,Close,PVH
13/04/2012,89.01,0.005746171
12/04/2012,88.5,0.004984152
11/04/2012,88.06,0.009928755
10/04/2012,87.19,-0.038805971
09/04/2012,90.64,-0.013587761
05/04/2012,91.88,0.006880385
04/04/2012,91.25,-0.005246487
03/04/2012,91.73,0.003604001
02/04/2012,91.4,0.022908101
30/03/2012,89.33,-0.001789509
29/03/2012,89.49,0.009543664
28/03/2012,88.64,-0.013113105
27/03/2012,89.81,-0.0112933
26/03/2012,90.83,0.014192499
23/03/2012,89.55,-0.004679153
22/03/2012,89.97,0.004902517
21/03/2012,89.53,0.002236387
20/03/2012,89.33,0.003701008
19/03/2012,89,-0.003029115
16/03/2012,89.27,0.006067434
15/03/2012,88.73,-0.002363934
14/03/2012,88.94,-0.000674385
13/03/2012,89,0.019515028
12/03/2012,87.28,0.004018144
09/03/2012,86.93,0.026105666
08/03/2012,84.69,0.014150899
07/03/2012,83.5,0.005885549
06/03/2012,83.01,-0.025805582
05/03/2012,85.18,0.005414963
02/03/2012,84.72,-0.009749299
01/03/2012,85.55,0.006332104
29/02/2012,85.01,0.019840271
28/02/2012,83.34,0.004690609
27/02/2012,82.95,0.006409891
24/02/2012,82.42,0.00315956
23/02/2012,82.16,-0.000730016
22/02/2012,82.22,-0.000486381
21/02/2012,82.26,0.000364764
17/02/2012,82.23,0.001338607
16/02/2012,82.12,0.00512759
15/02/2012,81.7,-0.008167291
14/02/2012,82.37,0.00401436
13/02/2012,82.04,0.009060917
10/02/2012,81.3,0.000369072
09/02/2012,81.27,0.002710697
08/02/2012,81.05,0.024100561
07/02/2012,79.12,0.010290379
06/02/2012,78.31,0.002557219
03/02/2012,78.11,0.023969535
02/02/2012,76.26,-0.002749953
01/02/2012,76.47,-0.009371408
31/01/2012,77.19,0.007411776
30/01/2012,76.62,-0.001043569
27/01/2012,76.7,-0.003124189
26/01/2012,76.94,-0.00854153
25/01/2012,77.6,-0.004371873
24/01/2012,77.94,0.021528519
23/01/2012,76.28,-0.004708353
20/01/2012,76.64,-0.004036727
19/01/2012,76.95,0.01229095
18/01/2012,76.01,0.013510139
17/01/2012,74.99,-0.005452504
13/01/2012,75.4,-0.010160409
12/01/2012,76.17,0.030254856
11/01/2012,73.9,-0.001352265
10/01/2012,74,0.002706362
09/01/2012,73.8,0.001898821
06/01/2012,73.66,0.013393667
05/01/2012,72.68,-0.016105166
04/01/2012,73.86,0.036397732
03/01/2012,71.22,0.010302822
30/12/2011,70.49,-0.001275962
29/12/2011,70.58,0.010969552
28/12/2011,69.81,-0.019575093
27/12/2011,71.19,0.013292051
23/12/2011,70.25,0.023913557
22/12/2011,68.59,0.002335427
21/12/2011,68.43,-0.002772712
20/12/2011,68.62,0.010548003
19/12/2011,67.9,-0.009964912
16/12/2011,68.58,-0.003638749
15/12/2011,68.83,0.01493002
14/12/2011,67.81,-0.008224455
13/12/2011,68.37,-0.040558686
12/12/2011,71.2,-0.010617591
09/12/2011,71.96,0.019505284
08/12/2011,70.57,-0.02973626
07/12/2011,72.7,-0.029011117
06/12/2011,74.84,0.000133627
05/12/2011,74.83,0.027777682
02/12/2011,72.78,0.073537395
01/12/2011,67.62,-0.003984951
30/11/2011,67.89,0.011108757
29/11/2011,67.14,-0.009192059
28/11/2011,67.76,0.04791245
25/11/2011,64.59,-0.005404167
23/11/2011,64.94,-0.006140639
22/11/2011,65.34,0.027148181
21/11/2011,63.59,-0.034163613
18/11/2011,65.8,-0.013435178
17/11/2011,66.69,-0.02838328
16/11/2011,68.61,-0.017482205
15/11/2011,69.82,-0.00670904
14/11/2011,70.29,-0.00722946
11/11/2011,70.8,0.032003879
10/11/2011,68.57,-0.010156791
09/11/2011,69.27,-0.058456834
08/11/2011,73.44,0.002727027
07/11/2011,73.24,-0.010863768
04/11/2011,74.04,-0.007669059
03/11/2011,74.61,-0.015955664
02/11/2011,75.81,0.02294964
01/11/2011,74.09,-0.004309771
31/10/2011,74.41,-0.004826394
28/10/2011,74.77,0.021084711
27/10/2011,73.21,0.041983713
26/10/2011,70.2,-0.007945558
25/10/2011,70.76,-0.033218258
24/10/2011,73.15,0.04244669
21/10/2011,70.11,0.037197373
20/10/2011,67.55,0.025792403
19/10/2011,65.83,-0.009825489
18/10/2011,66.48,0.012411238
17/10/2011,65.66,-0.032514663
14/10/2011,67.83,0.024626272
13/10/2011,66.18,-0.008276324
12/10/2011,66.73,0.041146739
11/10/2011,64.04,0.000156165
10/10/2011,64.03,0.042593566
07/10/2011,61.36,0.002284224
06/10/2011,61.22,0.030179707
05/10/2011,59.4,0.034598416
04/10/2011,57.38,0.020245388
03/10/2011,56.23,-0.035121982
30/09/2011,58.24,-0.065943355
29/09/2011,62.21,-0.02429655
28/09/2011,63.74,-0.024792097
27/09/2011,65.34,0.015733781
26/09/2011,64.32,0.018357776
23/09/2011,63.15,0.036279674
22/09/2011,60.9,-0.030881122
21/09/2011,62.81,-0.048175879
20/09/2011,65.91,-0.004994335
19/09/2011,66.24,0.002115763
16/09/2011,66.1,0.006678835
15/09/2011,65.66,0.017824688
14/09/2011,64.5,0.018463989
13/09/2011,63.32,0.020905573
12/09/2011,62.01,0.008909106
09/09/2011,61.46,-0.02823415
08/09/2011,63.22,-0.007249835
