Date,Close,BTU
22/10/2012,28.95,0.11171341
19/10/2012,25.89,-0.058145009
18/10/2012,27.44,0.021735982
17/10/2012,26.85,0.035636826
16/10/2012,25.91,0.013600365
15/10/2012,25.56,-0.005851392
12/10/2012,25.71,-0.018115739
11/10/2012,26.18,0.085692711
10/10/2012,24.03,0.004170148
09/10/2012,23.93,0.055414649
08/10/2012,22.64,0.01155055
05/10/2012,22.38,-0.015517935
04/10/2012,22.73,0.041317058
03/10/2012,21.81,-0.018624204
02/10/2012,22.22,-0.018283675
01/10/2012,22.63,0.015138312
28/09/2012,22.29,-0.015138312
27/09/2012,22.63,0.014689781
26/09/2012,22.3,0.014453729
25/09/2012,21.98,-0.042749163
24/09/2012,22.94,-0.046420938
21/09/2012,24.03,-0.016099419
20/09/2012,24.42,-0.015441184
19/09/2012,24.8,-0.010429296
18/09/2012,25.06,-0.017405503
17/09/2012,25.5,-0.004304448
14/09/2012,25.61,0.030527643
13/09/2012,24.84,0.032320261
12/09/2012,24.05,-0.011986091
11/09/2012,24.34,0.026646039
10/09/2012,23.7,-0.000421852
07/09/2012,23.71,0.102505978
06/09/2012,21.4,0.00938974
05/09/2012,21.2,0.014252023
04/09/2012,20.9,-0.034332081
31/08/2012,21.63,-0.00782873
30/08/2012,21.8,-0.020881376
29/08/2012,22.26,-0.004482302
28/08/2012,22.36,-0.019486888
27/08/2012,22.8,-0.024692613
24/08/2012,23.37,0.019007052
23/08/2012,22.93,-0.040595192
22/08/2012,23.88,0.003775964
21/08/2012,23.79,0.036383213
20/08/2012,22.94,0.028295433
17/08/2012,22.3,-0.003134097
16/08/2012,22.37,0.023519854
15/08/2012,21.85,-0.019488494
14/08/2012,22.28,-0.030064156
13/08/2012,22.96,-0.011690975
10/08/2012,23.23,0.009515643
09/08/2012,23.01,0.06092345
08/08/2012,21.65,-0.008737696
07/08/2012,21.84,0.013831479
06/08/2012,21.54,0.011674193
03/08/2012,21.29,0.046631856
02/08/2012,20.32,-0.023347364
01/08/2012,20.8,-0.003838776
31/07/2012,20.88,-0.008108797
30/07/2012,21.05,0.011947573
27/07/2012,20.8,0.054842094
26/07/2012,19.69,0.033043791
25/07/2012,19.05,-0.075793839
24/07/2012,20.55,-0.119565712
23/07/2012,23.16,0.021825397
20/07/2012,22.66,-0.00615928
19/07/2012,22.8,0.000438693
18/07/2012,22.79,0.019495522
17/07/2012,22.35,-0.006688988
16/07/2012,22.5,-0.000444346
13/07/2012,22.51,0.008924646
12/07/2012,22.31,0.003142539
11/07/2012,22.24,-0.008952611
10/07/2012,22.44,-0.038037372
09/07/2012,23.31,-0.064377633
06/07/2012,24.86,-0.049823993
05/07/2012,26.13,-0.003056938
03/07/2012,26.21,0.052880931
02/07/2012,24.86,0.013770975
