Date,Close,ITW
01/08/2013,73.69,0.022645584
31/07/2013,72.04,0.001250087
30/07/2013,71.95,0.004457453
29/07/2013,71.63,-0.004735385
26/07/2013,71.97,-0.00402136
25/07/2013,72.26,0.01183281
24/07/2013,71.41,-0.002657158
23/07/2013,71.6,-0.028500587
22/07/2013,73.67,0.005171487
19/07/2013,73.29,0.008082789
18/07/2013,72.7,0.015385985
17/07/2013,71.59,0.001817547
16/07/2013,71.46,-0.00822247
15/07/2013,72.05,0.002501391
12/07/2013,71.87,-0.004719609
11/07/2013,72.21,0.014226181
10/07/2013,71.19,0.000702593
09/07/2013,71.14,0.005638583
08/07/2013,70.74,0.010944605
05/07/2013,69.97,0.017298975
03/07/2013,68.77,-0.005799639
02/07/2013,69.17,-0.005478676
01/07/2013,69.55,0.005478676
28/06/2013,69.17,-0.00892349
27/06/2013,69.79,0.02084917
26/06/2013,68.35,0.007784426
25/06/2013,67.82,0.009928214
24/06/2013,67.15,-0.018882402
21/06/2013,68.43,-0.009164367
20/06/2013,69.06,-0.019501622
19/06/2013,70.42,-0.012839683
18/06/2013,71.33,0.009295842
17/06/2013,70.67,0.006103205
14/06/2013,70.24,-0.003552906
13/06/2013,70.49,0.015583988
12/06/2013,69.4,-0.010035927
11/06/2013,70.1,-0.005973563
10/06/2013,70.52,-0.002549215
07/06/2013,70.7,0.015824694
06/06/2013,69.59,0.005909075
05/06/2013,69.18,-0.012354704
04/06/2013,70.04,-0.012626968
03/06/2013,70.93,0.011342813
31/05/2013,70.13,-0.006112749
30/05/2013,70.56,0.005542542
29/05/2013,70.17,-0.004124304
28/05/2013,70.46,0.003269603
24/05/2013,70.23,-0.000569395
23/05/2013,70.27,-0.007514035
22/05/2013,70.8,-0.005071862
21/05/2013,71.16,0.002250986
20/05/2013,71,0.003103402
17/05/2013,70.78,0.012367774
16/05/2013,69.91,-0.00385467
15/05/2013,70.18,0.011464729
14/05/2013,69.38,0.015835299
13/05/2013,68.29,-0.000146424
10/05/2013,68.3,0.002198608
09/05/2013,68.15,0.006034311
08/05/2013,67.74,0.01472255
07/05/2013,66.75,0.015094626
06/05/2013,65.75,0.00060855
03/05/2013,65.71,0.018275868
02/05/2013,64.52,0.010125486
01/05/2013,63.87,-0.010745256
30/04/2013,64.56,-0.004173435
29/04/2013,64.83,0.006965433
26/04/2013,64.38,-0.012349648
25/04/2013,65.18,0.015149463
24/04/2013,64.2,0.022685283
23/04/2013,62.76,0.03205714
22/04/2013,60.78,0.004617422
19/04/2013,60.5,0
18/04/2013,60.5,-0.008886022
17/04/2013,61.04,-0.027788541
16/04/2013,62.76,0.019793067
15/04/2013,61.53,-0.030569717
12/04/2013,63.44,-0.00173242
11/04/2013,63.55,0.015381259
10/04/2013,62.58,0.007055834
09/04/2013,62.14,0.003869724
08/04/2013,61.9,0.005345441
05/04/2013,61.57,-0.002433289
04/04/2013,61.72,0.010096161
03/04/2013,61.1,0.003935722
02/04/2013,60.86,-0.000328569
01/04/2013,60.88,-0.00098506
28/03/2013,60.94,0.005264902
27/03/2013,60.62,-0.006412914
26/03/2013,61.01,-0.007023304
25/03/2013,61.44,-0.013258076
22/03/2013,62.26,-0.004487187
21/03/2013,62.54,-0.009864837
20/03/2013,63.16,0.010664645
19/03/2013,62.49,0.002724142
18/03/2013,62.32,0.001445203
15/03/2013,62.23,0.015873349
14/03/2013,61.25,-0.001142205
13/03/2013,61.32,0.000978953
12/03/2013,61.26,-0.019879443
11/03/2013,62.49,0.000800448
08/03/2013,62.44,0.004333527
07/03/2013,62.17,-0.007052441
06/03/2013,62.61,0.004963584
05/03/2013,62.3,0.012274056
04/03/2013,61.54,-0.000974501
01/03/2013,61.6,0.001624696
28/02/2013,61.5,0.000813339
27/02/2013,61.45,0.022546829
26/02/2013,60.08,0.005173145
25/02/2013,59.77,-0.028208056
