Date,Close,MPC
16/04/2013,78.87,0.01726496
15/04/2013,77.52,-0.035109113
12/04/2013,80.29,-0.021927461
11/04/2013,82.07,-0.027283707
10/04/2013,84.34,-0.005439294
09/04/2013,84.8,0.017126965
08/04/2013,83.36,0.011947285
05/04/2013,82.37,-0.003030489
04/04/2013,82.62,0.014999367
03/04/2013,81.39,-0.049030015
02/04/2013,85.48,-0.049636565
01/04/2013,89.83,0.002563675
28/03/2013,89.6,-0.000780945
27/03/2013,89.67,-0.013953715
26/03/2013,90.93,0.008171424
25/03/2013,90.19,-0.00795145
22/03/2013,90.91,0.020559706
21/03/2013,89.06,-0.022976759
20/03/2013,91.13,0.031433707
19/03/2013,88.31,-0.004857394
18/03/2013,88.74,0.009169703
15/03/2013,87.93,0.002619144
14/03/2013,87.7,0.009969715
13/03/2013,86.83,-0.02457182
12/03/2013,88.99,0.012437971
11/03/2013,87.89,-0.012775031
08/03/2013,89.02,0.008347482
07/03/2013,88.28,-0.002940846
06/03/2013,88.54,-0.002369001
05/03/2013,88.75,-0.011650182
04/03/2013,89.79,0.054704714
01/03/2013,85.01,0.025375118
28/02/2013,82.88,0.001690617
27/02/2013,82.74,0.026825051
26/02/2013,80.55,0.01589222
25/02/2013,79.28,-0.027985161
22/02/2013,81.53,0.011596478
21/02/2013,80.59,0.004477063
20/02/2013,80.23,-0.048416169
19/02/2013,84.21,0.019788377
15/02/2013,82.56,-0.007241161
14/02/2013,83.16,0.018079726
13/02/2013,81.67,0.00959653
12/02/2013,80.89,-0.009841388
11/02/2013,81.69,0.00318784
08/02/2013,81.43,0.03004277
07/02/2013,79.02,0.015688097
06/02/2013,77.79,0.01437197
05/02/2013,76.68,-0.001563722
04/02/2013,76.8,0.007711952
01/02/2013,76.21,0.026593776
31/01/2013,74.21,0.017947457
30/01/2013,72.89,0.01270209
29/01/2013,71.97,0.047228233
28/01/2013,68.65,-0.00029129
25/01/2013,68.67,0.00029129
24/01/2013,68.65,0.015709051
23/01/2013,67.58,0.006979017
22/01/2013,67.11,0.028873595
18/01/2013,65.2,-0.002756932
17/01/2013,65.38,0.009837153
16/01/2013,64.74,0.007441895
15/01/2013,64.26,0.025852638
14/01/2013,62.62,0.010111634
11/01/2013,61.99,-0.012822743
10/01/2013,62.79,0.005910088
09/01/2013,62.42,0.014035884
08/01/2013,61.55,0.02134728
07/01/2013,60.25,-0.037463665
04/01/2013,62.55,0.005289745
03/01/2013,62.22,-0.02836283
02/01/2013,64.01,0.015904595
31/12/2012,63,0.030459207
28/12/2012,61.11,-0.014781395
27/12/2012,62.02,0.005821491
26/12/2012,61.66,-0.011448968
24/12/2012,62.37,0.003694487
21/12/2012,62.14,-0.001929261
20/12/2012,62.26,0.000642674
19/12/2012,62.22,-0.012458235
18/12/2012,63,0.000635122
17/12/2012,62.96,0.002066938
14/12/2012,62.83,0.017014857
13/12/2012,61.77,0.004055485
12/12/2012,61.52,0.00162681
11/12/2012,61.42,-0.009560147
10/12/2012,62.01,0.021351964
07/12/2012,60.7,0.021649472
06/12/2012,59.4,0.02195646
