Date,Close,SCG
02/07/2012,48.46,0.012876606
29/06/2012,47.84,0.008818029
28/06/2012,47.42,0.003168236
27/06/2012,47.27,0.013417303
26/06/2012,46.64,0.005159083
25/06/2012,46.4,-0.003442344
22/06/2012,46.56,-0.003644553
21/06/2012,46.73,-0.012546682
20/06/2012,47.32,-0.007788693
19/06/2012,47.69,-0.005854083
18/06/2012,47.97,-0.001458182
15/06/2012,48.04,0.003962879
14/06/2012,47.85,0.005658613
13/06/2012,47.58,-0.00021015
12/06/2012,47.59,0.004422456
11/06/2012,47.38,0.008265386
08/06/2012,46.99,-0.002125851
07/06/2012,47.09,-0.008669047
06/06/2012,47.5,0.010369366
05/06/2012,47.01,0.00661618
04/06/2012,46.7,-0.001283972
01/06/2012,46.76,-0.004055069
31/05/2012,46.95,0.007911941
30/05/2012,46.58,-0.004070707
29/05/2012,46.77,0.002569044
25/05/2012,46.65,0.005373468
24/05/2012,46.4,0.006920443
23/05/2012,46.08,-0.008858219
22/05/2012,46.49,0.010161151
21/05/2012,46.02,0.003264776
18/05/2012,45.87,-0.00435067
17/05/2012,46.07,-0.00627504
16/05/2012,46.36,0.000647319
15/05/2012,46.33,-0.006883228
14/05/2012,46.65,0.002575661
11/05/2012,46.53,-0.001717845
10/05/2012,46.61,0.017312702
09/05/2012,45.81,0.002622952
08/05/2012,45.69,0.002191061
07/05/2012,45.59,-0.001753233
04/05/2012,45.67,-0.004369681
03/05/2012,45.87,-0.002177701
02/05/2012,45.97,-0.008663689
01/05/2012,46.37,0.005406003
30/04/2012,46.12,0
27/04/2012,46.12,0.005871497
26/04/2012,45.85,0.004590674
25/04/2012,45.64,0.001096131
24/04/2012,45.59,0.009033883
23/04/2012,45.18,-0.009033883
20/04/2012,45.59,0.016141865
19/04/2012,44.86,0.000445931
18/04/2012,44.84,-0.002450163
17/04/2012,44.95,0.013212598
16/04/2012,44.36,0.001805055
13/04/2012,44.28,-0.002706362
12/04/2012,44.4,0.009049836
11/04/2012,44,-0.000227247
10/04/2012,44.01,-0.017121391
09/04/2012,44.77,-0.006234712
05/04/2012,45.05,-0.003324103
04/04/2012,45.2,-0.003092558
03/04/2012,45.34,-0.005718071
02/04/2012,45.6,-0.000219274
30/03/2012,45.61,-0.000876616
29/03/2012,45.65,0.006372948
28/03/2012,45.36,0.000441014
27/03/2012,45.34,0.003092558
26/03/2012,45.2,0.013139038
23/03/2012,44.61,0.001570387
22/03/2012,44.54,0.002247697
21/03/2012,44.44,0
20/03/2012,44.44,-0.003593894
19/03/2012,44.6,-0.002015904
16/03/2012,44.69,-0.004242498
15/03/2012,44.88,-0.002670229
14/03/2012,45,-0.014122035
13/03/2012,45.64,0.004831988
12/03/2012,45.42,0.012628948
09/03/2012,44.85,0.00581397
08/03/2012,44.59,0.0044954
07/03/2012,44.39,-0.004271109
06/03/2012,44.58,-0.003806117
05/03/2012,44.75,0.002685166
02/03/2012,44.63,-0.002238139
01/03/2012,44.73,-0.006018072
29/02/2012,45,-0.00332779
28/02/2012,45.15,-0.004419897
27/02/2012,45.35,0
24/02/2012,45.35,0.003755666
23/02/2012,45.18,0.001772265
22/02/2012,45.1,0.006450918
21/02/2012,44.81,-0.00089226
17/02/2012,44.85,0.001561977
16/02/2012,44.78,0.004027752
15/02/2012,44.6,-0.008928631
14/02/2012,45,-0.00332779
13/02/2012,45.15,-0.003537479
10/02/2012,45.31,-0.003964763
09/02/2012,45.49,-0.005262016
08/02/2012,45.73,0.001093972
07/02/2012,45.68,0.010563479
06/02/2012,45.2,-0.002651349
03/02/2012,45.32,0.007085946
02/02/2012,45,-0.004434597
01/02/2012,45.2,0.008219529
31/01/2012,44.83,0.002904057
30/01/2012,44.7,-0.005577259
27/01/2012,44.95,-0.001333926
26/01/2012,45.01,-0.000888297
25/01/2012,45.05,0.013633019
24/01/2012,44.44,-0.004938282
23/01/2012,44.66,-0.001342582
20/01/2012,44.72,0.001790511
19/01/2012,44.64,-0.00469327
18/01/2012,44.85,0.001785316
17/01/2012,44.77,0.01621292
13/01/2012,44.05,-0.002720473
12/01/2012,44.17,0.000226424
11/01/2012,44.16,-0.003165275
10/01/2012,44.3,0.013407768
09/01/2012,43.71,-0.001143249
06/01/2012,43.76,-0.004104909
05/01/2012,43.94,-0.004088127
04/01/2012,44.12,-0.007676714
03/01/2012,44.46,-0.013405026
30/12/2011,45.06,-0.00619471
29/12/2011,45.34,0.009529158
28/12/2011,44.91,-0.005108284
27/12/2011,45.14,0.008677327
23/12/2011,44.75,0.006501536
22/12/2011,44.46,0.003379523
21/12/2011,44.31,0.013633476
20/12/2011,43.71,0.027837567
19/12/2011,42.51,-0.006331361
16/12/2011,42.78,-0.004431494
15/12/2011,42.97,0.012646539
14/12/2011,42.43,-0.006811535
13/12/2011,42.72,-0.000935892
12/12/2011,42.76,-0.005131805
09/12/2011,42.98,0.011936947
08/12/2011,42.47,-0.021661497
07/12/2011,43.4,-0.004827041
06/12/2011,43.61,0
