Date,Close,FIS
24/01/2013,37.23,-0.012810423
23/01/2013,37.71,0.000795862
22/01/2013,37.68,0.016591229
18/01/2013,37.06,0.000269869
17/01/2013,37.05,0.001350439
16/01/2013,37,0.006507615
15/01/2013,36.76,-0.01162961
14/01/2013,37.19,0.005121995
11/01/2013,37,0.012510362
10/01/2013,36.54,0.014333211
09/01/2013,36.02,0.009484032
08/01/2013,35.68,-0.003357586
07/01/2013,35.8,-0.005015335
04/01/2013,35.98,0.011460643
03/01/2013,35.57,-0.007003811
02/01/2013,35.82,0.028601695
31/12/2012,34.81,0.015926209
28/12/2012,34.26,-0.009296987
27/12/2012,34.58,0.006673462
26/12/2012,34.35,-0.01731645
24/12/2012,34.95,0.001718213
21/12/2012,34.89,-0.016205045
20/12/2012,35.46,0.011059236
19/12/2012,35.07,-0.002847382
18/12/2012,35.17,0.004845385
17/12/2012,35,-0.013621096
14/12/2012,35.48,-0.001689665
13/12/2012,35.54,-0.015911013
12/12/2012,36.11,-0.006899434
11/12/2012,36.36,-0.002197803
10/12/2012,36.44,0.007713537
07/12/2012,36.16,-0.022153237
06/12/2012,36.97,0.007330018
05/12/2012,36.7,0.013165303
04/12/2012,36.22,0.011384268
03/12/2012,35.81,-0.008065681
30/11/2012,36.1,-0.000553863
29/11/2012,36.12,0.000553863
28/11/2012,36.1,0.011422328
27/11/2012,35.69,-0.003635859
26/11/2012,35.82,0.001117319
23/11/2012,35.78,0.005324379
21/11/2012,35.59,0.001968781
20/11/2012,35.52,0.010186845
19/11/2012,35.16,0.004561011
16/11/2012,35,0.019328454
15/11/2012,34.33,-0.001455392
14/11/2012,34.38,-0.016157305
13/11/2012,34.94,0.00143205
12/11/2012,34.89,0.010661389
09/11/2012,34.52,0.005519259
08/11/2012,34.33,-0.006387943
07/11/2012,34.55,-0.005196317
06/11/2012,34.73,0.042647251
05/11/2012,33.28,-0.00718566
02/11/2012,33.52,0.011401264
01/11/2012,33.14,0.008180624
31/10/2012,32.87,0.00763479
26/10/2012,32.62,0.002455495
25/10/2012,32.54,-0.005821987
24/10/2012,32.73,0.004593485
23/10/2012,32.58,-0.001226994
22/10/2012,32.62,0.00645858
19/10/2012,32.41,-0.002773072
18/10/2012,32.5,-0.003685508
17/10/2012,32.62,0.002762857
16/10/2012,32.53,0.00554872
15/10/2012,32.35,0.014635167
12/10/2012,31.88,0.012944143
11/10/2012,31.47,0.010541545
10/10/2012,31.14,0.004828595
09/10/2012,30.99,-0.011549695
08/10/2012,31.35,-0.004773279
05/10/2012,31.5,0.011494379
04/10/2012,31.14,0.004505962
03/10/2012,31,0.000645369
02/10/2012,30.98,0.002909328
01/10/2012,30.89,-0.010626408
28/09/2012,31.22,-0.014626652
27/09/2012,31.68,-0.004095139
26/09/2012,31.81,-0.014047367
25/09/2012,32.26,-0.006180489
24/09/2012,32.46,-0.005529968
21/09/2012,32.64,0.002453989
20/09/2012,32.56,0.006779687
19/09/2012,32.34,-0.003087375
18/09/2012,32.44,0.006804851
17/09/2012,32.22,0.016270697
14/09/2012,31.7,-0.006916092
13/09/2012,31.92,0.012927817
12/09/2012,31.51,-0.014180165
11/09/2012,31.96,-0.015523441
10/09/2012,32.46,-0.006754708
07/09/2012,32.68,0.00122474
06/09/2012,32.64,0.023246049
05/09/2012,31.89,0.009768472
04/09/2012,31.58,0.002536463
31/08/2012,31.5,0.000635122
30/08/2012,31.48,-0.007594973
29/08/2012,31.72,0.001577536
28/08/2012,31.67,-0.007862912
27/08/2012,31.92,-0.001252348
24/08/2012,31.96,0.007537724
23/08/2012,31.72,0.00126183
22/08/2012,31.68,-0.00942514
21/08/2012,31.98,-0.000625195
20/08/2012,32,0.026279809
17/08/2012,31.17,0.00869991
16/08/2012,30.9,0.000647459
15/08/2012,30.88,-0.008063259
14/08/2012,31.13,0.004507413
13/08/2012,30.99,-0.002256246
10/08/2012,31.06,0.000644122
09/08/2012,31.04,0.001289491
08/08/2012,31,-0.001289491
07/08/2012,31.04,-0.002895289
06/08/2012,31.13,-0.010862727
03/08/2012,31.47,0.019573864
02/08/2012,30.86,0.004872512
01/08/2012,30.71,-0.023492633
31/07/2012,31.44,-0.006657181
30/07/2012,31.65,-0.020948085
27/07/2012,32.32,0.019369553
26/07/2012,31.7,0.00094682
25/07/2012,31.67,-0.010678493
24/07/2012,32.01,0.000312451
23/07/2012,32,-0.00405427
20/07/2012,32.13,-0.014522115
19/07/2012,32.6,-0.016126928
18/07/2012,33.13,-0.032663236
17/07/2012,34.23,-0.002042902
16/07/2012,34.3,-0.00058292
13/07/2012,34.32,0.011428696
12/07/2012,33.93,-0.005584144
11/07/2012,34.12,0.006763737
10/07/2012,33.89,-0.014064105
09/07/2012,34.37,0.002330324
06/07/2012,34.29,-0.005235614
05/07/2012,34.47,-0.009528006
03/07/2012,34.8,0.009818156
02/07/2012,34.46,0.011088529
29/06/2012,34.08,0.018360006
28/06/2012,33.46,-0.007443834
27/06/2012,33.71,0.029196957
26/06/2012,32.74,0.007665222
25/06/2012,32.49,-0.024024266
22/06/2012,33.28,0.008752131
21/06/2012,32.99,-0.026325182
20/06/2012,33.87,0.013375144
19/06/2012,33.42,0.005400553
18/06/2012,33.24,0.006640531
15/06/2012,33.02,0.013107946
14/06/2012,32.59,0.00615576
13/06/2012,32.39,0.008993703
12/06/2012,32.1,0.004683849
11/06/2012,31.95,-0.013677552
08/06/2012,32.39,0.008682225
07/06/2012,32.11,-0.000933852
06/06/2012,32.14,0.013784679
05/06/2012,31.7,0.014617356
04/06/2012,31.24,-0.004152697
01/06/2012,31.37,-0.043966551
31/05/2012,32.78,-0.005172688
30/05/2012,32.95,-0.011766616
29/05/2012,33.34,0.015719792
25/05/2012,32.82,-0.004256619
24/05/2012,32.96,0.00364742
23/05/2012,32.84,0.007028295
22/05/2012,32.61,0.021386217
21/05/2012,31.92,0.01738075
18/05/2012,31.37,-0.020820941
17/05/2012,32.03,-0.015182321
16/05/2012,32.52,0.002154842
