Date,Close,HRB
14/06/2012,15.36,0.013106348
13/06/2012,15.16,0.002642009
12/06/2012,15.12,-0.007248796
11/06/2012,15.23,-0.014341836
08/06/2012,15.45,0.001943635
07/06/2012,15.42,-0.020539875
06/06/2012,15.74,0.013431606
05/06/2012,15.53,0.011658163
04/06/2012,15.35,0.019073252
01/06/2012,15.06,-0.013847897
31/05/2012,15.27,-0.007177845
30/05/2012,15.38,-0.001948685
29/05/2012,15.41,0.014379333
25/05/2012,15.19,0.013254004
24/05/2012,14.99,-0.002664892
23/05/2012,15.03,0.020161973
22/05/2012,14.73,-0.003388685
21/05/2012,14.78,0.017747906
18/05/2012,14.52,0.002758622
17/05/2012,14.48,-0.014398603
16/05/2012,14.69,0.006830628
15/05/2012,14.59,0
14/05/2012,14.59,0.001371742
11/05/2012,14.57,-0.000686106
10/05/2012,14.58,0.004123717
09/05/2012,14.52,0.003449469
08/05/2012,14.47,-0.000690846
07/05/2012,14.48,-0.004135085
04/05/2012,14.54,-0.004802754
03/05/2012,14.61,0.000684697
02/05/2012,14.6,-0.004101168
01/05/2012,14.66,-0.002724797
30/04/2012,14.7,-0.017532479
27/04/2012,14.96,0.000668673
26/04/2012,14.95,-0.113089765
25/04/2012,16.74,0.009000961
24/04/2012,16.59,0.00725956
23/04/2012,16.47,-0.019838342
20/04/2012,16.8,-0.004750603
19/04/2012,16.88,-0.006495447
18/04/2012,16.99,0.004128582
17/04/2012,16.92,0.013087635
16/04/2012,16.7,-0.01072077
13/04/2012,16.88,-0.006495447
12/04/2012,16.99,0.010650988
11/04/2012,16.81,0.008963311
10/04/2012,16.66,-0.005984458
09/04/2012,16.76,-0.0159814
05/04/2012,17.03,0.002351559
04/04/2012,16.99,-0.007622435
03/04/2012,17.12,0.026036974
02/04/2012,16.68,0.012669853
30/03/2012,16.47,-0.013868175
29/03/2012,16.7,-0.007159935
28/03/2012,16.82,-0.010056281
27/03/2012,16.99,-0.007622435
26/03/2012,17.12,0.018868484
23/03/2012,16.8,-0.004750603
22/03/2012,16.88,-0.001184133
21/03/2012,16.9,-0.014684552
20/03/2012,17.15,0.014093011
19/03/2012,16.91,0
16/03/2012,16.91,0.010104098
15/03/2012,16.74,0.014440684
14/03/2012,16.5,-0.006644543
13/03/2012,16.61,0.021912015
12/03/2012,16.25,0.0217738
09/03/2012,15.9,-0.004392853
08/03/2012,15.97,0.006281428
07/03/2012,15.87,-0.007532992
06/03/2012,15.99,-0.013047715
05/03/2012,16.2,-0.007380107
02/03/2012,16.32,-0.00732604
01/03/2012,16.44,0.008552282
29/02/2012,16.3,-0.014011804
28/02/2012,16.53,0.003029387
27/02/2012,16.48,0.006086446
24/02/2012,16.38,0.016000341
23/02/2012,16.12,-0.004333031
22/02/2012,16.19,-0.005543593
21/02/2012,16.28,0.004926118
17/02/2012,16.2,-0.003081667
16/02/2012,16.25,0.008652712
15/02/2012,16.11,-0.006188139
14/02/2012,16.21,-0.013480596
13/02/2012,16.43,-0.022269954
10/02/2012,16.8,-0.013010237
09/02/2012,17.02,-0.008191971
08/02/2012,17.16,0.001166181
07/02/2012,17.14,-0.002912906
06/02/2012,17.19,-0.000581564
03/02/2012,17.2,0.021746376
02/02/2012,16.83,-0.010050336
01/02/2012,17,0.038374013
31/01/2012,16.36,-0.013357819
30/01/2012,16.58,-0.011394426
27/01/2012,16.77,-0.008904778
26/01/2012,16.92,0.001182732
25/01/2012,16.9,0.001776725
24/01/2012,16.87,-0.002959458
23/01/2012,16.92,0.025742218
20/01/2012,16.49,0.014661228
19/01/2012,16.25,0
18/01/2012,16.25,0.002464573
17/01/2012,16.21,-0.011652999
13/01/2012,16.4,0.000609942
12/01/2012,16.39,0.001832062
11/01/2012,16.36,0.006746422
10/01/2012,16.25,-0.000615195
09/01/2012,16.26,0
06/01/2012,16.26,0.001230769
05/01/2012,16.24,0.006796443
04/01/2012,16.13,-0.006796443
03/01/2012,16.24,-0.005526572
30/12/2011,16.33,0.003680986
29/12/2011,16.27,0.024892387
28/12/2011,15.87,-0.008158188
27/12/2011,16,-0.004987542
23/12/2011,16.08,0.011257155
22/12/2011,15.9,0.019689426
21/12/2011,15.59,0.013561719
20/12/2011,15.38,0.013748171
19/12/2011,15.17,-0.012446934
16/12/2011,15.36,0
15/12/2011,15.36,-0.00065083
14/12/2011,15.37,-0.022516229
13/12/2011,15.72,-0.008235713
12/12/2011,15.85,-0.00440668
09/12/2011,15.92,0.022230195
08/12/2011,15.57,0
07/12/2011,15.57,0.028666458
06/12/2011,15.13,0.015989681
05/12/2011,14.89,-0.009358357
02/12/2011,15.03,-0.066283505
01/12/2011,16.06,0.020761991
30/11/2011,15.73,0.035590945
29/11/2011,15.18,0.015936592
28/11/2011,14.94,0.03611977
25/11/2011,14.41,-0.010355633
23/11/2011,14.56,-0.039062205
22/11/2011,15.14,0.003970885
21/11/2011,15.08,-0.025533302
18/11/2011,15.47,0.003886015
17/11/2011,15.41,-0.005823375
16/11/2011,15.5,-0.0273641
15/11/2011,15.93,0.020292389
14/11/2011,15.61,-0.019036108
11/11/2011,15.91,0.024174205
10/11/2011,15.53,0.012309841
09/11/2011,15.34,-0.012309841
08/11/2011,15.53,0.007756988
07/11/2011,15.41,0.00651044
04/11/2011,15.31,-0.002609264
03/11/2011,15.35,0.021732828
02/11/2011,15.02,0.0086928
01/11/2011,14.89,-0.026509173
31/10/2011,15.29,-0.009762525
28/10/2011,15.44,0.010416761
27/10/2011,15.28,0.025854937
26/10/2011,14.89,0.023098853
25/10/2011,14.55,-0.028457205
24/10/2011,14.97,0.038125788
21/10/2011,14.41,0.013976468
20/10/2011,14.21,0.002818888
19/10/2011,14.17,-0.014015646
18/10/2011,14.37,0.011900735
17/10/2011,14.2,-0.046776065
14/10/2011,14.88,0.010810916
13/10/2011,14.72,-0.006770507
12/10/2011,14.82,0.007450085
11/10/2011,14.71,0.020605125
10/10/2011,14.41,0.042529443
07/10/2011,13.81,-0.003614026
06/10/2011,13.86,0.011611161
05/10/2011,13.7,0.013965681
04/10/2011,13.51,0.029292368
03/10/2011,13.12,-0.014377849
30/09/2011,13.31,-0.031067587
29/09/2011,13.73,0.016153068
28/09/2011,13.51,-0.018335681
27/09/2011,13.76,0
26/09/2011,13.76,0.031748698
23/09/2011,13.33,0.015117446
22/09/2011,13.13,-0.002282238
21/09/2011,13.16,-0.0682834
20/09/2011,14.09,0
19/09/2011,14.09,-0.002834871
16/09/2011,14.13,-0.004941768
15/09/2011,14.2,0.039502443
14/09/2011,13.65,0.034280555
13/09/2011,13.19,-0.005293018
12/09/2011,13.26,0.009852296
09/09/2011,13.13,-0.03443454
08/09/2011,13.59,-0.039673432
07/09/2011,14.14,0.04705899
06/09/2011,13.49,0.005947973
02/09/2011,13.41,-0.123978075
01/09/2011,15.18,0.003960401
31/08/2011,15.12,0.003312358
30/08/2011,15.07,0.007994713
29/08/2011,14.95,0.068515203
26/08/2011,13.96,0.02980955
25/08/2011,13.55,-0.057363395
24/08/2011,14.35,-0.002783579
23/08/2011,14.39,0.071278814
22/08/2011,13.4,0.010502722
19/08/2011,13.26,-0.011994147
18/08/2011,13.42,-0.045164267
17/08/2011,14.04,0.002139038
16/08/2011,14.01,0.000714031
15/08/2011,14,0.036367644
12/08/2011,13.5,-0.015435808
11/08/2011,13.71,0.064781682
10/08/2011,12.85,-0.035922854
09/08/2011,13.32,0.045305253
08/08/2011,12.73,-0.07489321
05/08/2011,13.72,-0.015190165
04/08/2011,13.93,-0.027612374
03/08/2011,14.32,0.007007737
02/08/2011,14.22,-0.023628618
01/08/2011,14.56,-0.02710193
29/07/2011,14.96,-0.000668226
28/07/2011,14.97,-0.004000005
27/07/2011,15.03,-0.020415592
26/07/2011,15.34,-0.007792247
25/07/2011,15.46,-0.003228934
22/07/2011,15.51,0.002582313
21/07/2011,15.47,0.012357881
20/07/2011,15.28,0.003277617
19/07/2011,15.23,0.005926919
18/07/2011,15.14,-0.01507731
15/07/2011,15.37,-0.004543987
14/07/2011,15.44,-0.021147856
13/07/2011,15.77,0.000634317
12/07/2011,15.76,-0.000634317
11/07/2011,15.77,-0.021951336
08/07/2011,16.12,-0.015389654
07/07/2011,16.37,0.007357483
06/07/2011,16.25,0.011138729
05/07/2011,16.07,-0.014824237
01/07/2011,16.31,0.016692814
30/06/2011,16.04,-0.008072071
29/06/2011,16.17,-0.004935235
28/06/2011,16.25,0.019261235
27/06/2011,15.94,0.005662173
24/06/2011,15.85,-0.013784679
23/06/2011,16.07,0.000622471
22/06/2011,16.06,0.003742986
21/06/2011,16,0.028528084
20/06/2011,15.55,0.009693129
17/06/2011,15.4,0.001299545
16/06/2011,15.38,-0.002597404
15/06/2011,15.42,-0.023077947
14/06/2011,15.78,0.025025368
13/06/2011,15.39,0
10/06/2011,15.39,-0.024391453
09/06/2011,15.77,0.011479718
08/06/2011,15.59,-0.021574441
07/06/2011,15.93,0.002514143
06/06/2011,15.89,-0.013750217
03/06/2011,16.11,-0.002479852
02/06/2011,16.15,-0.004941332
01/06/2011,16.23,0.001850139
31/05/2011,16.2,0.01429928
27/05/2011,15.97,0.004392853
26/05/2011,15.9,-0.001885015
25/05/2011,15.93,-0.0418008
24/05/2011,16.61,0.02129682
23/05/2011,16.26,-0.004295803
20/05/2011,16.33,-0.001835424
19/05/2011,16.36,-0.007914805
18/05/2011,16.49,0.027045287
17/05/2011,16.05,0.011278315
16/05/2011,15.87,0.003155572
13/05/2011,15.82,-0.00881063
12/05/2011,15.96,0.006285376
11/05/2011,15.86,0.013968481
10/05/2011,15.64,-0.018372389
09/05/2011,15.93,-0.079028141
06/05/2011,17.24,0.002322881
05/05/2011,17.2,0.013462305
04/05/2011,16.97,-0.015785186
03/05/2011,17.24,-0.013825105
02/05/2011,17.48,0.010929071
29/04/2011,17.29,-0.017770602
28/04/2011,17.6,0.005126756
27/04/2011,17.51,-0.016987951
26/04/2011,17.81,-0.003922672
25/04/2011,17.88,0.012946986
21/04/2011,17.65,-0.010146648
20/04/2011,17.83,0.007882924
19/04/2011,17.69,0.001131222
18/04/2011,17.67,0.000566091
15/04/2011,17.66,0.003403293
14/04/2011,17.6,-0.00056802
13/04/2011,17.61,0.017182553
12/04/2011,17.31,-0.005185837
11/04/2011,17.4,-0.001148765
08/04/2011,17.42,-0.031084729
07/04/2011,17.97,0.025360615
06/04/2011,17.52,-0.015293416
05/04/2011,17.79,0.006768215
04/04/2011,17.67,0.013101868
01/04/2011,17.44,0.040965353
31/03/2011,16.74,-0.00119403
30/03/2011,16.76,-0.002383791
29/03/2011,16.8,0.00896867
28/03/2011,16.65,0.005420067
25/03/2011,16.56,0.005449605
24/03/2011,16.47,0.01283244
23/03/2011,16.26,0.009267907
22/03/2011,16.11,-0.007421184
21/03/2011,16.23,0.009907202
18/03/2011,16.07,0.011264199
17/03/2011,15.89,0.004415018
16/03/2011,15.82,-0.00567288
15/03/2011,15.91,-0.009383866
14/03/2011,16.06,0.015056746
11/03/2011,15.82,-0.001263424
10/03/2011,15.84,0.04190107
09/03/2011,15.19,0.01125467
08/03/2011,15.02,0.026992192
07/03/2011,14.62,0.010312914
04/03/2011,14.47,-0.015769953
03/03/2011,14.7,0.008882874
02/03/2011,14.57,-0.010242493
01/03/2011,14.72,-0.031430203
28/02/2011,15.19,0.000658545
25/02/2011,15.18,0.017946643
24/02/2011,14.91,0.050199608
23/02/2011,14.18,0.002117897
22/02/2011,14.15,-0.027188848
18/02/2011,14.54,0.022254048
17/02/2011,14.22,0.010604553
16/02/2011,14.07,0.010000083
15/02/2011,13.93,0.053827958
14/02/2011,13.2,-0.003780723
11/02/2011,13.25,0.008336539
10/02/2011,13.14,-0.006825965
09/02/2011,13.23,0.035388308
08/02/2011,12.77,-0.002346501
07/02/2011,12.8,-0.001561281
04/02/2011,12.82,0.00547518
03/02/2011,12.75,-0.00547518
02/02/2011,12.82,0.011769457
01/02/2011,12.67,0.011909629
31/01/2011,12.52,0.001598721
28/01/2011,12.5,-0.047646653
27/01/2011,13.11,0.00305577
26/01/2011,13.07,0
25/01/2011,13.07,-0.010654591
24/01/2011,13.21,-0.042244147
21/01/2011,13.78,0.042244147
20/01/2011,13.21,0.011419995
19/01/2011,13.06,-0.00458366
18/01/2011,13.12,0.023911668
14/01/2011,12.81,0.022100347
13/01/2011,12.53,-0.007949167
12/01/2011,12.63,-0.009456335
11/01/2011,12.75,0.007083855
10/01/2011,12.66,-0.009434032
07/01/2011,12.78,0.014978601
06/01/2011,12.59,0
05/01/2011,12.59,0.023303586
04/01/2011,12.3,-0.015329062
03/01/2011,12.49,0.047549941
31/12/2010,11.91,0.010126669
30/12/2010,11.79,0.001697793
29/12/2010,11.77,-0.005084757
28/12/2010,11.83,0.002539147
27/12/2010,11.8,-0.07271475
23/12/2010,12.69,-0.01641303
22/12/2010,12.9,0.004662013
21/12/2010,12.84,-0.007757991
20/12/2010,12.94,-0.003856542
17/12/2010,12.99,0.001540832
16/12/2010,12.97,-0.005382558
15/12/2010,13.04,-0.006878132
14/12/2010,13.13,-0.012864347
13/12/2010,13.3,0.019742479
10/12/2010,13.04,-0.001532567
09/12/2010,13.06,0.026378566
08/12/2010,12.72,-0.063210989
07/12/2010,13.55,0.039899911
06/12/2010,13.02,-0.010695289
03/12/2010,13.16,-0.015831465
02/12/2010,13.37,0.052199109
01/12/2010,12.69,0.007911434
30/11/2010,12.59,-0.018883331
29/11/2010,12.83,0.004687509
26/11/2010,12.77,-0.003907781
24/11/2010,12.82,0.011769457
23/11/2010,12.67,-0.007078284
22/11/2010,12.76,0.015798117
19/11/2010,12.56,0.002391392
18/11/2010,12.53,0.012043502
17/11/2010,12.38,-0.006441246
16/11/2010,12.46,-0.028482938
15/11/2010,12.82,-0.00233736
12/11/2010,12.85,0.00389864
11/11/2010,12.8,0.04310324
10/11/2010,12.26,0.000815994
09/11/2010,12.25,-0.008130126
08/11/2010,12.35,0.010582109
05/11/2010,12.22,0.038370011
04/11/2010,11.76,0.009397762
03/11/2010,11.65,0.004301082
02/11/2010,11.6,-0.000861698
