Date,Close,MRK
16/11/2012,43.07,0.006288596
15/11/2012,42.8,-0.005824128
14/11/2012,43.05,-0.014528101
13/11/2012,43.68,-0.007753745
12/11/2012,44.02,-0.000681276
09/11/2012,44.05,0.00477871
08/11/2012,43.84,-0.014043266
07/11/2012,44.46,-0.032310843
06/11/2012,45.92,0.005459125
05/11/2012,45.67,-0.007199769
02/11/2012,46,0.001305199
01/11/2012,45.94,0.006770802
31/10/2012,45.63,-0.011331566
26/10/2012,46.15,-0.003245
25/10/2012,46.3,0.009112669
24/10/2012,45.88,-0.000217936
23/10/2012,45.89,-0.012774884
22/10/2012,46.48,-0.011763583
19/10/2012,47.03,-0.019581634
18/10/2012,47.96,0.011956094
17/10/2012,47.39,0.004653139
16/10/2012,47.17,0.012372171
15/10/2012,46.59,0.021039709
12/10/2012,45.62,0.003733396
11/10/2012,45.45,-0.003294896
10/10/2012,45.6,-0.01242252
09/10/2012,46.17,-0.003675282
08/10/2012,46.34,0.001295617
05/10/2012,46.28,0.003463207
04/10/2012,46.12,0.007399381
03/10/2012,45.78,0.006794547
02/10/2012,45.47,0.005513301
01/10/2012,45.22,0.00265722
28/09/2012,45.1,-0.002878337
27/09/2012,45.23,0.004875896
26/09/2012,45.01,-0.002219264
25/09/2012,45.11,-0.00066482
24/09/2012,45.14,0.005108284
21/09/2012,44.91,0.000445434
20/09/2012,44.89,0.00850117
19/09/2012,44.51,0.009707718
18/09/2012,44.08,0.001816531
17/09/2012,44,0.008673873
14/09/2012,43.62,-0.023562486
13/09/2012,44.66,0.002915127
12/09/2012,44.53,0.004501471
11/09/2012,44.33,0.001580314
10/09/2012,44.26,0.004755982
07/09/2012,44.05,-0.004304005
06/09/2012,44.24,0.018248682
05/09/2012,43.44,0.004383442
04/09/2012,43.25,0.004635003
31/08/2012,43.05,-0.001624696
30/08/2012,43.12,0.001392435
29/08/2012,43.06,0.0053557
28/08/2012,42.83,-0.005123439
27/08/2012,43.05,-0.001624696
24/08/2012,43.12,0.007448824
23/08/2012,42.8,-0.002566796
22/08/2012,42.91,-0.000698893
21/08/2012,42.94,-0.01868782
20/08/2012,43.75,0.009415617
17/08/2012,43.34,-0.013749071
16/08/2012,43.94,-0.002727274
15/08/2012,44.06,-0.007912328
14/08/2012,44.41,-0.000225149
13/08/2012,44.42,-0.003371168
10/08/2012,44.57,0.006527879
09/08/2012,44.28,0.004980766
08/08/2012,44.06,0.001362707
07/08/2012,44,-0.011074811
06/08/2012,44.49,0.007671518
03/08/2012,44.15,0.005450842
02/08/2012,43.91,-0.008391023
01/08/2012,44.28,0.002487282
31/07/2012,44.17,-0.006993824
30/07/2012,44.48,-0.013842597
27/07/2012,45.1,0.040037011
26/07/2012,43.33,0.016521609
25/07/2012,42.62,-0.001641074
24/07/2012,42.69,-0.013494853
23/07/2012,43.27,-0.003230275
20/07/2012,43.41,-0.012135238
19/07/2012,43.94,0
18/07/2012,43.94,-0.005673452
17/07/2012,44.19,0.019191816
16/07/2012,43.35,-0.002764342
13/07/2012,43.47,0.012966146
12/07/2012,42.91,0.040423954
11/07/2012,41.21,-0.003875035
10/07/2012,41.37,-0.018204096
09/07/2012,42.13,0.014825714
06/07/2012,41.51,-0.002886699
05/07/2012,41.63,-0.004314484
03/07/2012,41.81,-0.000956252
02/07/2012,41.85,0.002392346
29/06/2012,41.75,0.02596288
28/06/2012,40.68,0.003694131
27/06/2012,40.53,0.01166411
26/06/2012,40.06,0.006762706
25/06/2012,39.79,-0.009753735
22/06/2012,40.18,0.018335312
21/06/2012,39.45,0.006102231
20/06/2012,39.21,-0.000509944
19/06/2012,39.23,0.009733683
18/06/2012,38.85,-0.002313923
15/06/2012,38.94,0.003859518
14/06/2012,38.79,0.010105022
13/06/2012,38.4,-0.011650617
12/06/2012,38.85,0.00982936
11/06/2012,38.47,0.000259977
08/06/2012,38.46,0.003385861
07/06/2012,38.33,0.011281767
06/06/2012,37.9,0.010610179
05/06/2012,37.5,0.001067236
04/06/2012,37.46,0.007502715
01/06/2012,37.18,-0.010701012
31/05/2012,37.58,0.00480129
30/05/2012,37.4,-0.005067353
29/05/2012,37.59,0.001064679
25/05/2012,37.55,-0.001330672
24/05/2012,37.6,0.006938912
23/05/2012,37.34,-0.003208559
22/05/2012,37.46,-0.003730353
21/05/2012,37.6,-0.005834013
18/05/2012,37.82,-0.005537259
17/05/2012,38.03,-0.005245226
16/05/2012,38.23,0.012900008
15/05/2012,37.74,-0.012638399
14/05/2012,38.22,0.004983617
11/05/2012,38.03,-0.009421687
10/05/2012,38.39,0.007845229
09/05/2012,38.09,-0.014077396
08/05/2012,38.63,0.002332514
07/05/2012,38.54,-0.00775398
04/05/2012,38.84,-0.008460504
03/05/2012,39.17,-0.003058886
02/05/2012,39.29,-0.002034071
01/05/2012,39.37,0.00330747
30/04/2012,39.24,0.020077895
27/04/2012,38.46,-0.000259977
26/04/2012,38.47,0.001040312
25/04/2012,38.43,0.004172105
24/04/2012,38.27,0
23/04/2012,38.27,-0.011948194
20/04/2012,38.73,0.009599244
19/04/2012,38.36,-0.00104221
18/04/2012,38.4,-0.002860488
17/04/2012,38.51,0.014648444
16/04/2012,37.95,0.004489642
13/04/2012,37.78,-0.012886437
12/04/2012,38.27,-0.005472326
11/04/2012,38.48,0.00077993
10/04/2012,38.45,-0.007255798
09/04/2012,38.73,-0.003865486
05/04/2012,38.88,-0.000514271
04/04/2012,38.9,0.004637988
03/04/2012,38.72,0.005438315
02/04/2012,38.51,0.002860488
30/03/2012,38.4,0.010208177
29/03/2012,38.01,-0.007861676
28/03/2012,38.31,-0.012709288
27/03/2012,38.8,0.003614773
26/03/2012,38.66,0.016956191
23/03/2012,38.01,0.010845233
22/03/2012,37.6,-0.002656044
21/03/2012,37.7,-0.001590247
20/03/2012,37.76,-0.003436884
19/03/2012,37.89,-0.003688097
16/03/2012,38.03,-0.00078854
15/03/2012,38.06,-0.004195077
14/03/2012,38.22,-0.001568628
13/03/2012,38.28,0.004713284
12/03/2012,38.1,0.013210232
09/03/2012,37.6,0.005333346
