Date,Close,MKC
18/11/2011,48.17,-0.000830048
17/11/2011,48.21,-0.012983181
16/11/2011,48.84,-0.012007878
15/11/2011,49.43,0.005680681
14/11/2011,49.15,-0.008105414
11/11/2011,49.55,0.014842196
10/11/2011,48.82,0.009673843
09/11/2011,48.35,-0.034156604
08/11/2011,50.03,0.00039984
07/11/2011,50.01,0.005614613
04/11/2011,49.73,-0.003613011
03/11/2011,49.91,0.026392112
02/11/2011,48.61,0.012003455
01/11/2011,48.03,-0.010974331
31/10/2011,48.56,-0.021593832
28/10/2011,49.62,0.003229716
27/10/2011,49.46,0.012819384
26/10/2011,48.83,0.006987287
25/10/2011,48.49,-0.020210956
24/10/2011,49.48,-0.00664722
21/10/2011,49.81,0.024798019
20/10/2011,48.59,0.007021921
19/10/2011,48.25,-0.011129546
18/10/2011,48.79,0.023432902
17/10/2011,47.66,0.003573309
14/10/2011,47.49,0.016132806
13/10/2011,46.73,-0.011701016
12/10/2011,47.28,-0.000634317
11/10/2011,47.31,0.002327797
10/10/2011,47.2,0.011078085
07/10/2011,46.68,-0.000214202
06/10/2011,46.69,0.01532349
05/10/2011,45.98,-0.003473733
04/10/2011,46.14,0.02657453
03/10/2011,44.93,-0.027007899
30/09/2011,46.16,-0.003676077
29/09/2011,46.33,0.001944475
28/09/2011,46.24,-0.030876508
27/09/2011,47.69,0.001888971
26/09/2011,47.6,0.020159834
23/09/2011,46.65,0.02166932
22/09/2011,45.65,0.002851817
21/09/2011,45.52,-0.024735477
20/09/2011,46.66,0.003650031
19/09/2011,46.49,-0.00984597
16/09/2011,46.95,0.000426076
15/09/2011,46.93,0.014163327
14/09/2011,46.27,0.009991395
13/09/2011,45.81,0.008770063
12/09/2011,45.41,-0.002199737
09/09/2011,45.51,-0.025169478
08/09/2011,46.67,-0.021620172
07/09/2011,47.69,0.02526942
06/09/2011,46.5,-0.002577321
02/09/2011,46.62,-0.017646891
01/09/2011,47.45,-0.007139888
31/08/2011,47.79,0.007983236
30/08/2011,47.41,0.005711279
29/08/2011,47.14,0.03036736
26/08/2011,45.73,0.014981554
25/08/2011,45.05,-0.020650997
24/08/2011,45.99,0.001087784
23/08/2011,45.94,0.026468241
22/08/2011,44.74,0.010109038
19/08/2011,44.29,-0.019452821
18/08/2011,45.16,-0.031388802
17/08/2011,46.6,0.004732209
16/08/2011,46.38,-0.004517594
15/08/2011,46.59,0.017101835
12/08/2011,45.8,0.005034486
11/08/2011,45.57,0.03551462
10/08/2011,43.98,-0.029130449
09/08/2011,45.28,0.021203785
08/08/2011,44.33,-0.049938892
05/08/2011,46.6,0.013829088
04/08/2011,45.96,-0.037998168
03/08/2011,47.74,0.000838223
02/08/2011,47.7,-0.015188059
01/08/2011,48.43,-0.004532352
29/07/2011,48.65,-0.009003539
28/07/2011,49.09,0.001019056
27/07/2011,49.04,-0.015579475
26/07/2011,49.81,-0.005006519
25/07/2011,50.06,-0.003788261
22/07/2011,50.25,-0.003575689
21/07/2011,50.43,0.010565233
20/07/2011,49.9,0.002809554
19/07/2011,49.76,0.01498307
18/07/2011,49.02,-0.004274816
15/07/2011,49.23,-0.001420887
14/07/2011,49.3,-0.001216299
13/07/2011,49.36,0.004467013
12/07/2011,49.14,0.005509656
11/07/2011,48.87,-0.004695324
08/07/2011,49.1,-0.01696325
07/07/2011,49.94,0.006025325
06/07/2011,49.64,0.000402982
05/07/2011,49.62,-0.005226143
01/07/2011,49.88,0.006234309
30/06/2011,49.57,-0.028439821
29/06/2011,51,0.004323056
28/06/2011,50.78,0.007709834
27/06/2011,50.39,0.007769737
24/06/2011,50,0.0010005
23/06/2011,49.95,-0.009563731
22/06/2011,50.43,-0.003760519
21/06/2011,50.62,0.006142891
20/06/2011,50.31,0.011193401
17/06/2011,49.75,0.005644038
16/06/2011,49.47,0.010362787
15/06/2011,48.96,-0.007934128
14/06/2011,49.35,0.011617373
13/06/2011,48.78,0.010924565
10/06/2011,48.25,-0.013790483
09/06/2011,48.92,0.002660937
08/06/2011,48.79,0.002257106
07/06/2011,48.68,0.003498306
06/06/2011,48.51,0.006618432
03/06/2011,48.19,-0.016668767
02/06/2011,49,-0.01378214
01/06/2011,49.68,-0.010213366
31/05/2011,50.19,0.00780082
27/05/2011,49.8,0.004225784
26/05/2011,49.59,0.003029387
25/05/2011,49.44,-0.014258701
24/05/2011,50.15,0.005598895
23/05/2011,49.87,-0.008784245
20/05/2011,50.31,-0.003769472
19/05/2011,50.5,0.003570724
18/05/2011,50.32,0.005180326
17/05/2011,50.06,0.000999301
16/05/2011,50.01,0.00641928
13/05/2011,49.69,-0.011405827
12/05/2011,50.26,0.019488311
11/05/2011,49.29,-0.003847327
10/05/2011,49.48,0.008524509
09/05/2011,49.06,0.005928669
06/05/2011,48.77,-0.001229508
05/05/2011,48.83,-0.004495308
04/05/2011,49.05,-0.003256669
03/05/2011,49.21,0.002645235
02/05/2011,49.08,-0.000814664
29/04/2011,49.12,0.003262646
28/04/2011,48.96,0.004914015
27/04/2011,48.72,0.008658063
26/04/2011,48.3,0.007481332
25/04/2011,47.94,0.000417275
21/04/2011,47.92,-0.005826067
20/04/2011,48.2,0.020753286
19/04/2011,47.21,0.000847637
18/04/2011,47.17,-0.017651225
15/04/2011,48.01,0.005639702
14/04/2011,47.74,0.00356731
13/04/2011,47.57,0.001683148
12/04/2011,47.49,-0.002733678
11/04/2011,47.62,0.013956666
08/04/2011,46.96,-0.00721412
07/04/2011,47.3,-0.005271493
06/04/2011,47.55,-0.003359231
05/04/2011,47.71,-0.004600594
04/04/2011,47.93,0.000417362
01/04/2011,47.91,0.001671193
31/03/2011,47.83,0.009030829
30/03/2011,47.4,-0.028493141
29/03/2011,48.77,-0.017077057
28/03/2011,49.61,0
25/03/2011,49.61,0.00687705
24/03/2011,49.27,0.004271338
23/03/2011,49.06,0.002653334
22/03/2011,48.93,-0.009964495
21/03/2011,49.42,0.011396135
18/03/2011,48.86,0.019426112
17/03/2011,47.92,0.009435021
16/03/2011,47.47,-0.012144203
15/03/2011,48.05,-0.007670816
14/03/2011,48.42,-0.009046114
11/03/2011,48.86,0.010079279
10/03/2011,48.37,-0.009260278
09/03/2011,48.82,0.010087579
08/03/2011,48.33,0.013330754
07/03/2011,47.69,-0.009807069
04/03/2011,48.16,-0.007447283
03/03/2011,48.52,0.019773774
02/03/2011,47.57,0.002315059
01/03/2011,47.46,-0.003995379
28/02/2011,47.65,0.006527026
25/02/2011,47.34,0.006782561
24/02/2011,47.02,0.012411886
