Date,Close,JPM
08/08/2012,37.16,0.004044768
07/08/2012,37.01,0.019370405
06/08/2012,36.3,0.005801923
03/08/2012,36.09,0.025822372
02/08/2012,35.17,-0.023325492
01/08/2012,36,0
31/07/2012,36,-0.003881347
30/07/2012,36.14,-0.020540226
27/07/2012,36.89,0.029713328
26/07/2012,35.81,0.018033738
25/07/2012,35.17,0.01258958
24/07/2012,34.73,0.008385187
23/07/2012,34.44,0.015803665
20/07/2012,33.9,-0.016384217
19/07/2012,34.46,-0.01440532
18/07/2012,34.96,-0.000857756
17/07/2012,34.99,-0.002853883
16/07/2012,35.09,-0.027545305
13/07/2012,36.07,0.057925191
12/07/2012,34.04,-0.016028319
11/07/2012,34.59,0.009878058
10/07/2012,34.25,0.008503203
09/07/2012,33.96,0.001768347
06/07/2012,33.9,-0.014059986
05/07/2012,34.38,-0.042705037
03/07/2012,35.88,-0.011086588
02/07/2012,36.28,0.015275953
29/06/2012,35.73,-0.004189365
28/06/2012,35.88,-0.024774182
27/06/2012,36.78,0.029523458
26/06/2012,35.71,0.010981386
25/06/2012,35.32,-0.018791746
22/06/2012,35.99,0.013426775
21/06/2012,35.51,-0.026127111
20/06/2012,36.45,0.02979477
19/06/2012,35.38,0.021715139
18/06/2012,34.62,-0.011773287
15/06/2012,35.03,0.010907112
14/06/2012,34.65,0.010152371
13/06/2012,34.3,0.01557252
12/06/2012,33.77,0.028534749
11/06/2012,32.82,-0.025866104
08/06/2012,33.68,0.026170842
07/06/2012,32.81,-0.00789318
06/06/2012,33.07,0.033203173
05/06/2012,31.99,0.031436149
04/06/2012,31,-0.029558802
01/06/2012,31.93,-0.03749671
31/05/2012,33.15,0.005748012
30/05/2012,32.96,-0.020123821
29/05/2012,33.63,0.003873087
25/05/2012,33.5,-0.013932343
24/05/2012,33.97,-0.008500711
23/05/2012,34.26,0.007323894
22/05/2012,34.01,0.045106865
21/05/2012,32.51,-0.029699152
18/05/2012,33.49,-0.013052692
17/05/2012,33.93,-0.044105722
16/05/2012,35.46,-0.021758181
15/05/2012,36.24,0.012494956
14/05/2012,35.79,-0.032167722
11/05/2012,36.96,-0.097374164
10/05/2012,40.74,0.002457608
09/05/2012,40.64,-0.018044869
08/05/2012,41.38,-0.009620084
07/05/2012,41.78,0.000718305
04/05/2012,41.75,-0.029733195
03/05/2012,43.01,-0.004407848
02/05/2012,43.2,-0.013564986
01/05/2012,43.79,0.01867059
30/04/2012,42.98,-0.008341105
27/04/2012,43.34,-0.010557821
26/04/2012,43.8,0.014719677
25/04/2012,43.16,-0.002776494
24/04/2012,43.28,0.009984989
23/04/2012,42.85,0.00303845
20/04/2012,42.72,-0.011636156
19/04/2012,43.22,-0.00161831
18/04/2012,43.29,-0.013992659
17/04/2012,43.9,0.013069084
16/04/2012,43.33,0.002773286
13/04/2012,43.21,-0.037028648
12/04/2012,44.84,0.018683717
11/04/2012,44.01,0.024147431
10/04/2012,42.96,-0.021417053
09/04/2012,43.89,-0.0102007
05/04/2012,44.34,-0.001577465
04/04/2012,44.41,-0.022487867
03/04/2012,45.42,-0.015510961
02/04/2012,46.13,0.003256978
30/03/2012,45.98,0.006764892
29/03/2012,45.67,-0.013052176
28/03/2012,46.27,0.008246575
27/03/2012,45.89,-0.006083008
26/03/2012,46.17,0.022118497
23/03/2012,45.16,0.011357432
22/03/2012,44.65,-0.0104713
21/03/2012,45.12,-0.005745872
20/03/2012,45.38,0.00840899
19/03/2012,45,0.009601503
16/03/2012,44.57,-0.002912515
15/03/2012,44.7,0.025375172
14/03/2012,43.58,0.00436933
13/03/2012,43.39,0.067939859
12/03/2012,40.54,-0.012014365
09/03/2012,41.03,0.014484112
08/03/2012,40.44,0.012190722
07/03/2012,39.95,0.015895377
06/03/2012,39.32,-0.02709649
05/03/2012,40.4,-0.005676925
02/03/2012,40.63,0.006419775
01/03/2012,40.37,0.0283903
29/02/2012,39.24,0.000764818
28/02/2012,39.21,0.003832891
27/02/2012,39.06,0.020171359
24/02/2012,38.28,-0.005470901
23/02/2012,38.49,0.010971897
22/02/2012,38.07,-0.01019217
21/02/2012,38.46,-0.000259977
17/02/2012,38.47,0.012292557
16/02/2012,38,0.015915455
15/02/2012,37.4,-0.013807973
14/02/2012,37.92,-0.009971219
13/02/2012,38.3,0.018179924
10/02/2012,37.61,-0.006625173
09/02/2012,37.86,-0.01155475
08/02/2012,38.3,0.011290654
07/02/2012,37.87,-0.007104358
06/02/2012,38.14,-0.003663966
