Date,Close,FLS
16/10/2012,129.97,0.010907933
15/10/2012,128.56,0.001946511
12/10/2012,128.31,-0.003345656
11/10/2012,128.74,-0.00015534
10/10/2012,128.76,-0.000155316
09/10/2012,128.78,-0.008043353
08/10/2012,129.82,-0.004381084
05/10/2012,130.39,0.004150021
04/10/2012,129.85,0.011073796
03/10/2012,128.42,0.00288533
02/10/2012,128.05,0.001641331
01/10/2012,127.84,0.000782534
28/09/2012,127.74,0.001331715
27/09/2012,127.57,0.005344664
26/09/2012,126.89,-0.013697236
25/09/2012,128.64,-0.017492259
24/09/2012,130.91,-0.008443362
21/09/2012,132.02,-0.003855609
20/09/2012,132.53,-0.001658625
19/09/2012,132.75,0.006575242
18/09/2012,131.88,-0.010784825
17/09/2012,133.31,-0.011189137
14/09/2012,134.81,0.02083721
13/09/2012,132.03,-0.003779865
12/09/2012,132.53,0.002871394
11/09/2012,132.15,0.011798424
10/09/2012,130.6,-0.0052694
07/09/2012,131.29,0.014422958
06/09/2012,129.41,0.020216901
05/09/2012,126.82,-0.004719958
04/09/2012,127.42,-0.001881763
31/08/2012,127.66,0.013167941
30/08/2012,125.99,-0.013794409
29/08/2012,127.74,0.001253329
28/08/2012,127.58,-0.005861452
27/08/2012,128.33,0.004373299
24/08/2012,127.77,-0.001016936
23/08/2012,127.9,-0.000547153
22/08/2012,127.97,0.007057746
21/08/2012,127.07,-0.008931429
20/08/2012,128.21,-0.002881734
17/08/2012,128.58,-0.007438435
16/08/2012,129.54,0.018071843
15/08/2012,127.22,-0.000392943
14/08/2012,127.27,-0.005641322
13/08/2012,127.99,-0.000312476
10/08/2012,128.03,0.002111108
09/08/2012,127.76,0.000391435
08/08/2012,127.71,0.00596876
07/08/2012,126.95,0.013721118
06/08/2012,125.22,0.010193932
03/08/2012,123.95,0.043615998
02/08/2012,118.66,-0.001010782
01/08/2012,118.78,-0.01005202
31/07/2012,119.98,0.035460497
30/07/2012,115.8,-0.002673453
27/07/2012,116.11,0.034344155
26/07/2012,112.19,0.013370023
25/07/2012,110.7,0.006798123
24/07/2012,109.95,-0.012832274
23/07/2012,111.37,-0.009828528
20/07/2012,112.47,-0.011228622
19/07/2012,113.74,0.00158381
