Date,Close,HBAN
11/03/2013,7.4,0.005420067
08/03/2013,7.36,0.00272109
07/03/2013,7.34,0.01648389
06/03/2013,7.22,0.00555557
05/03/2013,7.18,-0.004169568
04/03/2013,7.21,0.019608471
01/03/2013,7.07,0.005673774
28/02/2013,7.03,0
27/02/2013,7.03,0.033264094
26/02/2013,6.8,0
25/02/2013,6.8,-0.026126305
22/02/2013,6.98,0.017341475
21/02/2013,6.86,-0.021630259
20/02/2013,7.01,-0.018375075
19/02/2013,7.14,0.005617992
15/02/2013,7.1,-0.009810871
14/02/2013,7.17,0.00559442
13/02/2013,7.13,-0.012543718
12/02/2013,7.22,0.013947227
11/02/2013,7.12,-0.011173301
08/02/2013,7.2,0.00836825
07/02/2013,7.14,0.004210533
06/02/2013,7.11,-0.001405482
05/02/2013,7.12,0.014144507
04/02/2013,7.02,-0.00851069
01/02/2013,7.08,0.017094433
31/01/2013,6.96,-0.00143575
30/01/2013,6.97,0.01154414
29/01/2013,6.89,-0.007230689
28/01/2013,6.94,0.001441961
25/01/2013,6.93,-0.008620743
24/01/2013,6.99,-0.00570615
23/01/2013,7.03,-0.007087202
22/01/2013,7.08,0.011363759
18/01/2013,7,0
17/01/2013,7,0.040821995
16/01/2013,6.72,0.011976191
15/01/2013,6.64,0.007558615
14/01/2013,6.59,0
11/01/2013,6.59,-0.012066511
10/01/2013,6.67,0.013585115
09/01/2013,6.58,-0.010582109
08/01/2013,6.65,-0.007490672
07/01/2013,6.7,0.001493652
04/01/2013,6.69,0.005997019
03/01/2013,6.65,0.012103022
02/01/2013,6.57,0.027779564
31/12/2012,6.39,0.017364288
28/12/2012,6.28,-0.009508788
27/12/2012,6.34,0
26/12/2012,6.34,0.001578532
24/12/2012,6.33,-0.006299233
21/12/2012,6.37,-0.003134799
20/12/2012,6.39,-0.001563722
19/12/2012,6.4,0
18/12/2012,6.4,0.014162314
17/12/2012,6.31,0.024058899
14/12/2012,6.16,-0.00162206
13/12/2012,6.17,-0.012882626
12/12/2012,6.25,-0.001598721
11/12/2012,6.26,0.003200003
10/12/2012,6.24,0.009661911
07/12/2012,6.18,0.003241494
06/12/2012,6.16,0.009788006
05/12/2012,6.1,0.014864023
04/12/2012,6.01,-0.018137348
03/12/2012,6.12,-0.008136741
30/11/2012,6.17,0.00162206
29/11/2012,6.16,0
28/11/2012,6.16,-0.00162206
27/11/2012,6.17,-0.022436839
26/11/2012,6.31,0.012759344
23/11/2012,6.23,0.01944956
21/11/2012,6.11,-0.004897969
20/11/2012,6.14,0.004897969
19/11/2012,6.11,0.016502025
16/11/2012,6.01,0.018472398
15/11/2012,5.9,-0.005071862
14/11/2012,5.93,-0.026623869
13/11/2012,6.09,-0.013050756
12/11/2012,6.17,0.00162206
09/11/2012,6.16,0.001624696
08/11/2012,6.15,-0.009708814
07/11/2012,6.21,-0.056352937
06/11/2012,6.57,0.030914363
05/11/2012,6.37,0.003144657
02/11/2012,6.35,-0.003144657
01/11/2012,6.37,-0.004698521
31/10/2012,6.4,0.010997754
26/10/2012,6.33,0.001581028
25/10/2012,6.32,0.006349228
24/10/2012,6.28,-0.011084832
23/10/2012,6.35,-0.017174505
22/10/2012,6.46,0.001549187
19/10/2012,6.45,-0.024503523
18/10/2012,6.61,-0.064443963
17/10/2012,7.05,0.021506205
16/10/2012,6.9,-0.012959145
15/10/2012,6.99,0.008620743
12/10/2012,6.93,-0.031252544
11/10/2012,7.15,0.009838449
10/10/2012,7.08,-0.002820876
09/10/2012,7.1,-0.007017573
08/10/2012,7.15,-0.005578815
05/10/2012,7.19,-0.001389854
04/10/2012,7.2,0.025317808
03/10/2012,7.02,0.01579358
02/10/2012,6.91,-0.002890175
01/10/2012,6.93,0.004338402
28/09/2012,6.9,0
27/09/2012,6.9,0.013129291
26/09/2012,6.81,-0.001467352
25/09/2012,6.82,-0.021755753
24/09/2012,6.97,0.00431345
21/09/2012,6.94,-0.005747142
20/09/2012,6.98,-0.008559253
19/09/2012,7.04,-0.001419447
18/09/2012,7.05,-0.002832863
17/09/2012,7.07,-0.018220546
14/09/2012,7.2,0.021053409
13/09/2012,7.05,0.014285957
12/09/2012,6.95,0.020349539
11/09/2012,6.81,0.017778246
10/09/2012,6.69,-0.001493652
07/09/2012,6.7,0.013523873
06/09/2012,6.61,0.018321123
05/09/2012,6.49,-0.012251302
04/09/2012,6.57,-0.003039516
31/08/2012,6.59,0.007616183
30/08/2012,6.54,-0.012158204
29/08/2012,6.62,0.01063032
28/08/2012,6.55,0.004590674
27/08/2012,6.52,-0.004590674
24/08/2012,6.55,0.001527884
23/08/2012,6.54,0.004597709
22/08/2012,6.51,0.007710138
21/08/2012,6.46,-0.003091193
20/08/2012,6.48,-0.006153866
17/08/2012,6.52,0.007698267
16/08/2012,6.47,0
15/08/2012,6.47,0.004647568
14/08/2012,6.44,-0.001551591
13/08/2012,6.45,0
10/08/2012,6.45,0.00778214
09/08/2012,6.4,0.004698521
08/08/2012,6.37,0.001571092
07/08/2012,6.36,0.001573564
06/08/2012,6.35,0.004735605
03/08/2012,6.32,0.025642431
02/08/2012,6.16,-0.011299555
01/08/2012,6.23,0.001606426
31/07/2012,6.22,-0.01436577
30/07/2012,6.31,-0.014162314
27/07/2012,6.4,-0.001561281
26/07/2012,6.41,0.02048929
25/07/2012,6.28,-0.003179653
24/07/2012,6.3,0.016000341
23/07/2012,6.2,-0.020750944
20/07/2012,6.33,-0.034164813
19/07/2012,6.55,-0.007604599
18/07/2012,6.6,-0.003025721
17/07/2012,6.62,0.015220994
16/07/2012,6.52,0.006153866
13/07/2012,6.48,0.03135053
12/07/2012,6.28,-0.028259337
11/07/2012,6.46,0.017174505
10/07/2012,6.35,-0.007843177
09/07/2012,6.4,0.003129893
06/07/2012,6.38,-0.00625002
05/07/2012,6.42,-0.013921339
03/07/2012,6.51,0.004618946
02/07/2012,6.48,0.01242252
29/06/2012,6.4,0.033362904
28/06/2012,6.19,0.004858309
27/06/2012,6.16,-0.004858309
26/06/2012,6.19,0.006483005
25/06/2012,6.15,-0.020917899
22/06/2012,6.28,0.009600074
21/06/2012,6.22,-0.01436577
20/06/2012,6.31,-0.00316456
19/06/2012,6.33,0.007930256
18/06/2012,6.28,-0.003179653
15/06/2012,6.3,0.014388737
14/06/2012,6.21,0.012966146
13/06/2012,6.13,-0.014575157
12/06/2012,6.22,0.024411302
11/06/2012,6.07,-0.026017728
08/06/2012,6.23,0.021087562
07/06/2012,6.1,0
06/06/2012,6.1,0.03333642
05/06/2012,5.9,0.010221554
04/06/2012,5.84,-0.045195976
01/06/2012,6.11,-0.068010392
31/05/2012,6.54,0.016962627
30/05/2012,6.43,-0.027609116
29/05/2012,6.61,0.022954336
25/05/2012,6.46,-0.004633213
24/05/2012,6.49,0.021807718
23/05/2012,6.35,0.014274628
22/05/2012,6.26,0.004803852
21/05/2012,6.23,0.011299555
18/05/2012,6.16,-0.009693129
17/05/2012,6.22,-0.023829563
16/05/2012,6.37,-0.004698521
15/05/2012,6.4,0.003129893
14/05/2012,6.38,-0.024769068
11/05/2012,6.54,0.006134989
10/05/2012,6.5,0.012384059
09/05/2012,6.42,-0.021572485
08/05/2012,6.56,-0.006079046
07/05/2012,6.6,0.016807118
04/05/2012,6.49,-0.024354324
03/05/2012,6.65,-0.0104713
02/05/2012,6.72,-0.007412932
01/05/2012,6.77,0.011887213
30/04/2012,6.69,-0.00596127
27/04/2012,6.73,0.00596127
26/04/2012,6.69,0.00449439
25/04/2012,6.66,0.018182319
24/04/2012,6.54,0.016962627
23/04/2012,6.43,-0.018490511
20/04/2012,6.55,0.015384919
19/04/2012,6.45,0.00778214
18/04/2012,6.4,0.007843177
17/04/2012,6.35,0.003154577
16/04/2012,6.33,0.017530329
13/04/2012,6.22,-0.033204631
12/04/2012,6.43,0.015674302
11/04/2012,6.33,0.027223459
10/04/2012,6.16,-0.028801991
09/04/2012,6.34,-0.012539349
05/04/2012,6.42,-0.012384059
04/04/2012,6.5,0
03/04/2012,6.5,-0.009188426
02/04/2012,6.56,0.016910472
30/03/2012,6.45,0.00778214
29/03/2012,6.4,-0.009331327
28/03/2012,6.46,0.017174505
27/03/2012,6.35,-0.009404458
26/03/2012,6.41,0.017309638
23/03/2012,6.3,-0.00790518
22/03/2012,6.35,-0.009404458
21/03/2012,6.41,-0.01240326
20/03/2012,6.49,0
19/03/2012,6.49,0.009287992
16/03/2012,6.43,-0.003105593
15/03/2012,6.45,0.033099948
14/03/2012,6.24,0.024332101
13/03/2012,6.09,0.047067511
12/03/2012,5.81,-0.008569033
09/03/2012,5.86,0.010291686
08/03/2012,5.8,0.017391743
07/03/2012,5.7,0.024868067
06/03/2012,5.56,-0.028370697
05/03/2012,5.72,-0.027587957
02/03/2012,5.88,-0.003395589
01/03/2012,5.9,0.00851069
29/02/2012,5.85,-0.023649751
28/02/2012,5.99,0.01853465
27/02/2012,5.88,-0.00508907
24/02/2012,5.91,-0.016778917
23/02/2012,6.01,0.010033529
22/02/2012,5.95,-0.010033529
21/02/2012,6.01,-0.013223333
17/02/2012,6.09,0.026623869
16/02/2012,5.93,0.022166295
15/02/2012,5.8,0.001725626
14/02/2012,5.79,-0.018820059
13/02/2012,5.9,-0.001693481
10/02/2012,5.91,-0.020101179
09/02/2012,6.03,-0.003311261
08/02/2012,6.05,0.020034059
07/02/2012,5.93,0.015293416
06/02/2012,5.84,-0.008525201
03/02/2012,5.89,0.018852315
02/02/2012,5.78,0.001731602
01/02/2012,5.77,0.008703275
31/01/2012,5.72,0.010544913
30/01/2012,5.66,-0.007042283
27/01/2012,5.7,0.010582109
26/01/2012,5.64,-0.051825068
25/01/2012,5.94,0.020408872
24/01/2012,5.82,0
23/01/2012,5.82,-0.017036187
20/01/2012,5.92,0.022204157
19/01/2012,5.79,-0.040614719
