Date,Close,PDCO
06/12/2011,30.25,-0.004617422
05/12/2011,30.39,0.008592254
02/12/2011,30.13,-0.013843332
01/12/2011,30.55,0.012516632
30/11/2011,30.17,0.04890618
29/11/2011,28.73,-0.013139885
28/11/2011,29.11,0.035668117
25/11/2011,28.09,0.000356062
23/11/2011,28.08,-0.01027467
22/11/2011,28.37,-0.032937628
21/11/2011,29.32,0.01028463
18/11/2011,29.02,-0.012669233
17/11/2011,29.39,-0.010829209
16/11/2011,29.71,-0.017020267
15/11/2011,30.22,0.009642635
14/11/2011,29.93,-0.002669338
11/11/2011,30.01,0.003337787
10/11/2011,29.91,0.012109129
09/11/2011,29.55,-0.04693525
08/11/2011,30.97,0.021211433
07/11/2011,30.32,0.009610679
04/11/2011,30.03,-0.007299302
03/11/2011,30.25,0.008632192
02/11/2011,29.99,0.024300892
01/11/2011,29.27,-0.07247161
31/10/2011,31.47,-0.030357518
28/10/2011,32.44,0.003396638
27/10/2011,32.33,0.046210753
26/10/2011,30.87,0.009438638
25/10/2011,30.58,-0.015896523
24/10/2011,31.07,0.03038953
21/10/2011,30.14,0.037867946
20/10/2011,29.02,0.004835933
19/10/2011,28.88,0.003816136
18/10/2011,28.77,0.00942909
17/10/2011,28.5,-0.024264622
14/10/2011,29.2,0.012058716
13/10/2011,28.85,-0.015136168
12/10/2011,29.29,-0.00306801
11/10/2011,29.38,-0.004076093
10/10/2011,29.5,0.035539362
07/10/2011,28.47,-0.009438979
06/10/2011,28.74,0.01014172
05/10/2011,28.45,0.016658191
04/10/2011,27.98,0.022407876
03/10/2011,27.36,-0.045373026
30/09/2011,28.63,-0.020055997
29/09/2011,29.21,0.012401123
28/09/2011,28.85,-0.031055217
27/09/2011,29.76,0.044314309
26/09/2011,28.47,0.017360932
23/09/2011,27.98,0.014761744
22/09/2011,27.57,-0.020463827
21/09/2011,28.14,-0.010252874
20/09/2011,28.43,0.017385572
19/09/2011,27.94,-0.003216011
16/09/2011,28.03,0.01039995
15/09/2011,27.74,-0.006825965
14/09/2011,27.93,0.020619287
13/09/2011,27.36,0.006968669
12/09/2011,27.17,-0.00110355
09/09/2011,27.2,-0.040704341
08/09/2011,28.33,-0.012278702
07/09/2011,28.68,0.034406657
06/09/2011,27.71,-0.014687708
02/09/2011,28.12,-0.034944156
01/09/2011,29.12,-0.003428183
31/08/2011,29.22,0.016911533
30/08/2011,28.73,0.006985708
29/08/2011,28.53,0.045902644
26/08/2011,27.25,0.014043098
25/08/2011,26.87,-0.10718245
24/08/2011,29.91,0.030207625
23/08/2011,29.02,0.046191889
22/08/2011,27.71,-0.003602309
19/08/2011,27.81,-0.003231021
18/08/2011,27.9,-0.048960827
17/08/2011,29.3,0.0030764
16/08/2011,29.21,-0.012587341
15/08/2011,29.58,0.018424267
12/08/2011,29.04,0.016667052
11/08/2011,28.56,0.050630091
10/08/2011,27.15,-0.044307625
09/08/2011,28.38,0.031135097
08/08/2011,27.51,-0.054124615
05/08/2011,29.04,0.022637219
04/08/2011,28.39,-0.031550546
03/08/2011,29.3,-0.011537284
02/08/2011,29.64,-0.010404524
01/08/2011,29.95,-0.029283224
29/07/2011,30.84,0.000324307
28/07/2011,30.83,-0.000324307
27/07/2011,30.84,-0.028765166
26/07/2011,31.74,-0.023662374
25/07/2011,32.5,-0.007662873
22/07/2011,32.75,-0.000305297
21/07/2011,32.76,0.014141029
20/07/2011,32.3,-0.00030955
19/07/2011,32.31,0.003720935
18/07/2011,32.19,-0.019077502
15/07/2011,32.81,-0.000304739
14/07/2011,32.82,-0.01391853
13/07/2011,33.28,0.007237667
12/07/2011,33.04,0.005767204
11/07/2011,32.85,-0.021085118
08/07/2011,33.55,-0.01449944
07/07/2011,34.04,0.006188321
06/07/2011,33.83,0.003850145
05/07/2011,33.7,-0.002074997
01/07/2011,33.77,0.026404174
30/06/2011,32.89,0.010084119
29/06/2011,32.56,0.001229256
28/06/2011,32.52,0.013934271
27/06/2011,32.07,0.013498871
