Date,Close,MWV
07/10/2011,25.1,-0.011881328
06/10/2011,25.4,0.024712298
05/10/2011,24.78,0.024924681
04/10/2011,24.17,0.021326336
03/10/2011,23.66,-0.037333245
30/09/2011,24.56,-0.047703798
29/09/2011,25.76,0.017623327
28/09/2011,25.31,-0.039889122
27/09/2011,26.34,0.025765701
26/09/2011,25.67,0.020465098
23/09/2011,25.15,0.003185984
22/09/2011,25.07,-0.034499697
21/09/2011,25.95,-0.042993046
20/09/2011,27.09,-0.012108018
19/09/2011,27.42,-0.019859833
16/09/2011,27.97,0.008978333
15/09/2011,27.72,0.016366977
14/09/2011,27.27,0.024124384
13/09/2011,26.62,0.030900799
12/09/2011,25.81,-0.005794878
09/09/2011,25.96,-0.028106674
08/09/2011,26.7,-0.021123631
07/09/2011,27.27,0.04117348
06/09/2011,26.17,0.001147008
02/09/2011,26.14,-0.027171483
01/09/2011,26.86,-0.024274822
31/08/2011,27.52,0.006928013
30/08/2011,27.33,0.002197803
29/08/2011,27.27,0.038121208
26/08/2011,26.25,0.020785968
25/08/2011,25.71,-0.022688918
24/08/2011,26.3,0.018806925
23/08/2011,25.81,0.033888192
22/08/2011,24.95,-0.01115994
19/08/2011,25.23,-0.020400864
18/08/2011,25.75,-0.064295773
17/08/2011,27.46,-0.006171739
16/08/2011,27.63,-0.008289829
15/08/2011,27.86,0.033579797
12/08/2011,26.94,0.008199822
11/08/2011,26.72,0.037754722
10/08/2011,25.73,-0.030241539
09/08/2011,26.52,0.036088369
08/08/2011,25.58,-0.088248558
05/08/2011,27.94,0.008626941
04/08/2011,27.7,-0.063974283
03/08/2011,29.53,0.002033899
02/08/2011,29.47,-0.041541112
01/08/2011,30.72,-0.013579258
29/07/2011,31.14,-0.011494379
28/07/2011,31.5,-0.016685418
27/07/2011,32.03,-0.031045985
26/07/2011,33.04,-0.005433156
25/07/2011,33.22,-0.003905668
22/07/2011,33.35,-0.004786129
21/07/2011,33.51,0.01533634
20/07/2011,33,-0.007246409
19/07/2011,33.24,0.003918618
18/07/2011,33.11,-0.001207365
15/07/2011,33.15,0.004232171
14/07/2011,33.01,-0.00362867
13/07/2011,33.13,0.005751492
12/07/2011,32.94,-0.010268891
11/07/2011,33.28,-0.017868254
08/07/2011,33.88,-0.005005163
07/07/2011,34.05,0.011222799
06/07/2011,33.67,-0.003261678
05/07/2011,33.78,-0.003841045
01/07/2011,33.91,0.017852304
30/06/2011,33.31,0.018482574
29/06/2011,32.7,0.000917852
28/06/2011,32.67,0.01355953
27/06/2011,32.23,0.011546391
24/06/2011,31.86,-0.004384598
23/06/2011,32,0.00187676
22/06/2011,31.94,-0.008728235
21/06/2011,32.22,0.028330507
20/06/2011,31.32,0.008658063
17/06/2011,31.05,0.00290276
16/06/2011,30.96,-0.019194447
15/06/2011,31.56,-0.030272245
14/06/2011,32.53,0.016114387
13/06/2011,32.01,0.001250391
10/06/2011,31.97,-0.022882878
09/06/2011,32.71,0.018513333
08/06/2011,32.11,-0.017595762
07/06/2011,32.68,0.033606149
06/06/2011,31.6,-0.020360923
03/06/2011,32.25,-0.027826287
02/06/2011,33.16,0.009697046
01/06/2011,32.84,-0.035301302
31/05/2011,34.02,0.014806311
27/05/2011,33.52,0.011099559
26/05/2011,33.15,0.005748012
25/05/2011,32.96,0.009143617
24/05/2011,32.66,0.00122549
23/05/2011,32.62,-0.018226507
20/05/2011,33.22,-0.011969024
19/05/2011,33.62,0.004471613
18/05/2011,33.47,0.009908503
17/05/2011,33.14,-0.007814888
16/05/2011,33.4,0.001198322
13/05/2011,33.36,-0.019297022
12/05/2011,34.01,0.005306616
11/05/2011,33.83,-0.014962873
10/05/2011,34.34,0.012306045
09/05/2011,33.92,0.007100622
06/05/2011,33.68,0.012248099
05/05/2011,33.27,-0.001501727
04/05/2011,33.32,-0.010152371
03/05/2011,33.66,-0.007694622
02/05/2011,33.92,0.006803754
29/04/2011,33.69,-0.003851286
28/04/2011,33.82,0.007419532
27/04/2011,33.57,0.017428326
26/04/2011,32.99,0.023617107
25/04/2011,32.22,-0.003098856
21/04/2011,32.32,0.00216819
20/04/2011,32.25,0.009972037
19/04/2011,31.93,0.020567091
18/04/2011,31.28,-0.01428369
15/04/2011,31.73,0.017485742
14/04/2011,31.18,0.006435029
13/04/2011,30.98,-0.004187476
12/04/2011,31.11,-0.002888784
11/04/2011,31.2,-0.016529302
08/04/2011,31.72,0
07/04/2011,31.72,-0.009413311
06/04/2011,32.02,0.009728619
05/04/2011,31.71,0.016213994
04/04/2011,31.2,-0.008298803
01/04/2011,31.46,0.036579576
31/03/2011,30.33,0.017293414
30/03/2011,29.81,0.002014776
29/03/2011,29.75,-0.011031367
28/03/2011,30.08,0.011031367
25/03/2011,29.75,0.019688348
24/03/2011,29.17,0.005844954
23/03/2011,29,0.001380262
22/03/2011,28.96,-0.012013187
21/03/2011,29.31,0.018248053
18/03/2011,28.78,0.033566126
17/03/2011,27.83,0.014841901
16/03/2011,27.42,-0.015919294
15/03/2011,27.86,-0.010710563
14/03/2011,28.16,-0.006018783
11/03/2011,28.33,0.011359725
10/03/2011,28.01,-0.019445548
09/03/2011,28.56,-0.008715412
08/03/2011,28.81,0.008015377
07/03/2011,28.58,-0.021119012
04/03/2011,29.19,-0.026036974
03/03/2011,29.96,0.033947591
02/03/2011,28.96,0.007625687
01/03/2011,28.74,-0.021002666
28/02/2011,29.35,-0.012191143
25/02/2011,29.71,0.016630283
24/02/2011,29.22,0.007557576
23/02/2011,29,-0.018787914
22/02/2011,29.55,-0.027042209
18/02/2011,30.36,-0.013089192
17/02/2011,30.76,0.011443643
16/02/2011,30.41,0.005936693
15/02/2011,30.23,0.007304149
14/02/2011,30.01,0.000666667
11/02/2011,29.99,0.024642597
10/02/2011,29.26,-0.001024765
09/02/2011,29.29,0.001366587
08/02/2011,29.25,0.007549796
07/02/2011,29.03,0.006219785
