Date,Close,WY
01/03/2013,29.57,0.005425581
28/02/2013,29.41,-0.00677739
27/02/2013,29.61,0.008819596
26/02/2013,29.35,0.019611845
25/02/2013,28.78,-0.032139518
22/02/2013,29.72,0.020738462
21/02/2013,29.11,-0.022755269
20/02/2013,29.78,-0.034651215
19/02/2013,30.83,0.00585558
15/02/2013,30.65,0.006875129
14/02/2013,30.44,-0.001313198
13/02/2013,30.48,0.00559304
12/02/2013,30.31,0.005624498
11/02/2013,30.14,-0.002319802
08/02/2013,30.21,0.004312496
07/02/2013,30.08,-0.029158495
06/02/2013,30.97,0
05/02/2013,30.97,0.016276401
04/02/2013,30.47,0.002628986
01/02/2013,30.39,0.008924204
31/01/2013,30.12,0.007665427
30/01/2013,29.89,-0.022822224
29/01/2013,30.58,0.017150816
28/01/2013,30.06,-0.029177615
25/01/2013,30.95,-0.017614547
24/01/2013,31.5,0.005730675
23/01/2013,31.32,0.006406172
22/01/2013,31.12,0.015870778
18/01/2013,30.63,-0.005210041
17/01/2013,30.79,0.011760998
16/01/2013,30.43,-0.004917237
15/01/2013,30.58,-0.007168489
14/01/2013,30.8,0
11/01/2013,30.8,0.00847739
10/01/2013,30.54,0.005911347
09/01/2013,30.36,0.022652534
08/01/2013,29.68,0.006761351
07/01/2013,29.48,0.003057587
04/01/2013,29.39,0.008199568
03/01/2013,29.15,0
02/01/2013,29.15,0.046699726
31/12/2012,27.82,0.008664314
28/12/2012,27.58,-0.015113638
27/12/2012,28,-0.001427552
26/12/2012,28.04,-0.012404908
24/12/2012,28.39,0.008844919
21/12/2012,28.14,-0.013413544
20/12/2012,28.52,0.023772629
19/12/2012,27.85,-0.015675419
18/12/2012,28.29,0.017112717
17/12/2012,27.81,0.017410668
14/12/2012,27.33,0.002931479
13/12/2012,27.25,-0.017461339
12/12/2012,27.73,0.005061471
11/12/2012,27.59,0.00508722
10/12/2012,27.45,0.008781615
07/12/2012,27.21,0.006637193
06/12/2012,27.03,0.016788307
05/12/2012,26.58,-0.021586249
04/12/2012,27.16,-0.012440702
03/12/2012,27.5,-0.002179441
30/11/2012,27.56,0.028710106
29/11/2012,26.78,0.00186881
28/11/2012,26.73,0.006380206
27/11/2012,26.56,0
26/11/2012,26.56,-0.006006024
23/11/2012,26.72,0.01622371
21/11/2012,26.29,0.00114177
20/11/2012,26.26,0.010719858
19/11/2012,25.98,0.023365549
16/11/2012,25.38,0.015485717
15/11/2012,24.99,-0.013513719
14/11/2012,25.33,-0.037579475
13/11/2012,26.3,-0.004930789
12/11/2012,26.43,0.004550634
09/11/2012,26.31,-0.006062921
08/11/2012,26.47,-0.030508318
07/11/2012,27.29,-0.004022679
06/11/2012,27.4,-0.008720986
05/11/2012,27.64,-0.003250861
02/11/2012,27.73,-0.004318107
01/11/2012,27.85,0.005761629
31/10/2012,27.69,0.011623814
26/10/2012,27.37,0.002560821
25/10/2012,27.3,-0.009478744
24/10/2012,27.56,-0.011185395
23/10/2012,27.87,-0.012834401
22/10/2012,28.23,0.007823653
19/10/2012,28.01,-0.015938003
18/10/2012,28.46,0.016295082
17/10/2012,28,0.027518029
16/10/2012,27.24,-0.002200221
15/10/2012,27.3,0.038839833
12/10/2012,26.26,-0.000761325
11/10/2012,26.28,0.002667176
10/10/2012,26.21,-0.003808078
09/10/2012,26.31,-0.006440636
08/10/2012,26.48,-0.006024115
05/10/2012,26.64,0.006779687
04/10/2012,26.46,-0.005652926
03/10/2012,26.61,0.015527674
02/10/2012,26.2,0.003824096
01/10/2012,26.1,-0.001531394
28/09/2012,26.14,-0.020822255
27/09/2012,26.69,0.021204884
26/09/2012,26.13,-0.013305652
25/09/2012,26.48,-0.010144742
