Date,Close,PPL
24/10/2012,29.37,-0.006448351
23/10/2012,29.56,-0.006070845
22/10/2012,29.74,-0.001344086
19/10/2012,29.78,-0.012347896
18/10/2012,30.15,0.009665131
17/10/2012,29.86,0.011451792
16/10/2012,29.52,0.00237409
15/10/2012,29.45,0.000339616
12/10/2012,29.44,-0.001018503
11/10/2012,29.47,0.005785281
10/10/2012,29.3,-0.000682361
09/10/2012,29.32,0.002732242
08/10/2012,29.24,0.004112412
05/10/2012,29.12,-0.00820798
04/10/2012,29.36,0.005807019
03/10/2012,29.19,0.007910617
02/10/2012,28.96,0.00554018
01/10/2012,28.8,-0.008643096
28/09/2012,29.05,0.014214141
27/09/2012,28.64,-0.007998652
26/09/2012,28.87,-0.003802943
25/09/2012,28.98,-0.003100778
24/09/2012,29.07,0.011764842
21/09/2012,28.73,0.00104475
20/09/2012,28.7,-0.002436055
19/09/2012,28.77,-0.002083334
18/09/2012,28.83,-0.0048443
17/09/2012,28.97,-0.003445903
14/09/2012,29.07,-0.00583092
13/09/2012,29.24,0.014815086
12/09/2012,28.81,-0.00415657
11/09/2012,28.93,-0.006889452
10/09/2012,29.13,-0.003769064
07/09/2012,29.24,0.001026518
06/09/2012,29.21,-0.014613684
05/09/2012,29.64,0.001012658
04/09/2012,29.61,0.009501259
31/08/2012,29.33,-0.001022321
30/08/2012,29.36,-0.001361471
29/08/2012,29.4,0.003407158
28/08/2012,29.3,0.000682827
27/08/2012,29.28,0
24/08/2012,29.28,0.007197975
23/08/2012,29.07,-0.007539446
22/08/2012,29.29,-0.000682594
21/08/2012,29.31,-0.006122468
20/08/2012,29.49,0.00271647
17/08/2012,29.41,-0.003055511
16/08/2012,29.5,-0.006756782
15/08/2012,29.7,-0.001345895
14/08/2012,29.74,-0.006368381
13/08/2012,29.93,0.000334169
10/08/2012,29.92,0.012105057
09/08/2012,29.56,0.014653525
08/08/2012,29.13,0.022215422
07/08/2012,28.49,-0.008736732
06/08/2012,28.74,0.002089865
03/08/2012,28.68,0.003143009
02/08/2012,28.59,-0.009745987
01/08/2012,28.87,-0.001038601
31/07/2012,28.9,-0.010327114
30/07/2012,29.2,0.001027925
27/07/2012,29.17,0.013112679
26/07/2012,28.79,0.009071939
25/07/2012,28.53,-0.003498954
24/07/2012,28.63,-0.008001434
23/07/2012,28.86,-0.005873225
20/07/2012,29.03,0.003105057
19/07/2012,28.94,0.006239188
18/07/2012,28.76,0
17/07/2012,28.76,0.005578815
16/07/2012,28.6,0.004555817
13/07/2012,28.47,0.01165885
12/07/2012,28.14,-0.002838895
11/07/2012,28.22,0.008183643
10/07/2012,27.99,0.006092117
09/07/2012,27.82,-0.003229861
06/07/2012,27.91,0.001434206
05/07/2012,27.87,-0.008930225
03/07/2012,28.12,-0.001776515
02/07/2012,28.17,0.012861914
29/06/2012,27.81,0.001799533
28/06/2012,27.76,0.002163722
27/06/2012,27.7,0.007610111
26/06/2012,27.49,0.001456134
25/06/2012,27.45,-0.001456134
22/06/2012,27.49,-0.005079837
21/06/2012,27.63,-0.003252035
20/06/2012,27.72,-0.010050336
19/06/2012,28,0.005012542
18/06/2012,27.86,0.0017963
15/06/2012,27.81,0.002880809
14/06/2012,27.73,0.005061471
13/06/2012,27.59,-0.000724638
12/06/2012,27.61,-0.001085973
11/06/2012,27.64,-0.008645587
08/06/2012,27.88,0.008283858
07/06/2012,27.65,0.003260282
06/06/2012,27.56,-0.001450327
05/06/2012,27.6,0.001813237
04/06/2012,27.55,0.002908035
01/06/2012,27.47,0.003646977
