Date,Close,ICE
28/11/2011,117.56,0.032682082
25/11/2011,113.78,0.004139334
23/11/2011,113.31,-0.022686603
22/11/2011,115.91,0.015300655
21/11/2011,114.15,-0.026453825
18/11/2011,117.21,-0.008157068
17/11/2011,118.17,-0.03566018
16/11/2011,122.46,-0.036638833
15/11/2011,127.03,0.002759057
14/11/2011,126.68,-0.009506298
11/11/2011,127.89,0.020140475
10/11/2011,125.34,0.009539533
09/11/2011,124.15,-0.023168904
08/11/2011,127.06,0.018508015
07/11/2011,124.73,-0.021886529
04/11/2011,127.49,-0.002506856
03/11/2011,127.81,0.041454644
02/11/2011,122.62,-0.005205803
01/11/2011,123.26,-0.052315002
31/10/2011,129.88,-0.019518765
28/10/2011,132.44,0.002419112
27/10/2011,132.12,0.04957385
26/10/2011,125.73,0.012887911
25/10/2011,124.12,-0.032654669
24/10/2011,128.24,0.013582152
21/10/2011,126.51,0.029682911
20/10/2011,122.81,0
19/10/2011,122.81,-0.01366727
18/10/2011,124.5,0.017992219
17/10/2011,122.28,-0.017590532
14/10/2011,124.45,0.00297751
13/10/2011,124.08,-0.01225535
12/10/2011,125.61,0.020184836
11/10/2011,123.1,-0.02304675
10/10/2011,125.97,0.035142354
07/10/2011,121.62,-0.031484007
06/10/2011,125.51,0.019144729
05/10/2011,123.13,0.015303707
04/10/2011,121.26,0.029797986
03/10/2011,117.7,-0.004746576
30/09/2011,118.26,-0.032609777
29/09/2011,122.18,0.006239758
28/09/2011,121.42,-0.021348485
27/09/2011,124.04,-0.000241828
26/09/2011,124.07,0.016005541
23/09/2011,122.1,-0.00685605
22/09/2011,122.94,0.000569546
21/09/2011,122.87,0.003424102
20/09/2011,122.45,-0.003505486
19/09/2011,122.88,-0.016945455
16/09/2011,124.98,0.01045614
15/09/2011,123.68,0.026130823
14/09/2011,120.49,0.011435374
13/09/2011,119.12,0.012502275
12/09/2011,117.64,0.027228978
09/09/2011,114.48,-0.019206404
08/09/2011,116.7,-0.003165507
07/09/2011,117.07,0.033792575
06/09/2011,113.18,0.005759619
02/09/2011,112.53,-0.023536697
01/09/2011,115.21,-0.023504256
31/08/2011,117.95,0.014861907
30/08/2011,116.21,-0.002063097
29/08/2011,116.45,0.038159876
26/08/2011,112.09,0.016642313
25/08/2011,110.24,-0.021270714
24/08/2011,112.61,0.011791115
23/08/2011,111.29,0.046438721
22/08/2011,106.24,0.011264258
19/08/2011,105.05,-0.006452247
18/08/2011,105.73,-0.049901993
17/08/2011,111.14,-0.000719554
16/08/2011,111.22,-0.045780012
15/08/2011,116.43,0.013402129
12/08/2011,114.88,-0.017002956
11/08/2011,116.85,0.062230532
10/08/2011,109.8,-0.02872729
09/08/2011,113,0.083862679
08/08/2011,103.91,-0.058408715
05/08/2011,110.16,-0.006153866
04/08/2011,110.84,-0.05425714
03/08/2011,117.02,-0.017534649
02/08/2011,119.09,-0.025124658
01/08/2011,122.12,-0.009616242
29/07/2011,123.3,-0.002430135
28/07/2011,123.6,0.004215995
27/07/2011,123.08,-0.025746299
26/07/2011,126.29,-0.012042175
25/07/2011,127.82,-0.007016478
22/07/2011,128.72,0.004047958
21/07/2011,128.2,0.014852342
20/07/2011,126.31,-0.010552941
19/07/2011,127.65,0.013963071
18/07/2011,125.88,-0.012787292
15/07/2011,127.5,0.011596391
14/07/2011,126.03,-0.000713861
13/07/2011,126.12,0.006363369
12/07/2011,125.32,-0.002152167
11/07/2011,125.59,-0.022127758
08/07/2011,128.4,-0.008684918
07/07/2011,129.52,0.013134053
06/07/2011,127.83,-0.005305466
05/07/2011,128.51,0.011977129
01/07/2011,126.98,0.018038552
30/06/2011,124.71,0.00450053
29/06/2011,124.15,0.014114446
28/06/2011,122.41,0.015560352
27/06/2011,120.52,0.016396553
24/06/2011,118.56,-0.00890089
23/06/2011,119.62,-0.002588188
22/06/2011,119.93,-0.019323475
21/06/2011,122.27,0.013503705
20/06/2011,120.63,0.021111616
17/06/2011,118.11,0.00850273
16/06/2011,117.11,0.005050732
15/06/2011,116.52,-0.017440571
14/06/2011,118.57,0.022258199
13/06/2011,115.96,0.001467098
10/06/2011,115.79,-0.00791402
09/06/2011,116.71,0.030447724
08/06/2011,113.21,-0.005637291
07/06/2011,113.85,0.000878735
06/06/2011,113.75,-0.01639238
03/06/2011,115.63,-0.014850696
02/06/2011,117.36,0.0064111
01/06/2011,116.61,-0.034058759
31/05/2011,120.65,0.012342747
27/05/2011,119.17,-0.010019287
26/05/2011,120.37,-0.006459115
25/05/2011,121.15,-0.001731888
24/05/2011,121.36,0.007858749
23/05/2011,120.41,-0.006374458
20/05/2011,121.18,-0.013768452
19/05/2011,122.86,0.003996254
18/05/2011,122.37,0.015565478
17/05/2011,120.48,-0.014338935
16/05/2011,122.22,0.032429881
13/05/2011,118.32,-0.014432202
12/05/2011,120.04,-0.002246724
11/05/2011,120.31,0.000498836
10/05/2011,120.25,0.011037824
09/05/2011,118.93,0.011246049
06/05/2011,117.6,0.03056441
05/05/2011,114.06,-0.006902303
04/05/2011,114.85,-0.013835067
03/05/2011,116.45,-0.014916109
02/05/2011,118.2,-0.018026059
29/04/2011,120.35,0.001247142
28/04/2011,120.2,-0.013141228
27/04/2011,121.79,-0.004750992
26/04/2011,122.37,0.003028197
25/04/2011,122,-0.001474322
21/04/2011,122.18,0.012518694
20/04/2011,120.66,0.011083909
19/04/2011,119.33,-0.004264755
18/04/2011,119.84,-0.018027446
15/04/2011,122.02,0.011374061
14/04/2011,120.64,-0.004548658
13/04/2011,121.19,0.005875798
12/04/2011,120.48,-0.000580841
11/04/2011,120.55,0
08/04/2011,120.55,-0.01408532
07/04/2011,122.26,-0.001879469
06/04/2011,122.49,0.022122239
05/04/2011,119.81,0.007624351
04/04/2011,118.9,-0.007123433
01/04/2011,119.75,-0.031158754
31/03/2011,123.54,-0.01118859
30/03/2011,124.93,-0.009480254
29/03/2011,126.12,0.002461002
28/03/2011,125.81,-0.017101169
25/03/2011,127.98,0.005327496
24/03/2011,127.3,0.002123227
23/03/2011,127.03,0.01012747
22/03/2011,125.75,0.004063913
21/03/2011,125.24,0.003759854
18/03/2011,124.77,-0.004558002
17/03/2011,125.34,0.01260504
16/03/2011,123.77,0.003561315
15/03/2011,123.33,-0.011768635
14/03/2011,124.79,-0.010204984
11/03/2011,126.07,-0.01198469
10/03/2011,127.59,-0.025840831
09/03/2011,130.93,-0.007684445
08/03/2011,131.94,-0.020851277
07/03/2011,134.72,0.03374287
04/03/2011,130.25,0.005929252
03/03/2011,129.48,0.015331636
02/03/2011,127.51,0.003220615
01/03/2011,127.1,-0.008617366
28/02/2011,128.2,0.010113371
25/02/2011,126.91,0.026104057
24/02/2011,123.64,0.007387297
23/02/2011,122.73,0.003591547
22/02/2011,122.29,-0.039208133
18/02/2011,127.18,-0.013433504
17/02/2011,128.9,0.007944586
16/02/2011,127.88,0.00895458
15/02/2011,126.74,-0.028928922
14/02/2011,130.46,0.012961144
11/02/2011,128.78,0.002565799
10/02/2011,128.45,0.042299016
09/02/2011,123.13,0.040693412
