Date,Close,NU
19/09/2011,34.52,0.002029869
16/09/2011,34.45,-0.000290234
15/09/2011,34.46,0.012850644
14/09/2011,34.02,0.00974753
13/09/2011,33.69,0.010743165
12/09/2011,33.33,0.00692461
09/09/2011,33.1,-0.021519061
08/09/2011,33.82,0.000591541
07/09/2011,33.8,0.010110107
06/09/2011,33.46,-0.007740438
02/09/2011,33.72,-0.018510886
01/09/2011,34.35,-0.010137668
31/08/2011,34.7,0.00607026
30/08/2011,34.49,-0.005493725
29/08/2011,34.68,0.016572555
26/08/2011,34.11,0.006175582
25/08/2011,33.9,-0.010563479
24/08/2011,34.26,0.033841163
23/08/2011,33.12,0.027860366
22/08/2011,32.21,-0.000310414
19/08/2011,32.22,-0.011724911
18/08/2011,32.6,-0.017634996
17/08/2011,33.18,0.003925718
16/08/2011,33.05,-0.007836086
15/08/2011,33.31,0.026465423
12/08/2011,32.44,-0.010426344
11/08/2011,32.78,0.048439402
10/08/2011,31.23,-0.022166835
09/08/2011,31.93,0.047131659
08/08/2011,30.46,-0.05679357
05/08/2011,32.24,0.007159564
04/08/2011,32.01,-0.031973212
03/08/2011,33.05,-0.014418994
02/08/2011,33.53,-0.021537932
01/08/2011,34.26,0.007617968
29/07/2011,34,-0.014888612
28/07/2011,34.51,-0.009804
27/07/2011,34.85,-0.002865331
26/07/2011,34.95,-0.003712699
25/07/2011,35.08,-0.007384299
22/07/2011,35.34,0.001415829
21/07/2011,35.29,0.014269649
20/07/2011,34.79,0.006922439
19/07/2011,34.55,0.007553784
18/07/2011,34.29,-0.019350784
15/07/2011,34.96,0.004012616
14/07/2011,34.82,-0.010001512
13/07/2011,35.17,-0.005953242
12/07/2011,35.38,0.013946434
11/07/2011,34.89,-0.011965955
08/07/2011,35.31,-0.001415028
07/07/2011,35.36,-0.003951459
06/07/2011,35.5,-0.004777303
05/07/2011,35.67,-0.001400757
01/07/2011,35.72,0.01551731
30/06/2011,35.17,-0.000568505
29/06/2011,35.19,-0.001136041
28/06/2011,35.23,0.005978665
27/06/2011,35.02,0.010910243
24/06/2011,34.64,0.00202283
23/06/2011,34.57,-0.006918448
22/06/2011,34.81,-0.011425431
21/06/2011,35.21,0.004269254
20/06/2011,35.06,0.009457013
17/06/2011,34.73,0.013333531
16/06/2011,34.27,0.010855322
15/06/2011,33.9,-0.005002217
14/06/2011,34.07,0.004412421
13/06/2011,33.92,0.001179941
10/06/2011,33.88,-0.005885832
09/06/2011,34.08,-0.002344667
08/06/2011,34.16,0.004106782
07/06/2011,34.02,0.004123717
06/06/2011,33.88,-0.011153623
03/06/2011,34.26,-0.018221762
02/06/2011,34.89,-0.000286574
01/06/2011,34.9,-0.009694972
31/05/2011,35.24,0.006262474
27/05/2011,35.02,-0.009661911
26/05/2011,35.36,0.000282845
25/05/2011,35.35,-0.005079018
24/05/2011,35.53,0.001408253
23/05/2011,35.48,-0.017323708
20/05/2011,36.1,-0.00442234
19/05/2011,36.26,-0.00137798
18/05/2011,36.31,0.00137798
17/05/2011,36.26,0.00997791
16/05/2011,35.9,-0.000835306
13/05/2011,35.93,-0.002224077
12/05/2011,36.01,0.009767065
11/05/2011,35.66,-0.002520657
10/05/2011,35.75,0.008709143
09/05/2011,35.44,0.003958162
06/05/2011,35.3,0.001133787
05/05/2011,35.26,-0.013241495
04/05/2011,35.73,0.000279916
03/05/2011,35.72,0.001400757
02/05/2011,35.67,0.001964362
29/04/2011,35.6,0.006198949
28/04/2011,35.38,0.006806606
27/04/2011,35.14,0.010010094
26/04/2011,34.79,0.005476307
25/04/2011,34.6,0.006669591
21/04/2011,34.37,0.006421505
20/04/2011,34.15,0.01474953
19/04/2011,33.65,0.00506481
18/04/2011,33.48,-0.014235116
15/04/2011,33.96,0.005610527
14/04/2011,33.77,-0.003252035
13/04/2011,33.88,-0.005592362
12/04/2011,34.07,-0.003515972
11/04/2011,34.19,-0.009895308
08/04/2011,34.53,-0.001446969
07/04/2011,34.58,-0.008924775
06/04/2011,34.89,0.003732955
05/04/2011,34.76,-0.004019529
04/04/2011,34.9,0.00057323
01/04/2011,34.88,0.008059917
31/03/2011,34.6,-0.004901264
30/03/2011,34.77,0.015068381
29/03/2011,34.25,0.011452188
28/03/2011,33.86,-0.008528209
25/03/2011,34.15,0
24/03/2011,34.15,-0.001463058
23/03/2011,34.2,0.001170275
22/03/2011,34.16,-0.00146263
21/03/2011,34.21,0.015910766
18/03/2011,33.67,0.005061794
17/03/2011,33.5,0.008995563
16/03/2011,33.2,-0.015541257
15/03/2011,33.72,-0.017345724
14/03/2011,34.31,-0.006970693
11/03/2011,34.55,0.002028104
10/03/2011,34.48,-0.016966618
09/03/2011,35.07,0.007728677
08/03/2011,34.8,0.019733664
07/03/2011,34.12,0.00853574
04/03/2011,33.83,-0.010585221
03/03/2011,34.19,0.005572679
02/03/2011,34,0.00471699
01/03/2011,33.84,-0.005892769
28/02/2011,34.04,0.013010237
25/02/2011,33.6,0.012880214
24/02/2011,33.17,-0.003911544
23/02/2011,33.3,-0.004195391
22/02/2011,33.44,0
18/02/2011,33.44,-0.00536834
17/02/2011,33.62,0.004471613
16/02/2011,33.47,-0.000597372
15/02/2011,33.49,0.002690987
14/02/2011,33.4,-0.005076911
11/02/2011,33.57,-0.00653209
10/02/2011,33.79,-0.000295902
09/02/2011,33.8,0.003259745
08/02/2011,33.69,-0.003555559
07/02/2011,33.81,0.00207254
04/02/2011,33.74,-0.00029634
03/02/2011,33.75,0.000889284
02/02/2011,33.72,0.000890076
01/02/2011,33.69,0.023120682
31/01/2011,32.92,0.004566913
28/01/2011,32.77,-0.001524623
27/01/2011,32.82,0.005499556
26/01/2011,32.64,-0.012180419
25/01/2011,33.04,0.006680863
24/01/2011,32.82,0.007339482
21/01/2011,32.58,-0.001839927
20/01/2011,32.64,0.008306462
19/01/2011,32.37,-0.006466535
18/01/2011,32.58,0.017650249
14/01/2011,32.01,0.008155629
13/01/2011,31.75,0.004102894
12/01/2011,31.62,0.001582529
11/01/2011,31.57,0.000316807
10/01/2011,31.56,-0.002215541
07/01/2011,31.63,0.005707054
06/01/2011,31.45,-0.001271052
05/01/2011,31.49,-0.012935975
04/01/2011,31.9,-0.001566171
03/01/2011,31.95,0.002193327
31/12/2010,31.88,-0.005318329
30/12/2010,32.05,0.000312061
29/12/2010,32.04,0.00375235
28/12/2010,31.92,0.005025136
27/12/2010,31.76,-0.003143668
23/12/2010,31.86,-0.002194702
22/12/2010,31.93,0.001253526
21/12/2010,31.89,-0.001566662
20/12/2010,31.94,0.001880289
17/12/2010,31.88,0.001569613
16/12/2010,31.83,0.014876046
15/12/2010,31.36,-0.01424751
14/12/2010,31.81,0.006623585
13/12/2010,31.6,-0.00221274
10/12/2010,31.67,0.007288893
09/12/2010,31.44,0.007662873
08/12/2010,31.2,-0.00415801
07/12/2010,31.33,-0.00604616
06/12/2010,31.52,-0.003799878
03/12/2010,31.64,-0.005044147
02/12/2010,31.8,0.006625675
01/12/2010,31.59,0.015632796
30/11/2010,31.1,-0.003210276
29/11/2010,31.2,-0.015583079
26/11/2010,31.69,-0.005036208
24/11/2010,31.85,0.012956414
23/11/2010,31.44,-0.006657181
22/11/2010,31.65,0.006975298
19/11/2010,31.43,-0.005710675
18/11/2010,31.61,0.012414611
17/11/2010,31.22,0.00064082
16/11/2010,31.2,-0.016529302
15/11/2010,31.72,0.013648839
12/11/2010,31.29,-0.004464293
11/11/2010,31.43,0.003186746
10/11/2010,31.33,0.00223678
09/11/2010,31.26,-0.007965631
08/11/2010,31.51,-0.00758777
05/11/2010,31.75,-0.002830636
04/11/2010,31.84,0.007882746
03/11/2010,31.59,-0.009138239
02/11/2010,31.88,0.014216003
01/11/2010,31.43,0.004783935
29/10/2010,31.28,0.002560821
28/10/2010,31.2,0.0051414
27/10/2010,31.04,0.00322685
26/10/2010,30.94,-0.007727018
25/10/2010,31.18,0.010640113
22/10/2010,30.85,0.004874096
21/10/2010,30.7,-0.006493529
20/10/2010,30.9,0.003566222
19/10/2010,30.79,0.012089675
18/10/2010,30.42,-0.009162368
15/10/2010,30.7,0.008505122
14/10/2010,30.44,-0.000328461
13/10/2010,30.45,0.004278433
12/10/2010,30.32,-0.004935032
11/10/2010,30.47,0.005264902
08/10/2010,30.31,0.002642882
07/10/2010,30.23,0.000992884
06/10/2010,30.2,-0.000331071
05/10/2010,30.21,0.013329088
04/10/2010,29.81,-0.000670691
01/10/2010,29.83,0.008754265
30/09/2010,29.57,-0.010094298
29/09/2010,29.87,0.002010725
28/09/2010,29.81,0.003696862
27/09/2010,29.7,0.003372684
24/09/2010,29.6,0.021168424
23/09/2010,28.98,-0.008931698
22/09/2010,29.24,0.000342056
21/09/2010,29.23,-0.008516488
20/09/2010,29.48,0.012286844
17/09/2010,29.12,-0.004796172
16/09/2010,29.26,-0.011890747
15/09/2010,29.61,-0.010415011
14/09/2010,29.92,0.002677378
13/09/2010,29.84,0.01417506
10/09/2010,29.42,-0.002037352
