Date,Close,WDC
19/12/2012,41.2,0.039609138
18/12/2012,39.6,0.040190881
17/12/2012,38.04,0.006858376
14/12/2012,37.78,-0.001322577
13/12/2012,37.83,-0.000792707
12/12/2012,37.86,-0.007892701
11/12/2012,38.16,-0.007570849
10/12/2012,38.45,0.022354646
07/12/2012,37.6,0.013387081
06/12/2012,37.1,0.029265045
05/12/2012,36.03,0.070123521
04/12/2012,33.59,0.005373147
03/12/2012,33.41,-0.000598444
30/11/2012,33.43,-0.01455111
29/11/2012,33.92,0.000589797
28/11/2012,33.9,-0.023036447
27/11/2012,34.69,-0.031775723
26/11/2012,35.81,0.020310994
23/11/2012,35.09,0.02044119
21/11/2012,34.38,0.008470914
20/11/2012,34.09,-0.026343975
19/11/2012,35,0.012072581
16/11/2012,34.58,0.021336481
15/11/2012,33.85,0
14/11/2012,33.85,-0.024224153
13/11/2012,34.68,-0.001728609
12/11/2012,34.74,-0.010594229
09/11/2012,35.11,0.007719838
08/11/2012,34.84,-0.013116812
07/11/2012,35.3,-0.048115446
06/11/2012,37.04,0.040776999
05/11/2012,35.56,0.010175328
02/11/2012,35.2,-0.005948184
01/11/2012,35.41,0.033891814
31/10/2012,34.23,0.00321873
26/10/2012,34.12,-0.008172842
25/10/2012,34.4,0.018779895
24/10/2012,33.76,-0.019651608
23/10/2012,34.43,-0.024387954
22/10/2012,35.28,0.011402632
19/10/2012,34.88,-0.019026557
18/10/2012,35.55,-0.019223325
17/10/2012,36.24,-0.003030723
16/10/2012,36.35,0.016643935
15/10/2012,35.75,-0.007524071
12/10/2012,36.02,-0.015700639
11/10/2012,36.59,0.00603072
10/10/2012,36.37,-0.022295649
09/10/2012,37.19,-0.03045383
08/10/2012,38.34,0.00917077
05/10/2012,37.99,0
04/10/2012,37.99,0.010318917
03/10/2012,37.6,-0.015045816
02/10/2012,38.17,0.001310788
01/10/2012,38.12,-0.015875415
28/09/2012,38.73,-0.021709447
27/09/2012,39.58,0.02481263
26/09/2012,38.61,-0.026579638
25/09/2012,39.65,-0.009288381
24/09/2012,40.02,-0.003492146
21/09/2012,40.16,0.027516566
20/09/2012,39.07,0
19/09/2012,39.07,-0.007395163
18/09/2012,39.36,-0.003044142
17/09/2012,39.48,-0.039240197
14/09/2012,41.06,-0.036350248
13/09/2012,42.58,0.026173276
12/09/2012,41.48,-0.01839297
11/09/2012,42.25,0.025651652
10/09/2012,41.18,-0.016378015
07/09/2012,41.86,-0.029424272
06/09/2012,43.11,0.029902169
05/09/2012,41.84,-0.011406968
04/09/2012,42.32,0.011885094
31/08/2012,41.82,-0.006673047
30/08/2012,42.1,-0.032713197
29/08/2012,43.5,0
28/08/2012,43.5,-0.006644543
27/08/2012,43.79,0.003660494
24/08/2012,43.63,0.003443925
23/08/2012,43.48,-0.023188127
22/08/2012,44.5,-0.003589057
21/08/2012,44.66,-0.01467019
20/08/2012,45.32,-0.003524233
17/08/2012,45.48,0.001540324
16/08/2012,45.41,0.02768652
15/08/2012,44.17,0.003856192
14/08/2012,44,-0.007246409
13/08/2012,44.32,0.007473707
10/08/2012,43.99,0.022064789
09/08/2012,43.03,0.02756683
08/08/2012,41.86,0.002631266
07/08/2012,41.75,0.012048339
06/08/2012,41.25,0.006079046
03/08/2012,41,0.027195743
02/08/2012,39.9,0.012103022
01/08/2012,39.42,-0.008839557
31/07/2012,39.77,-0.010007589
30/07/2012,40.17,0.006242997
27/07/2012,39.92,0.016416583
26/07/2012,39.27,0.190144282
25/07/2012,32.47,0.021794138
24/07/2012,31.77,-0.015925395
23/07/2012,32.28,0.00652683
20/07/2012,32.07,-0.019759828
19/07/2012,32.71,-0.020875058
18/07/2012,33.4,0.043757937
17/07/2012,31.97,0.011008131
16/07/2012,31.62,0.001265823
13/07/2012,31.58,0.007309742
12/07/2012,31.35,-0.004773279
11/07/2012,31.5,-0.016060808
10/07/2012,32.01,0.01510888
09/07/2012,31.53,0.016307316
06/07/2012,31.02,0.011021181
05/07/2012,30.68,-0.009730858
03/07/2012,30.98,0.03749206
02/07/2012,29.84,-0.021220955
29/06/2012,30.48,0.056695344
28/06/2012,28.8,-0.034133006
27/06/2012,29.8,0.022739823
26/06/2012,29.13,0.006889452
25/06/2012,28.93,-0.026267927
22/06/2012,29.7,0.011173301
21/06/2012,29.37,-0.050458762
20/06/2012,30.89,0.00097166
19/06/2012,30.86,0.010096161
18/06/2012,30.55,-0.004572183
15/06/2012,30.69,0.016094944
14/06/2012,30.2,-0.00462505
13/06/2012,30.34,-0.006570326
12/06/2012,30.54,-0.003921574
11/06/2012,30.66,-0.018420298
08/06/2012,31.23,0.013215341
07/06/2012,30.82,-0.003886015
06/06/2012,30.94,0.033188523
05/06/2012,29.93,0.001002841
04/06/2012,29.9,-0.006998862
01/06/2012,30.11,-0.041632028
31/05/2012,31.39,-0.026408325
30/05/2012,32.23,-0.028748157
29/05/2012,33.17,-0.030872146
25/05/2012,34.21,0.011170016
24/05/2012,33.83,-0.007949401
23/05/2012,34.1,-0.011951753
22/05/2012,34.51,-0.041158072
21/05/2012,35.96,0.036820925
18/05/2012,34.66,-0.067221733
17/05/2012,37.07,-0.04122116
16/05/2012,38.63,-0.033849777
15/05/2012,39.96,0.000751033
14/05/2012,39.93,-0.009223548
11/05/2012,40.3,-0.010858942
10/05/2012,40.74,0.019581739
09/05/2012,39.95,0.02048371
08/05/2012,39.14,-0.00025546
07/05/2012,39.15,0.006920443
04/05/2012,38.88,-0.009216655
03/05/2012,39.24,-0.032345806
02/05/2012,40.53,0.012163486
01/05/2012,40.04,0.031201009
30/04/2012,38.81,0.02293559
27/04/2012,37.93,-0.150717427
26/04/2012,44.1,0.022009141
25/04/2012,43.14,0.040204043
24/04/2012,41.44,0.000482742
23/04/2012,41.42,-0.000482742
20/04/2012,41.44,-0.014612788
19/04/2012,42.05,0.01172122
18/04/2012,41.56,0.050584362
17/04/2012,39.51,-0.001517451
16/04/2012,39.57,0.01399692
13/04/2012,39.02,-0.004347277
12/04/2012,39.19,0.025062673
11/04/2012,38.22,-0.001307361
10/04/2012,38.27,-0.036432967
09/04/2012,39.69,-0.00125897
05/04/2012,39.74,-0.038019884
04/04/2012,41.28,-0.00844294
03/04/2012,41.63,-0.006703401
02/04/2012,41.91,0.012485156
30/03/2012,41.39,-0.014868379
29/03/2012,42.01,-0.003801383
28/03/2012,42.17,-0.006853389
27/03/2012,42.46,-0.003291797
26/03/2012,42.6,0.00376294
23/03/2012,42.44,0.008994143
22/03/2012,42.06,0.064063123
21/03/2012,39.45,0.00942322
20/03/2012,39.08,0.023037126
19/03/2012,38.19,-0.001831263
16/03/2012,38.26,-0.015817781
15/03/2012,38.87,-0.019363662
14/03/2012,39.63,-0.013036033
13/03/2012,40.15,0.013036033
12/03/2012,39.63,-0.017261217
09/03/2012,40.32,0.03379893
08/03/2012,38.98,0.028889452
07/03/2012,37.87,0.017312991
06/03/2012,37.22,-0.033032466
05/03/2012,38.47,-0.011886445
02/03/2012,38.93,-0.023608153
01/03/2012,39.86,0.015421871
29/02/2012,39.25,-0.003306629
28/02/2012,39.38,0.015095592
27/02/2012,38.79,-0.025201792
24/02/2012,39.78,0.002013086
23/02/2012,39.7,0.003532681
22/02/2012,39.56,-0.017043019
21/02/2012,40.24,-0.005205118
17/02/2012,40.45,-0.003455087
16/02/2012,40.59,0.058071835
15/02/2012,38.3,-0.021695066
14/02/2012,39.14,0.025095095
13/02/2012,38.17,-0.010424905
10/02/2012,38.57,-0.01594684
09/02/2012,39.19,-0.014691247
08/02/2012,39.77,0.02263288
07/02/2012,38.88,0.004123717
06/02/2012,38.72,0.003622255
03/02/2012,38.58,0.026528148
02/02/2012,37.57,-0.012169462
01/02/2012,38.03,0.045181118
31/01/2012,36.35,-0.014204008
30/01/2012,36.87,-0.004870139
27/01/2012,37.05,0.001080205
26/01/2012,37.01,-0.010482558
25/01/2012,37.4,0.014001306
24/01/2012,36.88,0.060641569
23/01/2012,34.71,0.001730104
20/01/2012,34.65,0.020408872
19/01/2012,33.95,0.008578665
18/01/2012,33.66,0.017079067
17/01/2012,33.09,-0.00782665
13/01/2012,33.35,-0.015176604
12/01/2012,33.86,0.014876799
11/01/2012,33.36,-0.005082983
10/01/2012,33.53,-0.006539857
09/01/2012,33.75,0.007733531
06/01/2012,33.49,0.022038628
05/01/2012,32.76,0.045590161
04/01/2012,31.3,0.010276263
03/01/2012,30.98,0.000968836
30/12/2011,30.95,-0.00483482
29/12/2011,31.1,0.010992675
28/12/2011,30.76,-0.015164027
27/12/2011,31.23,-0.028722189
23/12/2011,32.14,0.013469272
22/12/2011,31.71,0.009824196
21/12/2011,31.4,-0.015484588
20/12/2011,31.89,0.039986136
19/12/2011,30.64,-0.010066654
16/12/2011,30.95,0.009088021
15/12/2011,30.67,0.005230479
14/12/2011,30.51,-0.017866319
13/12/2011,31.06,-0.027938325
12/12/2011,31.94,-0.013681805
09/12/2011,32.38,0.026601475
08/12/2011,31.53,-0.009155549
07/12/2011,31.82,0.004409456
06/12/2011,31.68,-0.010362787
05/12/2011,32.01,0.017967386
02/12/2011,31.44,0.072201394
01/12/2011,29.25,0.006172859
