Date,Close,TJX
20/12/2012,42.35,-0.021028812
19/12/2012,43.25,-0.009893098
18/12/2012,43.68,0.001374571
17/12/2012,43.62,0.023426793
14/12/2012,42.61,0.002349625
13/12/2012,42.51,-0.001410437
12/12/2012,42.57,-0.001877494
11/12/2012,42.65,-0.010031578
10/12/2012,43.08,-0.008551999
07/12/2012,43.45,-0.002069204
06/12/2012,43.54,0.00483482
05/12/2012,43.33,-0.000461467
04/12/2012,43.35,-0.016018649
03/12/2012,44.05,-0.006561852
30/11/2012,44.34,0.00497401
29/11/2012,44.12,0.001814883
28/11/2012,44.04,0.02180736
27/11/2012,43.09,-0.009699845
26/11/2012,43.51,-0.009151288
23/11/2012,43.91,0.01030111
21/11/2012,43.46,-0.001839081
20/11/2012,43.54,-0.012326109
19/11/2012,44.08,0.037679252
16/11/2012,42.45,0.010657294
15/11/2012,42,-0.002140564
14/11/2012,42.09,0.000713013
13/11/2012,42.06,0.026257079
12/11/2012,40.97,0.00587517
09/11/2012,40.73,0.009125726
08/11/2012,40.36,-0.016220557
07/11/2012,41.02,-0.013078414
06/11/2012,41.56,-0.010293328
05/11/2012,41.99,0.011256256
02/11/2012,41.52,-0.018611847
01/11/2012,42.3,0.015966025
31/10/2012,41.63,0.02185614
26/10/2012,40.73,-0.0151075
25/10/2012,41.35,-0.015359073
24/10/2012,41.99,-0.013953165
23/10/2012,42.58,0.017292863
22/10/2012,41.85,-0.016588058
19/10/2012,42.55,-0.015854844
18/10/2012,43.23,0.004172468
17/10/2012,43.05,-0.001160766
16/10/2012,43.1,-0.00601436
15/10/2012,43.36,0.012298566
12/10/2012,42.83,-0.024219844
11/10/2012,43.88,-0.019856248
10/10/2012,44.76,0.002236637
09/10/2012,44.66,-0.013566315
08/10/2012,45.27,-0.002867544
05/10/2012,45.4,-0.002200221
04/10/2012,45.5,0.006394025
03/10/2012,45.21,0.000885152
02/10/2012,45.17,-0.005299195
01/10/2012,45.41,0.013747445
28/09/2012,44.79,-0.005788084
27/09/2012,45.05,0.010039125
26/09/2012,44.6,0.012181518
25/09/2012,44.06,-0.005658044
24/09/2012,44.31,-0.005401769
21/09/2012,44.55,-0.013820996
20/09/2012,45.17,-0.002653108
19/09/2012,45.29,-0.001103388
18/09/2012,45.34,-0.014016874
17/09/2012,45.98,-0.010385208
14/09/2012,46.46,-0.002150076
13/09/2012,46.56,0.021053409
12/09/2012,45.59,0.000877771
11/09/2012,45.55,-0.006346449
10/09/2012,45.84,-0.000218126
07/09/2012,45.85,-0.009334704
06/09/2012,46.28,0.014144507
05/09/2012,45.63,-0.011548227
04/09/2012,46.16,0.008047896
31/08/2012,45.79,0.00415801
30/08/2012,45.6,-0.022550826
29/08/2012,46.64,0.018392815
28/08/2012,45.79,0.002405161
27/08/2012,45.68,-0.004150743
24/08/2012,45.87,0.006342285
23/08/2012,45.58,-0.011126983
22/08/2012,46.09,0.006748692
21/08/2012,45.78,-0.001309758
20/08/2012,45.84,-0.001525886
17/08/2012,45.91,0.015807135
16/08/2012,45.19,0.003768988
15/08/2012,45.02,-0.000222099
14/08/2012,45.03,0.017699577
