Date,Close,RHI
02/06/2011,26.56,-0.006380206
01/06/2011,26.73,-0.030941695
31/05/2011,27.57,0.000725689
27/05/2011,27.55,-0.006151639
26/05/2011,27.72,0.013072082
25/05/2011,27.36,0.005865119
24/05/2011,27.2,0.002208319
23/05/2011,27.14,-0.017531494
20/05/2011,27.62,-0.00865182
19/05/2011,27.86,-0.012484557
18/05/2011,28.21,0.026946125
17/05/2011,27.46,-0.004360472
16/05/2011,27.58,-0.028946098
13/05/2011,28.39,-0.021948277
12/05/2011,29.02,0.005875255
11/05/2011,28.85,-0.006219785
10/05/2011,29.03,0.007954391
09/05/2011,28.8,-0.001387925
06/05/2011,28.84,-0.004497499
05/05/2011,28.97,-0.014733863
04/05/2011,29.4,-0.018200705
03/05/2011,29.94,-0.005994024
02/05/2011,30.12,-0.006947919
29/04/2011,30.33,0.004957868
28/04/2011,30.18,-0.013166747
27/04/2011,30.58,-0.010409983
26/04/2011,30.9,-0.003231021
25/04/2011,31,0.011354542
21/04/2011,30.65,0.014128706
20/04/2011,30.22,0.019716595
19/04/2011,29.63,0.013933955
18/04/2011,29.22,-0.029007093
15/04/2011,30.08,0.000997838
14/04/2011,30.05,0.001332002
13/04/2011,30.01,0.00233528
12/04/2011,29.94,-0.004997512
11/04/2011,30.09,-0.009262388
08/04/2011,30.37,-0.021821416
07/04/2011,31.04,-0.009618542
06/04/2011,31.34,-0.000637959
05/04/2011,31.36,0.011545991
04/04/2011,31,-0.002255519
01/04/2011,31.07,0.015242714
31/03/2011,30.6,0.015478656
30/03/2011,30.13,0.015722016
29/03/2011,29.66,0.010847564
28/03/2011,29.34,-0.013204864
25/03/2011,29.73,0.010481922
24/03/2011,29.42,-0.001698082
23/03/2011,29.47,-0.006763638
22/03/2011,29.67,-0.021341257
21/03/2011,30.31,0.019321054
18/03/2011,29.73,0.004044495
17/03/2011,29.61,-0.00840765
16/03/2011,29.86,-0.00833755
15/03/2011,30.11,-0.002984582
14/03/2011,30.2,-0.01642073
11/03/2011,30.7,0.016751911
10/03/2011,30.19,-0.036426792
09/03/2011,31.31,-0.045575927
08/03/2011,32.77,0.020657433
07/03/2011,32.1,-0.021572485
04/03/2011,32.8,-0.011217338
03/03/2011,33.17,0.049755357
02/03/2011,31.56,0.006995259
01/03/2011,31.34,-0.017710773
28/02/2011,31.9,0.000627156
25/02/2011,31.88,0.013261956
24/02/2011,31.46,0.008940034
23/02/2011,31.18,-0.025959039
22/02/2011,32,-0.018883087
18/02/2011,32.61,0.003071255
17/02/2011,32.51,-0.002764554
16/02/2011,32.6,0.003072199
15/02/2011,32.5,-0.010102642
14/02/2011,32.83,-0.012712036
11/02/2011,33.25,0.000300797
10/02/2011,33.24,-0.005400553
09/02/2011,33.42,-0.004478288
08/02/2011,33.57,0.002385924
07/02/2011,33.49,-0.003576755
04/02/2011,33.61,0.025615383
03/02/2011,32.76,0.029113236
02/02/2011,31.82,0.000943248
01/02/2011,31.79,0.013618579
31/01/2011,31.36,0.018993006
28/01/2011,30.77,-0.025350307
