Date,Close,PBI
30/04/2012,17.13,-0.002914604
27/04/2012,17.18,0.012888286
26/04/2012,16.96,0.010074159
25/04/2012,16.79,-0.009484363
24/04/2012,16.95,0.004730937
23/04/2012,16.87,-0.021695369
20/04/2012,17.24,0.018145069
19/04/2012,16.93,-0.007649346
18/04/2012,17.06,-0.009915508
17/04/2012,17.23,0.034842615
16/04/2012,16.64,-0.002400962
13/04/2012,16.68,-0.02311214
12/04/2012,17.07,0.017730961
11/04/2012,16.77,0.014414664
10/04/2012,16.53,-0.040313698
09/04/2012,17.21,0.003492437
05/04/2012,17.15,-0.017914377
04/04/2012,17.46,-0.011389645
03/04/2012,17.66,-0.004519782
02/04/2012,17.74,0.009060085
30/03/2012,17.58,-0.01074975
29/03/2012,17.77,-0.008963645
28/03/2012,17.93,-0.006670397
27/03/2012,18.05,-0.008825209
26/03/2012,18.21,0.012154846
23/03/2012,17.99,-0.007751977
22/03/2012,18.13,-0.005500564
21/03/2012,18.23,0.009369041
20/03/2012,18.06,-0.005521825
19/03/2012,18.16,0.000550812
16/03/2012,18.15,-0.012592556
15/03/2012,18.38,0.00217865
14/03/2012,18.34,-0.011385322
13/03/2012,18.55,0.00866275
12/03/2012,18.39,0.029243463
09/03/2012,17.86,0.016370673
08/03/2012,17.57,0.001708915
07/03/2012,17.54,-0.003982936
06/03/2012,17.61,-0.018565934
05/03/2012,17.94,-0.003894303
02/03/2012,18.01,-0.011043735
01/03/2012,18.21,0.004402869
29/02/2012,18.13,0.003868477
28/02/2012,18.06,-0.001106807
27/02/2012,18.08,0.004434597
24/02/2012,18,0.011173301
23/02/2012,17.8,0.000561956
22/02/2012,17.79,-0.010067199
21/02/2012,17.97,0.009505243
17/02/2012,17.8,0.005633818
16/02/2012,17.7,-0.021241715
15/02/2012,18.08,-0.023504772
14/02/2012,18.51,0.00162206
13/02/2012,18.48,-0.001081666
10/02/2012,18.5,-0.054692915
09/02/2012,19.54,0.002049181
08/02/2012,19.5,0.000512952
07/02/2012,19.49,0.01395011
06/02/2012,19.22,-0.003635423
03/02/2012,19.29,0.008851919
02/02/2012,19.12,-0.002089865
01/02/2012,19.16,0.009965989
31/01/2012,18.97,-0.012572193
30/01/2012,19.21,-0.009326492
27/01/2012,19.39,0
26/01/2012,19.39,-0.000515597
25/01/2012,19.4,0.001547589
24/01/2012,19.37,-0.001547589
23/01/2012,19.4,0.000515597
20/01/2012,19.39,-0.005144044
19/01/2012,19.49,-0.001538067
18/01/2012,19.52,0.010298752
17/01/2012,19.32,0.004669269
13/01/2012,19.23,-0.00259673
12/01/2012,19.28,-0.002590004
11/01/2012,19.33,0.007790224
10/01/2012,19.18,0.008377012
09/01/2012,19.02,0.002105264
06/01/2012,18.98,0
05/01/2012,18.98,0.00899715
04/01/2012,18.81,0.004796172
03/01/2012,18.72,0.009661911
30/12/2011,18.54,-0.001078167
29/12/2011,18.56,0.008114732
28/12/2011,18.41,-0.008114732
27/12/2011,18.56,-0.004301082
23/12/2011,18.64,0.010787591
22/12/2011,18.44,0.007621158
21/12/2011,18.3,0.001640689
20/12/2011,18.27,0.013778118
19/12/2011,18.02,-0.017602215
16/12/2011,18.34,0.006015878
15/12/2011,18.23,-0.000548396
14/12/2011,18.24,-0.010905233
13/12/2011,18.44,-0.022521059
12/12/2011,18.86,0.001591935
09/12/2011,18.83,0.011752272
08/12/2011,18.61,-0.019686723
07/12/2011,18.98,-0.001053186
06/12/2011,19,0.002107482
05/12/2011,18.96,0.022940457
02/12/2011,18.53,0.00432667
01/12/2011,18.45,-0.009708814
30/11/2011,18.63,0.041090415
29/11/2011,17.88,0.011248713
28/11/2011,17.68,0.018841551
25/11/2011,17.35,-0.000576203
23/11/2011,17.36,-0.028394866
22/11/2011,17.86,-0.003353832
21/11/2011,17.92,-0.030771659
18/11/2011,18.48,0.001082837
17/11/2011,18.46,-0.015587523
16/11/2011,18.75,-0.035624511
15/11/2011,19.43,0.006195167
14/11/2011,19.31,-0.006709703
11/11/2011,19.44,0.02289382
10/11/2011,19,-0.010991998
09/11/2011,19.21,-0.046780263
08/11/2011,20.13,-0.005943554
07/11/2011,20.25,0.014424523
04/11/2011,19.96,0.01057678
03/11/2011,19.75,0.038188335
02/11/2011,19.01,-0.036668193
01/11/2011,19.72,-0.032920679
31/10/2011,20.38,-0.015579672
28/10/2011,20.7,-0.002412546
27/10/2011,20.75,0.008712543
26/10/2011,20.57,0.008789119
25/10/2011,20.39,-0.012670735
24/10/2011,20.65,0.020054475
21/10/2011,20.24,0.019456837
20/10/2011,19.85,-0.006527766
19/10/2011,19.98,-0.010950831
18/10/2011,20.2,0.01345647
17/10/2011,19.93,-0.016422365
14/10/2011,20.26,0.014918228
13/10/2011,19.96,0.000501128
12/10/2011,19.95,-0.001002004
11/10/2011,19.97,-0.005991031
10/10/2011,20.09,0.026224397
07/10/2011,19.57,-0.020233366
06/10/2011,19.97,0.015645033
05/10/2011,19.66,0.018999288
04/10/2011,19.29,0.054873952
03/10/2011,18.26,-0.029143995
30/09/2011,18.8,-0.0339902
29/09/2011,19.45,0.015022298
28/09/2011,19.16,-0.033866756
27/09/2011,19.82,0.01935873
26/09/2011,19.44,0.034007986
23/09/2011,18.79,0.030804922
22/09/2011,18.22,-0.058620937
21/09/2011,19.32,-0.026559273
20/09/2011,19.84,-0.012024193
19/09/2011,20.08,-0.022162936
16/09/2011,20.53,0.013732437
15/09/2011,20.25,0.01242252
14/09/2011,20,0.021734492
13/09/2011,19.57,0.018046378
12/09/2011,19.22,0.007834984
09/09/2011,19.07,-0.021785094
08/09/2011,19.49,-0.005628053
07/09/2011,19.6,0.025317808
06/09/2011,19.11,-0.003134799
02/09/2011,19.17,-0.031324769
01/09/2011,19.78,-0.026442049
31/08/2011,20.31,0.013882226
30/08/2011,20.03,0.000499376
29/08/2011,20.02,0.049139876
26/08/2011,19.06,0.002626742
25/08/2011,19.01,-0.021338306
24/08/2011,19.42,0.027141541
23/08/2011,18.9,0.03939004
22/08/2011,18.17,-0.000550206
19/08/2011,18.18,-0.01039681
18/08/2011,18.37,-0.040538884
17/08/2011,19.13,-0.004173193
16/08/2011,19.21,-0.014983489
15/08/2011,19.5,0.026501941
12/08/2011,18.99,-0.003679373
11/08/2011,19.06,0.048921338
10/08/2011,18.15,-0.065571046
09/08/2011,19.38,0.049177236
08/08/2011,18.45,-0.081667403
05/08/2011,20.02,0.019163471
04/08/2011,19.64,-0.048693176
03/08/2011,20.62,-0.000484848
02/08/2011,20.63,-0.025838758
01/08/2011,21.17,-0.017790731
29/07/2011,21.55,-0.013825105
28/07/2011,21.85,0.003208804
27/07/2011,21.78,-0.01639381
26/07/2011,22.14,-0.004956081
