Date,Close,DHI
08/01/2013,20.73,-0.003851714
07/01/2013,20.81,0.004334223
04/01/2013,20.72,0.01654539
03/01/2013,20.38,-0.000490557
02/01/2013,20.39,0.030373258
31/12/2012,19.78,0.027679881
28/12/2012,19.24,-0.012396853
27/12/2012,19.48,0.002055499
26/12/2012,19.44,-0.007686433
24/12/2012,19.59,-0.008134259
21/12/2012,19.75,-0.017566324
20/12/2012,20.1,0.007490672
19/12/2012,19.95,-0.006495151
18/12/2012,20.08,0.019613402
17/12/2012,19.69,0.049450616
14/12/2012,18.74,-0.007442884
13/12/2012,18.88,-0.017327816
12/12/2012,19.21,0.034422249
11/12/2012,18.56,0.008658063
10/12/2012,18.4,-0.024162249
07/12/2012,18.85,0.008524292
06/12/2012,18.69,0.00536482
05/12/2012,18.59,-0.018652286
04/12/2012,18.94,-0.02244939
03/12/2012,19.37,-0.004635599
30/11/2012,19.46,-0.007678563
29/11/2012,19.61,0.009736177
28/11/2012,19.42,-0.008205174
27/11/2012,19.58,0.004094172
26/11/2012,19.5,-0.001537279
23/11/2012,19.53,0.004104675
21/11/2012,19.45,0.000514271
20/11/2012,19.44,0.021841742
19/11/2012,19.02,0.006329135
16/11/2012,18.9,0.023014128
15/11/2012,18.47,0.004340756
14/11/2012,18.39,-0.045704022
13/11/2012,19.25,-0.007762005
12/11/2012,19.4,-0.06001801
09/11/2012,20.6,-0.017801769
08/11/2012,20.97,-0.02123222
07/11/2012,21.42,-0.000466744
06/11/2012,21.43,-0.012981174
05/11/2012,21.71,0.031347596
02/11/2012,21.04,-0.037317763
01/11/2012,21.84,0.041127291
31/10/2012,20.96,0.009587801
26/10/2012,20.76,-0.016718804
25/10/2012,21.11,-0.014111241
24/10/2012,21.41,0.015059108
23/10/2012,21.09,-0.015992815
22/10/2012,21.43,-0.00233046
19/10/2012,21.48,-0.003253547
18/10/2012,21.55,0.000464145
17/10/2012,21.54,0.040744622
16/10/2012,20.68,0.000967586
15/10/2012,20.66,0.034469193
12/10/2012,19.96,-0.013930574
11/10/2012,20.24,-0.023921082
10/10/2012,20.73,0.005805532
09/10/2012,20.61,-0.02680869
08/10/2012,21.17,-0.022420369
05/10/2012,21.65,-0.016036999
04/10/2012,22,0.000454649
03/10/2012,21.99,0.059971129
02/10/2012,20.71,0.000482975
01/10/2012,20.7,0.003387373
28/09/2012,20.63,-0.014914878
27/09/2012,20.94,0.001912046
26/09/2012,20.9,-0.039404723
25/09/2012,21.74,-0.013705103
24/09/2012,22.04,-0.014861791
21/09/2012,22.37,0.008079039
20/09/2012,22.19,-0.001351047
19/09/2012,22.22,0.039941045
18/09/2012,21.35,-0.01071522
17/09/2012,21.58,-0.018820845
14/09/2012,21.99,0.032350326
13/09/2012,21.29,0.034403775
12/09/2012,20.57,0.012720328
11/09/2012,20.31,0.027453683
10/09/2012,19.76,-0.013571457
07/09/2012,20.03,-0.000499127
06/09/2012,20.04,0.030397477
05/09/2012,19.44,-0.002568714
04/09/2012,19.49,0.025988989
31/08/2012,18.99,0.011652674
30/08/2012,18.77,0.001066098
29/08/2012,18.75,0.006957481
28/08/2012,18.62,-0.006424005
27/08/2012,18.74,-0.01430488
24/08/2012,19.01,0.012172683
23/08/2012,18.78,-0.011646505
22/08/2012,19,0.040273899
21/08/2012,18.25,-0.008728915
20/08/2012,18.41,-0.030491798
17/08/2012,18.98,0.00316623
16/08/2012,18.92,0.043755292
15/08/2012,18.11,-0.01207479
14/08/2012,18.33,0.004922077
13/08/2012,18.24,0.008257685
10/08/2012,18.09,-0.021870746
09/08/2012,18.49,0.025193008
08/08/2012,18.03,0.017907585
07/08/2012,17.71,0.013072082
06/08/2012,17.48,0.007464864
03/08/2012,17.35,-0.011461444
02/08/2012,17.55,0.016083058
01/08/2012,17.27,-0.020631104
31/07/2012,17.63,-0.015198716
30/07/2012,17.9,-0.027006326
27/07/2012,18.39,-0.022049831
26/07/2012,18.8,0.044596841
25/07/2012,17.98,-0.037657929
24/07/2012,18.67,-0.021198462
23/07/2012,19.07,0.010013259
20/07/2012,18.88,0.021955367
19/07/2012,18.47,0.001625576
18/07/2012,18.44,-0.010787591
17/07/2012,18.64,-0.013852113
16/07/2012,18.9,0.010638398
13/07/2012,18.7,0.017804625
12/07/2012,18.37,0.027036129
11/07/2012,17.88,-0.019934215
10/07/2012,18.24,-0.035015697
09/07/2012,18.89,0.006905738
06/07/2012,18.76,0.003738322
05/07/2012,18.69,0.022181055
03/07/2012,18.28,-0.012503561
02/07/2012,18.51,0.00704801
29/06/2012,18.38,0.055367789
28/06/2012,17.39,0.007503643
27/06/2012,17.26,0.022854789
26/06/2012,16.87,0.034985474
25/06/2012,16.29,-0.007339482
22/06/2012,16.41,0.007339482
21/06/2012,16.29,-0.027846836
20/06/2012,16.75,0.001792651
19/06/2012,16.72,0.013245227
18/06/2012,16.5,0.038299925
15/06/2012,15.88,0.014589539
14/06/2012,15.65,0.037764904
13/06/2012,15.07,-0.015800197
12/06/2012,15.31,-0.001957586
11/06/2012,15.34,-0.040248166
08/06/2012,15.97,0.027938325
07/06/2012,15.53,0.014267427
06/06/2012,15.31,0.02983317
05/06/2012,14.86,0.025904652
04/06/2012,14.48,-0.049184719
01/06/2012,15.21,-0.087449589
31/05/2012,16.6,-0.001204094
30/05/2012,16.62,-0.04758607
29/05/2012,17.43,0.024391453
25/05/2012,17.01,-0.008196767
24/05/2012,17.15,0.016461277
23/05/2012,16.87,0.016736792
22/05/2012,16.59,0.007866909
21/05/2012,16.46,0.027719668
18/05/2012,16.01,-0.008706523
17/05/2012,16.15,-0.054816492
16/05/2012,17.06,-0.015702562
15/05/2012,17.33,0.025125482
14/05/2012,16.9,-0.01351769
11/05/2012,17.13,0.012334958
10/05/2012,16.92,-0.018155696
09/05/2012,17.23,0.039661902
08/05/2012,16.56,-0.012004946
07/05/2012,16.76,0.0095924
04/05/2012,16.6,-0.016726794
03/05/2012,16.88,-0.01994201
02/05/2012,17.22,0.033661283
01/05/2012,16.65,0.018182319
30/04/2012,16.35,-0.009738361
27/04/2012,16.51,0.022665595
26/04/2012,16.14,0.027003211
25/04/2012,15.71,0.010880107
24/04/2012,15.54,0.031375123
23/04/2012,15.06,-0.021025742
20/04/2012,15.38,0.05067751
19/04/2012,14.62,-0.016955306
18/04/2012,14.87,-0.010036886
17/04/2012,15.02,0.016107731
16/04/2012,14.78,-0.002702704
13/04/2012,14.82,-0.024659697
12/04/2012,15.19,0.030751086
11/04/2012,14.73,0.047263835
10/04/2012,14.05,-0.045225098
09/04/2012,14.7,0.045225098
05/04/2012,14.05,-0.018336198
04/04/2012,14.31,-0.035693563
03/04/2012,14.83,-0.01273049
02/04/2012,15.02,-0.009937147
30/03/2012,15.17,-0.014398154
29/03/2012,15.39,-0.033229894
28/03/2012,15.91,0.008838441
27/03/2012,15.77,0.021795735
26/03/2012,15.43,0
23/03/2012,15.43,0.000648298
22/03/2012,15.42,-0.020539875
21/03/2012,15.74,0
20/03/2012,15.74,-0.011998881
19/03/2012,15.93,-0.006257843
16/03/2012,16.03,-0.017929383
15/03/2012,16.32,0.030484476
14/03/2012,15.83,-0.006924799
13/03/2012,15.94,0.017083617
12/03/2012,15.67,0.012845392
09/03/2012,15.47,0.060624622
08/03/2012,14.56,0.039935254
07/03/2012,13.99,0.038620464
06/03/2012,13.46,-0.036473773
05/03/2012,13.96,0.00215131
02/03/2012,13.93,-0.017082266
01/03/2012,14.17,-0.011925781
29/02/2012,14.34,0.031883678
28/02/2012,13.89,-0.024885749
27/02/2012,14.24,0.018427169
24/02/2012,13.98,-0.012793351
