Date,Close,FTR
03/12/2012,4.8,-0.002081166
30/11/2012,4.81,0.014659948
29/11/2012,4.74,0.008474627
28/11/2012,4.7,0.023682485
27/11/2012,4.59,0.010953012
26/11/2012,4.54,0.01107431
23/11/2012,4.49,0.015713006
21/11/2012,4.42,0.004535155
20/11/2012,4.4,-0.002270149
19/11/2012,4.41,0.027587957
16/11/2012,4.29,-0.013889112
15/11/2012,4.35,-0.004587164
14/11/2012,4.37,0
13/11/2012,4.37,-0.00911168
12/11/2012,4.41,0.013698844
09/11/2012,4.35,0
08/11/2012,4.35,-0.031676857
07/11/2012,4.49,-0.013274531
06/11/2012,4.55,-0.019587133
05/11/2012,4.64,0.028417213
02/11/2012,4.51,-0.043390755
01/11/2012,4.71,-0.004237294
31/10/2012,4.73,-0.002111933
26/10/2012,4.74,-0.008403411
25/10/2012,4.78,0.025425098
24/10/2012,4.66,0.01731645
23/10/2012,4.58,-0.01731645
22/10/2012,4.66,-0.02123222
19/10/2012,4.76,-0.024897552
18/10/2012,4.88,0.008230499
17/10/2012,4.84,0
16/10/2012,4.84,0.006217637
15/10/2012,4.81,0
12/10/2012,4.81,-0.010341354
11/10/2012,4.86,-0.008196767
10/10/2012,4.9,0.028987537
09/10/2012,4.76,-0.004192878
08/10/2012,4.78,0.002094242
05/10/2012,4.77,0.002098637
04/10/2012,4.76,0.045120435
03/10/2012,4.55,-0.036681567
02/10/2012,4.72,-0.020965128
01/10/2012,4.82,-0.020534602
28/09/2012,4.92,0
27/09/2012,4.92,-0.004056801
26/09/2012,4.94,0.008130126
25/09/2012,4.9,-0.008130126
24/09/2012,4.94,-0.00806456
21/09/2012,4.98,0.03889948
20/09/2012,4.79,0.02537134
19/09/2012,4.67,-0.004273511
18/09/2012,4.69,0.006417134
17/09/2012,4.66,0.002148229
14/09/2012,4.65,-0.029663192
13/09/2012,4.79,-0.012448294
12/09/2012,4.85,0.018731037
11/09/2012,4.76,0.0276908
10/09/2012,4.63,0.017429635
07/09/2012,4.55,-0.021739987
06/09/2012,4.65,0.019544596
05/09/2012,4.56,-0.021692825
04/09/2012,4.66,0.008620743
31/08/2012,4.62,-0.025642431
30/08/2012,4.74,0.017021688
29/08/2012,4.66,0.010787591
28/08/2012,4.61,-0.008639363
27/08/2012,4.65,0.004310352
24/08/2012,4.63,0.015234245
23/08/2012,4.56,-0.013072082
22/08/2012,4.62,-0.004319661
21/08/2012,4.64,-0.002152853
20/08/2012,4.65,0.004310352
17/08/2012,4.63,-0.00645858
16/08/2012,4.66,-0.01912917
15/08/2012,4.75,-0.006295928
14/08/2012,4.78,-0.008333382
13/08/2012,4.82,0.01462931
10/08/2012,4.75,0.00845671
09/08/2012,4.71,0.034560675
08/08/2012,4.55,0.011049836
07/08/2012,4.5,0.011173301
06/08/2012,4.45,0.011299555
03/08/2012,4.4,-0.002270149
02/08/2012,4.41,0.016000341
01/08/2012,4.34,0.101782694
31/07/2012,3.92,0.055059777
30/07/2012,3.71,-0.002691792
27/07/2012,3.72,0.02449102
26/07/2012,3.63,0.011080446
25/07/2012,3.59,-0.00555557
24/07/2012,3.61,-0.01648389
23/07/2012,3.67,-0.018893949
20/07/2012,3.74,0.005361943
19/07/2012,3.72,-0.039530839
18/07/2012,3.87,-0.012837147
17/07/2012,3.92,0
16/07/2012,3.92,-0.002547772
13/07/2012,3.93,-0.012642393
12/07/2012,3.98,-0.012484557
11/07/2012,4.03,0.017522351
10/07/2012,3.96,-0.005037794
09/07/2012,3.98,-0.007509422
06/07/2012,4.01,0
05/07/2012,4.01,0.00500001
03/07/2012,3.99,0.007547206
02/07/2012,3.96,0.033379222
29/06/2012,3.83,0.010498784
28/06/2012,3.79,0.007947062
27/06/2012,3.76,0
26/06/2012,3.76,-0.041672696
25/06/2012,3.92,-0.025190249
22/06/2012,4.02,0.025190249
21/06/2012,3.92,0.0102565
20/06/2012,3.88,0
19/06/2012,3.88,0.002580647
18/06/2012,3.87,-0.015384919
15/06/2012,3.93,0.054915758
14/06/2012,3.72,-0.005361943
13/06/2012,3.74,0.018893949
12/06/2012,3.67,0.036064935
11/06/2012,3.54,0.025752496
08/06/2012,3.45,0.035401927
07/06/2012,3.33,-0.002998503
06/06/2012,3.34,-0.060976796
05/06/2012,3.55,0.005649733
04/06/2012,3.53,0.002836881
01/06/2012,3.52,-0.060624622
31/05/2012,3.74,0.043722811
30/05/2012,3.58,0.019746763
29/05/2012,3.51,0.002853069
25/05/2012,3.5,0.020202707
24/05/2012,3.43,-0.020202707
23/05/2012,3.5,0.052798186
22/05/2012,3.32,-0.014947961
21/05/2012,3.37,0.045531385
18/05/2012,3.22,-0.045531385
17/05/2012,3.37,0.033185549
16/05/2012,3.26,0
15/05/2012,3.26,-0.021245109
14/05/2012,3.33,-0.04118229
11/05/2012,3.47,-0.008608375
10/05/2012,3.5,0.043802623
09/05/2012,3.35,0.02723315
08/05/2012,3.26,-0.101980577
07/05/2012,3.61,-0.074701385
04/05/2012,3.89,-0.012771566
03/05/2012,3.94,-0.020101179
02/05/2012,4.02,-0.004962789
01/05/2012,4.04,0.002478316
30/04/2012,4.03,-0.007416598
27/04/2012,4.06,-0.007361996
26/04/2012,4.09,-0.009732437
25/04/2012,4.13,0.002424244
