Date,Close,CF
28/12/2012,199.64,-0.008826887
27/12/2012,201.41,-0.003766296
26/12/2012,202.17,0.004759789
24/12/2012,201.21,0.007032273
21/12/2012,199.8,-0.022174736
20/12/2012,204.28,-0.006732718
19/12/2012,205.66,0.000875614
18/12/2012,205.48,0.001071237
17/12/2012,205.26,-0.003550156
14/12/2012,205.99,0.017038356
13/12/2012,202.51,-0.034840982
12/12/2012,209.69,-0.035280415
11/12/2012,217.22,0.016384298
10/12/2012,213.69,0.006478896
07/12/2012,212.31,0.002830057
06/12/2012,211.71,-0.000141693
05/12/2012,211.74,-0.003676995
04/12/2012,212.52,0.015363033
03/12/2012,209.28,-0.022443124
30/11/2012,214.03,0.003416567
29/11/2012,213.3,0.022568756
28/11/2012,208.54,0.00119953
27/11/2012,208.29,-0.000431997
26/11/2012,208.38,-0.00831546
23/11/2012,210.12,0.013753002
21/11/2012,207.25,0.006923794
20/11/2012,205.82,0.010599166
19/11/2012,203.65,0.040433331
16/11/2012,195.58,0.003996112
15/11/2012,194.8,-0.00225618
14/11/2012,195.24,-0.010343778
13/11/2012,197.27,0.000354907
12/11/2012,197.2,0.005899722
09/11/2012,196.04,0.001480385
08/11/2012,195.75,-0.031379856
07/11/2012,201.99,-0.021258638
06/11/2012,206.33,0.004128123
05/11/2012,205.48,0.031893138
02/11/2012,199.03,-0.057833684
01/11/2012,210.88,0.027352872
31/10/2012,205.19,0.001804835
26/10/2012,204.82,0.005925145
25/10/2012,203.61,-0.00680358
24/10/2012,205,-0.002679334
23/10/2012,205.55,-0.020560707
22/10/2012,209.82,0.015078317
19/10/2012,206.68,-0.023525997
18/10/2012,211.6,-0.020395505
17/10/2012,215.96,0.012581127
16/10/2012,213.26,0.016500386
15/10/2012,209.77,-0.003521466
12/10/2012,210.51,-0.02008109
11/10/2012,214.78,0.005275086
10/10/2012,213.65,-0.020935413
09/10/2012,218.17,0
08/10/2012,218.17,-0.017042381
05/10/2012,221.92,-0.007541785
04/10/2012,223.6,0.016322108
