Date,Close,TWC
28/12/2012,95.18,-0.010867401
27/12/2012,96.22,0.001768347
26/12/2012,96.05,-0.007158078
24/12/2012,96.74,0.012586633
21/12/2012,95.53,-0.018050283
20/12/2012,97.27,0.016794921
19/12/2012,95.65,-0.006461048
18/12/2012,96.27,0.003537985
17/12/2012,95.93,0.019579573
14/12/2012,94.07,0.002661133
13/12/2012,93.82,0.000319812
12/12/2012,93.79,-0.002023753
11/12/2012,93.98,0.000638638
10/12/2012,93.92,-0.01027497
07/12/2012,94.89,0.005283191
06/12/2012,94.39,-0.000635459
05/12/2012,94.45,-0.005490458
04/12/2012,94.97,-0.001788439
03/12/2012,95.14,0.002631165
30/11/2012,94.89,0.00804152
29/11/2012,94.13,0.015739926
28/11/2012,92.66,-0.006668843
27/11/2012,93.28,0.002038955
26/11/2012,93.09,-0.004929286
23/11/2012,93.55,0.01529543
21/11/2012,92.13,-0.008538285
20/11/2012,92.92,0.005828403
19/11/2012,92.38,0.020781673
16/11/2012,90.48,-0.003750694
15/11/2012,90.82,0.016990026
14/11/2012,89.29,-0.020397559
13/11/2012,91.13,-0.004488977
12/11/2012,91.54,-0.016898149
09/11/2012,93.1,0.00085966
08/11/2012,93.02,-0.002469535
07/11/2012,93.25,-0.009817601
06/11/2012,94.17,0.024074242
05/11/2012,91.93,-0.065673252
02/11/2012,98.17,-0.005789463
01/11/2012,98.74,-0.004143722
31/10/2012,99.15,-0.003724774
26/10/2012,99.52,0.015901485
25/10/2012,97.95,-0.007931707
24/10/2012,98.73,0.010487293
23/10/2012,97.7,-0.016143302
22/10/2012,99.29,-0.004120816
19/10/2012,99.7,-0.006099714
18/10/2012,100.31,0.005899132
17/10/2012,99.72,0.010686663
16/10/2012,98.66,0.002943716
15/10/2012,98.37,0.015469243
12/10/2012,96.86,0.005590655
11/10/2012,96.32,-0.012176396
10/10/2012,97.5,0.00225896
09/10/2012,97.28,-0.011244113
08/10/2012,98.38,-0.008804388
05/10/2012,99.25,0.002926191
04/10/2012,98.96,0.006589977
03/10/2012,98.31,0.001526951
02/10/2012,98.16,0.025276014
01/10/2012,95.71,0.006814515
28/09/2012,95.06,0.000736648
27/09/2012,94.99,0.010370463
26/09/2012,94.01,-0.007312841
25/09/2012,94.7,-0.011444295
24/09/2012,95.79,0.013981831
21/09/2012,94.46,0.009359779
20/09/2012,93.58,0.002353697
19/09/2012,93.36,0.008605905
18/09/2012,92.56,0.00498214
17/09/2012,92.1,-0.003035562
14/09/2012,92.38,-0.006258788
13/09/2012,92.96,0.012774884
12/09/2012,91.78,0.004696126
11/09/2012,91.35,0.000109475
10/09/2012,91.34,0.005709282
07/09/2012,90.82,0.00176328
06/09/2012,90.66,0.01433119
05/09/2012,89.37,0.010008518
04/09/2012,88.48,-0.003835312
31/08/2012,88.82,-0.000225149
30/08/2012,88.84,-0.005500379
29/08/2012,89.33,-0.00613807
28/08/2012,89.88,0.000111266
27/08/2012,89.87,0.003567053
24/08/2012,89.55,0.005262286
23/08/2012,89.08,-0.002466645
22/08/2012,89.3,-0.00033589
21/08/2012,89.33,-0.000783304
20/08/2012,89.4,-0.004352928
17/08/2012,89.79,0.002676482
16/08/2012,89.55,-0.002453715
15/08/2012,89.77,-0.009203369
14/08/2012,90.6,0.009426186
13/08/2012,89.75,0.003571831
10/08/2012,89.43,0.004482805
09/08/2012,89.03,-0.00358785
08/08/2012,89.35,0.002801907
07/08/2012,89.1,0.000673628
06/08/2012,89.04,-0.001795333
03/08/2012,89.2,0.014226276
02/08/2012,87.94,0.026969481
01/08/2012,85.6,0.007857895
31/07/2012,84.93,-0.000823869
30/07/2012,85,0.006254815
27/07/2012,84.47,0.00082904
26/07/2012,84.4,0.013118852
25/07/2012,83.3,-0.000720029
24/07/2012,83.36,-0.009075773
23/07/2012,84.12,-0.008051192
20/07/2012,84.8,-0.010323883
19/07/2012,85.68,0.007380107
18/07/2012,85.05,0.002236479
17/07/2012,84.86,0.025662326
16/07/2012,82.71,-0.009026961
13/07/2012,83.46,0.017038658
12/07/2012,82.05,-0.008616035
11/07/2012,82.76,0.011056549
10/07/2012,81.85,0.004898969
09/07/2012,81.45,-0.005387548
06/07/2012,81.89,0.00109964
05/07/2012,81.8,-0.024036425
03/07/2012,83.79,0.005625052
02/07/2012,83.32,0.0147506
29/06/2012,82.1,0.025661413
28/06/2012,80.02,0.000249969
27/06/2012,80,0.020457842
26/06/2012,78.38,0.018282986
25/06/2012,76.96,-0.011626536
22/06/2012,77.86,-0.004740864
21/06/2012,78.23,-0.015600545
20/06/2012,79.46,-0.002388286
19/06/2012,79.65,0.009460809
18/06/2012,78.9,0.01237024
15/06/2012,77.93,0.000128329
14/06/2012,77.92,0.011617531
13/06/2012,77.02,-0.011104052
12/06/2012,77.88,0.016050047
11/06/2012,76.64,0.007465165
08/06/2012,76.07,0.011236816
07/06/2012,75.22,-0.006361007
06/06/2012,75.7,0.006759917
05/06/2012,75.19,0.016088294
04/06/2012,73.99,-0.00216012
01/06/2012,74.15,-0.016717206
31/05/2012,75.4,-0.005686718
30/05/2012,75.83,-0.011538085
29/05/2012,76.71,0.003787636
25/05/2012,76.42,-0.006261434
24/05/2012,76.9,0.015199454
23/05/2012,75.74,-0.005529968
22/05/2012,76.16,-0.005499556
21/05/2012,76.58,0.033325354
18/05/2012,74.07,-0.005520041
17/05/2012,74.48,-0.024797399
16/05/2012,76.35,0.000261986
15/05/2012,76.33,0.002886384
14/05/2012,76.11,-0.013571917
11/05/2012,77.15,-0.002588998
10/05/2012,77.35,0.003886015
09/05/2012,77.05,-0.021442691
08/05/2012,78.72,-0.006457762
07/05/2012,79.23,0.005822801
04/05/2012,78.77,-0.026063372
03/05/2012,80.85,-0.009478744
02/05/2012,81.62,0.003682341
01/05/2012,81.32,0.010756115
30/04/2012,80.45,-0.002482931
27/04/2012,80.65,-0.006057253
26/04/2012,81.14,-0.012370787
25/04/2012,82.15,0.014838705
24/04/2012,80.94,-0.001111317
23/04/2012,81.03,-0.010557427
20/04/2012,81.89,0.005633128
19/04/2012,81.43,-0.004533488
18/04/2012,81.8,0.000244529
17/04/2012,81.78,0.010077509
16/04/2012,80.96,0.007189817
13/04/2012,80.38,0.001992529
12/04/2012,80.22,0.014439324
11/04/2012,79.07,0.016577783
10/04/2012,77.77,-0.027395499
09/04/2012,79.93,-0.011320641
05/04/2012,80.84,0.00309732
04/04/2012,80.59,-0.003962853
03/04/2012,80.91,-0.011795198
02/04/2012,81.87,0.004529603
30/03/2012,81.5,0.014335391
29/03/2012,80.34,-0.002237972
28/03/2012,80.52,-0.009763409
27/03/2012,81.31,-0.001597543
26/03/2012,81.44,0.007147289
23/03/2012,80.86,0.008445157
22/03/2012,80.18,-0.006712269
21/03/2012,80.72,0.008459866
20/03/2012,80.04,-0.003367636
19/03/2012,80.31,0.012529922
16/03/2012,79.31,-0.00578327
15/03/2012,79.77,-0.010351156
14/03/2012,80.6,-0.004950505
13/03/2012,81,0.013297903
12/03/2012,79.93,0.003132638
09/03/2012,79.68,0.004906596
08/03/2012,79.29,0.014737911
07/03/2012,78.13,0.004489777
06/03/2012,77.78,-0.010614589
05/03/2012,78.61,-0.004442477
02/03/2012,78.96,-0.00341362
01/03/2012,79.23,-0.0013874
29/02/2012,79.34,-0.001888812
28/02/2012,79.49,0.004412792
27/02/2012,79.14,0.011820919
24/02/2012,78.21,0.012480059
23/02/2012,77.24,0.01198243
22/02/2012,76.32,-0.004445033
21/02/2012,76.66,-0.012960264
17/02/2012,77.66,0.008015557
16/02/2012,77.04,0.002729579
15/02/2012,76.83,0.011915035
14/02/2012,75.92,0.001581862
13/02/2012,75.8,0.004363066
10/02/2012,75.47,-0.011985656
09/02/2012,76.38,-0.002092598
08/02/2012,76.54,0.017396327
07/02/2012,75.22,0.002662408
06/02/2012,75.02,-0.008494875
03/02/2012,75.66,0.020429311
02/02/2012,74.13,-0.002156044
01/02/2012,74.29,0.00770222
31/01/2012,73.72,0.001764986
30/01/2012,73.59,-0.002442998
27/01/2012,73.77,-0.0099812
26/01/2012,74.51,0.075233906
25/01/2012,69.11,0.006969681
24/01/2012,68.63,-0.008704538
23/01/2012,69.23,0.002603415
20/01/2012,69.05,0.010189317
19/01/2012,68.35,0.029245757
18/01/2012,66.38,0.001809409
17/01/2012,66.26,0.012605528
13/01/2012,65.43,0.009058172
12/01/2012,64.84,0.005412524
11/01/2012,64.49,0.002950542
10/01/2012,64.3,0.00108924
09/01/2012,64.23,0.003118668
06/01/2012,64.03,-0.014419972
05/01/2012,64.96,0.001540595
04/01/2012,64.86,-0.000308309
03/01/2012,64.88,0.020397749
30/12/2011,63.57,0.008055007
29/12/2011,63.06,0.013249456
28/12/2011,62.23,-0.024602463
27/12/2011,63.78,-0.001096921
23/12/2011,63.85,0.013401856
22/12/2011,63,-0.000951928
21/12/2011,63.06,0.010521379
20/12/2011,62.4,0.024167911
19/12/2011,60.91,-0.021118394
16/12/2011,62.21,-0.000482121
15/12/2011,62.24,0.003218542
14/12/2011,62.04,-0.004021561
13/12/2011,62.29,-0.004964379
12/12/2011,62.6,0.002078837
09/12/2011,62.47,0.023812577
