Date,Close,DLPH
03/12/2012,33.5,-0.014520925
30/11/2012,33.99,0.000588582
29/11/2012,33.97,0.010951715
28/11/2012,33.6,0.005072367
27/11/2012,33.43,0.002096123
26/11/2012,33.36,-0.020472455
23/11/2012,34.05,0.013303966
21/11/2012,33.6,0.005970167
20/11/2012,33.4,0.000898607
19/11/2012,33.37,0.037555932
16/11/2012,32.14,0.014415793
15/11/2012,31.68,-0.00786044
14/11/2012,31.93,-0.008109839
13/11/2012,32.19,-0.008352717
12/11/2012,32.46,0.006490519
09/11/2012,32.25,0.01751687
08/11/2012,31.69,-0.012231609
07/11/2012,32.08,-0.02402333
06/11/2012,32.86,0.02028966
05/11/2012,32.2,-0.02028966
02/11/2012,32.86,0.009171571
01/11/2012,32.56,0.035003574
31/10/2012,31.44,0.030354284
26/10/2012,30.5,-0.030036167
25/10/2012,31.43,0.002867614
24/10/2012,31.34,-0.001594134
23/10/2012,31.39,-0.029815483
22/10/2012,32.34,0.013072082
19/10/2012,31.92,-0.01677579
18/10/2012,32.46,-0.001231527
17/10/2012,32.5,-0.00796817
16/10/2012,32.76,0.008583744
15/10/2012,32.48,0.012391732
12/10/2012,32.08,0.001559819
11/10/2012,32.03,0.017002929
10/10/2012,31.49,-0.012308819
09/10/2012,31.88,-0.012159152
08/10/2012,32.27,-0.007102083
05/10/2012,32.5,0.009273637
04/10/2012,32.2,0.020075957
03/10/2012,31.56,0.000633914
02/10/2012,31.54,0.007638484
01/10/2012,31.3,0.009630893
28/09/2012,31,-0.008352121
27/09/2012,31.26,-0.002555912
26/09/2012,31.34,-0.000956785
25/09/2012,31.37,-0.009202032
24/09/2012,31.66,-0.003783107
21/09/2012,31.78,-0.007523546
20/09/2012,32.02,0
19/09/2012,32.02,0.008782992
18/09/2012,31.74,0.003787883
17/09/2012,31.62,-0.006305191
14/09/2012,31.82,0.033879878
13/09/2012,30.76,-0.00712669
12/09/2012,30.98,-0.003865984
11/09/2012,31.1,0.007422981
10/09/2012,30.87,-0.009029407
07/09/2012,31.15,0.009353398
06/09/2012,30.86,0.028263465
05/09/2012,30,0
04/09/2012,30,-0.009620243
31/08/2012,30.29,0.016644858
30/08/2012,29.79,-0.013669158
29/08/2012,30.2,-0.010867882
28/08/2012,30.53,0.032287711
27/08/2012,29.56,0.012938553
24/08/2012,29.18,0.001714972
23/08/2012,29.13,-0.003769064
22/08/2012,29.24,-0.002049881
21/08/2012,29.3,-0.003066964
20/08/2012,29.39,-0.003735783
17/08/2012,29.5,0.004416518
16/08/2012,29.37,0.030771659
15/08/2012,28.48,-0.005253033
14/08/2012,28.63,-0.002790375
13/08/2012,28.71,0.005938882
10/08/2012,28.54,-0.013918109
09/08/2012,28.94,0.008676091
08/08/2012,28.69,-0.01212556
07/08/2012,29.04,0.000688943
06/08/2012,29.02,0.024063934
03/08/2012,28.33,0.030099012
02/08/2012,27.49,-0.017667667
01/08/2012,27.98,-0.014547001
31/07/2012,28.39,0.014189667
30/07/2012,27.99,0.007530966
27/07/2012,27.78,0.03033304
26/07/2012,26.95,0.00894527
25/07/2012,26.71,0.007516007
24/07/2012,26.51,-0.01423245
23/07/2012,26.89,-0.00334138
20/07/2012,26.98,-0.008121123
19/07/2012,27.2,-0.000367579
18/07/2012,27.21,0.007747687
17/07/2012,27,0.013798466
16/07/2012,26.63,-0.008972023
13/07/2012,26.87,0.022963554
12/07/2012,26.26,0.004962789
11/07/2012,26.13,-0.015192089
10/07/2012,26.53,-0.004888147
09/07/2012,26.66,0.009800305
06/07/2012,26.4,-0.015410942
05/07/2012,26.81,0.018825857
03/07/2012,26.31,0.039540034
02/07/2012,25.29,-0.008269391
29/06/2012,25.5,0.002748873
28/06/2012,25.43,-0.012116623
27/06/2012,25.74,-0.006582792
26/06/2012,25.91,0.006194367
25/06/2012,25.75,-0.048142705
22/06/2012,27.02,-0.020150893
21/06/2012,27.57,-0.035978947
20/06/2012,28.58,-0.018031002
19/06/2012,29.1,0.006550618
18/06/2012,28.91,0.012880944
15/06/2012,28.54,0.003510007
14/06/2012,28.44,-0.005610113
13/06/2012,28.6,-0.009396276
12/06/2012,28.87,0.012898906
11/06/2012,28.5,-0.00873368
08/06/2012,28.75,0.007681602
07/06/2012,28.53,-0.016339665
06/06/2012,29,0.025494658
05/06/2012,28.27,0.019286312
04/06/2012,27.73,-0.018224553
01/06/2012,28.24,-0.027590365
31/05/2012,29.03,0.006219785
30/05/2012,28.85,-0.033739782
29/05/2012,29.84,0.047701615
25/05/2012,28.45,0.026715747
24/05/2012,27.7,-0.011842952
23/05/2012,28.03,-0.00569194
22/05/2012,28.19,0.006762795
21/05/2012,28,0.026784084
18/05/2012,27.26,-0.008401876
17/05/2012,27.49,-0.017667667
16/05/2012,27.98,0.013311943
15/05/2012,27.61,-0.014383563
14/05/2012,28.01,-0.025032155
11/05/2012,28.72,-0.00243436
10/05/2012,28.79,0.009071939
09/05/2012,28.53,0.001052078
08/05/2012,28.5,-0.039558038
07/05/2012,29.65,0.00948838
04/05/2012,29.37,-0.036112249
03/05/2012,30.45,-0.009478744
02/05/2012,30.74,-0.003896109
01/05/2012,30.86,0.005523978
30/04/2012,30.69,-0.013592442
27/04/2012,31.11,0.015875921
26/04/2012,30.62,-0.00748336
25/04/2012,30.85,0.020632794
24/04/2012,30.22,-0.041483589
23/04/2012,31.5,-0.011677583
20/04/2012,31.87,0.000313824
19/04/2012,31.86,-0.010615148
18/04/2012,32.2,0.002798944
17/04/2012,32.11,0.003744154
16/04/2012,31.99,0.004385972
13/04/2012,31.85,0.002514934
12/04/2012,31.77,0.008852413
11/04/2012,31.49,0.020857486
10/04/2012,30.84,-0.013846623
09/04/2012,31.27,-0.015548465
05/04/2012,31.76,0.004101599
04/04/2012,31.63,0.011446866
03/04/2012,31.27,-0.008914418
02/04/2012,31.55,-0.001583532
30/03/2012,31.6,-0.005365328
29/03/2012,31.77,0.006631952
28/03/2012,31.56,-0.011028944
27/03/2012,31.91,-0.001565681
26/03/2012,31.96,0.031466127
23/03/2012,30.97,0
22/03/2012,30.97,-0.009320331
21/03/2012,31.26,0.003846159
20/03/2012,31.14,-0.013080423
19/03/2012,31.55,-0.014162314
16/03/2012,32,0.008788506
15/03/2012,31.72,-0.001889764
14/03/2012,31.78,-0.00533502
13/03/2012,31.95,0.000939408
12/03/2012,31.92,0.002823531
09/03/2012,31.83,0.00409256
08/03/2012,31.7,0.054786021
07/03/2012,30.01,0.001000167
06/03/2012,29.98,-0.05389165
05/03/2012,31.64,-0.021573449
02/03/2012,32.33,0.010259689
01/03/2012,32,0
29/02/2012,32,0.003757049
28/02/2012,31.88,0.018680296
27/02/2012,31.29,-0.003190813
24/02/2012,31.39,0.012502166
23/02/2012,31,-0.000644953
22/02/2012,31.02,0.002905571
21/02/2012,30.93,-0.011571971
17/02/2012,31.29,0.031490997
16/02/2012,30.32,0.03149339
15/02/2012,29.38,0.010951513
14/02/2012,29.06,-0.032168001
13/02/2012,30.01,-0.000999167
10/02/2012,30.04,0.008021433
09/02/2012,29.8,-0.003350087
08/02/2012,29.9,-0.006002019
07/02/2012,30.08,-0.014521707
06/02/2012,30.52,-0.007507788
03/02/2012,30.75,0.059629182
02/02/2012,28.97,0.013203805
01/02/2012,28.59,0.063536342
31/01/2012,26.83,-0.009274784
30/01/2012,27.08,-0.002949855
27/01/2012,27.16,0.045573693
26/01/2012,25.95,0.007348708
25/01/2012,25.76,-0.001939112
24/01/2012,25.81,0.012868183
23/01/2012,25.48,0.015025985
20/01/2012,25.1,0.001195934
19/01/2012,25.07,0.022998795
18/01/2012,24.5,0.005730675
17/01/2012,24.36,-0.01790121
13/01/2012,24.8,0.00444535
12/01/2012,24.69,0.03042998
11/01/2012,23.95,0.005023033
10/01/2012,23.83,0.048139935
09/01/2012,22.71,0.00707029
06/01/2012,22.55,0.018349139
05/01/2012,22.14,-0.017905581
04/01/2012,22.54,0.013399039
03/01/2012,22.24,0.031980798
30/12/2011,21.54,0.005586607
29/12/2011,21.42,0.010795693
28/12/2011,21.19,-0.021476082
27/12/2011,21.65,-0.013306
23/12/2011,21.94,0.006860306
22/12/2011,21.79,0.018060227
21/12/2011,21.4,-0.004662013
20/12/2011,21.5,0.024006801
19/12/2011,20.99,0.000953289
16/12/2011,20.97,0.000476985
15/12/2011,20.96,0.015384919
14/12/2011,20.64,-0.031945505
13/12/2011,21.31,-0.009341497
12/12/2011,21.51,-0.011095814
09/12/2011,21.75,0.002762433
08/12/2011,21.69,-0.014191129
07/12/2011,22,-0.005891701
06/12/2011,22.13,0.016401279
05/12/2011,21.77,0.018544806
02/12/2011,21.37,0.026554429
01/12/2011,20.81,-0.001440576
30/11/2011,20.84,0.041642068
29/11/2011,19.99,-0.002498128
28/11/2011,20.04,0.019652938
25/11/2011,19.65,0.00101833
23/11/2011,19.63,-0.013660723
22/11/2011,19.9,-0.019901154
21/11/2011,20.3,-0.033901552
18/11/2011,21,-0.015592095
17/11/2011,21.33,
