Date,Close,FLR
01/03/2012,61.84,0.022237672
29/02/2012,60.48,-0.024821653
28/02/2012,62,-0.008032172
27/02/2012,62.5,-0.014297305
24/02/2012,63.4,-0.00926296
23/02/2012,63.99,0.058400187
22/02/2012,60.36,-0.021146596
21/02/2012,61.65,0.010599365
17/02/2012,61,0.01154176
16/02/2012,60.3,0.017228828
15/02/2012,59.27,-0.025650973
14/02/2012,60.81,0.010746569
13/02/2012,60.16,0.009855588
10/02/2012,59.57,-0.010852431
09/02/2012,60.22,0.018266113
08/02/2012,59.13,0.00968654
07/02/2012,58.56,-0.014242357
06/02/2012,59.4,-0.007714276
03/02/2012,59.86,0.032082867
02/02/2012,57.97,0.000517643
01/02/2012,57.94,0.029779745
31/01/2012,56.24,0.000889442
30/01/2012,56.19,-0.018339431
27/01/2012,57.23,0.004553423
26/01/2012,56.97,0.004221642
25/01/2012,56.73,0.028609139
24/01/2012,55.13,-0.009208334
23/01/2012,55.64,-0.004125196
20/01/2012,55.87,-0.013511317
19/01/2012,56.63,0.022139808
18/01/2012,55.39,0.013449857
17/01/2012,54.65,0.020520177
13/01/2012,53.54,-0.012067351
12/01/2012,54.19,0.027880934
11/01/2012,52.7,-0.005865119
10/01/2012,53.01,0.028316413
09/01/2012,51.53,-0.003680392
06/01/2012,51.72,-0.004629638
05/01/2012,51.96,-0.0024988
04/01/2012,52.09,0.002113963
03/01/2012,51.98,0.033848482
30/12/2011,50.25,-0.001392065
29/12/2011,50.32,0.012800175
28/12/2011,49.68,-0.023474322
27/12/2011,50.86,0.002362206
23/12/2011,50.74,0.005533611
22/12/2011,50.46,0.02528732
21/12/2011,49.2,0.001830943
20/12/2011,49.11,0.042639297
19/12/2011,47.06,-0.021650872
16/12/2011,48.09,-0.003735994
15/12/2011,48.27,-0.000828329
14/12/2011,48.31,-0.034384427
13/12/2011,50,-0.019998687
12/12/2011,51.01,-0.028410453
09/12/2011,52.48,0.014587591
08/12/2011,51.72,-0.041471436
07/12/2011,53.91,-0.013450226
06/12/2011,54.64,-0.008746411
05/12/2011,55.12,0.023495941
02/12/2011,53.84,-0.010531275
01/12/2011,54.41,-0.00750713
30/11/2011,54.82,0.051466124
29/11/2011,52.07,-0.00536297
28/11/2011,52.35,0.055777268
25/11/2011,49.51,-0.016426651
23/11/2011,50.33,-0.041830824
22/11/2011,52.48,0.005158097
21/11/2011,52.21,-0.005920002
18/11/2011,52.52,-0.008531666
17/11/2011,52.97,-0.035787633
16/11/2011,54.9,-0.002910151
15/11/2011,55.06,0.007108387
14/11/2011,54.67,-0.0258207
11/11/2011,56.1,0.039263495
10/11/2011,53.94,0.014942377
09/11/2011,53.14,-0.053314209
08/11/2011,56.05,0.018183956
07/11/2011,55.04,0.003275708
04/11/2011,54.86,-0.065950211
03/11/2011,58.6,0.052911272
02/11/2011,55.58,0.025142516
01/11/2011,54.2,-0.047735312
31/10/2011,56.85,-0.047742583
28/10/2011,59.63,-0.006519037
27/10/2011,60.02,0.057962391
26/10/2011,56.64,0.015120808
25/10/2011,55.79,-0.01653224
24/10/2011,56.72,0.039559275
21/10/2011,54.52,0.033003834
20/10/2011,52.75,0.004750603
19/10/2011,52.5,-0.009101314
18/10/2011,52.98,-0.000566091
17/10/2011,53.01,-0.048960827
14/10/2011,55.67,0.019407519
13/10/2011,54.6,-0.007844608
12/10/2011,55.03,0.021490404
11/10/2011,53.86,0.02044524
10/10/2011,52.77,0.051123755
07/10/2011,50.14,-0.031412084
06/10/2011,51.74,0.038417016
05/10/2011,49.79,0.019469283
04/10/2011,48.83,0.070852356
03/10/2011,45.49,-0.023034482
30/09/2011,46.55,-0.062657053
29/09/2011,49.56,0.00586868
28/09/2011,49.27,-0.049495454
