Date,Close,CMS
01/05/2012,23.24,0.010815593
30/04/2012,22.99,0.006983878
27/04/2012,22.83,0.006151162
26/04/2012,22.69,0.016441161
25/04/2012,22.32,0.003590668
24/04/2012,22.24,0.005862475
23/04/2012,22.11,-0.008556684
20/04/2012,22.3,0.011727694
19/04/2012,22.04,-0.00090703
18/04/2012,22.06,0.003633065
17/04/2012,21.98,0.004103037
16/04/2012,21.89,0.01611824
13/04/2012,21.54,0.00046436
12/04/2012,21.53,0.000464576
11/04/2012,21.52,-0.004636077
10/04/2012,21.62,-0.021958796
09/04/2012,22.1,-0.001808319
05/04/2012,22.14,-0.003156711
04/04/2012,22.21,-0.007625065
03/04/2012,22.38,0.003581024
02/04/2012,22.3,0.013544225
30/03/2012,22,0.0040993
29/03/2012,21.91,0.002742232
28/03/2012,21.85,-0.005932027
27/03/2012,21.98,-0.002272212
26/03/2012,22.03,0.005462007
23/03/2012,21.91,0.004116173
22/03/2012,21.82,0.0004584
21/03/2012,21.81,0.000917431
20/03/2012,21.79,0.007832337
19/03/2012,21.62,-0.001386642
16/03/2012,21.65,-0.009195467
15/03/2012,21.85,0.000915751
14/03/2012,21.83,-0.014100757
13/03/2012,22.14,-0.000451569
12/03/2012,22.15,0.011807585
09/03/2012,21.89,0.009178587
08/03/2012,21.69,0.005084365
07/03/2012,21.58,0.007908857
06/03/2012,21.41,-0.006981643
05/03/2012,21.56,0.006981643
02/03/2012,21.41,0.00374357
01/03/2012,21.33,-0.00374357
29/02/2012,21.41,-0.001866543
28/02/2012,21.45,-0.007894167
27/02/2012,21.62,-0.002771364
24/02/2012,21.68,0.009733565
23/02/2012,21.47,-0.002326123
22/02/2012,21.52,-0.001393081
21/02/2012,21.55,0.000464145
17/02/2012,21.54,-0.006017144
16/02/2012,21.67,0.00508907
15/02/2012,21.56,-0.002316424
14/02/2012,21.61,0.002780354
13/02/2012,21.55,-0.003705423
10/02/2012,21.63,-0.005532518
09/02/2012,21.75,-0.000459664
08/02/2012,21.76,-0.006869732
07/02/2012,21.91,0.005033184
06/02/2012,21.8,-0.010495191
03/02/2012,22.03,-0.000453823
02/02/2012,22.04,0.000453823
01/02/2012,22.03,0.00911999
31/01/2012,21.83,0.001834022
30/01/2012,21.79,-0.013673868
27/01/2012,22.09,-0.009909991
26/01/2012,22.31,0.006294985
25/01/2012,22.17,0.025583853
24/01/2012,21.61,-0.00415609
23/01/2012,21.7,0.010189991
20/01/2012,21.48,0.001397624
19/01/2012,21.45,-0.01480823
18/01/2012,21.77,0.000919118
17/01/2012,21.75,-0.007329396
13/01/2012,21.91,0.00917017
12/01/2012,21.71,0.002767529
11/01/2012,21.65,-0.004608303
10/01/2012,21.75,0.000919963
09/01/2012,21.73,0.004612554
06/01/2012,21.63,-0.009203931
05/01/2012,21.83,0.008279716
04/01/2012,21.65,-0.007821526
03/01/2012,21.82,-0.011845241
30/12/2011,22.08,-0.0121541
29/12/2011,22.35,0.008537459
28/12/2011,22.16,-0.002703922
27/12/2011,22.22,0.009041653
23/12/2011,22.02,0.013257337
22/12/2011,21.73,-0.000919963
21/12/2011,21.75,0.018562018
20/12/2011,21.35,0.028505493
19/12/2011,20.75,-0.005766474
16/12/2011,20.87,0.002398658
15/12/2011,20.82,0.014514043
14/12/2011,20.52,-0.009216655
13/12/2011,20.71,0.004840281
12/12/2011,20.61,-0.006769852
09/12/2011,20.75,0.010659016
08/12/2011,20.53,-0.017861928
07/12/2011,20.9,0.001436438
06/12/2011,20.87,0.003359734
05/12/2011,20.8,0.000480885
02/12/2011,20.79,-0.015748357
01/12/2011,21.12,0.00951482
30/11/2011,20.92,0.025170738
29/11/2011,20.4,0.018803127
28/11/2011,20.02,0.015605653
25/11/2011,19.71,0.004067113
23/11/2011,19.63,-0.019672766
22/11/2011,20.02,-0.019783039
21/11/2011,20.42,-0.02227695
18/11/2011,20.88,0.016417559
17/11/2011,20.54,-0.000486736
16/11/2011,20.55,-0.017366572
15/11/2011,20.91,0.005274527
14/11/2011,20.8,-0.019519782
11/11/2011,21.21,0.02144471
10/11/2011,20.76,0.013579258
09/11/2011,20.48,-0.025549715
08/11/2011,21.01,0.012934312
07/11/2011,20.74,0.007258682
04/11/2011,20.59,-0.005328179
03/11/2011,20.7,0.016561509
02/11/2011,20.36,0.004430231
01/11/2011,20.27,-0.026772103
31/10/2011,20.82,-0.013832799
28/10/2011,21.11,-0.012709044
27/10/2011,21.38,0.025101957
26/10/2011,20.85,0.005289745
25/10/2011,20.74,-0.015786025
24/10/2011,21.07,0.004757383
21/10/2011,20.97,0.011993428
20/10/2011,20.72,0.011162455
19/10/2011,20.49,-0.000487924
18/10/2011,20.5,0.006361656
17/10/2011,20.37,-0.00538557
14/10/2011,20.48,0.019724505
13/10/2011,20.08,0.001495141
12/10/2011,20.05,0.003998006
11/10/2011,19.97,-0.012935504
10/10/2011,20.23,0.020475122
07/10/2011,19.82,0.004044495
06/10/2011,19.74,0.01274552
05/10/2011,19.49,0.009796418
04/10/2011,19.3,0.006237026
03/10/2011,19.18,-0.03130869
30/09/2011,19.79,0
29/09/2011,19.79,0.009647193
28/09/2011,19.6,-0.020702582
27/09/2011,20.01,0.014091829
26/09/2011,19.73,0.003554205
23/09/2011,19.66,0.008171649
22/09/2011,19.5,-0.028313317
21/09/2011,20.06,-0.020232617
20/09/2011,20.47,0.010311901
19/09/2011,20.26,-0.002464877
16/09/2011,20.31,0.008405488
15/09/2011,20.14,0.023613255
14/09/2011,19.67,0.014337163
13/09/2011,19.39,0.017165571
12/09/2011,19.06,0.013203255
09/09/2011,18.81,-0.026234453
08/09/2011,19.31,0.003112036
07/09/2011,19.25,0.010969031
06/09/2011,19.04,-0.013563067
02/09/2011,19.3,-0.009796418
01/09/2011,19.49,-0.010717122
31/08/2011,19.7,0.011230338
30/08/2011,19.48,-0.00767071
29/08/2011,19.63,0.020587449
26/08/2011,19.23,0.003646787
25/08/2011,19.16,-0.019126972
24/08/2011,19.53,0.018083675
23/08/2011,19.18,0.02855826
22/08/2011,18.64,-0.012793351
19/08/2011,18.88,-0.006335818
18/08/2011,19,-0.001577702
17/08/2011,19.03,0.007913521
16/08/2011,18.88,-0.001058761
15/08/2011,18.9,0.035544937
12/08/2011,18.24,-0.013072082
11/08/2011,18.48,0.040867089
10/08/2011,17.74,-0.015105182
09/08/2011,18.01,0.048346065
08/08/2011,17.16,-0.062679276
05/08/2011,18.27,0.016000341
04/08/2011,17.98,-0.039798111
03/08/2011,18.71,-0.011689825
02/08/2011,18.93,-0.027613112
01/08/2011,19.46,0.016580691
29/07/2011,19.14,-0.015552413
28/07/2011,19.44,-0.008706841
27/07/2011,19.61,-0.015182478
26/07/2011,19.91,-0.007007036
25/07/2011,20.05,0.00600302
22/07/2011,19.93,-0.00450564
21/07/2011,20.02,0.011049836
20/07/2011,19.8,0.008113635
19/07/2011,19.64,0.010235504
18/07/2011,19.44,-0.013285837
15/07/2011,19.7,-0.001521684
14/07/2011,19.73,-0.003541618
13/07/2011,19.8,0.002022245
12/07/2011,19.76,0
11/07/2011,19.76,-0.01506809
08/07/2011,20.06,0
07/07/2011,20.06,0.000997506
06/07/2011,20.04,0.005504142
05/07/2011,19.93,-0.00899107
01/07/2011,20.11,0.021106311
30/06/2011,19.69,-0.002029427
29/06/2011,19.73,0.000506971
28/06/2011,19.72,0.007635568
27/06/2011,19.57,0.003583316
24/06/2011,19.5,0.007722046
23/06/2011,19.35,-0.011305362
22/06/2011,19.57,-0.008649253
21/06/2011,19.74,0.005078731
20/06/2011,19.64,-0.002034589
17/06/2011,19.68,0.012784628
16/06/2011,19.43,-0.002056556
15/06/2011,19.47,-0.005122962
14/06/2011,19.57,0.011305362
13/06/2011,19.35,-0.005668657
10/06/2011,19.46,-0.002566078
09/06/2011,19.51,-0.003581482
08/06/2011,19.58,0.005120339
07/06/2011,19.48,-0.004609483
06/06/2011,19.57,-0.008649253
03/06/2011,19.74,-0.003034904
02/06/2011,19.8,0.008113635
01/06/2011,19.64,-0.015159462
31/05/2011,19.94,0.012109129
27/05/2011,19.7,-0.003041057
26/05/2011,19.76,-0.00353625
25/05/2011,19.83,0.003030305
24/05/2011,19.77,-0.008562127
23/05/2011,19.94,-0.016907414
20/05/2011,20.28,-0.001970444
19/05/2011,20.32,0.00790518
18/05/2011,20.16,0.003976148
17/05/2011,20.08,-0.00199005
16/05/2011,20.12,-0.004463186
13/05/2011,20.21,-0.004935844
12/05/2011,20.31,0.006421361
11/05/2011,20.18,-0.01035257
10/05/2011,20.39,0.016316802
09/05/2011,20.06,-0.004476506
06/05/2011,20.15,0.016008346
05/05/2011,19.83,-0.003523789
04/05/2011,19.9,-0.002008033
03/05/2011,19.94,0.003516708
02/05/2011,19.87,0.003529119
29/04/2011,19.8,0.023506448
28/04/2011,19.34,0.014583592
27/04/2011,19.06,0.00631581
26/04/2011,18.94,-0.019864741
25/04/2011,19.32,-0.005677435
21/04/2011,19.43,0.002060794
20/04/2011,19.39,0.01821544
19/04/2011,19.04,0.007380107
18/04/2011,18.9,-0.019906367
15/04/2011,19.28,0.01252626
14/04/2011,19.04,0.004210533
13/04/2011,18.96,0.001583532
12/04/2011,18.93,0.001586043
11/04/2011,18.9,-0.018868484
08/04/2011,19.26,-0.016478231
07/04/2011,19.58,-0.002550371
06/04/2011,19.63,0.010755545
05/04/2011,19.42,-0.01126484
04/04/2011,19.64,-0.003050333
01/04/2011,19.7,0.003050333
31/03/2011,19.64,-0.007103023
30/03/2011,19.78,0.016824256
29/03/2011,19.45,0.007223974
28/03/2011,19.31,0.009365313
25/03/2011,19.13,0.001569448
24/03/2011,19.1,-0.005221944
23/03/2011,19.2,-0.002600782
22/03/2011,19.25,-0.000519346
21/03/2011,19.26,0.018339524
18/03/2011,18.91,0.010098412
17/03/2011,18.72,0.00643089
16/03/2011,18.6,-0.01494158
15/03/2011,18.88,-0.013154623
14/03/2011,19.13,-0.005213776
11/03/2011,19.23,-0.001039501
10/03/2011,19.25,-0.02361506
09/03/2011,19.71,0.005596555
08/03/2011,19.6,0.022704794
07/03/2011,19.16,-0.000521785
04/03/2011,19.17,-0.01244184
03/03/2011,19.41,0.010878118
02/03/2011,19.2,0.004175371
01/03/2011,19.12,-0.007295499
28/02/2011,19.26,0.006772623
25/02/2011,19.13,0.003665885
24/02/2011,19.06,-0.015100521
23/02/2011,19.35,-0.001549187
22/02/2011,19.38,-0.012307848
18/02/2011,19.62,0.004597709
17/02/2011,19.53,-0.003067487
16/02/2011,19.59,0.006658155
15/02/2011,19.46,0.006702784
14/02/2011,19.33,0.003108811
11/02/2011,19.27,-0.000518807
10/02/2011,19.28,0.009903651
09/02/2011,19.09,-0.010940458
08/02/2011,19.3,-0.009796418
07/02/2011,19.49,0.007209094
04/02/2011,19.35,-0.003095978
03/02/2011,19.41,-0.010761057
02/02/2011,19.62,-0.004576667
01/02/2011,19.71,0.010711656
31/01/2011,19.5,0.008238976
28/01/2011,19.34,-0.014883518
27/01/2011,19.63,0.005619427
26/01/2011,19.52,-0.001024066
25/01/2011,19.54,0.00822204
24/01/2011,19.38,0.012983823
21/01/2011,19.13,0.000522876
20/01/2011,19.12,0.006295928
19/01/2011,19,-0.007341407
18/01/2011,19.14,0.007341407
14/01/2011,19,0.003162891
13/01/2011,18.94,0.004232811
12/01/2011,18.86,0.006383
11/01/2011,18.74,0
10/01/2011,18.74,-0.009030606
07/01/2011,18.91,0.010632742
06/01/2011,18.71,-0.002135612
05/01/2011,18.75,-0.002663117
04/01/2011,18.8,0.002129926
03/01/2011,18.76,0.008565363
31/12/2010,18.6,-0.008565363
30/12/2010,18.76,-0.000532907
29/12/2010,18.77,0.000532907
28/12/2010,18.76,-0.009549144
27/12/2010,18.94,-0.011548685
23/12/2010,19.16,0.001044387
22/12/2010,19.14,-0.00052233
21/12/2010,19.15,0.00052233
20/12/2010,19.14,0.002615748
17/12/2010,19.09,0.004199481
16/12/2010,19.01,0.009513814
15/12/2010,18.83,-0.005296623
14/12/2010,18.93,0.002115284
13/12/2010,18.89,0.006905738
10/12/2010,18.76,0.005880797
09/12/2010,18.65,0.006994917
08/12/2010,18.52,0.005957234
07/12/2010,18.41,-0.011879189
06/12/2010,18.63,0.000536913
03/12/2010,18.62,0.009171901
02/12/2010,18.45,0.013093477
01/12/2010,18.21,0.013267193
30/11/2010,17.97,0.003344485
29/11/2010,17.91,0.001676446
26/11/2010,17.88,-0.006688988
24/11/2010,18,0.007248429
23/11/2010,17.87,-0.008358923
22/11/2010,18.02,0.01059982
