Date,Close,ETN
17/02/2012,50.82,-0.003731714
16/02/2012,51.01,0.002748333
15/02/2012,50.87,-0.016957818
14/02/2012,51.74,-0.005973618
13/02/2012,52.05,0.011788715
10/02/2012,51.44,-0.006974069
09/02/2012,51.8,0.002899954
08/02/2012,51.65,0.006994394
07/02/2012,51.29,0.003907018
06/02/2012,51.09,0.003136642
03/02/2012,50.93,0.031919726
02/02/2012,49.33,-0.009884095
01/02/2012,49.82,0.015984154
31/01/2012,49.03,-0.012767424
30/01/2012,49.66,0.001813968
27/01/2012,49.57,0.012995107
26/01/2012,48.93,-0.012389719
25/01/2012,49.54,0.014845214
24/01/2012,48.81,0.01506892
23/01/2012,48.08,-0.006220215
20/01/2012,48.38,-0.03353632
19/01/2012,50.03,0.012065298
18/01/2012,49.43,0.009962469
17/01/2012,48.94,0.00471071
13/01/2012,48.71,-0.009399334
12/01/2012,49.17,0.018473432
11/01/2012,48.27,0.011040629
10/01/2012,47.74,0.04717856
09/01/2012,45.54,0.005504803
06/01/2012,45.29,-0.008136384
05/01/2012,45.66,0.003949972
04/01/2012,45.48,-0.000219853
03/01/2012,45.49,0.044042166
30/12/2011,43.53,-0.008691729
29/12/2011,43.91,0.01398945
28/12/2011,43.3,-0.026437274
27/12/2011,44.46,0.002251746
23/12/2011,44.36,0.022339657
22/12/2011,43.38,-0.007349597
21/12/2011,43.7,0.001603115
20/12/2011,43.63,0.043806044
19/12/2011,41.76,-0.010244283
16/12/2011,42.19,0.004989912
15/12/2011,41.98,0.003340495
14/12/2011,41.84,-0.030365991
13/12/2011,43.13,-0.006471019
12/12/2011,43.41,-0.021422879
09/12/2011,44.35,0.009515251
08/12/2011,43.93,-0.037090936
07/12/2011,45.59,-0.011341452
06/12/2011,46.11,0.002171082
05/12/2011,46.01,0.025981206
02/12/2011,44.83,0.00536794
01/12/2011,44.59,-0.007150868
30/11/2011,44.91,0.058219922
29/11/2011,42.37,0.00094451
28/11/2011,42.33,0.042960274
25/11/2011,40.55,-0.007860517
23/11/2011,40.87,-0.040518547
22/11/2011,42.56,-0.012608152
21/11/2011,43.1,-0.0188468
18/11/2011,43.92,0.001595078
17/11/2011,43.85,-0.024776042
16/11/2011,44.95,-0.032610396
15/11/2011,46.44,0.007348207
14/11/2011,46.1,0.010028425
11/11/2011,45.64,0.02552008
10/11/2011,44.49,0.012211821
09/11/2011,43.95,-0.045371357
08/11/2011,45.99,0.016000341
07/11/2011,45.26,-0.014912557
04/11/2011,45.94,-0.008885095
03/11/2011,46.35,0.023355858
02/11/2011,45.28,0.022332326
01/11/2011,44.28,-0.012121361
31/10/2011,44.82,-0.046854632
28/10/2011,46.97,0.003198638
27/10/2011,46.82,0.068047447
26/10/2011,43.74,0.013812374
25/10/2011,43.14,-0.024952651
24/10/2011,44.23,0.045798938
21/10/2011,42.25,0.019116472
20/10/2011,41.45,-0.009125904
19/10/2011,41.83,-0.011646002
18/10/2011,42.32,0.03486349
17/10/2011,40.87,-0.03131277
14/10/2011,42.17,0.004039449
13/10/2011,42,0.010772097
12/10/2011,41.55,0.025842491
11/10/2011,40.49,0.013676702
10/10/2011,39.94,0.033349151
07/10/2011,38.63,-0.009276026
06/10/2011,38.99,0.037898172
05/10/2011,37.54,0.048856762
04/10/2011,35.75,0.0454949
03/10/2011,34.16,-0.038477328
30/09/2011,35.5,-0.036236851
29/09/2011,36.81,0.011475536
28/09/2011,36.39,-0.020131257
27/09/2011,37.13,0.035081701
26/09/2011,35.85,0.0317397
23/09/2011,34.73,-0.002300835
22/09/2011,34.81,-0.039430622
21/09/2011,36.21,-0.062880146
20/09/2011,38.56,-0.030897389
19/09/2011,39.77,0.000754622
16/09/2011,39.74,-0.036565338
15/09/2011,41.22,0.025305367
14/09/2011,40.19,0.022139269
13/09/2011,39.31,0.021860199
12/09/2011,38.46,-0.005186734
09/09/2011,38.66,-0.030567841
08/09/2011,39.86,-0.033792832
07/09/2011,41.23,0.029037473
06/09/2011,40.05,-0.00671895
02/09/2011,40.32,-0.042011763
01/09/2011,42.05,-0.021177262
31/08/2011,42.95,0.004667453
30/08/2011,42.75,0.015321455
29/08/2011,42.1,0.045434755
26/08/2011,40.23,0.020339684
25/08/2011,39.42,-0.031954791
24/08/2011,40.7,0.034240506
23/08/2011,39.33,0.038092441
22/08/2011,37.86,-0.001055966
19/08/2011,37.9,-0.020888488
18/08/2011,38.7,-0.070817218
17/08/2011,41.54,-0.016710821
16/08/2011,42.24,-0.010362787
15/08/2011,42.68,0.020594881
12/08/2011,41.81,0.028136709
11/08/2011,40.65,0.041180812
10/08/2011,39.01,-0.043637816
09/08/2011,40.75,0.070659465
08/08/2011,37.97,-0.109172047
05/08/2011,42.35,0.009728396
04/08/2011,41.94,-0.081032643
03/08/2011,45.48,0.006175582
02/08/2011,45.2,-0.050474375
01/08/2011,47.54,-0.008587339
29/07/2011,47.95,-0.001458789
28/07/2011,48.02,-0.02630649
27/07/2011,49.3,-0.03056265
26/07/2011,50.83,-0.034039256
25/07/2011,52.59,0.027568011
22/07/2011,51.16,-0.007594234
21/07/2011,51.55,0.008767713
20/07/2011,51.1,-0.006825965
19/07/2011,51.45,0.016856534
18/07/2011,50.59,-0.014521448
15/07/2011,51.33,0.005469832
14/07/2011,51.05,-0.020551324
13/07/2011,52.11,0.012357755
12/07/2011,51.47,-0.002522559
11/07/2011,51.6,-0.017862762
08/07/2011,52.53,-0.006640761
07/07/2011,52.88,0.017935989
06/07/2011,51.94,-0.007289501
05/07/2011,52.32,-0.006287531
01/07/2011,52.65,0.023055776
30/06/2011,51.45,0.025591948
29/06/2011,50.15,0.013652089
28/06/2011,49.47,0.025385191
27/06/2011,48.23,0.000829703
24/06/2011,48.19,-0.013602848
23/06/2011,48.85,0.009667873
22/06/2011,48.38,-0.006387165
21/06/2011,48.69,0.026640493
20/06/2011,47.41,0.008685575
17/06/2011,47,0.006189327
16/06/2011,46.71,0.004075947
15/06/2011,46.52,-0.018950849
14/06/2011,47.41,0.023691216
13/06/2011,46.3,0.010639553
10/06/2011,45.81,-0.021594447
09/06/2011,46.81,0.012035391
08/06/2011,46.25,-0.028140846
07/06/2011,47.57,-0.015022189
06/06/2011,48.29,-0.012757375
03/06/2011,48.91,-0.022840811
02/06/2011,50.04,0.016522641
01/06/2011,49.22,-0.048577297
31/05/2011,51.67,0.005628351
27/05/2011,51.38,0.013914972
26/05/2011,50.67,0.005144451
25/05/2011,50.41,0.013983448
24/05/2011,49.71,-0.001608041
23/05/2011,49.79,-0.023423064
20/05/2011,50.97,-0.008011767
19/05/2011,51.38,0.025627265
18/05/2011,50.08,0.008623336
17/05/2011,49.65,-0.037359815
16/05/2011,51.54,-0.007345867
13/05/2011,51.92,-0.014152082
12/05/2011,52.66,0.0118435
11/05/2011,52.04,0.000384394
10/05/2011,52.02,0.00501061
09/05/2011,51.76,-0.000386324
06/05/2011,51.78,0.004451764
05/05/2011,51.55,-0.013870382
04/05/2011,52.27,-0.002293141
03/05/2011,52.39,-0.014026007
02/05/2011,53.13,-0.00806078
29/04/2011,53.56,-0.019048195
28/04/2011,54.59,-0.0174328
27/04/2011,55.55,0.011588035
26/04/2011,54.91,0.023959863
25/04/2011,53.61,-0.005209314
21/04/2011,53.89,0.007263278
20/04/2011,53.5,0.016395355
19/04/2011,52.63,0.020346191
18/04/2011,51.57,-0.015011829
15/04/2011,52.35,-0.000381971
14/04/2011,52.37,0.001337537
13/04/2011,52.3,-0.003816799
12/04/2011,52.5,-0.020362695
11/04/2011,53.58,-0.012611443
08/04/2011,54.26,-0.013364043
07/04/2011,54.99,-0.001998366
06/04/2011,55.1,-0.00217549
05/04/2011,55.22,-0.006857995
04/04/2011,55.6,-0.005560054
01/04/2011,55.91,0.0084419
31/03/2011,55.44,0.011246264
30/03/2011,54.82,0.007874777
29/03/2011,54.39,0.007011099
28/03/2011,54.01,0
25/03/2011,54.01,0.010984007
24/03/2011,53.42,0.019660369
23/03/2011,52.38,-0.001907306
22/03/2011,52.48,-0.013062183
21/03/2011,53.17,0.027069895
18/03/2011,51.75,0.007759496
