Date,Close,STX
08/05/2012,30.41,-0.019538231
07/05/2012,31.01,0.018880769
04/05/2012,30.43,-0.026270361
03/05/2012,31.24,-0.030577638
02/05/2012,32.21,0.009984482
01/05/2012,31.89,0.036077336
30/04/2012,30.76,0.039116687
27/04/2012,29.58,-0.049787767
26/04/2012,31.09,0.002254066
25/04/2012,31.02,0.038782382
24/04/2012,29.84,0.017579898
23/04/2012,29.32,0.003758761
20/04/2012,29.21,0.015177939
19/04/2012,28.77,-0.00658239
18/04/2012,28.96,0.037647366
17/04/2012,27.89,-0.021986701
16/04/2012,28.51,0.040442083
13/04/2012,27.38,0.014346393
12/04/2012,26.99,0.041609633
11/04/2012,25.89,0.009703162
10/04/2012,25.64,-0.033368388
09/04/2012,26.51,0.030253121
05/04/2012,25.72,-0.064732903
04/04/2012,27.44,-0.016266399
03/04/2012,27.89,-0.002506716
02/04/2012,27.96,0.036420631
30/03/2012,26.96,-0.00481037
29/03/2012,27.09,-0.005154651
28/03/2012,27.23,-0.004397222
27/03/2012,27.35,-0.01991016
26/03/2012,27.9,-0.002148229
23/03/2012,27.96,0.001073537
22/03/2012,27.93,0.044663353
21/03/2012,26.71,0.005255267
20/03/2012,26.57,0.004904745
19/03/2012,26.44,-0.010160012
16/03/2012,26.71,0.004878974
15/03/2012,26.58,-0.031478252
14/03/2012,27.43,-0.020567205
13/03/2012,28,0.004294924
12/03/2012,27.88,-0.016011728
09/03/2012,28.33,0.012431345
08/03/2012,27.98,0.012949821
07/03/2012,27.62,0.026042183
06/03/2012,26.91,-0.027489361
05/03/2012,27.66,0.013833493
02/03/2012,27.28,-0.00292826
01/03/2012,27.36,0.041035224
29/02/2012,26.26,-0.030748579
28/02/2012,27.08,0.013757421
27/02/2012,26.71,-0.028784275
24/02/2012,27.49,0.013919639
23/02/2012,27.11,0.024268505
22/02/2012,26.46,-0.00977819
21/02/2012,26.72,-0.005970167
17/02/2012,26.88,-0.011098893
16/02/2012,27.18,0.036721998
15/02/2012,26.2,-0.015151805
14/02/2012,26.6,0.020893448
13/02/2012,26.05,-0.005741643
10/02/2012,26.2,-0.01815481
09/02/2012,26.68,-0.011922645
08/02/2012,27,0.012297528
07/02/2012,26.67,0.010175328
06/02/2012,26.4,-0.000757289
03/02/2012,26.42,0.025686672
02/02/2012,25.75,0.008580396
