Date,Close,IP
27/04/2012,33.85,0.002958582
26/04/2012,33.75,0.005943554
25/04/2012,33.55,0.021998778
24/04/2012,32.82,0.015970855
23/04/2012,32.3,-0.022046208
20/04/2012,33.02,0.001818733
19/04/2012,32.96,-0.002726861
18/04/2012,33.05,-0.005130538
17/04/2012,33.22,0.010895992
16/04/2012,32.86,-0.003341944
13/04/2012,32.97,-0.009058033
12/04/2012,33.27,0.016058518
11/04/2012,32.74,0.002140346
10/04/2012,32.67,-0.039020557
09/04/2012,33.97,-0.026149079
05/04/2012,34.87,-0.00657427
04/04/2012,35.1,0.003424661
03/04/2012,34.98,-0.005416977
02/04/2012,35.17,0.001992316
30/03/2012,35.1,-0.001707942
29/03/2012,35.16,0.008282212
28/03/2012,34.87,-0.024363811
27/03/2012,35.73,-0.006972556
26/03/2012,35.98,0.022201277
23/03/2012,35.19,0.003986338
22/03/2012,35.05,-0.017814694
21/03/2012,35.68,0.010707344
20/03/2012,35.3,-0.003958162
19/03/2012,35.44,-0.00366146
16/03/2012,35.57,-0.010348295
15/03/2012,35.94,0.00642012
14/03/2012,35.71,-0.01611146
13/03/2012,36.29,0.022573064
12/03/2012,35.48,0.007071165
09/03/2012,35.23,-0.001701645
08/03/2012,35.29,0.014844692
07/03/2012,34.77,-0.01030052
06/03/2012,35.13,-0.0101955
05/03/2012,35.49,-0.003656311
02/03/2012,35.62,0.011861195
01/03/2012,35.2,0.001421464
29/02/2012,35.15,0.01490426
28/02/2012,34.63,0.021010402
27/02/2012,33.91,0.02962958
24/02/2012,32.92,-0.001214329
23/02/2012,32.96,-0.004238577
22/02/2012,33.1,-0.006624535
21/02/2012,33.32,-0.004192878
17/02/2012,33.46,-0.007147142
16/02/2012,33.7,0.025546092
15/02/2012,32.85,-0.006069821
14/02/2012,33.05,0.000908128
13/02/2012,33.02,0.036076056
10/02/2012,31.85,0.011684958
09/02/2012,31.48,0.016979424
08/02/2012,30.95,-0.005156312
07/02/2012,31.11,-0.0115054
06/02/2012,31.47,-0.012002671
03/02/2012,31.85,0.007880261
02/02/2012,31.6,0.006986373
01/02/2012,31.38,0.007677581
31/01/2012,31.14,0.001606942
30/01/2012,31.09,0.003544389
27/01/2012,30.98,-0.008677541
26/01/2012,31.25,-0.002237495
25/01/2012,31.32,-0.026466573
24/01/2012,32.16,0.022960594
23/01/2012,31.43,-0.032245711
20/01/2012,32.46,0.000924642
19/01/2012,32.43,0.011162907
18/01/2012,32.07,0.012235447
17/01/2012,31.68,0.006015532
13/01/2012,31.49,-0.00790768
12/01/2012,31.74,0.019084549
11/01/2012,31.14,-0.005763705
10/01/2012,31.32,0.008014148
09/01/2012,31.07,0.004192878
06/01/2012,30.94,0.015963851
05/01/2012,30.45,0.011560822
04/01/2012,30.1,0.00432829
03/01/2012,29.97,0.01242252
30/12/2011,29.6,-0.001350439
29/12/2011,29.64,0.011537284
28/12/2011,29.3,-0.004087199
27/12/2011,29.42,0.00613708
23/12/2011,29.24,0.009622067
22/12/2011,28.96,0.008670073
21/12/2011,28.71,0.007341407
20/12/2011,28.5,0.041187558
19/12/2011,27.35,-0.015959715
16/12/2011,27.79,0.009399925
15/12/2011,27.53,0.009122486
14/12/2011,27.28,0.000366636
13/12/2011,27.27,-0.019248824
12/12/2011,27.8,-0.016765151
09/12/2011,28.27,0.020007813
08/12/2011,27.71,-0.034057921
07/12/2011,28.67,0.001396161
06/12/2011,28.63,-0.015251595
05/12/2011,29.07,0.010373537
02/12/2011,28.77,0.033577991
01/12/2011,27.82,-0.020633959
30/11/2011,28.4,0.062849807
29/11/2011,26.67,0.007149607
28/11/2011,26.48,0.022532937
25/11/2011,25.89,0.012045998
23/11/2011,25.58,-0.040227604
22/11/2011,26.63,-0.018233063
21/11/2011,27.12,-0.032647078
18/11/2011,28.02,0.006803965
17/11/2011,27.83,-0.006447014
16/11/2011,28.01,-0.004630462
15/11/2011,28.14,-0.000355303
14/11/2011,28.15,-0.02594816
11/11/2011,28.89,0.019574201
10/11/2011,28.33,0.009219923
09/11/2011,28.07,-0.044250382
08/11/2011,29.34,0.021706279
07/11/2011,28.71,-0.003477055
04/11/2011,28.81,0.012574389
03/11/2011,28.45,0.03505366
02/11/2011,27.47,0.017628073
01/11/2011,26.99,-0.025965986
31/10/2011,27.7,-0.039290136
28/10/2011,28.81,-0.004847655
27/10/2011,28.95,0.085411151
26/10/2011,26.58,0.01135086
25/10/2011,26.28,-0.018100042
24/10/2011,26.76,0.031507636
21/10/2011,25.93,0.013198949
20/10/2011,25.59,0.007452476
19/10/2011,25.4,-0.020265697
18/10/2011,25.92,0.032545511
17/10/2011,25.09,-0.036011719
14/10/2011,26.01,0.011601058
13/10/2011,25.71,0.000389029
12/10/2011,25.7,0.018457229
11/10/2011,25.23,0.005165917
10/10/2011,25.1,0.04273285
07/10/2011,24.05,-0.018129874
06/10/2011,24.49,0.018129874
05/10/2011,24.05,0.035982718
04/10/2011,23.2,0.023992427
03/10/2011,22.65,-0.02614528
30/09/2011,23.25,-0.037979248
29/09/2011,24.15,-0.005368586
28/09/2011,24.28,-0.074196224
27/09/2011,26.15,0.028312925
26/09/2011,25.42,0.015860761
23/09/2011,25.02,0.014493007
22/09/2011,24.66,-0.051759528
21/09/2011,25.97,-0.047009972
20/09/2011,27.22,-0.014226029
19/09/2011,27.61,-0.013311943
16/09/2011,27.98,0.007173632
15/09/2011,27.78,0.032561867
14/09/2011,26.89,0.005593899
13/09/2011,26.74,0.032303778
12/09/2011,25.89,-0.010756923
09/09/2011,26.17,-0.03085271
08/09/2011,26.99,-0.038165635
07/09/2011,28.04,0.009675761
06/09/2011,27.77,0.085670083
02/09/2011,25.49,-0.033182057
01/09/2011,26.35,-0.029908771
31/08/2011,27.15,0.009622576
30/08/2011,26.89,0.004472613
29/08/2011,26.77,0.041569379
26/08/2011,25.68,0.024040567
25/08/2011,25.07,-0.020138884
24/08/2011,25.58,0.03947094
23/08/2011,24.59,0.050031276
22/08/2011,23.39,-0.011899843
19/08/2011,23.67,-0.016342287
18/08/2011,24.06,-0.082150594
17/08/2011,26.12,0.003451585
16/08/2011,26.03,-0.00612794
15/08/2011,26.19,0.024740342
12/08/2011,25.55,0.000783085
11/08/2011,25.53,0.054742037
10/08/2011,24.17,-0.026134603
09/08/2011,24.81,0.065802251
08/08/2011,23.23,-0.09519277
05/08/2011,25.55,-0.01089929
04/08/2011,25.83,-0.094148065
03/08/2011,28.38,-0.005271493
02/08/2011,28.53,-0.035465931
01/08/2011,29.56,-0.00472495
29/07/2011,29.7,-0.027562761
28/07/2011,30.53,0.021855175
27/07/2011,29.87,-0.02577803
26/07/2011,30.65,-0.003907527
25/07/2011,30.77,-0.002920658
22/07/2011,30.86,-0.002912152
21/07/2011,30.95,0.027847827
20/07/2011,30.1,0.010352405
19/07/2011,29.79,0.016585251
18/07/2011,29.3,-0.019267116
15/07/2011,29.87,0.006718198
14/07/2011,29.67,-0.010727558
13/07/2011,29.99,0.012076631
12/07/2011,29.63,-0.010408017
11/07/2011,29.94,-0.010631329
08/07/2011,30.26,-0.009865256
07/07/2011,30.56,0.016829303
06/07/2011,30.05,0.006008029
05/07/2011,29.87,-0.024472121
01/07/2011,30.61,0.026147444
30/06/2011,29.82,0.022381402
29/06/2011,29.16,-0.003423488
28/06/2011,29.26,0.003423488
27/06/2011,29.16,0.013117206
24/06/2011,28.78,-0.005889503
23/06/2011,28.95,0.007280323
22/06/2011,28.74,-0.001390821
21/06/2011,28.78,0.047678899
20/06/2011,27.44,0.032219043
17/06/2011,26.57,-0.00225564
16/06/2011,26.63,-0.016018223
15/06/2011,27.06,-0.029494219
14/06/2011,27.87,0.010822616
13/06/2011,27.57,-0.02613358
10/06/2011,28.3,-0.032333774
09/06/2011,29.23,0.015167474
08/06/2011,28.79,-0.033808923
07/06/2011,29.78,0.004374902
06/06/2011,29.65,-0.007727235
03/06/2011,29.88,-0.014288331
02/06/2011,30.31,0.003635767
01/06/2011,30.2,-0.033216991
31/05/2011,31.22,0.009979159
27/05/2011,30.91,0.010733556
26/05/2011,30.58,0.006890921
25/05/2011,30.37,0.008597937
24/05/2011,30.11,0.000332171
23/05/2011,30.1,-0.039412364
20/05/2011,31.31,-0.011432325
19/05/2011,31.67,-0.000631313
18/05/2011,31.69,0.014622002
17/05/2011,31.23,-0.007019812
16/05/2011,31.45,0.002546961
13/05/2011,31.37,-0.029834211
12/05/2011,32.32,-0.008626055
11/05/2011,32.6,-0.007943824
10/05/2011,32.86,0.019979149
09/05/2011,32.21,0.013754515
06/05/2011,31.77,0.013946343
05/05/2011,31.33,-0.010793756
04/05/2011,31.67,-0.011615262
03/05/2011,32.04,-0.007772463
02/05/2011,32.29,0.04464886
29/04/2011,30.88,0.013037994
28/04/2011,30.48,0.016540238
27/04/2011,29.98,-0.006648961
26/04/2011,30.18,0.021434176
25/04/2011,29.54,-0.015452105
21/04/2011,30,0.003338901
20/04/2011,29.9,0.011774737
19/04/2011,29.55,0.013285837
18/04/2011,29.16,-0.026731417
15/04/2011,29.95,0.023649751
14/04/2011,29.25,0.014463062
13/04/2011,28.83,0.001041125
12/04/2011,28.8,-0.005885425
11/04/2011,28.97,-0.031597669
08/04/2011,29.9,-0.007662873
07/04/2011,30.13,-0.006945621
06/04/2011,30.34,-0.011144003
05/04/2011,30.68,0.020082979
04/04/2011,30.07,-0.01157229
01/04/2011,30.42,0.007920833
31/03/2011,30.18,0.014686512
30/03/2011,29.74,0.028651346
29/03/2011,28.9,0.046025822
28/03/2011,27.6,-0.006860471
25/03/2011,27.79,0.017789542
24/03/2011,27.3,0.014017197
23/03/2011,26.92,0.003721627
22/03/2011,26.82,-0.010754786
21/03/2011,27.11,0.008892241
18/03/2011,26.87,0.021441483
17/03/2011,26.3,0.025805399
16/03/2011,25.63,-0.005447484
15/03/2011,25.77,-0.006575154
14/03/2011,25.94,-0.00192567
11/03/2011,25.99,0.011220857
10/03/2011,25.7,-0.028387023
09/03/2011,26.44,-0.001511716
08/03/2011,26.48,0.006820792
07/03/2011,26.3,-0.018086401
04/03/2011,26.78,-0.017765086
03/03/2011,27.26,0.019633896
02/03/2011,26.73,0.000374181
01/03/2011,26.72,-0.038903989
28/02/2011,27.78,-0.010741242
25/02/2011,28.08,0.019418086
24/02/2011,27.54,0.010953012
23/02/2011,27.24,-0.009499523
22/02/2011,27.5,-0.053799243
18/02/2011,29.02,-0.042832378
17/02/2011,30.29,0.009286966
16/02/2011,30.01,-0.001664725
15/02/2011,30.06,0.009358357
14/02/2011,29.78,0.014885255
11/02/2011,29.34,-0.001702708
10/02/2011,29.39,-0.00847032
