Date,Close,C
03/01/2012,28.33,0.073972219
30/12/2011,26.31,-0.01695914
29/12/2011,26.76,0.023824156
28/12/2011,26.13,-0.029042207
27/12/2011,26.9,-0.020604114
23/12/2011,27.46,-0.006895328
22/12/2011,27.65,0.057690414
21/12/2011,26.1,0.005763705
20/12/2011,25.95,0.04452183
19/12/2011,24.82,-0.047599939
16/12/2011,26.03,0.004234848
15/12/2011,25.92,-0.005002897
14/12/2011,26.05,-0.032108518
13/12/2011,26.9,-0.011825711
12/12/2011,27.22,-0.05538118
09/12/2011,28.77,0.036097337
08/12/2011,27.75,-0.072278758
07/12/2011,29.83,0.002685467
06/12/2011,29.75,-0.002685467
05/12/2011,29.83,0.057257017
02/12/2011,28.17,0.042791155
01/12/2011,26.99,-0.01799204
30/11/2011,27.48,0.08502843
29/11/2011,25.24,0.00755621
28/11/2011,25.05,0.058356736
25/11/2011,23.63,0.005091229
23/11/2011,23.51,-0.039613268
22/11/2011,24.46,-0.021836695
21/11/2011,25,-0.049932369
18/11/2011,26.28,0.010711656
17/11/2011,26,-0.032541653
16/11/2011,26.86,-0.04228035
15/11/2011,28.02,-0.012766131
14/11/2011,28.38,-0.032926211
11/11/2011,29.33,0.024155764
10/11/2011,28.63,-0.007654874
09/11/2011,28.85,-0.08533464
08/11/2011,31.42,0.028079947
07/11/2011,30.55,0.006897712
04/11/2011,30.34,-0.014398154
03/11/2011,30.78,0.03135053
02/11/2011,29.83,0.022373815
01/11/2011,29.17,-0.079699831
31/10/2011,31.59,-0.078214754
28/10/2011,34.16,-0.000292697
27/10/2011,34.17,0.092533821
26/10/2011,31.15,0.008058061
25/10/2011,30.9,-0.022400937
24/10/2011,31.6,0.042009408
21/10/2011,30.3,0.007287213
20/10/2011,30.08,0.023206019
19/10/2011,29.39,-0.01653488
18/10/2011,29.88,0.06748798
17/10/2011,27.93,-0.016687765
14/10/2011,28.4,0.027125146
13/10/2011,27.64,-0.05490471
12/10/2011,29.2,0.047694874
11/10/2011,27.84,0.049706532
10/10/2011,26.49,0.072802091
07/10/2011,24.63,-0.054900261
06/10/2011,26.02,0.051657453
05/10/2011,24.71,0.013034808
04/10/2011,24.39,0.053907788
03/10/2011,23.11,-0.103107872
30/09/2011,25.62,-0.04875299
29/09/2011,26.9,0.037111415
28/09/2011,25.92,-0.040451556
27/09/2011,26.99,0.010054078
26/09/2011,26.72,0.067336844
23/09/2011,24.98,0.041689731
22/09/2011,23.96,-0.063076685
21/09/2011,25.52,-0.053778448
20/09/2011,26.93,-0.028552452
19/09/2011,27.71,-0.045157584
16/09/2011,28.99,0.013893937
15/09/2011,28.59,0.042879023
14/09/2011,27.39,0.012490978
13/09/2011,27.05,0.003332719
12/09/2011,26.96,0.008193714
09/09/2011,26.74,-0.045329398
08/09/2011,27.98,-0.035115968
07/09/2011,28.98,0.045173524
06/09/2011,27.7,-0.024956732
02/09/2011,28.4,-0.054808236
01/09/2011,30,-0.034401427
31/08/2011,31.05,0.003548963
30/08/2011,30.94,-0.011248713
29/08/2011,31.29,0.047448782
26/08/2011,29.84,0.000335177
25/08/2011,29.83,0.047366438
24/08/2011,28.45,0.040529126
23/08/2011,27.32,0.047217463
22/08/2011,26.06,-0.026880286
19/08/2011,26.77,-0.044208112
18/08/2011,27.98,-0.064694871
17/08/2011,29.85,-0.003010539
16/08/2011,29.94,-0.043463792
15/08/2011,31.27,0.046474332
12/08/2011,29.85,-0.014632785
11/08/2011,30.29,0.061264477
10/08/2011,28.49,-0.110541874
09/08/2011,31.82,0.129677823
08/08/2011,27.95,-0.179335589
05/08/2011,33.44,-0.040151914
04/08/2011,34.81,-0.068015663
03/08/2011,37.26,0.005921955
02/08/2011,37.04,-0.038140216
01/08/2011,38.48,0.003644888
29/07/2011,38.34,0.004181919
28/07/2011,38.18,-0.002354481
27/07/2011,38.27,-0.03718854
26/07/2011,39.72,-0.00477208
25/07/2011,39.91,-0.008731501
22/07/2011,40.26,-0.001489204
21/07/2011,40.32,0.043077347
20/07/2011,38.62,0.01565794
19/07/2011,38.02,0.007391797
18/07/2011,37.74,-0.016815951
15/07/2011,38.38,-0.016537845
14/07/2011,39.02,-0.011466554
13/07/2011,39.47,0.010185981
12/07/2011,39.07,-0.018260715
11/07/2011,39.79,-0.054768025
08/07/2011,42.03,-0.014174582
07/07/2011,42.63,0.014650546
06/07/2011,42.01,-0.013242095
05/07/2011,42.57,-0.007255737
01/07/2011,42.88,0.029344273
30/06/2011,41.64,0.003367817
29/06/2011,41.5,0.033070987
28/06/2011,40.15,0.003993018
27/06/2011,39.99,0.010052862
24/06/2011,39.59,0.00455697
23/06/2011,39.41,-0.002534213
22/06/2011,39.51,0.005074865
21/06/2011,39.31,0.029691093
20/06/2011,38.16,-0.00366205
17/06/2011,38.3,0.017648292
16/06/2011,37.63,-0.009784555
15/06/2011,38,-0.02031849
14/06/2011,38.78,-0.010006498
13/06/2011,39.17,0.03243247
10/06/2011,37.92,0.003963541
09/06/2011,37.77,0.025745589
08/06/2011,36.81,-0.020702447
07/06/2011,37.58,-0.012954576
06/06/2011,38.07,-0.045695835
03/06/2011,39.85,-0.004007018
02/06/2011,40.01,0.009038475
01/06/2011,39.65,-0.037132979
31/05/2011,41.15,0.004383836
27/05/2011,40.97,0.018475707
26/05/2011,40.22,-0.002731225
25/05/2011,40.33,-0.004453248
24/05/2011,40.51,0.008677382
23/05/2011,40.16,-0.021188277
20/05/2011,41.02,-0.00873792
19/05/2011,41.38,0.003389013
18/05/2011,41.24,-0.007248159
17/05/2011,41.54,0.00846131
16/05/2011,41.19,-0.008220549
13/05/2011,41.53,-0.021203891
12/05/2011,42.42,-0.011717969
11/05/2011,42.92,-0.029386871
10/05/2011,44.2,0.000905387
09/05/2011,44.16,2.279307408
06/05/2011,4.52,0.008888947
05/05/2011,4.48,-0.008888947
04/05/2011,4.52,0
03/05/2011,4.52,0.006659292
02/05/2011,4.49,-0.022027322
29/04/2011,4.59,0
28/04/2011,4.59,0.017582871
27/04/2011,4.51,0
26/04/2011,4.51,-0.00221484
25/04/2011,4.52,-0.006615239
21/04/2011,4.55,-0.004385972
20/04/2011,4.57,0.008791265
19/04/2011,4.53,0.024582243
18/04/2011,4.42,0
15/04/2011,4.42,-0.002259888
14/04/2011,4.43,-0.015677813
13/04/2011,4.5,-0.011049836
12/04/2011,4.55,0.004405293
11/04/2011,4.53,-0.006600684
08/04/2011,4.56,-0.004376375
07/04/2011,4.58,-0.002181026
06/04/2011,4.59,0.026491615
05/04/2011,4.47,0.008988825
04/04/2011,4.43,-0.004504512
01/04/2011,4.45,0.0067644
31/03/2011,4.42,-0.0067644
30/03/2011,4.45,0
29/03/2011,4.45,0.004504512
28/03/2011,4.43,-0.006749182
25/03/2011,4.46,0.006749182
24/03/2011,4.43,0.006795043
23/03/2011,4.4,-0.004535155
22/03/2011,4.42,-0.002259888
21/03/2011,4.43,-0.015677813
18/03/2011,4.5,0.011173301
17/03/2011,4.45,0.013574869
16/03/2011,4.39,-0.011325149
15/03/2011,4.44,-0.022272636
14/03/2011,4.54,-0.006586193
11/03/2011,4.57,0.006586193
10/03/2011,4.54,-0.023940208
09/03/2011,4.65,0.002152853
08/03/2011,4.64,0.026202372
07/03/2011,4.52,-0.004415018
04/03/2011,4.54,-0.030371098
03/03/2011,4.68,0.017241806
02/03/2011,4.6,0.006543099
01/03/2011,4.57,-0.023784905
28/02/2011,4.68,-0.004264399
25/02/2011,4.7,0.002129926
24/02/2011,4.69,-0.002129926
23/02/2011,4.7,0.002129926
22/02/2011,4.69,-0.045841359
18/02/2011,4.91,-0.006091389
17/02/2011,4.94,0.008130126
16/02/2011,4.9,-0.002038737
15/02/2011,4.91,0
14/02/2011,4.91,0.006128722
11/02/2011,4.88,0.020704673
10/02/2011,4.78,-0.012474174
09/02/2011,4.84,-0.010277583
08/02/2011,4.89,-0.002042902
07/02/2011,4.9,0.016461277
04/02/2011,4.82,0.002076844
03/02/2011,4.81,-0.008281621
02/02/2011,4.85,-0.0102565
01/02/2011,4.9,0.016461277
31/01/2011,4.82,0.020965128
28/01/2011,4.72,-0.023037668
27/01/2011,4.83,0.004149384
26/01/2011,4.81,-0.002076844
25/01/2011,4.82,-0.00826451
24/01/2011,4.86,-0.006153866
21/01/2011,4.89,0.018576386
20/01/2011,4.8,0.00836825
19/01/2011,4.76,-0.00836825
18/01/2011,4.8,-0.066489741
14/01/2011,5.13,0.017699577
13/01/2011,5.04,-0.00790518
12/01/2011,5.08,0.02794593
11/01/2011,4.94,0.006091389
10/01/2011,4.91,-0.006091389
07/01/2011,4.94,-0.002022245
06/01/2011,4.95,-0.004032264
05/01/2011,4.97,0.014184635
04/01/2011,4.9,0
03/01/2011,4.9,0.035310003
31/12/2010,4.73,-0.006322466
30/12/2010,4.76,-0.002098637
29/12/2010,4.77,-0.002094242
28/12/2010,4.78,0.002094242
27/12/2010,4.77,0.019048195
23/12/2010,4.68,-0.010627093
22/12/2010,4.73,-0.002111933
21/12/2010,4.74,0.006349228
20/12/2010,4.71,0.002125399
17/12/2010,4.7,0.023682485
16/12/2010,4.59,0
15/12/2010,4.59,-0.021552558
14/12/2010,4.69,-0.025264502
13/12/2010,4.81,0.008350779
10/12/2010,4.77,0.016913722
09/12/2010,4.69,0.010718216
08/12/2010,4.64,0.004319661
07/12/2010,4.62,0.037490609
06/12/2010,4.45,0
03/12/2010,4.45,0.0067644
02/12/2010,4.42,0.027524673
01/12/2010,4.3,0.023530497
30/11/2010,4.2,0.011976191
29/11/2010,4.15,0.009685306
26/11/2010,4.11,-0.014493007
24/11/2010,4.17,0.016929062
23/11/2010,4.1,-0.019324273
22/11/2010,4.18,-0.021302581
19/11/2010,4.27,-0.007001195
18/11/2010,4.3,0.025914289
17/11/2010,4.19,-0.007134394
16/11/2010,4.22,-0.023420274
15/11/2010,4.32,0.006968669
12/11/2010,4.29,-0.016185324
11/11/2010,4.36,-0.013667639
10/11/2010,4.42,0.027524673
09/11/2010,4.3,-0.032039354
08/11/2010,4.44,-0.011198325
05/11/2010,4.49,0.03628516
04/11/2010,4.33,0.032866808
03/11/2010,4.19,0.004784698
02/11/2010,4.17,0.004807702
01/11/2010,4.15,-0.004807702
29/10/2010,4.17,0
28/10/2010,4.17,0
