Date,Close,HIG
22/05/2013,30.64,-0.012325813
21/05/2013,31.02,-0.002575661
20/05/2013,31.1,-0.001927402
17/05/2013,31.16,0.011945259
16/05/2013,30.79,-0.00129828
15/05/2013,30.83,0.007815084
14/05/2013,30.59,0.023149182
13/05/2013,29.89,0.00772464
10/05/2013,29.66,0.00642654
09/05/2013,29.47,-0.007774249
08/05/2013,29.7,0.013900885
07/05/2013,29.29,0.008916383
06/05/2013,29.03,0.007954391
03/05/2013,28.8,0.012578782
02/05/2013,28.44,0.024200469
01/05/2013,27.76,-0.011817505
30/04/2013,28.09,0.031829088
29/04/2013,27.21,0.00331309
26/04/2013,27.12,-0.016093983
25/04/2013,27.56,-0.007950891
24/04/2013,27.78,0.013773324
23/04/2013,27.4,0.027003675
22/04/2013,26.67,-0.006353974
19/04/2013,26.84,0.011617144
18/04/2013,26.53,-0.017190259
17/04/2013,26.99,-0.013981096
16/04/2013,27.37,0.039498428
15/04/2013,26.31,-0.043873207
12/04/2013,27.49,0.004009482
11/04/2013,27.38,0.013235487
10/04/2013,27.02,0.032345806
09/04/2013,26.16,0.00306279
08/04/2013,26.08,0.035515928
05/04/2013,25.17,-0.026657792
04/04/2013,25.85,0.040660821
03/04/2013,24.82,-0.028987537
02/04/2013,25.55,-0.00117348
01/04/2013,25.58,-0.008563696
28/03/2013,25.8,-0.005797118
27/03/2013,25.95,-0.011494379
26/03/2013,26.25,0.00918491
25/03/2013,26.01,-0.014882931
22/03/2013,26.4,0.015267472
21/03/2013,26,-0.005752652
20/03/2013,26.15,0.024386732
19/03/2013,25.52,-0.015552413
18/03/2013,25.92,-0.014554068
15/03/2013,26.3,-0.00606522
14/03/2013,26.46,0.027199532
13/03/2013,25.75,0.003891055
12/03/2013,25.65,0.001170275
11/03/2013,25.62,0.006657553
08/03/2013,25.45,0.044183893
07/03/2013,24.35,0.003702946
06/03/2013,24.26,0.004544523
05/03/2013,24.15,0.019231362
04/03/2013,23.69,0.000422208
01/03/2013,23.68,0.002960459
28/02/2013,23.61,-0.005069719
27/02/2013,23.73,0.016143086
26/02/2013,23.35,0.012931215
25/02/2013,23.05,-0.044131047
22/02/2013,24.09,0.016321768
21/02/2013,23.7,-0.02541274
20/02/2013,24.31,-0.018341659
19/02/2013,24.76,0.022876815
15/02/2013,24.2,-0.011912238
14/02/2013,24.49,0.001634655
13/02/2013,24.45,0.002047084
12/02/2013,24.4,-0.000409752
11/02/2013,24.41,0.00988069
08/02/2013,24.17,-0.002891966
07/02/2013,24.24,-0.009443716
06/02/2013,24.47,0.003274665
05/02/2013,24.39,-0.012630031
04/02/2013,24.7,-0.020437498
01/02/2013,25.21,0.016397088
31/01/2013,24.8,0.007690789
30/01/2013,24.61,-0.011313252
29/01/2013,24.89,0.00402577
28/01/2013,24.79,-0.001209434
25/01/2013,24.82,0.017476568
24/01/2013,24.39,-0.006945891
23/01/2013,24.56,-0.002846109
22/01/2013,24.63,0.009792
18/01/2013,24.39,0.001230769
17/01/2013,24.36,0.009486563
16/01/2013,24.13,0.009995918
15/01/2013,23.89,0.002934397
14/01/2013,23.82,-0.003352895
11/01/2013,23.9,-0.007087793
10/01/2013,24.07,0.008343811
09/01/2013,23.87,0.000838223
08/01/2013,23.85,-0.014981554
07/01/2013,24.21,-0.01272334
04/01/2013,24.52,0.014376916
03/01/2013,24.17,0.019215295
02/01/2013,23.71,0.055051819
31/12/2012,22.44,0.012556219
28/12/2012,22.16,-0.015670793
27/12/2012,22.51,0.009372976
26/12/2012,22.3,-0.000896459
24/12/2012,22.32,0.003590668
21/12/2012,22.24,-0.028370697
20/12/2012,22.88,0.015859363
19/12/2012,22.52,0.000888494
18/12/2012,22.5,0.020202707
17/12/2012,22.05,0.035075123
14/12/2012,21.29,-0.009815456
13/12/2012,21.5,-0.019802627
12/12/2012,21.93,-0.006816659
11/12/2012,22.08,0.011845241
10/12/2012,21.82,-0.003202931
07/12/2012,21.89,0.011486458
06/12/2012,21.64,0.004631782
