Date,Close,CME
10/01/2012,227.53,-0.003115609
09/01/2012,228.24,-0.024923408
06/01/2012,234,-0.019551213
05/01/2012,238.62,-0.009966098
04/01/2012,241.01,-0.018987912
03/01/2012,245.63,0.008011488
30/12/2011,243.67,-0.00674863
29/12/2011,245.32,0.011314378
28/12/2011,242.56,-0.010865884
27/12/2011,245.21,-0.00480066
23/12/2011,246.39,0.002600887
22/12/2011,245.75,0.018108031
21/12/2011,241.34,-0.027746075
20/12/2011,248.13,0.025015076
19/12/2011,242,0
16/12/2011,242,0.012097676
15/12/2011,239.09,0.000836855
14/12/2011,238.89,-0.008793739
13/12/2011,241,-0.010361076
12/12/2011,243.51,-0.018512643
09/12/2011,248.06,0.014128199
08/12/2011,244.58,-0.034439745
07/12/2011,253.15,0.017172079
06/12/2011,248.84,-0.001084446
05/12/2011,249.11,-0.016719469
02/12/2011,253.31,0.013153117
01/12/2011,250,0.002884155
30/11/2011,249.28,0.039564161
29/11/2011,239.61,-0.02277608
28/11/2011,245.13,0.0299803
25/11/2011,237.89,-0.004780685
23/11/2011,239.03,-0.00642204
22/11/2011,240.57,-0.003982581
21/11/2011,241.53,-0.030017343
18/11/2011,248.89,0.044530296
17/11/2011,238.05,-0.013062807
16/11/2011,241.18,-0.065515012
15/11/2011,257.51,-0.001435806
14/11/2011,257.88,-0.021824627
11/11/2011,263.57,0.013252815
10/11/2011,260.1,-0.021640351
09/11/2011,265.79,-0.048290182
08/11/2011,278.94,0.013862037
07/11/2011,275.1,0.013798876
04/11/2011,271.33,0.010298676
03/11/2011,268.55,0.034704396
02/11/2011,259.39,0.029379937
01/11/2011,251.88,-0.089852607
31/10/2011,275.56,-0.015984212
28/10/2011,280,0.011602767
27/10/2011,276.77,0.049399158
26/10/2011,263.43,0.019162814
25/10/2011,258.43,-0.038933434
24/10/2011,268.69,0.015754855
21/10/2011,264.49,0.011560383
20/10/2011,261.45,0.015767178
19/10/2011,257.36,-0.010436491
18/10/2011,260.06,0.026732683
