Date,Close,WEC
30/08/2011,31.47,-0.000317712
29/08/2011,31.48,0.01633343
26/08/2011,30.97,0.004855164
25/08/2011,30.82,-0.021506205
24/08/2011,31.49,0.015037877
23/08/2011,31.02,0.025466606
22/08/2011,30.24,0.002649008
19/08/2011,30.16,-0.010554188
18/08/2011,30.48,-0.010768582
17/08/2011,30.81,0.011424965
16/08/2011,30.46,-0.005239043
15/08/2011,30.62,0.02983317
12/08/2011,29.72,-0.006038261
11/08/2011,29.9,0.048656394
10/08/2011,28.48,-0.010826018
09/08/2011,28.79,0.029968751
08/08/2011,27.94,-0.058052788
05/08/2011,29.61,0.016000341
04/08/2011,29.14,-0.029418859
03/08/2011,30.01,-0.005980084
02/08/2011,30.19,-0.015121919
01/08/2011,30.65,0
29/07/2011,30.65,-0.010386332
28/07/2011,30.97,-0.009640177
27/07/2011,31.27,-0.000958926
26/07/2011,31.3,-0.01048794
25/07/2011,31.63,-0.003471678
22/07/2011,31.74,-0.005341725
21/07/2011,31.91,0.011979967
20/07/2011,31.53,0.005087451
19/07/2011,31.37,0.009609299
18/07/2011,31.07,-0.007694812
15/07/2011,31.31,0.005444369
14/07/2011,31.14,-0.007040029
13/07/2011,31.36,-0.00413684
12/07/2011,31.49,0.008931479
11/07/2011,31.21,-0.013367481
08/07/2011,31.63,-0.004101599
07/07/2011,31.76,0.005683628
06/07/2011,31.58,-0.001265823
05/07/2011,31.62,-0.00661941
01/07/2011,31.83,0.015194974
30/06/2011,31.35,0.003835096
29/06/2011,31.23,0.000961076
28/06/2011,31.2,0.007722046
27/06/2011,30.96,0.009085072
24/06/2011,30.68,-0.001302932
23/06/2011,30.72,-0.009395825
22/06/2011,31.01,-0.007709643
21/06/2011,31.25,-0.001918159
20/06/2011,31.31,0.003198979
17/06/2011,31.21,0.012250314
16/06/2011,30.83,0.006834852
15/06/2011,30.62,-0.010719609
14/06/2011,30.95,0.003884757
13/06/2011,30.83,0.005529368
10/06/2011,30.66,-0.006501973
09/06/2011,30.86,-0.006137961
08/06/2011,31.05,0.007110566
07/06/2011,30.83,0.008142041
06/06/2011,30.58,-0.006843761
03/06/2011,30.79,-0.00647461
02/06/2011,30.99,-0.000645161
01/06/2011,31.01,-0.008349438
31/05/2011,31.27,0.005129861
27/05/2011,31.11,0.000964785
26/05/2011,31.08,-0.003533005
25/05/2011,31.19,0.001925546
24/05/2011,31.13,-0.001284109
23/05/2011,31.17,-0.010213941
20/05/2011,31.49,-0.005384019
19/05/2011,31.66,0.001264223
18/05/2011,31.62,-0.000948317
17/05/2011,31.65,0.002530846
16/05/2011,31.57,0.000633714
13/05/2011,31.55,-0.004743092
12/05/2011,31.7,0.00982731
11/05/2011,31.39,-0.007616666
10/05/2011,31.63,0.009849166
09/05/2011,31.32,0.006084887
06/05/2011,31.13,-0.009590866
05/05/2011,31.43,-0.008869238
04/05/2011,31.71,0.003158562
03/05/2011,31.61,0.013696663
02/05/2011,31.18,-0.000961693
29/04/2011,31.21,0.005139748
28/04/2011,31.05,0.007434978
27/04/2011,30.82,0.007163821
26/04/2011,30.6,0.014151956
25/04/2011,30.17,0.005650672
21/04/2011,30,0.006353474
20/04/2011,29.81,0.003696862
19/04/2011,29.7,0.002697237
18/04/2011,29.62,-0.009408672
15/04/2011,29.9,0.007722046
14/04/2011,29.67,0.001349073
13/04/2011,29.63,0.001013
12/04/2011,29.6,-0.004382276
11/04/2011,29.73,-0.011703862
08/04/2011,30.08,-0.005305052
07/04/2011,30.24,-0.00790518
06/04/2011,30.48,-0.001639076
05/04/2011,30.53,-0.004575171
04/04/2011,30.67,-0.003255211
01/04/2011,30.77,0.008813506
31/03/2011,30.5,0
30/03/2011,30.5,0.012869341
29/03/2011,30.11,0.011020315
28/03/2011,29.78,-0.006026131
25/03/2011,29.96,-0.001334223
24/03/2011,30,0.000666889
23/03/2011,29.98,-0.003330006
22/03/2011,30.08,0.000332502
21/03/2011,30.07,0.015415855
18/03/2011,29.61,0.005418232
17/03/2011,29.45,0.009553126
16/03/2011,29.17,-0.006832961
15/03/2011,29.37,-0.01352743
14/03/2011,29.77,-0.010026822
11/03/2011,30.07,0.002664004
