Date,Close,TAP
19/04/2012,41.26,0.001455251
18/04/2012,41.2,0.005354114
17/04/2012,40.98,0.002198608
16/04/2012,40.89,-0.001222046
13/04/2012,40.94,0.002935423
12/04/2012,40.82,0.000490076
11/04/2012,40.8,-0.001714216
10/04/2012,40.87,-0.007313538
09/04/2012,41.17,-0.002426008
05/04/2012,41.27,-0.013716976
04/04/2012,41.84,-0.031524605
03/04/2012,43.18,-0.055845216
02/04/2012,45.66,0.009019971
30/03/2012,45.25,0.005762427
29/03/2012,44.99,-0.000666593
28/03/2012,45.02,-0.005095835
27/03/2012,45.25,0.011558253
26/03/2012,44.73,0.017364288
23/03/2012,43.96,0.010749103
22/03/2012,43.49,0.009008029
21/03/2012,43.1,0.004185079
20/03/2012,42.92,-0.009045637
19/03/2012,43.31,0.004628566
16/03/2012,43.11,0.005582708
15/03/2012,42.87,-0.001864368
14/03/2012,42.95,0.001631132
13/03/2012,42.88,0.002334813
12/03/2012,42.78,0.000467617
09/03/2012,42.76,0.002341373
08/03/2012,42.66,0.012976471
07/03/2012,42.11,0.001663696
06/03/2012,42.04,-0.03022369
05/03/2012,43.33,-0.006211915
02/03/2012,43.6,-0.002748513
01/03/2012,43.72,-0.005019404
29/02/2012,43.94,-0.001364567
28/02/2012,44,0.003642991
27/02/2012,43.84,-0.001823155
24/02/2012,43.92,-0.010869672
23/02/2012,44.4,-0.0002252
22/02/2012,44.41,-0.009858919
21/02/2012,44.85,-0.012849091
17/02/2012,45.43,0.007290433
16/02/2012,45.1,0.027879504
15/02/2012,43.86,-0.003641333
14/02/2012,44.02,0.005695425
13/02/2012,43.77,0.013802842
10/02/2012,43.17,-0.016768511
09/02/2012,43.9,0.004566218
08/02/2012,43.7,-0.005932027
07/02/2012,43.96,0.007993648
06/02/2012,43.61,-0.007310976
03/02/2012,43.93,0.011677294
02/02/2012,43.42,-0.007799994
01/02/2012,43.76,0.02008146
31/01/2012,42.89,0.008193889
30/01/2012,42.54,-0.007960707
27/01/2012,42.88,-0.006740293
26/01/2012,43.17,0.004178279
25/01/2012,42.99,0.003495285
24/01/2012,42.84,-0.026717388
23/01/2012,44,0
20/01/2012,44,0.010509578
19/01/2012,43.54,-0.006410278
18/01/2012,43.82,0.004574573
17/01/2012,43.62,-0.007309306
13/01/2012,43.94,-0.017148435
12/01/2012,44.7,-0.003350087
11/01/2012,44.85,0.004245342
10/01/2012,44.66,0.020129595
09/01/2012,43.77,0.004579811
06/01/2012,43.57,0.003909399
05/01/2012,43.4,0.003462208
04/01/2012,43.25,-0.008976928
03/01/2012,43.64,0.002294105
30/12/2011,43.54,-0.00435431
29/12/2011,43.73,0.00803586
28/12/2011,43.38,-0.014872714
27/12/2011,44.03,0.000681586
23/12/2011,44,0.011428696
22/12/2011,43.5,0.002071109
21/12/2011,43.41,0.010886037
20/12/2011,42.94,0.025950973
19/12/2011,41.84,-0.01893996
16/12/2011,42.64,0.016314347
15/12/2011,41.95,0.029268022
14/12/2011,40.74,0.00368868
13/12/2011,40.59,-0.015401845
12/12/2011,41.22,-0.004357305
09/12/2011,41.4,0.009464941
08/12/2011,41.01,-0.010189317
07/12/2011,41.43,0.001449276
06/12/2011,41.37,0.012893987
05/12/2011,40.84,0.008113136
02/12/2011,40.51,0.006438853
01/12/2011,40.25,-0.008411727
30/11/2011,40.59,0.027221059
29/11/2011,39.5,0.019428014
28/11/2011,38.74,0.019286498
25/11/2011,38,-0.004201687
