Date,Close,GM
21/05/2012,21.54,0.016854332
18/05/2012,21.18,-0.02009883
17/05/2012,21.61,-0.013786983
16/05/2012,21.91,0.022618089
15/05/2012,21.42,-0.009756175
14/05/2012,21.63,-0.016961213
11/05/2012,22,-0.016678322
10/05/2012,22.37,-0.003124305
09/05/2012,22.44,0.009402353
08/05/2012,22.23,-0.00806456
07/05/2012,22.41,0.00223364
04/05/2012,22.36,-0.000447127
03/05/2012,22.37,-0.024725321
02/05/2012,22.93,-0.016436356
01/05/2012,23.31,0.013388237
30/04/2012,23,-0.022781987
27/04/2012,23.53,-0.008042371
26/04/2012,23.72,0.017436121
25/04/2012,23.31,0.018182319
24/04/2012,22.89,-0.002617803
23/04/2012,22.95,-0.027928776
20/04/2012,23.6,-0.017223698
19/04/2012,24.01,-0.00581397
18/04/2012,24.15,0.00456527
17/04/2012,24.04,0.026128751
16/04/2012,23.42,-0.016095223
13/04/2012,23.8,-0.02079077
12/04/2012,24.3,0.011173301
11/04/2012,24.03,0.01340615
10/04/2012,23.71,-0.020455733
09/04/2012,24.2,-0.024894165
05/04/2012,24.81,-0.011621048
04/04/2012,25.1,-0.017378004
03/04/2012,25.54,-0.046662385
02/04/2012,26.76,0.042364664
30/03/2012,25.65,0.013343997
29/03/2012,25.31,0.006341678
28/03/2012,25.15,-0.007920833
27/03/2012,25.35,-0.009032066
26/03/2012,25.58,0.016157987
23/03/2012,25.17,0.004778982
22/03/2012,25.05,-0.009535233
21/03/2012,25.29,0.0079397
20/03/2012,25.09,-0.011886035
19/03/2012,25.39,-0.007064394
16/03/2012,25.57,-0.018597979
15/03/2012,26.05,-0.010311338
14/03/2012,26.32,0.009543879
13/03/2012,26.07,0.026429832
12/03/2012,25.39,-0.009017901
09/03/2012,25.62,0.006657553
08/03/2012,25.45,0.022651475
07/03/2012,24.88,0.012131164
06/03/2012,24.58,-0.056163434
05/03/2012,26,-0.01715962
02/03/2012,26.45,-0.000755858
01/03/2012,26.47,0.017146543
29/02/2012,26.02,-0.004601235
28/02/2012,26.14,-0.01216745
27/02/2012,26.46,0.014848931
24/02/2012,26.07,-0.027243456
23/02/2012,26.79,0.008998936
22/02/2012,26.55,-0.019026875
21/02/2012,27.06,-0.010294209
17/02/2012,27.34,0.006237408
16/02/2012,27.17,0.086041526
15/02/2012,24.93,-0.018677276
14/02/2012,25.4,0.002364999
13/02/2012,25.34,-0.006294277
10/02/2012,25.5,-0.00936775
09/02/2012,25.74,-0.000388425
08/02/2012,25.75,-0.018087851
07/02/2012,26.22,-0.018141087
06/02/2012,26.7,0.019667805
03/02/2012,26.18,0.074107972
02/02/2012,24.31,-0.002465079
01/02/2012,24.37,0.014466051
