Date,Close,LB
07/12/2010,31.43,-0.012017855
06/12/2010,31.81,-0.000628536
03/12/2010,31.83,-0.092077588
02/12/2010,34.9,0.007477746
01/12/2010,34.64,0.028401851
30/11/2010,33.67,0.005957718
29/11/2010,33.47,-0.008330902
26/11/2010,33.75,-0.000888494
24/11/2010,33.78,0.023664426
23/11/2010,32.99,-0.007248597
22/11/2010,33.23,0.006642537
19/11/2010,33.01,-0.007544928
18/11/2010,33.26,0.042690345
17/11/2010,31.87,0.024778904
16/11/2010,31.09,-0.011194743
15/11/2010,31.44,-0.006341175
12/11/2010,31.64,-0.015679217
11/11/2010,32.14,0.010635071
10/11/2010,31.8,0.013614268
09/11/2010,31.37,-0.022692433
08/11/2010,32.09,0.008763749
05/11/2010,31.81,0.012017855
04/11/2010,31.43,0.051913075
03/11/2010,29.84,0.000335177
02/11/2010,29.83,0.02615194
01/11/2010,29.06,-0.011291822
29/10/2010,29.39,0.003749791
28/10/2010,29.28,0.00273598
27/10/2010,29.2,-0.006825965
26/10/2010,29.4,0.008196767
25/10/2010,29.16,0.003435249
22/10/2010,29.06,0.008987271
21/10/2010,28.8,-0.008643096
20/10/2010,29.05,0.014563364
19/10/2010,28.63,-0.024837427
18/10/2010,29.35,0.003071151
15/10/2010,29.26,0.002737852
14/10/2010,29.18,-0.005809003
13/10/2010,29.35,-0.012191143
12/10/2010,29.71,0.013554935
11/10/2010,29.31,0.017206206
08/10/2010,28.81,0.005918207
07/10/2010,28.64,0.037350954
06/10/2010,27.59,-0.00794228
05/10/2010,27.81,0.043732855
04/10/2010,26.62,-0.007485065
01/10/2010,26.82,0.001492538
30/09/2010,26.78,-0.029798048
29/09/2010,27.59,0.012032962
28/09/2010,27.26,0.010324575
27/09/2010,26.98,-0.007385558
24/09/2010,27.18,0.03595893
23/09/2010,26.22,0.001526718
22/09/2010,26.18,-0.011393971
21/09/2010,26.48,-0.034153282
20/09/2010,27.4,0.023261156
17/09/2010,26.77,0.012025699
16/09/2010,26.45,0.00075643
15/09/2010,26.43,-0.003022292
14/09/2010,26.51,0.029475818
13/09/2010,25.74,0.01408474
10/09/2010,25.38,0.0059277
09/09/2010,25.23,0.004369421
08/09/2010,25.12,-0.030192452
07/09/2010,25.89,-0.012284224
03/09/2010,26.21,0.01770639
02/09/2010,25.75,0.059193607
01/09/2010,24.27,0.027994308
31/08/2010,23.6,-0.022623504
30/08/2010,24.14,-0.033404328
27/08/2010,24.96,0.025975486
26/08/2010,24.32,-0.008190054
25/08/2010,24.52,0.002449981
24/08/2010,24.46,-0.015416127
23/08/2010,24.84,-0.028573372
20/08/2010,25.56,-0.011668744
19/08/2010,25.86,0.003098376
18/08/2010,25.78,0.008570368
17/08/2010,25.56,0.026964362
16/08/2010,24.88,-0.000401849
13/08/2010,24.89,-0.015942944
12/08/2010,25.29,0.006744719
11/08/2010,25.12,-0.025934656
10/08/2010,25.78,-0.038429686
09/08/2010,26.79,0.024944604
06/08/2010,26.13,-0.007624894
05/08/2010,26.33,0.011075156
04/08/2010,26.04,0.020171359
03/08/2010,25.52,-0.027441335
02/08/2010,26.23,0.022750162
30/07/2010,25.64,0.006259801
29/07/2010,25.48,0.004720701
28/07/2010,25.36,-0.00275645
27/07/2010,25.43,-0.03173641
26/07/2010,26.25,0.024292693
23/07/2010,25.62,0.015735966
22/07/2010,25.22,0.038396311
21/07/2010,24.27,-0.006161449
20/07/2010,24.42,0.029927421
19/07/2010,23.7,0.008474627
16/07/2010,23.5,-0.063873406
15/07/2010,25.05,0.008821228
14/07/2010,24.83,0.009712743
13/07/2010,24.59,0.027206954
12/07/2010,23.93,-0.020269567
09/07/2010,24.42,0.008636698
