Date,Close,SJM
13/06/2012,75.77,-0.00013197
12/06/2012,75.78,0.002907363
11/06/2012,75.56,-0.002511402
08/06/2012,75.75,-0.004478406
07/06/2012,76.09,0.000525831
06/06/2012,76.05,0.018312614
05/06/2012,74.67,-0.009994087
04/06/2012,75.42,0.007987263
01/06/2012,74.82,-0.022989518
31/05/2012,76.56,-0.010007231
30/05/2012,77.33,-0.010803964
29/05/2012,78.17,0.00757628
25/05/2012,77.58,0.001806219
24/05/2012,77.44,0.004400162
23/05/2012,77.1,0.000908324
22/05/2012,77.03,0.00585901
21/05/2012,76.58,0.003531955
18/05/2012,76.31,-0.01276059
17/05/2012,77.29,-0.004518177
16/05/2012,77.64,0.009706929
15/05/2012,76.89,-0.00220851
14/05/2012,77.06,0.0037704
11/05/2012,76.77,-0.002991483
10/05/2012,77,0.015839064
09/05/2012,75.79,-0.004870033
08/05/2012,76.16,-0.00039383
07/05/2012,76.19,0.002628468
04/05/2012,75.99,-0.018126597
03/05/2012,77.38,-0.020592913
02/05/2012,78.99,-0.008822845
01/05/2012,79.69,0.000753201
30/04/2012,79.63,0.003270443
27/04/2012,79.37,-0.000377905
26/04/2012,79.4,0.008474091
25/04/2012,78.73,0.004838308
24/04/2012,78.35,0.004092601
23/04/2012,78.03,-0.024558196
20/04/2012,79.97,0.009044152
19/04/2012,79.25,-0.002772179
18/04/2012,79.47,-0.00489551
17/04/2012,79.86,0.013235209
16/04/2012,78.81,-0.00556752
13/04/2012,79.25,-0.00151305
12/04/2012,79.37,-0.00527772
11/04/2012,79.79,-0.006495963
10/04/2012,80.31,-0.005959049
09/04/2012,80.79,-0.004076344
05/04/2012,81.12,-0.000246518
04/04/2012,81.14,-0.003444885
03/04/2012,81.42,-0.00024561
02/04/2012,81.44,0.000982801
30/03/2012,81.36,0.003324103
29/03/2012,81.09,0.000987045
28/03/2012,81.01,0.0045778
27/03/2012,80.64,0.005595986
26/03/2012,80.19,0.002372184
23/03/2012,80,0.006269613
22/03/2012,79.5,0.003906993
21/03/2012,79.19,0.000884341
20/03/2012,79.12,0.007230323
19/03/2012,78.55,0.006001423
16/03/2012,78.08,0.004106782
15/03/2012,77.76,0.023025407
14/03/2012,75.99,-0.003940115
13/03/2012,76.29,0.010939154
12/03/2012,75.46,0.000265076
09/03/2012,75.44,-0.001721741
08/03/2012,75.57,0.005307164
07/03/2012,75.17,0.003998939
06/03/2012,74.87,-0.021275993
05/03/2012,76.48,0.001701237
02/03/2012,76.35,0.006570326
01/03/2012,75.85,0.007012002
29/02/2012,75.32,0.012289762
28/02/2012,74.4,-0.005228244
27/02/2012,74.79,0.000668762
24/02/2012,74.74,0.013470031
23/02/2012,73.74,0.014616748
22/02/2012,72.67,0.003308066
21/02/2012,72.43,-0.008797308
17/02/2012,73.07,0.020322812
16/02/2012,71.6,-0.087534983
15/02/2012,78.15,-0.016120169
14/02/2012,79.42,0.001638208
13/02/2012,79.29,0.005691535
10/02/2012,78.84,-0.004682071
09/02/2012,79.21,0.005189557
08/02/2012,78.8,-0.006577307
07/02/2012,79.32,-0.002518259
06/02/2012,79.52,-0.000502892
03/02/2012,79.56,-0.002259888
02/02/2012,79.74,0.001757249
01/02/2012,79.6,0.010354935
31/01/2012,78.78,0.005856159
30/01/2012,78.32,-0.003441467
27/01/2012,78.59,-0.00545652
26/01/2012,79.02,-0.027091102
25/01/2012,81.19,0.002342932
24/01/2012,81,-0.000740467
23/01/2012,81.06,0.008424232
20/01/2012,80.38,-0.008177471
