Date,Close,XRX
30/12/2011,7.96,-0.001255493
29/12/2011,7.97,0.008821733
28/12/2011,7.9,-0.03238141
27/12/2011,8.16,-0.0158058
23/12/2011,8.29,0.012136071
22/12/2011,8.19,0.016000341
21/12/2011,8.06,0.004975135
20/12/2011,8.02,0.038124058
19/12/2011,7.72,-0.031870129
16/12/2011,7.97,0.006293287
15/12/2011,7.92,0.016550346
14/12/2011,7.79,-0.016550346
13/12/2011,7.92,-0.008799554
12/12/2011,7.99,-0.021053409
09/12/2011,8.16,0.016059641
08/12/2011,8.03,-0.040273899
07/12/2011,8.36,0.003594971
06/12/2011,8.33,-0.003594971
05/12/2011,8.36,0.016888218
02/12/2011,8.22,0.003656311
01/12/2011,8.19,0.004895971
30/11/2011,8.15,0.068554755
29/11/2011,7.61,-0.009156375
28/11/2011,7.68,0.01442648
25/11/2011,7.57,0.002645504
23/11/2011,7.55,-0.015769052
22/11/2011,7.67,-0.014239723
21/11/2011,7.78,-0.012771566
18/11/2011,7.88,-0.005063302
17/11/2011,7.92,-0.012547216
16/11/2011,8.02,-0.016079505
15/11/2011,8.15,0
14/11/2011,8.15,-0.007334996
11/11/2011,8.21,0.009792
10/11/2011,8.13,0.004932192
09/11/2011,8.09,-0.054132277
08/11/2011,8.54,0.010594566
07/11/2011,8.45,-0.001182732
04/11/2011,8.46,0.013087635
03/11/2011,8.35,0.031632808
02/11/2011,8.09,0.018715456
01/11/2011,7.94,-0.029778875
31/10/2011,8.18,-0.041897211
28/10/2011,8.53,-0.004678371
27/10/2011,8.57,0.044133578
26/10/2011,8.2,0.022195732
25/10/2011,8.02,0.00249688
24/10/2011,8,0.021479032
21/10/2011,7.83,0.028499338
20/10/2011,7.61,-0.002624673
19/10/2011,7.63,-0.007832938
18/10/2011,7.69,0.029025784
17/10/2011,7.47,-0.034213863
14/10/2011,7.73,0.024886681
13/10/2011,7.54,0.00798939
12/10/2011,7.48,0.006706933
11/10/2011,7.43,-0.006706933
10/10/2011,7.48,0.042327137
07/10/2011,7.17,-0.004175371
06/10/2011,7.2,0.009769792
05/10/2011,7.13,0.016973533
04/10/2011,7.01,0.042249547
03/10/2011,6.72,-0.03652707
30/09/2011,6.97,-0.051723618
29/09/2011,7.34,0.004095569
28/09/2011,7.31,-0.034949794
27/09/2011,7.57,0.022713067
26/09/2011,7.4,0.041385216
23/09/2011,7.1,-0.00140746
22/09/2011,7.11,-0.052066554
21/09/2011,7.49,-0.035413537
20/09/2011,7.76,-0.019145448
19/09/2011,7.91,-0.01381064
16/09/2011,8.02,0.01381064
15/09/2011,7.91,0.011443227
14/09/2011,7.82,0.018065007
13/09/2011,7.68,0.021053409
12/09/2011,7.52,0.014735699
09/09/2011,7.41,-0.056408395
08/09/2011,7.84,-0.023945694
07/09/2011,8.03,0.027779564
06/09/2011,7.81,-0.012722818
02/09/2011,7.91,-0.024970086
01/09/2011,8.11,-0.023157647
31/08/2011,8.3,0.028102033
