Date,Close,OI
22/11/2010,27.67,0.010535974
19/11/2010,27.38,0.007699396
18/11/2010,27.17,0.005166063
17/11/2010,27.03,-0.006637193
16/11/2010,27.21,-0.015317586
15/11/2010,27.63,-0.010799241
12/11/2010,27.93,-0.018798213
11/11/2010,28.46,0.021666626
10/11/2010,27.85,-0.033542421
09/11/2010,28.8,-0.009675266
08/11/2010,29.08,0.021199751
05/11/2010,28.47,-0.001053186
04/11/2010,28.5,0.02091904
03/11/2010,27.91,0.013708728
02/11/2010,27.53,0.008755984
01/11/2010,27.29,-0.02675503
29/10/2010,28.03,0.019089361
28/10/2010,27.5,-0.019802627
27/10/2010,28.05,0.005361943
26/10/2010,27.9,-0.05982312
25/10/2010,29.62,0.022534241
22/10/2010,28.96,0.001036449
21/10/2010,28.93,0.001729805
20/10/2010,28.88,0.00904354
19/10/2010,28.62,-0.024164103
18/10/2010,29.32,0.046065367
15/10/2010,28,0.018746043
14/10/2010,27.48,0.009139161
13/10/2010,27.23,0.04008778
12/10/2010,26.16,-0.01178049
11/10/2010,26.47,-0.012389871
08/10/2010,26.8,-0.041657466
07/10/2010,27.94,-0.04582022
06/10/2010,29.25,0.01307658
05/10/2010,28.87,0.026677609
04/10/2010,28.11,-0.025984608
01/10/2010,28.85,0.027764918
30/09/2010,28.06,0.005001797
29/09/2010,27.92,0.000716589
28/09/2010,27.9,0.016624886
27/09/2010,27.44,-0.001820499
24/09/2010,27.49,0.029158737
23/09/2010,26.7,-0.020389956
22/09/2010,27.25,-0.012399867
21/09/2010,27.59,-0.063201092
20/09/2010,29.39,0.022016713
17/09/2010,28.75,-0.006932437
16/09/2010,28.95,-0.010992897
15/09/2010,29.27,-0.007148967
14/09/2010,29.48,0.001018157
13/09/2010,29.45,0.035248984
10/09/2010,28.43,0.017385572
09/09/2010,27.94,-0.003929278
08/09/2010,28.05,0.010032331
07/09/2010,27.77,-0.022784895
03/09/2010,28.41,0.042421889
02/09/2010,27.23,0.027174574
01/09/2010,26.5,0.055871784
31/08/2010,25.06,-0.017013269
30/08/2010,25.49,-0.026709542
27/08/2010,26.18,0.031428387
26/08/2010,25.37,-0.010196167
25/08/2010,25.63,-0.005835457
24/08/2010,25.78,-0.028300168
23/08/2010,26.52,-0.011621499
20/08/2010,26.83,0.005981326
19/08/2010,26.67,-0.005235614
18/08/2010,26.81,0.018065979
17/08/2010,26.33,0.047841127
16/08/2010,25.1,-0.007145723
13/08/2010,25.28,-0.018421058
12/08/2010,25.75,0.000388425
11/08/2010,25.74,-0.03811437
10/08/2010,26.74,-0.013742092
09/08/2010,27.11,-0.008813865
06/08/2010,27.35,-0.002191381
05/08/2010,27.41,-0.00980222
04/08/2010,27.68,-0.00432589
03/08/2010,27.8,-0.006453949
02/08/2010,27.98,0.011864241
30/07/2010,27.65,0.033091255
29/07/2010,26.75,-0.109315302
28/07/2010,29.84,0.002012748
27/07/2010,29.78,-0.01994747
26/07/2010,30.38,-0.005252803
23/07/2010,30.54,0.029912499
22/07/2010,29.64,0.021139553
21/07/2010,29.02,-0.016743941
20/07/2010,29.51,0.018468377
19/07/2010,28.97,0.010409532
16/07/2010,28.67,-0.048673892
15/07/2010,30.1,-0.006952519
14/07/2010,30.31,-0.006576808
13/07/2010,30.51,0.031632403
12/07/2010,29.56,0.003728186
09/07/2010,29.45,0.007498331
08/07/2010,29.23,0.022488407
07/07/2010,28.58,0.027671152
06/07/2010,27.8,0.028458688
02/07/2010,27.02,0.013788182
01/07/2010,26.65,0.007532992
30/06/2010,26.45,-0.006030927
29/06/2010,26.61,-0.056615446
28/06/2010,28.16,-0.00425231
25/06/2010,28.28,0.016759173
24/06/2010,27.81,-0.050825727
23/06/2010,29.26,0.003423488
22/06/2010,29.16,-0.041644701
21/06/2010,30.4,0.005938652
18/06/2010,30.22,-0.005938652
17/06/2010,30.4,-0.001643386
16/06/2010,30.45,-0.017578578
15/06/2010,30.99,0.041171631
14/06/2010,29.74,-0.003691899
11/06/2010,29.85,0.020305266
10/06/2010,29.25,0.048687605
09/06/2010,27.86,-0.023764197
08/06/2010,28.53,0.015542524
07/06/2010,28.09,-0.031537302
04/06/2010,28.99,-0.047162664
03/06/2010,30.39,0
02/06/2010,30.39,0.052350295
01/06/2010,28.84,-0.050374009
28/05/2010,30.33,-0.004605271
27/05/2010,30.47,0.059497099
