Date,Close,HPQ
31/05/2011,37.38,0.011299555
27/05/2011,36.96,0.011155061
26/05/2011,36.55,0.014884509
25/05/2011,36.01,0.00111142
24/05/2011,35.97,0.004458074
23/05/2011,35.81,-0.004736045
20/05/2011,35.98,-0.004160317
19/05/2011,36.13,-0.009914705
18/05/2011,36.49,-0.011444267
17/05/2011,36.91,-0.075384395
16/05/2011,39.8,-0.015210367
13/05/2011,40.41,-0.011563667
12/05/2011,40.88,-0.004393466
11/05/2011,41.06,-0.012344342
10/05/2011,41.57,0.013319001
09/05/2011,41.02,0.005132603
06/05/2011,40.81,0.000245068
05/05/2011,40.8,-0.003425499
04/05/2011,40.94,0.015011971
03/05/2011,40.33,0.006218152
02/05/2011,40.08,-0.007209478
29/04/2011,40.37,-0.003955506
28/04/2011,40.53,-0.01250476
27/04/2011,41.04,0.008564839
26/04/2011,40.69,0.003939921
25/04/2011,40.53,-0.011285694
21/04/2011,40.99,0.0024426
20/04/2011,40.89,0.022256112
19/04/2011,39.99,0.006019582
18/04/2011,39.75,-0.012748579
15/04/2011,40.26,-0.002480775
14/04/2011,40.36,-0.018898587
13/04/2011,41.13,0.001216397
12/04/2011,41.08,0.000730549
11/04/2011,41.05,0.008562743
08/04/2011,40.7,-0.009293293
07/04/2011,41.08,-0.002431317
06/04/2011,41.18,0.021849402
05/04/2011,40.29,-0.001240233
04/04/2011,40.34,-0.01574061
01/04/2011,40.98,0.000244051
31/03/2011,40.97,-0.008022408
30/03/2011,41.3,0.004611099
29/03/2011,41.11,-0.024746007
28/03/2011,42.14,-0.009212301
25/03/2011,42.53,-0.013313288
24/03/2011,43.1,0.0241881
23/03/2011,42.07,0.007874996
22/03/2011,41.74,-0.000718477
21/03/2011,41.77,0.010831734
18/03/2011,41.32,-0.002658612
17/03/2011,41.43,0.031631913
16/03/2011,40.14,-0.019489947
15/03/2011,40.93,-0.013589144
14/03/2011,41.49,-0.00576786
11/03/2011,41.73,0.006008911
10/03/2011,41.48,-0.013648003
09/03/2011,42.05,-0.008288976
08/03/2011,42.4,0.009955048
07/03/2011,41.98,-0.014895653
04/03/2011,42.61,-0.013751528
03/03/2011,43.2,-0.000925498
02/03/2011,43.24,0.007661094
01/03/2011,42.91,-0.016640088
28/02/2011,43.63,0.022014561
25/02/2011,42.68,0.012021359
24/02/2011,42.17,-0.033118698
23/02/2011,43.59,-0.101153468
22/02/2011,48.23,-0.00908159
18/02/2011,48.67,0.001027855
17/02/2011,48.62,-0.007581227
16/02/2011,48.99,0.02062354
15/02/2011,47.99,-0.006645923
14/02/2011,48.31,-0.006807659
11/02/2011,48.64,0.002058037
10/02/2011,48.54,-0.008206858
09/02/2011,48.94,0.016481626
08/02/2011,48.14,0
