Date,Close,PM
01/10/2012,90.71,0.008524823
28/09/2012,89.94,-0.007973464
27/09/2012,90.66,0.002761365
26/09/2012,90.41,0.003656716
25/09/2012,90.08,-0.022502459
24/09/2012,92.13,-0.000108536
21/09/2012,92.14,0.000108536
20/09/2012,92.13,0.005332766
19/09/2012,91.64,0.001419602
18/09/2012,91.51,0.009001158
17/09/2012,90.69,0.013431961
14/09/2012,89.48,-0.007459813
13/09/2012,90.15,0.039367147
12/09/2012,86.67,-0.019537897
11/09/2012,88.38,-0.002711866
10/09/2012,88.62,-0.002366865
07/09/2012,88.83,-0.007290706
06/09/2012,89.48,0.004368042
05/09/2012,89.09,-0.006042991
04/09/2012,89.63,0.003688597
31/08/2012,89.3,-0.013900696
30/08/2012,90.55,-0.002536813
29/08/2012,90.78,-0.001100958
28/08/2012,90.88,0.008730784
27/08/2012,90.09,0.003669729
24/08/2012,89.76,0.011992298
23/08/2012,88.69,-0.02428277
22/08/2012,90.87,-0.009201511
21/08/2012,91.71,-0.015794357
20/08/2012,93.17,-0.002251408
17/08/2012,93.38,0.000964269
16/08/2012,93.29,0.003436061
15/08/2012,92.97,-0.001826877
14/08/2012,93.14,0.007652136
13/08/2012,92.43,0.002383017
10/08/2012,92.21,0.009041948
09/08/2012,91.38,-0.004258811
08/08/2012,91.77,0.004915625
07/08/2012,91.32,-0.009915636
06/08/2012,92.23,0.003258039
03/08/2012,91.93,0.020440272
02/08/2012,90.07,-0.006308471
01/08/2012,90.64,-0.008787403
31/07/2012,91.44,0.002847445
30/07/2012,91.18,0.009698114
27/07/2012,90.3,0.019005603
26/07/2012,88.6,0.019488907
25/07/2012,86.89,-0.009164917
24/07/2012,87.69,-0.003415304
23/07/2012,87.99,-0.010176479
20/07/2012,88.89,-0.007397478
19/07/2012,89.55,0.001564596
18/07/2012,89.41,-0.00646602
17/07/2012,89.99,-0.009401164
16/07/2012,90.84,0.006959432
13/07/2012,90.21,0.003442344
12/07/2012,89.9,-0.007093801
11/07/2012,90.54,-0.001765615
10/07/2012,90.7,0.000992775
09/07/2012,90.61,0.012884772
06/07/2012,89.45,0.005268185
05/07/2012,88.98,-0.005715262
03/07/2012,89.49,0.005490517
02/07/2012,89,0.019744202
29/06/2012,87.26,0.018973267
28/06/2012,85.62,0.008444807
27/06/2012,84.9,0.010300215
26/06/2012,84.03,0.000476134
25/06/2012,83.99,-0.023765824
22/06/2012,86.01,0.004778285
21/06/2012,85.6,-0.033430257
20/06/2012,88.51,-0.000112975
19/06/2012,88.52,0.004415518
18/06/2012,88.13,0.004549081
15/06/2012,87.73,0.004455368
14/06/2012,87.34,0.018955722
13/06/2012,85.7,0.008083929
12/06/2012,85.01,0.00743849
11/06/2012,84.38,0.004870815
08/06/2012,83.97,0.004416072
07/06/2012,83.6,0.006359894
06/06/2012,83.07,0.014062542
05/06/2012,81.91,0
04/06/2012,81.91,-0.010686198
01/06/2012,82.79,-0.020562589
31/05/2012,84.51,-0.004368624
30/05/2012,84.88,-0.00832996
29/05/2012,85.59,0.002456573
25/05/2012,85.38,0.000468604
24/05/2012,85.34,0.011905604
23/05/2012,84.33,-0.008619216
22/05/2012,85.06,0.003769145
21/05/2012,84.74,0.00520588
18/05/2012,84.3,0.001186944
17/05/2012,84.2,-0.012275886
16/05/2012,85.24,0.006119106
15/05/2012,84.72,-0.007877297
14/05/2012,85.39,-0.008860965
11/05/2012,86.15,-0.00011607
10/05/2012,86.16,0.006053569
09/05/2012,85.64,-0.02399746
08/05/2012,87.72,-0.006363658
07/05/2012,88.28,-0.009582397
04/05/2012,89.13,-0.009269149
03/05/2012,89.96,-0.003883069
02/05/2012,90.31,0.003438526
01/05/2012,90,0.005459319
30/04/2012,89.51,-0.003345977
27/04/2012,89.81,0.014128963
26/04/2012,88.55,0.01032985
25/04/2012,87.64,0.016915425
24/04/2012,86.17,-0.008896136
23/04/2012,86.94,-0.009957164
20/04/2012,87.81,0.012144971
19/04/2012,86.75,-0.011347477
18/04/2012,87.74,0.003310694
17/04/2012,87.45,0.004699418
16/04/2012,87.04,-0.009149195
13/04/2012,87.84,0.00662481
12/04/2012,87.26,-0.002975171
11/04/2012,87.52,0.005384672
10/04/2012,87.05,-0.015049879
09/04/2012,88.37,-0.003050677
05/04/2012,88.64,-0.009543664
04/04/2012,89.49,0.005715262
03/04/2012,88.98,-0.004485318
