Date,Close,JCI
27/03/2012,32.53,-0.007655833
26/03/2012,32.78,0.02158579
23/03/2012,32.08,0.013178729
22/03/2012,31.66,-0.0212508
21/03/2012,32.34,-0.001236094
20/03/2012,32.38,-0.005543593
19/03/2012,32.56,-0.003066546
16/03/2012,32.66,-0.007625475
15/03/2012,32.91,0.025855549
14/03/2012,32.07,0.000311867
13/03/2012,32.06,0.011292466
12/03/2012,31.7,-0.019060099
09/03/2012,32.31,0.010891659
08/03/2012,31.96,0.022145796
07/03/2012,31.26,0.006418507
06/03/2012,31.06,-0.051760024
05/03/2012,32.71,-0.016674632
02/03/2012,33.26,-0.004499783
01/03/2012,33.41,0.023623146
29/02/2012,32.63,-0.016715174
28/02/2012,33.18,-0.002708805
27/02/2012,33.27,0.002407464
24/02/2012,33.19,-0.008400889
23/02/2012,33.47,-0.03464821
22/02/2012,34.65,-0.013757741
21/02/2012,35.13,-0.000853607
17/02/2012,35.16,0.020690393
16/02/2012,34.44,0.033661283
15/02/2012,33.3,0.000901307
14/02/2012,33.27,-0.003300828
13/02/2012,33.38,0.012965657
10/02/2012,32.95,-0.003635266
09/02/2012,33.07,0.017386438
08/02/2012,32.5,-0.015267472
07/02/2012,33,-0.016231195
06/02/2012,33.54,-0.002382372
03/02/2012,33.62,0.035728899
02/02/2012,32.44,0.013968875
01/02/2012,31.99,0.006900906
31/01/2012,31.77,-0.00314268
30/01/2012,31.87,0.006611074
27/01/2012,31.66,-0.000315806
26/01/2012,31.67,-0.007862912
25/01/2012,31.92,0.005340047
24/01/2012,31.75,0.012997488
23/01/2012,31.34,-0.005092309
20/01/2012,31.5,-0.030021016
19/01/2012,32.46,-0.09177512
18/01/2012,35.58,0.018723951
17/01/2012,34.92,-0.003715883
13/01/2012,35.05,-0.001425517
12/01/2012,35.1,0.016662264
11/01/2012,34.52,0.004645769
10/01/2012,34.36,0.033440015
09/01/2012,33.23,0.001807229
06/01/2012,33.17,0.008173195
05/01/2012,32.9,0.012232568
04/01/2012,32.5,0.008652712
03/01/2012,32.22,0.030248053
30/12/2011,31.26,0.00706263
29/12/2011,31.04,0.012644033
28/12/2011,30.65,-0.011677071
27/12/2011,31.01,-0.001289075
23/12/2011,31.05,0.020498522
22/12/2011,30.42,0.017910927
21/12/2011,29.88,0.013477293
20/12/2011,29.48,0.037675097
19/12/2011,28.39,-0.019878597
16/12/2011,28.96,0.003805575
15/12/2011,28.85,-0.000693001
14/12/2011,28.87,-0.038060999
13/12/2011,29.99,-0.047852905
12/12/2011,31.46,-0.015455283
09/12/2011,31.95,0.016091213
08/12/2011,31.44,-0.032543548
07/12/2011,32.48,0.006176672
06/12/2011,32.28,-0.004327673
05/12/2011,32.42,0.021512911
02/12/2011,31.73,0.020054786
01/12/2011,31.1,-0.012144604
30/11/2011,31.48,0.085510828
29/11/2011,28.9,-0.007926976
28/11/2011,29.13,0.054315183
25/11/2011,27.59,-0.006502913
23/11/2011,27.77,-0.030498818
22/11/2011,28.63,-0.004530414
21/11/2011,28.76,-0.034179677
18/11/2011,29.76,-0.000671817
17/11/2011,29.78,-0.043370792
16/11/2011,31.1,-0.013731654
15/11/2011,31.53,-0.006007923
14/11/2011,31.72,-0.004089985
11/11/2011,31.85,0.031900632
10/11/2011,30.85,0.009444786
09/11/2011,30.56,-0.065233633
