Date,Close,FDX
23/03/2012,92.38,-0.00129814
22/03/2012,92.5,-0.035262787
21/03/2012,95.82,0.012391212
20/03/2012,94.64,-0.002638106
19/03/2012,94.89,0.005813048
16/03/2012,94.34,-0.002857901
15/03/2012,94.61,0.025803048
14/03/2012,92.2,-0.007348207
13/03/2012,92.88,0.016829017
12/03/2012,91.33,-0.005024039
09/03/2012,91.79,0.008753749
08/03/2012,90.99,0.013610169
07/03/2012,89.76,0.011316013
06/03/2012,88.75,-0.018752642
05/03/2012,90.43,-0.003862926
02/03/2012,90.78,-0.003738322
01/03/2012,91.12,0.012478766
29/02/2012,89.99,-0.010941149
28/02/2012,90.98,-0.004168044
27/02/2012,91.36,0.012334958
24/02/2012,90.24,-0.018989649
23/02/2012,91.97,0.013353964
22/02/2012,90.75,-0.002860917
21/02/2012,91.01,-0.02152257
17/02/2012,92.99,-0.021384931
16/02/2012,95,0.008987636
15/02/2012,94.15,-0.014760416
14/02/2012,95.55,-0.014855101
13/02/2012,96.98,0.017789806
10/02/2012,95.27,0.004945556
09/02/2012,94.8,0.003381237
08/02/2012,94.48,-0.002536999
07/02/2012,94.72,-0.005579843
06/02/2012,95.25,0.007481989
03/02/2012,94.54,0.01868415
02/02/2012,92.79,0.000970403
01/02/2012,92.7,0.013138796
31/01/2012,91.49,-0.00729652
30/01/2012,92.16,-0.008535517
27/01/2012,92.95,0.002261835
26/01/2012,92.74,0.001618735
25/01/2012,92.59,0.019631997
24/01/2012,90.79,-0.002969483
23/01/2012,91.06,-0.005585077
20/01/2012,91.57,-0.015925801
19/01/2012,93.04,0.020632722
18/01/2012,91.14,0.012809362
17/01/2012,89.98,-0.004324931
13/01/2012,90.37,-0.009032888
12/01/2012,91.19,0.0158058
11/01/2012,89.76,0.014023902
10/01/2012,88.51,0.030513953
09/01/2012,85.85,0.004202177
06/01/2012,85.49,0.016511756
05/01/2012,84.09,-0.010292904
04/01/2012,84.96,-0.002468702
03/01/2012,85.17,0.019682874
30/12/2011,83.51,-0.009534097
29/12/2011,84.31,0.016021385
28/12/2011,82.97,-0.020636505
27/12/2011,84.7,-0.002594035
23/12/2011,84.92,0.005313195
22/12/2011,84.47,0.002726574
21/12/2011,84.24,0.005117536
20/12/2011,83.81,0.029791498
19/12/2011,81.35,-0.042595467
16/12/2011,84.89,0.016869015
15/12/2011,83.47,0.076922705
14/12/2011,77.29,-0.021376814
13/12/2011,78.96,-0.033255446
12/12/2011,81.63,-0.01953116
09/12/2011,83.24,0.009293411
08/12/2011,82.47,-0.020641559
07/12/2011,84.19,0.01821937
06/12/2011,82.67,-0.006390569
05/12/2011,83.2,0.012822239
02/12/2011,82.14,0.001340075
01/12/2011,82.03,-0.012718965
30/11/2011,83.08,0.055686785
29/11/2011,78.58,-0.00444417
28/11/2011,78.93,0.036775965
25/11/2011,76.08,-0.006289329
23/11/2011,76.56,-0.021322769
22/11/2011,78.21,-0.014848931
21/11/2011,79.38,-0.022915075
18/11/2011,81.22,0.011640998
17/11/2011,80.28,-0.014959789
16/11/2011,81.49,-0.014013511
15/11/2011,82.64,0.014995709
14/11/2011,81.41,-0.010022083
11/11/2011,82.23,0.025994688
10/11/2011,80.12,0.009657064
09/11/2011,79.35,-0.045092635
08/11/2011,83.01,0.013095858
07/11/2011,81.93,-0.000975967
04/11/2011,82.01,-0.004015825
03/11/2011,82.34,0.021730645
02/11/2011,80.57,0.012489234
01/11/2011,79.57,-0.028006787
31/10/2011,81.83,-0.029144645
28/10/2011,84.25,-0.005681161
27/10/2011,84.73,0.040585978
26/10/2011,81.36,0.007897376
25/10/2011,80.72,-0.009862013
24/10/2011,81.52,0.027105974
21/10/2011,79.34,0.035275895
20/10/2011,76.59,0.017252025
19/10/2011,75.28,-0.004506303
18/10/2011,75.62,0.022061193
17/10/2011,73.97,-0.023646817
14/10/2011,75.74,0.024999631
13/10/2011,73.87,-0.017578447
12/10/2011,75.18,0.023552667
11/10/2011,73.43,-0.002584156
10/10/2011,73.62,0.035392137
07/10/2011,71.06,-0.015915455
06/10/2011,72.2,0.025104747
05/10/2011,70.41,0.036888539
04/10/2011,67.86,0.040754456
03/10/2011,65.15,-0.038098412
30/09/2011,67.68,-0.029409602
29/09/2011,69.7,0.007199455
28/09/2011,69.2,-0.019037289
27/09/2011,70.53,0.011120731
26/09/2011,69.75,0.035757184
23/09/2011,67.3,0.010756005
22/09/2011,66.58,-0.08518233
21/09/2011,72.5,-0.036830591
20/09/2011,75.22,-0.007153296
19/09/2011,75.76,-0.008412247
16/09/2011,76.4,-0.008861147
15/09/2011,77.08,0.013978933
14/09/2011,76.01,0.013776877
13/09/2011,74.97,0.018035482
12/09/2011,73.63,0.003128616
09/09/2011,73.4,-0.021430836
08/09/2011,74.99,-0.016924905
07/09/2011,76.27,0.03563465
06/09/2011,73.6,-0.017508865
02/09/2011,74.9,-0.041067625
01/09/2011,78.04,-0.008675737
31/08/2011,78.72,-0.001396382
30/08/2011,78.83,0.001015357
29/08/2011,78.75,0.039235951
26/08/2011,75.72,0.012759344
25/08/2011,74.76,-0.024314094
24/08/2011,76.6,0.023912891
23/08/2011,74.79,0.024224745
22/08/2011,73,-0.002189382
19/08/2011,73.16,-0.017613245
18/08/2011,74.46,-0.060830001
17/08/2011,79.13,-0.012183784
16/08/2011,80.1,-0.02161245
15/08/2011,81.85,0.016879597
12/08/2011,80.48,0.007483198
11/08/2011,79.88,0.058779805
10/08/2011,75.32,-0.057151038
09/08/2011,79.75,0.028102809
08/08/2011,77.54,-0.06030595
05/08/2011,82.36,0.003161866
04/08/2011,82.1,-0.043381445
03/08/2011,85.74,0.015278238
02/08/2011,84.44,-0.018306073
01/08/2011,86,-0.01018056
29/07/2011,86.88,-0.011216782
28/07/2011,87.86,-0.014463529
27/07/2011,89.14,-0.020651339
26/07/2011,91,-0.009623871
25/07/2011,91.88,-0.009855498
22/07/2011,92.79,-0.003120463
21/07/2011,93.08,0.009607674
20/07/2011,92.19,0.004566218
19/07/2011,91.77,0.014377683
18/07/2011,90.46,-0.019052367
15/07/2011,92.2,-0.009284316
14/07/2011,93.06,-0.01270638
13/07/2011,94.25,0.001805342
12/07/2011,94.08,-0.010573158
11/07/2011,95.08,-0.025748931
08/07/2011,97.56,-0.009588975
07/07/2011,98.5,0.017616187
06/07/2011,96.78,0.013314114
05/07/2011,95.5,-0.010623993
01/07/2011,96.52,0.017453544
30/06/2011,94.85,0.012945851
29/06/2011,93.63,-0.004156681
28/06/2011,94.02,0.012522238
27/06/2011,92.85,0.010610754
24/06/2011,91.87,-0.011794759
23/06/2011,92.96,0.016486274
22/06/2011,91.44,0.025587041
21/06/2011,89.13,0.018457185
20/06/2011,87.5,0.005845624
17/06/2011,86.99,0.005879996
16/06/2011,86.48,-0.000115627
15/06/2011,86.49,-0.010809673
14/06/2011,87.43,0.017421842
13/06/2011,85.92,0.006304749
10/06/2011,85.38,-0.009674299
09/06/2011,86.21,0.007217726
08/06/2011,85.59,-0.013577232
07/06/2011,86.76,-0.011346176
06/06/2011,87.75,-0.026983087
03/06/2011,90.15,-0.015082578
02/06/2011,91.52,0.000983875
01/06/2011,91.43,-0.02388399
31/05/2011,93.64,0.018756613
27/05/2011,91.9,0.005893283
26/05/2011,91.36,-0.005240187
25/05/2011,91.84,0.003927563
24/05/2011,91.48,-0.006102896
23/05/2011,92.04,-0.019154788
20/05/2011,93.82,-0.008067984
19/05/2011,94.58,0.009881608
18/05/2011,93.65,0.011383284
17/05/2011,92.59,-0.006351962
16/05/2011,93.18,-0.004283579
13/05/2011,93.58,-0.014639065
12/05/2011,94.96,-0.002103935
11/05/2011,95.16,-0.006076499
10/05/2011,95.74,0.00870711
09/05/2011,94.91,-0.007766622
06/05/2011,95.65,0.003770823
05/05/2011,95.29,0.02820386
04/05/2011,92.64,-0.016911459
03/05/2011,94.22,-0.001590753
02/05/2011,94.37,-0.013681544
29/04/2011,95.67,0.004084845
28/04/2011,95.28,0.005050516
27/04/2011,94.8,0.0032754
26/04/2011,94.49,0.006796246
25/04/2011,93.85,-0.000958518
21/04/2011,93.94,0.007586722
20/04/2011,93.23,0.014912747
19/04/2011,91.85,-0.001196888
18/04/2011,91.96,-0.006719436
15/04/2011,92.58,-0.003880988
14/04/2011,92.94,-0.005258369
13/04/2011,93.43,-0.006932991
12/04/2011,94.08,0.016612568
11/04/2011,92.53,0.014916712
08/04/2011,91.16,-0.029720672
07/04/2011,93.91,-0.007214885
06/04/2011,94.59,0.004237743
05/04/2011,94.19,-0.009825234
04/04/2011,95.12,0.001262361
01/04/2011,95,0.015380839
31/03/2011,93.55,-0.002135612
30/03/2011,93.75,0.007602157
29/03/2011,93.04,0.000214984
28/03/2011,93.02,0.029898572
25/03/2011,90.28,-0.005633195
24/03/2011,90.79,0.020362317
23/03/2011,88.96,0.00755998
22/03/2011,88.29,-0.017626053
21/03/2011,89.86,0.006475405
18/03/2011,89.28,0.015691466
17/03/2011,87.89,0.030146072
16/03/2011,85.28,-0.029007639
15/03/2011,87.79,-0.009522802
14/03/2011,88.63,-0.023197204
11/03/2011,90.71,0.008413644
10/03/2011,89.95,-0.009185037
09/03/2011,90.78,0.009185037
08/03/2011,89.95,0.018966957
07/03/2011,88.26,-0.00486014
04/03/2011,88.69,-0.012326467
03/03/2011,89.79,0.027894079
02/03/2011,87.32,-0.006392716
01/03/2011,87.88,-0.02405962
28/02/2011,90.02,0.001556421
25/02/2011,89.88,0.00077912
24/02/2011,89.81,0.006254907
23/02/2011,89.25,-0.0442715
22/02/2011,93.29,-0.052514544
18/02/2011,98.32,0.008682827
17/02/2011,97.47,0.006484506
16/02/2011,96.84,0.008920296
15/02/2011,95.98,0.020951443
