Date,Close,ROP
20/05/2011,83.38,0
19/05/2011,83.38,0.004688354
18/05/2011,82.99,0.010173274
17/05/2011,82.15,-0.01005277
16/05/2011,82.98,0.003742836
13/05/2011,82.67,-0.01596002
12/05/2011,84,0.00549124
11/05/2011,83.54,-0.015677281
10/05/2011,84.86,0.011854098
09/05/2011,83.86,0.001312571
06/05/2011,83.75,-0.002742505
05/05/2011,83.98,0.001907033
04/05/2011,83.82,-0.020078624
03/05/2011,85.52,-0.007687865
02/05/2011,86.18,-0.003590668
29/04/2011,86.49,-0.000115614
28/04/2011,86.5,0.001156738
27/04/2011,86.4,-0.009216655
26/04/2011,87.2,0.012230451
25/04/2011,86.14,-0.002666514
21/04/2011,86.37,0.006621387
20/04/2011,85.8,0.023585999
19/04/2011,83.8,0.005504381
18/04/2011,83.34,-0.017956366
15/04/2011,84.85,0.003778491
14/04/2011,84.53,-0.002835206
13/04/2011,84.77,0.00200744
12/04/2011,84.6,-0.007067167
11/04/2011,85.2,-0.002812941
08/04/2011,85.44,-0.009319732
07/04/2011,86.24,-0.008659062
06/04/2011,86.99,-0.006987828
05/04/2011,87.6,-0.009656423
04/04/2011,88.45,0.00135762
01/04/2011,88.33,0.021397922
31/03/2011,86.46,0.008479057
30/03/2011,85.73,-0.000466472
29/03/2011,85.77,0.007020036
28/03/2011,85.17,-0.008068804
25/03/2011,85.86,0.009243616
24/03/2011,85.07,0.003886702
23/03/2011,84.74,-0.006938347
22/03/2011,85.33,-0.005492914
21/03/2011,85.8,0.019418086
18/03/2011,84.15,0.019802627
17/03/2011,82.5,0.007543533
16/03/2011,81.88,-0.013103803
15/03/2011,82.96,-0.007924162
14/03/2011,83.62,-0.010113716
11/03/2011,84.47,0.001303086
10/03/2011,84.36,-0.023083807
09/03/2011,86.33,0.005459099
08/03/2011,85.86,0.011597389
07/03/2011,84.87,-0.012645058
04/03/2011,85.95,-0.017758769
03/03/2011,87.49,0.032290843
02/03/2011,84.71,0.017625799
01/03/2011,83.23,-0.010755362
28/02/2011,84.13,0.010995689
25/02/2011,83.21,0.011847334
24/02/2011,82.23,-0.008597256
23/02/2011,82.94,-0.006609409
22/02/2011,83.49,-0.02133035
18/02/2011,85.29,0.008241158
17/02/2011,84.59,-0.005070467
16/02/2011,85.02,0.006490081
15/02/2011,84.47,-0.003663224
14/02/2011,84.78,0.012342905
11/02/2011,83.74,0.007792403
10/02/2011,83.09,0.011255792
09/02/2011,82.16,0.000608754
08/02/2011,82.11,0.017321236
07/02/2011,80.7,0.008961972
04/02/2011,79.98,0.010937314
03/02/2011,79.11,0.000252845
02/02/2011,79.09,0.002278482
01/02/2011,78.91,0.015581414
31/01/2011,77.69,0.026080498
28/01/2011,75.69,-0.012734009
27/01/2011,76.66,0.008778307
26/01/2011,75.99,0.014047408
25/01/2011,74.93,0.002271362
24/01/2011,74.76,0.011299555
21/01/2011,73.92,0.004882028
20/01/2011,73.56,-0.006639141
19/01/2011,74.05,-0.02164124
18/01/2011,75.67,0.003972463
14/01/2011,75.37,0.001593414
13/01/2011,75.25,-0.001991371
12/01/2011,75.4,-0.002384423
11/01/2011,75.58,0.006770686
10/01/2011,75.07,0.002667735
07/01/2011,74.87,-0.010099754
06/01/2011,75.63,-0.008164386
05/01/2011,76.25,0.004073861
04/01/2011,75.94,-0.014640784
03/01/2011,77.06,0.00820905
31/12/2010,76.43,-0.005480181
30/12/2010,76.85,-0.006226509
29/12/2010,77.33,-0.00051713
28/12/2010,77.37,-0.00412744
27/12/2010,77.69,0.011652126
23/12/2010,76.79,-0.01537796
22/12/2010,77.98,0.001540041
21/12/2010,77.86,0.009420032
20/12/2010,77.13,-0.012497747
17/12/2010,78.1,-0.00421645
16/12/2010,78.43,0.015936592
15/12/2010,77.19,-0.002329194
14/12/2010,77.37,0.00051713
13/12/2010,77.33,-0.004901971
10/12/2010,77.71,0.011128479
09/12/2010,76.85,0.004956963
08/12/2010,76.47,-0.001568013
07/12/2010,76.59,0.008654657
06/12/2010,75.93,0.008464539
03/12/2010,75.29,0.006395758
02/12/2010,74.81,0.014270571
01/12/2010,73.75,0.018336584
30/11/2010,72.41,0.002627396
29/11/2010,72.22,-0.007586767
26/11/2010,72.77,-0.009437258
24/11/2010,73.46,0.027743136
23/11/2010,71.45,-0.009749381
22/11/2010,72.15,0.001525765
19/11/2010,72.04,0.011447842
18/11/2010,71.22,0.015993547
17/11/2010,70.09,0.004289397
16/11/2010,69.79,-0.023087209
15/11/2010,71.42,0.007730729
12/11/2010,70.87,-0.00829064
11/11/2010,71.46,-0.009609433
10/11/2010,72.15,0.010729567
09/11/2010,71.38,-0.000140085
08/11/2010,71.39,-0.004332944
05/11/2010,71.7,-0.006256538
04/11/2010,72.15,0.026544638
03/11/2010,70.26,-0.002416662
02/11/2010,70.43,0.009558529
01/11/2010,69.76,0.004741729
29/10/2010,69.43,-0.002158119
28/10/2010,69.58,0.003166837
27/10/2010,69.36,-0.015308976
26/10/2010,70.43,0.000710177
25/10/2010,70.38,0.012582379
22/10/2010,69.5,0.004614949
21/10/2010,69.18,0.025028749
20/10/2010,67.47,0.019304752
19/10/2010,66.18,-0.028158285
18/10/2010,68.07,0.015097978
15/10/2010,67.05,0.003735529
14/10/2010,66.8,-0.007902822
13/10/2010,67.33,0.01692544
12/10/2010,66.2,-0.003618822
11/10/2010,66.44,0.001807774
08/10/2010,66.32,-0.003011143
07/10/2010,66.52,-0.006443418
06/10/2010,66.95,0.002692194
05/10/2010,66.77,0.027174348
04/10/2010,64.98,-0.015726715
01/10/2010,66.01,0.012653572
30/09/2010,65.18,-0.001379839
29/09/2010,65.27,-0.004890733
28/09/2010,65.59,0.015673339
27/09/2010,64.57,-0.0118545
24/09/2010,65.34,0.027620065
23/09/2010,63.56,-0.006898742
22/09/2010,64,-0.020108953
21/09/2010,65.3,0.00552827
20/09/2010,64.94,0.013643622
17/09/2010,64.06,0.001405921
16/09/2010,63.97,0.0014079
15/09/2010,63.88,0.002664787
14/09/2010,63.71,-0.004697785
13/09/2010,64.01,0.027238422
10/09/2010,62.29,-0.002084838
09/09/2010,62.42,0.002405968
08/09/2010,62.27,0.020605905
07/09/2010,61,-0.015615151
03/09/2010,61.96,0.018077196
02/09/2010,60.85,0.014067257
01/09/2010,60,0.032523192
31/08/2010,58.08,0.001033592
30/08/2010,58.02,-0.020978001
27/08/2010,59.25,0.023566664
26/08/2010,57.87,0.000691443
25/08/2010,57.83,-0.010835088
24/08/2010,58.46,-0.013929221
23/08/2010,59.28,-0.003031837
20/08/2010,59.46,-0.001512478
19/08/2010,59.55,-0.021266793
18/08/2010,60.83,-0.002298852
17/08/2010,60.97,0.019376279
16/08/2010,59.8,0.006374791
13/08/2010,59.42,-0.012210572
12/08/2010,60.15,-0.005801923
11/08/2010,60.5,-0.038266666
10/08/2010,62.86,-0.013745378
09/08/2010,63.73,0.009459317
06/08/2010,63.13,-0.004740843
05/08/2010,63.43,-0.00236202
04/08/2010,63.58,0.00125905
03/08/2010,63.5,0.00758777
02/08/2010,63.02,0.00828558
30/07/2010,62.5,0.006742681
29/07/2010,62.08,-0.000644122
28/07/2010,62.12,-0.011364668
27/07/2010,62.83,-0.010449747
26/07/2010,63.49,0.023586751
23/07/2010,62.01,0.030953097
22/07/2010,60.12,0.030397477
21/07/2010,58.32,0.002919209
20/07/2010,58.15,0.016297171
19/07/2010,57.21,0.004906265
16/07/2010,56.93,-0.027033356
15/07/2010,58.49,0.003253706
14/07/2010,58.3,0.007230192
13/07/2010,57.88,0.022716336
12/07/2010,56.58,-0.005639775
09/07/2010,56.9,0.002463489
08/07/2010,56.76,0.011517803
07/07/2010,56.11,0.023806354
06/07/2010,54.79,0.000182532
02/07/2010,54.78,-0.005279939
01/07/2010,55.07,-0.016032047
30/06/2010,55.96,0.002146691
29/06/2010,55.84,-0.035362995
28/06/2010,57.85,-0.002072182
25/06/2010,57.97,0.000517643
24/06/2010,57.94,-0.021682454
23/06/2010,59.21,0.002705904
22/06/2010,59.05,-0.020947561
21/06/2010,60.3,-0.005292768
18/06/2010,60.62,0.003304696
17/06/2010,60.42,0.003980105
16/06/2010,60.18,-0.004311066
15/06/2010,60.44,0.026489395
14/06/2010,58.86,0.009902761
11/06/2010,58.28,0.003093317
10/06/2010,58.1,0.035029851
09/06/2010,56.1,0.002677378
08/06/2010,55.95,0.008616101
07/06/2010,55.47,-0.018752224
04/06/2010,56.52,-0.046158051
03/06/2010,59.19,0.013094312
02/06/2010,58.42,0.031296017
01/06/2010,56.62,-0.024425499
28/05/2010,58.02,-0.014543844
27/05/2010,58.87,0.034036282
26/05/2010,56.9,0.002815912
25/05/2010,56.74,-0.009646659
24/05/2010,57.29,-0.01300634
21/05/2010,58.04,0.020716208
20/05/2010,56.85,-0.039153056
19/05/2010,59.12,-0.017438403
18/05/2010,60.16,-0.009759403
17/05/2010,60.75,0.007434978
14/05/2010,60.3,-0.021005039
13/05/2010,61.58,-0.005829032
12/05/2010,61.94,0.021046539
11/05/2010,60.65,-0.007064845
10/05/2010,61.08,0.060747419
07/05/2010,57.48,-0.008661062
06/05/2010,57.98,-0.03391305
05/05/2010,59.98,-0.009127937
04/05/2010,60.53,-0.029624562
03/05/2010,62.35,0.021561993
30/04/2010,61.02,-0.02252384
29/04/2010,62.41,0.03009091
28/04/2010,60.56,-0.00756707
27/04/2010,61.02,-0.000163867
26/04/2010,61.03,-0.046110297
23/04/2010,63.91,0.022949492
22/04/2010,62.46,0.015651792
21/04/2010,61.49,0.003257862
20/04/2010,61.29,0.010497062
19/04/2010,60.65,-0.002470154
16/04/2010,60.8,-0.01436994
15/04/2010,61.68,0.004387041
14/04/2010,61.41,0.007190748
13/04/2010,60.97,0.001641497
12/04/2010,60.87,0.008082518
09/04/2010,60.38,0.005480376
08/04/2010,60.05,0.008865158
07/04/2010,59.52,0.000840407
06/04/2010,59.47,0.008443144
05/04/2010,58.97,0.006294143
01/04/2010,58.6,0.013054119
31/03/2010,57.84,0.001557228
30/03/2010,57.75,0.013774082
29/03/2010,56.96,0.001581306
26/03/2010,56.87,0.000351741
25/03/2010,56.85,-0.007884404
24/03/2010,57.3,-0.010762124
23/03/2010,57.92,0.007451728
22/03/2010,57.49,0.00400872
19/03/2010,57.26,-0.009386476
18/03/2010,57.8,-0.009299189
17/03/2010,58.34,0.007397883
16/03/2010,57.91,0.011462439
15/03/2010,57.25,-0.013877066
12/03/2010,58.05,0.006741016
11/03/2010,57.66,0.01256561
10/03/2010,56.94,0.004576667
09/03/2010,56.68,-0.001586602
08/03/2010,56.77,0.006538859
05/03/2010,56.4,0.012489012
