Date,Close,MJN
01/06/2012,78.15,-0.032604059
31/05/2012,80.74,-0.011207704
30/05/2012,81.65,-0.021925656
29/05/2012,83.46,0.005285933
25/05/2012,83.02,0.010047902
24/05/2012,82.19,0.011010632
23/05/2012,81.29,-0.010158584
22/05/2012,82.12,-0.000121766
21/05/2012,82.13,0.013854203
18/05/2012,81,-0.018712709
17/05/2012,82.53,-0.020745393
16/05/2012,84.26,0.011939015
15/05/2012,83.26,0.00771646
14/05/2012,82.62,-0.007235922
11/05/2012,83.22,0.002647096
10/05/2012,83,0.002774931
09/05/2012,82.77,-0.007702529
08/05/2012,83.41,-0.007167633
07/05/2012,84.01,-0.004157516
04/05/2012,84.36,-0.005320105
03/05/2012,84.81,-0.00868754
02/05/2012,85.55,0.011521407
01/05/2012,84.57,-0.01163829
30/04/2012,85.56,-0.004780514
27/04/2012,85.97,-0.006492776
26/04/2012,86.53,0.040807549
25/04/2012,83.07,0.026469802
24/04/2012,80.9,-0.003208691
23/04/2012,81.16,-0.034989345
20/04/2012,84.05,0.013173843
19/04/2012,82.95,0.015673731
18/04/2012,81.66,-0.023598844
17/04/2012,83.61,-0.005129746
16/04/2012,84.04,0.011248174
13/04/2012,83.1,0.005308893
12/04/2012,82.66,-0.000604705
11/04/2012,82.71,0.006550242
10/04/2012,82.17,-0.014138354
09/04/2012,83.34,-0.00466871
05/04/2012,83.73,0.003349686
04/04/2012,83.45,-0.000359432
03/04/2012,83.48,-0.008469067
02/04/2012,84.19,0.02052031
30/03/2012,82.48,-0.008691508
29/03/2012,83.2,0.003009331
28/03/2012,82.95,0.006288568
27/03/2012,82.43,0.002672499
26/03/2012,82.21,0.003533788
23/03/2012,81.92,-0.008750664
22/03/2012,82.64,0.012052005
21/03/2012,81.65,0.019165965
20/03/2012,80.1,-0.00671895
19/03/2012,80.64,0.010972679
16/03/2012,79.76,0.001254548
15/03/2012,79.66,-0.007877502
14/03/2012,80.29,-0.000995892
13/03/2012,80.37,0.004739345
12/03/2012,79.99,0.007151401
09/03/2012,79.42,0.001259922
08/03/2012,79.32,0.003156768
07/03/2012,79.07,0.007744595
06/03/2012,78.46,-0.006352454
05/03/2012,78.96,0.008904778
02/03/2012,78.26,0.00268697
01/03/2012,78.05,0.003851096
29/02/2012,77.75,0.002833593
28/02/2012,77.53,-0.006043868
27/02/2012,78,-0.000256377
24/02/2012,78.02,0.008495353
23/02/2012,77.36,-0.004514098
22/02/2012,77.71,0.012951871
21/02/2012,76.71,0.01576698
17/02/2012,75.51,-0.010538893
16/02/2012,76.31,0.015317875
15/02/2012,75.15,-0.010457439
14/02/2012,75.94,0.01019134
13/02/2012,75.17,0.013122845
10/02/2012,74.19,-0.016840815
09/02/2012,75.45,0.015359233
08/02/2012,74.3,-0.007642325
07/02/2012,74.87,-0.011553146
06/02/2012,75.74,0.006756335
03/02/2012,75.23,0.011228563
02/02/2012,74.39,0.014215362
01/02/2012,73.34,-0.010174408
31/01/2012,74.09,0.003109161
30/01/2012,73.86,-0.002299007
27/01/2012,74.03,0.000270197
26/01/2012,74.01,0.019235297
25/01/2012,72.6,0.025812385
24/01/2012,70.75,-0.024709849
23/01/2012,72.52,-0.017360835
20/01/2012,73.79,0.002714074
19/01/2012,73.59,0.005860323
18/01/2012,73.16,-0.000273336
17/01/2012,73.18,0.019734305
13/01/2012,71.75,-0.010122807
12/01/2012,72.48,-0.001791992
11/01/2012,72.61,0.010800437
10/01/2012,71.83,0.006424603
09/01/2012,71.37,0.003087288
06/01/2012,71.15,-0.007700423
05/01/2012,71.7,0.007981559
04/01/2012,71.13,-0.003088155
03/01/2012,71.35,0.037411559
30/12/2011,68.73,0.00131033
29/12/2011,68.64,0.009661911
28/12/2011,67.98,-0.016051709
27/12/2011,69.08,0.056426368
23/12/2011,65.29,-0.051783295
22/12/2011,68.76,-0.106407088
21/12/2011,76.48,0.027707745
20/12/2011,74.39,0.017219597
19/12/2011,73.12,0.002738977
16/12/2011,72.92,0.003434305
15/12/2011,72.67,0.001239243
14/12/2011,72.58,-0.017888099
13/12/2011,73.89,-0.007818859
12/12/2011,74.47,-0.008690475
09/12/2011,75.12,0.012861914
08/12/2011,74.16,-0.014856728
07/12/2011,75.27,0.001728609
06/12/2011,75.14,-0.006632204
05/12/2011,75.64,0.009697851
02/12/2011,74.91,-0.005591069
01/12/2011,75.33,-0.000398168
30/11/2011,75.36,0.02526337
29/11/2011,73.48,0.011635201
28/11/2011,72.63,0.022839038
25/11/2011,70.99,-0.000563301
23/11/2011,71.03,-0.011339101
22/11/2011,71.84,0.025803335
21/11/2011,70.01,-0.008958467
18/11/2011,70.64,0.006818208
17/11/2011,70.16,-0.011760674
16/11/2011,70.99,-0.016069653
15/11/2011,72.14,0.005420821
14/11/2011,71.75,-0.00208841
11/11/2011,71.9,0.024640458
10/11/2011,70.15,0.013201512
09/11/2011,69.23,-0.043942932
08/11/2011,72.34,0.009863246
07/11/2011,71.63,0.00517882
