Date,Close,PNR
26/09/2012,41.89,-0.019854115
25/09/2012,42.73,-0.020155901
24/09/2012,43.6,-0.010041161
21/09/2012,44.04,0.009124151
20/09/2012,43.64,-0.011845241
19/09/2012,44.16,0.03198248
18/09/2012,42.77,0.009868501
17/09/2012,42.35,-0.014999109
14/09/2012,42.99,-0.009030975
13/09/2012,43.38,-0.011687998
12/09/2012,43.89,0.019788957
11/09/2012,43.03,-0.004405804
10/09/2012,43.22,-0.001849284
07/09/2012,43.3,-0.003458217
06/09/2012,43.45,0.012972153
05/09/2012,42.89,-0.012051131
04/09/2012,43.41,0.021185753
31/08/2012,42.5,0.014456941
30/08/2012,41.89,-0.003336514
29/08/2012,42.03,-0.003562526
28/08/2012,42.18,-0.010142792
27/08/2012,42.61,-0.013056842
24/08/2012,43.17,-0.004852696
23/08/2012,43.38,-0.024366457
22/08/2012,44.45,-0.001573564
21/08/2012,44.52,0.008798703
20/08/2012,44.13,0.007506006
17/08/2012,43.8,0.01611082
16/08/2012,43.1,0.014254243
15/08/2012,42.49,0.0056644
14/08/2012,42.25,-0.0063702
13/08/2012,42.52,-0.008197727
10/08/2012,42.87,-0.002329917
09/08/2012,42.97,-0.011338777
08/08/2012,43.46,-0.01030111
07/08/2012,43.91,0.009381146
06/08/2012,43.5,-0.004358305
03/08/2012,43.69,0.018014344
02/08/2012,42.91,-0.0037218
01/08/2012,43.07,-0.017491815
31/07/2012,43.83,-0.010214593
30/07/2012,44.28,-0.010558337
27/07/2012,44.75,0.039658798
26/07/2012,43.01,0.039602093
25/07/2012,41.34,-0.002898553
24/07/2012,41.46,0.045647495
23/07/2012,39.61,-0.003528229
20/07/2012,39.75,-0.02312673
19/07/2012,40.68,0.018358243
18/07/2012,39.94,0.021000139
17/07/2012,39.11,0.022496101
16/07/2012,38.24,-0.015825989
13/07/2012,38.85,0.022648371
12/07/2012,37.98,0
11/07/2012,37.98,-0.008390191
10/07/2012,38.3,-0.032115798
09/07/2012,39.55,0.006595661
06/07/2012,39.29,-0.020156893
05/07/2012,40.09,0.008265545
03/07/2012,39.76,0.026505119
