Date,Close,NRG
30/04/2012,17,0.022005051
27/04/2012,16.63,-0.003601444
26/04/2012,16.69,0.019970406
25/04/2012,16.36,0.028520222
24/04/2012,15.9,0.035203635
23/04/2012,15.35,-0.002602474
20/04/2012,15.39,0.021675725
19/04/2012,15.06,0.005994024
18/04/2012,14.97,-0.004000005
17/04/2012,15.03,0.046995369
16/04/2012,14.34,-0.016597891
13/04/2012,14.58,-0.01091416
12/04/2012,14.74,0.006124551
11/04/2012,14.65,0.002049881
10/04/2012,14.62,-0.016282585
09/04/2012,14.86,-0.021305733
05/04/2012,15.18,-0.024081867
04/04/2012,15.55,0.003220615
03/04/2012,15.5,-0.00643089
02/04/2012,15.6,-0.004477142
30/03/2012,15.67,-0.004457187
29/03/2012,15.74,-0.023234954
28/03/2012,16.11,-0.023920184
27/03/2012,16.5,-0.004836769
26/03/2012,16.58,-0.007810193
23/03/2012,16.71,0.003597126
22/03/2012,16.65,-0.016086138
21/03/2012,16.92,0.02634883
20/03/2012,16.48,0.004256619
19/03/2012,16.41,-0.021700671
16/03/2012,16.77,0.021700671
15/03/2012,16.41,-0.01151179
14/03/2012,16.6,-0.007202912
13/03/2012,16.72,0.014458083
12/03/2012,16.48,-0.015055991
09/03/2012,16.73,0.002393777
08/03/2012,16.69,0.004202948
07/03/2012,16.62,-0.005998818
06/03/2012,16.72,-0.027722212
05/03/2012,17.19,-0.00580048
02/03/2012,17.29,0.005218916
01/03/2012,17.2,0.00583092
29/02/2012,17.1,-0.025975486
28/02/2012,17.55,-0.002844952
27/02/2012,17.6,-0.014104606
24/02/2012,17.85,0.006181531
23/02/2012,17.74,0.010768027
22/02/2012,17.55,-0.012457692
21/02/2012,17.77,0.015310761
17/02/2012,17.5,0.00918491
16/02/2012,17.34,0.023928775
15/02/2012,16.93,-0.007063008
14/02/2012,17.05,-0.001757985
13/02/2012,17.08,-0.013953715
10/02/2012,17.32,0.013953715
09/02/2012,17.08,-0.002339182
08/02/2012,17.12,0
07/02/2012,17.12,0.009979537
06/02/2012,16.95,-0.018123852
03/02/2012,17.26,0.023447733
02/02/2012,16.86,0.002970005
01/02/2012,16.81,-0.004155542
31/01/2012,16.88,0.004750603
30/01/2012,16.8,0.007168489
