Date,Close,TWX
20/07/2012,38.86,-0.007179518
19/07/2012,39.14,0.005636705
18/07/2012,38.92,0.004893764
17/07/2012,38.73,0.015875415
16/07/2012,38.12,-0.001834622
13/07/2012,38.19,0.01264839
12/07/2012,37.71,-0.010288971
11/07/2012,38.1,0.009758748
10/07/2012,37.73,-0.010021181
09/07/2012,38.11,-0.012516461
06/07/2012,38.59,0.00780441
05/07/2012,38.29,-0.014261878
03/07/2012,38.84,0.002319888
02/07/2012,38.75,0.006472515
29/06/2012,38.5,0.016498999
28/06/2012,37.87,-0.003426918
27/06/2012,38,0.022622389
26/06/2012,37.15,0.014369232
25/06/2012,36.62,-0.023479692
22/06/2012,37.49,0.005885517
21/06/2012,37.27,0.003763445
20/06/2012,37.13,-0.005372025
19/06/2012,37.33,0.004833522
18/06/2012,37.15,0.019845697
15/06/2012,36.42,0.027559155
14/06/2012,35.43,0.017079834
13/06/2012,34.83,-0.014253377
12/06/2012,35.33,0.022035517
11/06/2012,34.56,-0.019201048
08/06/2012,35.23,0.006549931
07/06/2012,35,0.004008021
06/06/2012,34.86,0.023803736
05/06/2012,34.04,-0.002347419
04/06/2012,34.12,0.010607053
01/06/2012,33.76,-0.020812711
31/05/2012,34.47,-0.000869944
30/05/2012,34.5,-0.02207342
29/05/2012,35.27,0.016293057
25/05/2012,34.7,0.003464207
24/05/2012,34.58,0.004637689
23/05/2012,34.42,-0.003769759
22/05/2012,34.55,0.001448226
21/05/2012,34.5,0.006688988
18/05/2012,34.27,-0.010161214
17/05/2012,34.62,-0.018601194
16/05/2012,35.27,-0.000283487
15/05/2012,35.28,-0.008186355
14/05/2012,35.57,-0.003367952
11/05/2012,35.69,-0.005030754
10/05/2012,35.87,0.006432689
09/05/2012,35.64,-0.001401935
08/05/2012,35.69,-0.008648401
07/05/2012,36,-0.009675266
04/05/2012,36.35,-0.017183022
03/05/2012,36.98,-0.008347968
02/05/2012,37.29,-0.016753483
01/05/2012,37.92,0.011938065
30/04/2012,37.47,-0.015885958
27/04/2012,38.07,0.005003302
26/04/2012,37.88,0.018652286
25/04/2012,37.18,0.020652908
24/04/2012,36.42,0.004127121
23/04/2012,36.27,-0.009057287
20/04/2012,36.6,0.007955055
19/04/2012,36.31,0.002481733
18/04/2012,36.22,-0.003032394
17/04/2012,36.33,0.017213085
16/04/2012,35.71,0.000560224
13/04/2012,35.69,-0.009481387
12/04/2012,36.03,0.008641169
11/04/2012,35.72,0.00871649
10/04/2012,35.41,-0.017357659
09/04/2012,36.03,-0.017061504
05/04/2012,36.65,-0.007339981
04/04/2012,36.92,-0.015320821
03/04/2012,37.49,-0.002663827
02/04/2012,37.59,-0.004247418
30/03/2012,37.75,0.01629092
29/03/2012,37.14,0.023152335
28/03/2012,36.29,-0.012868076
27/03/2012,36.76,-0.011360685
26/03/2012,37.18,0.002693242
23/03/2012,37.08,0.03624779
22/03/2012,35.76,0
21/03/2012,35.76,0.002239643
20/03/2012,35.68,-0.007260574
19/03/2012,35.94,0.000835073
16/03/2012,35.91,0.00195122
15/03/2012,35.84,-0.00389864
14/03/2012,35.98,-0.014896827
13/03/2012,36.52,0.009353576
12/03/2012,36.18,-0.014815086
09/03/2012,36.72,-0.003805386
08/03/2012,36.86,0.007351973
07/03/2012,36.59,0.002188783
06/03/2012,36.51,-0.012250051
05/03/2012,36.96,-0.004858309
02/03/2012,37.14,-0.008579141
01/03/2012,37.46,0.006696155
29/02/2012,37.21,-0.017317603
28/02/2012,37.86,0.007423152
27/02/2012,37.58,-0.002922813
24/02/2012,37.69,0.01013342
23/02/2012,37.31,0.006183647
22/02/2012,37.08,-0.013128119
21/02/2012,37.57,-0.003454235
17/02/2012,37.7,-0.005291018
16/02/2012,37.9,0.011143655
15/02/2012,37.48,-0.009559287
14/02/2012,37.84,-0.001056524
13/02/2012,37.88,0.009549144
10/02/2012,37.52,-0.005051187
09/02/2012,37.71,-0.010551404
08/02/2012,38.11,0.000262433
07/02/2012,38.1,0.003417908
06/02/2012,37.97,-0.005777327
03/02/2012,38.19,0.026802719
02/02/2012,37.18,-0.013623825
01/02/2012,37.69,0.016856586
31/01/2012,37.06,-0.009934301
30/01/2012,37.43,-0.002934509
27/01/2012,37.54,-0.011389343
26/01/2012,37.97,-0.006300887
25/01/2012,38.21,0.016891402
24/01/2012,37.57,0.003466208
23/01/2012,37.44,-0.004264399
20/01/2012,37.6,-0.003451484
19/01/2012,37.73,0.009052245
