Date,Close,LLTC
26/08/2013,38.91,-0.005382558
23/08/2013,39.12,0.002303264
22/08/2013,39.03,0.008490981
21/08/2013,38.7,-0.015130434
20/08/2013,39.29,0.005359206
19/08/2013,39.08,-0.001534135
16/08/2013,39.14,0.000511117
15/08/2013,39.12,-0.013204864
14/08/2013,39.64,-0.017256899
13/08/2013,40.33,0.003726249
12/08/2013,40.18,0.00674244
09/08/2013,39.91,-0.005746424
08/08/2013,40.14,0.001246417
07/08/2013,40.09,-0.002491282
06/08/2013,40.19,-0.007930649
05/08/2013,40.51,-0.000986923
02/08/2013,40.55,-0.010548362
01/08/2013,40.98,0.010548362
31/07/2013,40.55,0.00717736
30/07/2013,40.26,0.016024379
29/07/2013,39.62,-0.006039274
26/07/2013,39.86,-0.009736689
25/07/2013,40.25,0.016786064
24/07/2013,39.58,-0.021248143
23/07/2013,40.43,0.005705088
22/07/2013,40.2,0.007992051
19/07/2013,39.88,-0.006000018
18/07/2013,40.12,-0.003980105
17/07/2013,40.28,0.006225895
16/07/2013,40.03,0.012063479
15/07/2013,39.55,-0.00881063
12/07/2013,39.9,0.010075652
11/07/2013,39.5,0.035823957
10/07/2013,38.11,0.013472664
09/07/2013,37.6,0.015005641
08/07/2013,37.04,-0.015271563
05/07/2013,37.61,0.017433726
03/07/2013,36.96,0.004338402
02/07/2013,36.8,0.00135962
01/07/2013,36.75,-0.002445986
28/06/2013,36.84,0.001629992
27/06/2013,36.78,0.003540791
26/06/2013,36.65,0.005746356
25/06/2013,36.44,0.018277994
24/06/2013,35.78,-0.015805126
21/06/2013,36.35,0.011899961
20/06/2013,35.92,-0.024475304
19/06/2013,36.81,-0.012687442
18/06/2013,37.28,0.011330038
17/06/2013,36.86,0.012832941
14/06/2013,36.39,-0.005754229
13/06/2013,36.6,0.024897552
12/06/2013,35.7,-0.018043515
11/06/2013,36.35,-0.02203871
10/06/2013,37.16,0.001885522
07/06/2013,37.09,0.009481312
06/06/2013,36.74,-0.009481312
05/06/2013,37.09,-0.013656659
04/06/2013,37.6,0.005333346
03/06/2013,37.4,-0.003469909
31/05/2013,37.53,-0.02083134
30/05/2013,38.32,0.021897722
29/05/2013,37.49,0.006690778
28/05/2013,37.24,0.005115101
24/05/2013,37.05,0.000269942
