Date,Close,FAST
29/11/2011,40.15,0.007500035
28/11/2011,39.85,0.036544248
25/11/2011,38.42,-0.005451019
23/11/2011,38.63,-0.0194828
22/11/2011,39.39,-0.000253839
21/11/2011,39.4,-0.016113138
18/11/2011,40.04,0.0009995
17/11/2011,40,-0.019557499
16/11/2011,40.79,-0.016292154
15/11/2011,41.46,0.00556296
14/11/2011,41.23,0.001213445
11/11/2011,41.18,0.025081226
10/11/2011,40.16,0.020375501
09/11/2011,39.35,-0.031272092
08/11/2011,40.6,0.020906685
07/11/2011,39.76,-0.012745393
04/11/2011,40.27,0.003482591
03/11/2011,40.13,0.04771922
02/11/2011,38.26,0.028096203
01/11/2011,37.2,-0.023643019
31/10/2011,38.09,-0.013818497
28/10/2011,38.62,0.007276539
27/10/2011,38.34,0.066035032
26/10/2011,35.89,0.000557414
25/10/2011,35.87,-0.01053809
24/10/2011,36.25,0.020625034
21/10/2011,35.51,0.025382797
20/10/2011,34.62,0.015427464
19/10/2011,34.09,-0.002929118
18/10/2011,34.19,0.023976285
17/10/2011,33.38,-0.000598982
14/10/2011,33.4,-0.008941937
13/10/2011,33.7,-0.026933712
12/10/2011,34.62,-0.004035751
11/10/2011,34.76,-0.001150086
10/10/2011,34.8,0.036580523
07/10/2011,33.55,-0.016553733
06/10/2011,34.11,-0.000293126
05/10/2011,34.12,0.019831936
04/10/2011,33.45,0.037154091
03/10/2011,32.23,-0.03205892
30/09/2011,33.28,-0.026684062
29/09/2011,34.18,-0.001461775
28/09/2011,34.23,-0.027090994
27/09/2011,35.17,0.006847388
26/09/2011,34.93,0.013837061
23/09/2011,34.45,-0.000870448
22/09/2011,34.48,-0.039243022
21/09/2011,35.86,-0.020972071
20/09/2011,36.62,0.003556289
19/09/2011,36.49,0.004945065
16/09/2011,36.31,0.01135589
15/09/2011,35.9,0.020259556
14/09/2011,35.18,0.023875721
13/09/2011,34.35,0.046173503
12/09/2011,32.8,0.015051736
09/09/2011,32.31,-0.010774308
08/09/2011,32.66,-0.012173005
07/09/2011,33.06,0.025736715
06/09/2011,32.22,0.004978231
02/09/2011,32.06,-0.027685558
01/09/2011,32.96,-0.01535481
31/08/2011,33.47,-0.000597372
30/08/2011,33.49,0.014436341
29/08/2011,33.01,0.025776205
26/08/2011,32.17,0.038984496
25/08/2011,30.94,-0.023320015
24/08/2011,31.67,0.013990689
23/08/2011,31.23,0.036521829
22/08/2011,30.11,0.00833755
19/08/2011,29.86,-0.003677089
18/08/2011,29.97,-0.066476082
17/08/2011,32.03,-0.014567126
16/08/2011,32.5,-0.008273373
15/08/2011,32.77,0.012899442
12/08/2011,32.35,0.019981932
11/08/2011,31.71,0.05676893
10/08/2011,29.96,-0.042796013
09/08/2011,31.27,0.059286375
08/08/2011,29.47,-0.069467818
05/08/2011,31.59,0.010181443
04/08/2011,31.27,-0.04042537
03/08/2011,32.56,0.031510952
02/08/2011,31.55,-0.042506787
01/08/2011,32.92,-0.02193268
29/07/2011,33.65,-0.006221321
28/07/2011,33.86,0.017578287
27/07/2011,33.27,-0.016691893
26/07/2011,33.83,-0.014380292
25/07/2011,34.32,0.00204171
22/07/2011,34.25,-0.006402816
21/07/2011,34.47,0.008448703
20/07/2011,34.18,-0.007578002
19/07/2011,34.44,0.024097552
18/07/2011,33.62,-0.020024226
15/07/2011,34.3,0.001750803
14/07/2011,34.24,-0.007564773
13/07/2011,34.5,0.000579878
12/07/2011,34.48,-0.043139493
11/07/2011,36,-0.017348638
08/07/2011,36.63,0.002186391
07/07/2011,36.55,0.002191181
06/07/2011,36.47,-0.003284974
05/07/2011,36.59,-0.001638449
01/07/2011,36.65,0.018172306
30/06/2011,35.99,-0.000555556
29/06/2011,36.01,0.010608698
28/06/2011,35.63,0.039501415
27/06/2011,34.25,0.024532042
24/06/2011,33.42,-0.008343314
23/06/2011,33.7,0.005057277
22/06/2011,33.53,-0.008611783
21/06/2011,33.82,0.021821222
20/06/2011,33.09,0.008497775
17/06/2011,32.81,0.010724785
16/06/2011,32.46,0.019285201
15/06/2011,31.84,-0.013104712
14/06/2011,32.26,0.029890537
13/06/2011,31.31,0.010918541
10/06/2011,30.97,-0.011876243
09/06/2011,31.34,0.002555912
08/06/2011,31.26,-0.003831422
07/06/2011,31.38,0
06/06/2011,31.38,0.000637552
03/06/2011,31.36,-0.01424751
02/06/2011,31.81,0.003779532
01/06/2011,31.69,-0.045946111
31/05/2011,33.18,0.00999554
27/05/2011,32.85,-0.005161694
26/05/2011,33.02,0.002729342
25/05/2011,32.93,0.018697863
24/05/2011,32.32,-0.002472189
23/05/2011,32.4,-0.707092698
20/05/2011,65.71,-0.009541913
19/05/2011,66.34,0
18/05/2011,66.34,0.009085465
17/05/2011,65.74,-0.008331488
16/05/2011,66.29,-0.00481566
13/05/2011,66.61,-0.00643474
12/05/2011,67.04,0.00989365
11/05/2011,66.38,-0.014210096
10/05/2011,67.33,0.008202268
09/05/2011,66.78,0.006309169
06/05/2011,66.36,0.00665258
05/05/2011,65.92,-0.004540647
04/05/2011,66.22,-0.000452933
03/05/2011,66.25,-0.009614014
02/05/2011,66.89,-0.002985522
29/04/2011,67.09,-0.000149042
28/04/2011,67.1,-0.002530328
27/04/2011,67.27,0.017394351
26/04/2011,66.11,0.012327985
25/04/2011,65.3,-0.003668607
21/04/2011,65.54,0.010737946
20/04/2011,64.84,0.019938355
19/04/2011,63.56,-0.002827967
18/04/2011,63.74,-0.018805434
15/04/2011,64.95,-0.001230959
14/04/2011,65.03,0.005551286
13/04/2011,64.67,0.002012229
12/04/2011,64.54,-0.044842411
11/04/2011,67.5,0.002521695
08/04/2011,67.33,-0.007251234
07/04/2011,67.82,-0.01158116
06/04/2011,68.61,0.027633823
05/04/2011,66.74,0.0093332
04/04/2011,66.12,0.004091845
01/04/2011,65.85,0.015610969
31/03/2011,64.83,0.005258286
30/03/2011,64.49,0.00809595
29/03/2011,63.97,0.012743034
28/03/2011,63.16,-0.000791327
25/03/2011,63.21,0.004598438
24/03/2011,62.92,0.010223731
23/03/2011,62.28,0.008708328
22/03/2011,61.74,-0.003718378
21/03/2011,61.97,0.016924733
18/03/2011,60.93,0.007412932
17/03/2011,60.48,0.015664376
16/03/2011,59.54,-0.016160285
15/03/2011,60.51,-0.012155209
14/03/2011,61.25,-0.009263087
11/03/2011,61.82,0.003727417
10/03/2011,61.59,-0.018977733
09/03/2011,62.77,0.005271157
08/03/2011,62.44,0.019078994
07/03/2011,61.26,-0.009584997
04/03/2011,61.85,-0.008051573
03/03/2011,62.35,0.028633809
02/03/2011,60.59,0.000330142
01/03/2011,60.57,-0.025429243
28/02/2011,62.13,0.010029201
25/02/2011,61.51,0.010787944
24/02/2011,60.85,-0.001806092
23/02/2011,60.96,-0.019815493
22/02/2011,62.18,-0.024151158
18/02/2011,63.7,0.009622284
17/02/2011,63.09,-0.001108911
16/02/2011,63.16,0.004920254
15/02/2011,62.85,-0.003811343
14/02/2011,63.09,-0.004270469
11/02/2011,63.36,-0.00078883
10/02/2011,63.41,0.01157916
09/02/2011,62.68,0.002236065
08/02/2011,62.54,0.0089946
07/02/2011,61.98,0.00647461
04/02/2011,61.58,0.019513614
03/02/2011,60.39,0.024133901
02/02/2011,58.95,-0.008950495
01/02/2011,59.48,0.024163163
31/01/2011,58.06,0.005180464
28/01/2011,57.76,-0.03821472
27/01/2011,60.01,0.009039231
26/01/2011,59.47,0.003874994
25/01/2011,59.24,-0.012747573
24/01/2011,60,0.008200197
21/01/2011,59.51,-0.006198194
20/01/2011,59.88,0.002006019
19/01/2011,59.76,-0.019717315
18/01/2011,60.95,0.01754431
14/01/2011,59.89,0.018197638
13/01/2011,58.81,0.000510247
12/01/2011,58.78,-0.010492565
11/01/2011,59.4,0.003034904
10/01/2011,59.22,-0.001012658
07/01/2011,59.28,-0.001517067
06/01/2011,59.37,-0.011887959
