Date,Close,EBAY
26/08/2011,29.46,0.039112097
25/08/2011,28.33,-0.025097169
24/08/2011,29.05,0.004485086
23/08/2011,28.92,0.055451305
22/08/2011,27.36,0.00733679
19/08/2011,27.16,-0.028314051
18/08/2011,27.94,-0.079436831
17/08/2011,30.25,-0.003629768
16/08/2011,30.36,-0.017306554
15/08/2011,30.89,0.0117227
12/08/2011,30.53,0.010867882
11/08/2011,30.2,0.035387012
10/08/2011,29.15,-0.03406163
09/08/2011,30.16,0.112533246
08/08/2011,26.95,-0.083604219
05/08/2011,29.3,-0.024942311
04/08/2011,30.04,-0.070988216
03/08/2011,32.25,0.015625318
02/08/2011,31.75,-0.039220713
01/08/2011,33.02,0.008210476
29/07/2011,32.75,-0.01815481
28/07/2011,33.35,-0.000299805
27/07/2011,33.36,-0.031280213
26/07/2011,34.42,0.018176988
25/07/2011,33.8,0.008915364
22/07/2011,33.5,0.001792651
21/07/2011,33.44,0.008106935
20/07/2011,33.17,-0.017630817
19/07/2011,33.76,0.031901592
18/07/2011,32.7,-0.003358269
15/07/2011,32.81,0.019077502
14/07/2011,32.19,-0.005885103
13/07/2011,32.38,0.003712876
12/07/2011,32.26,-0.01994849
11/07/2011,32.91,-0.01537796
08/07/2011,33.42,0.002696631
07/07/2011,33.33,0.012377517
06/07/2011,32.92,0.008541846
05/07/2011,32.64,-0.003059042
01/07/2011,32.74,0.014459566
30/06/2011,32.27,0.044677159
29/06/2011,30.86,0.063545279
28/06/2011,28.96,0.008670073
27/06/2011,28.71,0.012618464
24/06/2011,28.35,-0.031252544
23/06/2011,29.25,-0.003412973
22/06/2011,29.35,-0.014544481
21/06/2011,29.78,0.032767437
20/06/2011,28.82,-0.000346921
17/06/2011,28.83,0.01256561
16/06/2011,28.47,-0.006651521
15/06/2011,28.66,-0.037662788
14/06/2011,29.76,-0.003354582
13/06/2011,29.86,-0.003343367
10/06/2011,29.96,-0.023095715
09/06/2011,30.66,0.002939738
08/06/2011,30.57,0.021491983
07/06/2011,29.92,0.012105057
06/06/2011,29.56,-0.024725616
03/06/2011,30.3,-0.031831203
02/06/2011,31.28,0.020672571
01/06/2011,30.64,-0.017149749
31/05/2011,31.17,0.015845117
27/05/2011,30.68,0.000652103
26/05/2011,30.66,-0.001303781
25/05/2011,30.7,-0.003901175
24/05/2011,30.82,-0.025942207
23/05/2011,31.63,-0.026518478
20/05/2011,32.48,-0.012848142
19/05/2011,32.9,0.000608088
18/05/2011,32.88,0.007019714
