Date,Close,ADP
23/11/2011,47.86,-0.018835287
22/11/2011,48.77,-0.009793998
21/11/2011,49.25,-0.012911214
18/11/2011,49.89,-0.002802244
17/11/2011,50.03,-0.017829315
16/11/2011,50.93,-0.029217518
15/11/2011,52.44,0.015373093
14/11/2011,51.64,-0.010019352
11/11/2011,52.16,0.018771717
10/11/2011,51.19,0.007844716
09/11/2011,50.79,-0.039758228
08/11/2011,52.85,0.020260632
07/11/2011,51.79,0.003094182
04/11/2011,51.63,-0.010021283
03/11/2011,52.15,0.023279422
02/11/2011,50.95,0.005116107
01/11/2011,50.69,-0.031841168
31/10/2011,52.33,-0.005146299
28/10/2011,52.6,-0.003226728
27/10/2011,52.77,0.03765287
26/10/2011,50.82,-0.024298989
25/10/2011,52.07,-0.011267187
24/10/2011,52.66,0.007816263
21/10/2011,52.25,0.021081914
20/10/2011,51.16,0.000195484
19/10/2011,51.15,-0.011082062
18/10/2011,51.72,0.014018921
17/10/2011,51,-0.014018921
14/10/2011,51.72,0.016178113
13/10/2011,50.89,-0.00646364
12/10/2011,51.22,0.018522697
11/10/2011,50.28,0.006184558
10/10/2011,49.97,0.02246376
07/10/2011,48.86,0.001433692
06/10/2011,48.79,0.013204236
05/10/2011,48.15,0.017176794
04/10/2011,47.33,0.018337401
03/10/2011,46.47,-0.014527066
30/09/2011,47.15,-0.020363882
29/09/2011,48.12,0.009395622
28/09/2011,47.67,-0.007523546
27/09/2011,48.03,0.005846749
26/09/2011,47.75,0.016682891
23/09/2011,46.96,-0.00911506
22/09/2011,47.39,-0.035855048
21/09/2011,49.12,-0.032054026
20/09/2011,50.72,0.001776024
19/09/2011,50.63,-0.002564357
16/09/2011,50.76,0.004343541
15/09/2011,50.54,0.022814678
14/09/2011,49.4,0.016326893
13/09/2011,48.6,0.005984952
12/09/2011,48.31,0.014385738
09/09/2011,47.62,-0.022631507
08/09/2011,48.71,-0.00634403
07/09/2011,49.02,0.020819056
06/09/2011,48.01,-0.01036064
02/09/2011,48.51,-0.023429818
01/09/2011,49.66,-0.007423045
31/08/2011,50.03,0.003604329
30/08/2011,49.85,0.009068072
29/08/2011,49.4,0.014682156
26/08/2011,48.68,0.015109467
25/08/2011,47.95,-0.016751503
24/08/2011,48.76,0.010100055
23/08/2011,48.27,0.033066085
22/08/2011,46.7,0.008170331
19/08/2011,46.32,-0.002156568
18/08/2011,46.42,-0.030131709
17/08/2011,47.84,-0.002713706
16/08/2011,47.97,0.001877935
15/08/2011,47.88,0.012822036
12/08/2011,47.27,0.009992642
11/08/2011,46.8,0.043451874
10/08/2011,44.81,-0.043451874
09/08/2011,46.8,0.024879596
08/08/2011,45.65,-0.058496207
05/08/2011,48.4,0.010801933
04/08/2011,47.88,-0.036703248
03/08/2011,49.67,0.001410295
02/08/2011,49.6,-0.020948397
01/08/2011,50.65,-0.016448383
29/07/2011,51.49,-0.00561636
28/07/2011,51.78,-0.011520865
27/07/2011,52.38,-0.015157547
26/07/2011,53.18,0.004145474
25/07/2011,52.96,-0.005085236
22/07/2011,53.23,0.001504042
21/07/2011,53.15,0.012876527
20/07/2011,52.47,-0.010616213
19/07/2011,53.03,0.013096894
18/07/2011,52.34,-0.014604337
15/07/2011,53.11,-0.003383462
14/07/2011,53.29,-0.007478068
13/07/2011,53.69,-0.002232559
12/07/2011,53.81,-0.001114413
11/07/2011,53.87,-0.011626965
08/07/2011,54.5,-0.009496054
07/07/2011,55.02,0.018712709
06/07/2011,54,0.00612986
05/07/2011,53.67,-0.004090746
01/07/2011,53.89,0.022709055
30/06/2011,52.68,0.002851442
29/06/2011,52.53,0.008411443
28/06/2011,52.09,0.009063797
27/06/2011,51.62,0.007779114
24/06/2011,51.22,-0.013573992
23/06/2011,51.92,-0.008629836
22/06/2011,52.37,-0.006281547
21/06/2011,52.7,0.005708864
20/06/2011,52.4,0.014029249
17/06/2011,51.67,-0.002705839
16/06/2011,51.81,0.002899393
15/06/2011,51.66,-0.019552089
14/06/2011,52.68,0.000569638
13/06/2011,52.65,0.013577032
10/06/2011,51.94,-0.014905684
09/06/2011,52.72,0.004753312
08/06/2011,52.47,-0.009861639
07/06/2011,52.99,-0.003014888
06/06/2011,53.15,-0.002442921
03/06/2011,53.28,-0.018410562
02/06/2011,54.27,-0.002760145
01/06/2011,54.42,-0.012599455
31/05/2011,55.11,0.017942627
27/05/2011,54.13,0.009279948
26/05/2011,53.63,0.005609588
25/05/2011,53.33,0.001689031
24/05/2011,53.24,-0.003375214
23/05/2011,53.42,-0.013942042
20/05/2011,54.17,-0.001475743
19/05/2011,54.25,0.000184349
18/05/2011,54.24,0.010378151
17/05/2011,53.68,0.001864629
16/05/2011,53.58,-0.00799335
13/05/2011,54.01,-0.010498301
12/05/2011,54.58,0.014579939
11/05/2011,53.79,-0.006855052
10/05/2011,54.16,0.004441162
09/05/2011,53.92,0.006138983
06/05/2011,53.59,0.000933445
05/05/2011,53.54,-0.014279334
04/05/2011,54.31,-0.001839588
03/05/2011,54.41,-0.005315749
02/05/2011,54.7,0.00623512
29/04/2011,54.36,0.002763196
28/04/2011,54.21,-0.001290442
27/04/2011,54.28,0.00851069
26/04/2011,53.82,0.012150818
25/04/2011,53.17,0.003202414
21/04/2011,53,0.004538586
20/04/2011,52.76,0.017012739
19/04/2011,51.87,0.002896034
18/04/2011,51.72,-0.007704198
15/04/2011,52.12,0.001536099
14/04/2011,52.04,-0.000384246
13/04/2011,52.06,0.000384246
12/04/2011,52.04,-0.007275544
11/04/2011,52.42,-0.000572137
08/04/2011,52.45,-0.009109951
07/04/2011,52.93,0.003027438
06/04/2011,52.77,0.018745767
05/04/2011,51.79,-0.004238927
04/04/2011,52.01,0.006365148
01/04/2011,51.68,0.007185195
31/03/2011,51.31,0.003123173
30/03/2011,51.15,0.010020715
29/03/2011,50.64,0.005743159
28/03/2011,50.35,-0.000397141
25/03/2011,50.37,0.000198551
24/03/2011,50.36,0.005176201
23/03/2011,50.1,0.000798722
22/03/2011,50.06,0.003201283
21/03/2011,49.9,0.011894103
18/03/2011,49.31,0.011011531
17/03/2011,48.77,0.008442344
16/03/2011,48.36,-0.019859389
15/03/2011,49.33,-0.015488593
14/03/2011,50.1,-0.00616856
11/03/2011,50.41,0.000396825
10/03/2011,50.39,-0.010266625
09/03/2011,50.91,0.000589449
08/03/2011,50.88,0.016047893
07/03/2011,50.07,-0.005179294
04/03/2011,50.33,-0.003965899
03/03/2011,50.53,0.013950007
02/03/2011,49.83,0.008869238
01/03/2011,49.39,-0.012275031
28/02/2011,50,0.007830579
25/02/2011,49.61,0.012576231
24/02/2011,48.99,0.002861817
23/02/2011,48.85,-0.005308302
22/02/2011,49.11,-0.016759605
18/02/2011,49.94,0.00200441
17/02/2011,49.84,0.006845205
16/02/2011,49.5,-0.001009591
15/02/2011,49.55,-0.004229188
14/02/2011,49.76,0.000603076
11/02/2011,49.73,0.003020846
10/02/2011,49.58,0.00810049
09/02/2011,49.18,-0.006889592
08/02/2011,49.52,0.000605999
07/02/2011,49.49,0.003035518
04/02/2011,49.34,0.005283491
03/02/2011,49.08,0.003469745
02/02/2011,48.91,0
01/02/2011,48.91,0.02086637
31/01/2011,47.9,0.00020879
28/01/2011,47.89,-0.015950623
27/01/2011,48.66,0.003912287
26/01/2011,48.47,-0.024858656
25/01/2011,49.69,0.003427077
24/01/2011,49.52,0.009740337
21/01/2011,49.04,-0.001019056
20/01/2011,49.09,0.007771
19/01/2011,48.71,-0.00511929
18/01/2011,48.96,0.004298441
14/01/2011,48.75,0.004935235
13/01/2011,48.51,-0.009642089
12/01/2011,48.98,0.01294583
11/01/2011,48.35,0.004560539
10/01/2011,48.13,0.000415628
07/01/2011,48.11,0.002289045
06/01/2011,48,0.007738196
05/01/2011,47.63,0.01587167
04/01/2011,46.88,-0.003619721
03/01/2011,47.05,0.016500964
31/12/2010,46.28,-0.0032359
30/12/2010,46.43,-0.000861141
29/12/2010,46.47,-0.001290323
28/12/2010,46.53,-0.000859291
27/12/2010,46.57,0.001074229
23/12/2010,46.52,-0.008348545
22/12/2010,46.91,0.001279864
21/12/2010,46.85,0.001709037
20/12/2010,46.77,-0.001922461
17/12/2010,46.86,0.000213424
16/12/2010,46.85,0.005350468
15/12/2010,46.6,-0.004923482
14/12/2010,46.83,0.00771708
13/12/2010,46.47,-0.001290323
10/12/2010,46.53,0
09/12/2010,46.53,0.001505539
08/12/2010,46.46,-0.001075616
07/12/2010,46.51,-0.001718583
06/12/2010,46.59,-0.003000431
03/12/2010,46.73,0.000856348
02/12/2010,46.69,0.012500163
01/12/2010,46.11,0.033968859
30/11/2010,44.57,-0.010933948
29/11/2010,45.06,-0.009277734
26/11/2010,45.48,-0.00570052
24/11/2010,45.74,0.016310699
23/11/2010,45,-0.012806534
22/11/2010,45.58,0.004177207
19/11/2010,45.39,0.002647255
18/11/2010,45.27,0.017829757
17/11/2010,44.47,-0.003591474
16/11/2010,44.63,-0.017326066
15/11/2010,45.41,-0.000220192
12/11/2010,45.42,-0.008986362
11/11/2010,45.83,0.002621806
10/11/2010,45.71,0.008789334
09/11/2010,45.31,-0.003525009
08/11/2010,45.47,-0.008104305
05/11/2010,45.84,0.001746725
04/11/2010,45.76,0.013641576
03/11/2010,45.14,0.007114303
02/11/2010,44.82,0.00223364
01/11/2010,44.72,0.005156384
29/10/2010,44.49,0.002700879
28/10/2010,44.37,-0.006962409
27/10/2010,44.68,0.011027455
26/10/2010,44.19,0.004536184
25/10/2010,43.99,0.004328518
22/10/2010,43.8,0.005264977
21/10/2010,43.57,0.006447179
20/10/2010,43.29,0.016067408
19/10/2010,42.6,-0.008415197
18/10/2010,42.96,0.000465658
15/10/2010,42.94,0.011005848
14/10/2010,42.47,0.000235488
13/10/2010,42.46,0.010892838
12/10/2010,42,-0.000951928
11/10/2010,42.04,-0.001426195
08/10/2010,42.1,-0.001898434
07/10/2010,42.18,0.001660933
06/10/2010,42.11,-0.001186662
05/10/2010,42.16,0.009772453
04/10/2010,41.75,-0.001675243
01/10/2010,41.82,-0.005008955
30/09/2010,42.03,-0.002139038
