Date,Close,RDC
02/11/2012,32.41,0.010546003
01/11/2012,32.07,0.011288925
31/10/2012,31.71,-0.033796427
26/10/2012,32.8,-0.013325455
25/10/2012,33.24,0.016073128
24/10/2012,32.71,-0.019976451
23/10/2012,33.37,-0.018703232
22/10/2012,34,-0.008201569
19/10/2012,34.28,-0.009291588
18/10/2012,34.6,0.023097065
17/10/2012,33.81,0.013998739
16/10/2012,33.34,0.022752384
15/10/2012,32.59,0.000613874
12/10/2012,32.57,0.001228879
11/10/2012,32.53,0.009575363
10/10/2012,32.22,-0.017231196
09/10/2012,32.78,0.00611997
08/10/2012,32.58,-0.000613685
05/10/2012,32.6,-0.007943824
04/10/2012,32.86,0.004881035
03/10/2012,32.7,-0.0199825
02/10/2012,33.36,-0.004486324
01/10/2012,33.51,-0.007728933
28/09/2012,33.77,-0.011189752
27/09/2012,34.15,0.010005969
26/09/2012,33.81,-0.022808006
25/09/2012,34.59,-0.01804948
24/09/2012,35.22,-0.023570115
21/09/2012,36.06,0.004725513
20/09/2012,35.89,-0.002226553
19/09/2012,35.97,-0.024170361
18/09/2012,36.85,0.012836446
17/09/2012,36.38,-0.020675383
14/09/2012,37.14,0.001347164
13/09/2012,37.09,0.003240619
12/09/2012,36.97,-0.009422603
11/09/2012,37.32,0.018388836
10/09/2012,36.64,0.013740255
07/09/2012,36.14,0.013651138
06/09/2012,35.65,0.011283618
05/09/2012,35.25,0.003979539
04/09/2012,35.11,-0.001991749
31/08/2012,35.18,0.015757381
30/08/2012,34.63,-0.019445852
29/08/2012,35.31,0.000849979
28/08/2012,35.28,-0.006498116
27/08/2012,35.51,-0.009250241
24/08/2012,35.84,0.00671895
23/08/2012,35.6,-0.008948606
22/08/2012,35.92,0.009510561
21/08/2012,35.58,-0.007559885
20/08/2012,35.85,-0.001672241
17/08/2012,35.91,0.001114517
16/08/2012,35.87,0.006994014
15/08/2012,35.62,0.012998205
14/08/2012,35.16,-0.006802747
13/08/2012,35.4,-0.008998936
10/08/2012,35.72,0.000560067
09/08/2012,35.7,0.007874056
08/08/2012,35.42,0.003960401
07/08/2012,35.28,0.006825965
06/08/2012,35.04,-0.001995724
03/08/2012,35.11,0.007719838
02/08/2012,34.84,-0.024384537
01/08/2012,35.7,0.016095223
31/07/2012,35.13,-0.033863597
30/07/2012,36.34,0.015250538
27/07/2012,35.79,0.030928838
26/07/2012,34.7,0.0197911
25/07/2012,34.02,0.009154058
24/07/2012,33.71,-0.024902415
23/07/2012,34.56,-0.017780795
20/07/2012,35.18,0.001991749
19/07/2012,35.11,0.014343333
18/07/2012,34.61,0.014258935
17/07/2012,34.12,-0.001464344
16/07/2012,34.17,-0.007289725
13/07/2012,34.42,0.016403414
12/07/2012,33.86,-0.002654477
11/07/2012,33.95,0.035070281
10/07/2012,32.78,-0.017539004
09/07/2012,33.36,0.019676736
06/07/2012,32.71,-0.024461434
05/07/2012,33.52,-0.013335507
03/07/2012,33.97,0.037796941
02/07/2012,32.71,0.01168525
29/06/2012,32.33,0.044915836
28/06/2012,30.91,0.017624477
27/06/2012,30.37,0.031100985
26/06/2012,29.44,0.015403351
25/06/2012,28.99,-0.035911718
22/06/2012,30.05,0.002999502
21/06/2012,29.96,-0.05487499
20/06/2012,31.65,-0.010685205
19/06/2012,31.99,0.036286604
18/06/2012,30.85,-0.018307882
15/06/2012,31.42,0.001911437
14/06/2012,31.36,0.021922219
13/06/2012,30.68,-0.010053595
12/06/2012,30.99,0.018235608
11/06/2012,30.43,-0.029147141
08/06/2012,31.33,0.001597189
07/06/2012,31.28,-0.002873107
06/06/2012,31.37,0.027469816
05/06/2012,30.52,0.037047454
04/06/2012,29.41,-0.00271647
01/06/2012,29.49,-0.017146159
31/05/2012,30,-0.018167304
30/05/2012,30.55,-0.063719856
29/05/2012,32.56,0.023932766
25/05/2012,31.79,0.009799351
24/05/2012,31.48,-0.009170025
23/05/2012,31.77,0.030358618
22/05/2012,30.82,-0.008400696
21/05/2012,31.08,0.029053782
18/05/2012,30.19,-0.008903604
17/05/2012,30.46,0.000656814
16/05/2012,30.44,0.001314925
15/05/2012,30.4,-0.017930391
14/05/2012,30.95,-0.024889606
11/05/2012,31.73,-0.016255438
10/05/2012,32.25,0.00872008
09/05/2012,31.97,-0.010578817
08/05/2012,32.31,-0.012915309
07/05/2012,32.73,-0.01966483
04/05/2012,33.38,-0.050244212
03/05/2012,35.1,0.001710864
02/05/2012,35.04,0.014661755
01/05/2012,34.53,0
30/04/2012,34.53,-0.004334641
27/04/2012,34.68,0.00230947
26/04/2012,34.6,0.017493157
25/04/2012,34,0.018703232
24/04/2012,33.37,0.002700677
23/04/2012,33.28,-0.010164512
20/04/2012,33.62,0.002680568
19/04/2012,33.53,0.020184448
18/04/2012,32.86,-0.003645205
17/04/2012,32.98,0.017742894
16/04/2012,32.4,-0.02016567
13/04/2012,33.06,-0.027742271
12/04/2012,33.99,0.092079159
11/04/2012,31,-0.009311353
10/04/2012,31.29,-0.028978406
09/04/2012,32.21,-0.016320609
05/04/2012,32.74,-0.00030539
04/04/2012,32.75,0.003364432
03/04/2012,32.64,-0.011877709
02/04/2012,33.03,0.003032143
30/03/2012,32.93,0.010685493
29/03/2012,32.58,0.001228501
28/03/2012,32.54,-0.008263245
27/03/2012,32.81,-0.016324425
26/03/2012,33.35,-0.005084503
23/03/2012,33.52,0.002987752
22/03/2012,33.42,-0.027156332
21/03/2012,34.34,-0.029835833
20/03/2012,35.38,-0.032808058
19/03/2012,36.56,-0.012773648
16/03/2012,37.03,0.03126969
15/03/2012,35.89,-0.001113896
14/03/2012,35.93,-0.008314904
13/03/2012,36.23,0.028557372
12/03/2012,35.21,-0.010453549
09/03/2012,35.58,-0.012845751
08/03/2012,36.04,0.015378466
07/03/2012,35.49,0.017910927
06/03/2012,34.86,-0.019318783
05/03/2012,35.54,-0.011192059
02/03/2012,35.94,-0.018197359
01/03/2012,36.6,-0.007349972
29/02/2012,36.87,0.017234731
28/02/2012,36.24,-0.061273677
27/02/2012,38.53,-0.006467491
24/02/2012,38.78,0.008025933
23/02/2012,38.47,0.002602813
22/02/2012,38.37,0.01761581
21/02/2012,37.7,0.011471381
17/02/2012,37.27,0.008623066
16/02/2012,36.95,-0.004320828
15/02/2012,37.11,-0.016303983
14/02/2012,37.72,-0.006342516
13/02/2012,37.96,0.023994753
10/02/2012,37.06,0.013857035
09/02/2012,36.55,-0.010884461
08/02/2012,36.95,0.009517407
07/02/2012,36.6,-0.003545619
06/02/2012,36.73,0.003272433
03/02/2012,36.61,-0.00408887
02/02/2012,36.76,0.043080164
01/02/2012,35.21,0.034675534
31/01/2012,34.01,-0.004107987
30/01/2012,34.15,-0.028008183
27/01/2012,35.12,0.008578834
26/01/2012,34.82,-0.017649191
25/01/2012,35.44,0.025144182
24/01/2012,34.56,-0.008643096
23/01/2012,34.86,0.00893249
20/01/2012,34.55,-0.003755602
19/01/2012,34.68,-0.002879357
18/01/2012,34.78,0.049509227
17/01/2012,33.1,0.057193957
13/01/2012,31.26,-0.017441381
12/01/2012,31.81,0.008207117
11/01/2012,31.55,-0.007263572
10/01/2012,31.78,0.01873963
09/01/2012,31.19,-0.001921846
06/01/2012,31.25,0.003205131
05/01/2012,31.15,-0.021280778
04/01/2012,31.82,-0.00564088
03/01/2012,32,0.053598581
30/12/2011,30.33,-0.022494836
29/12/2011,31.02,0.004523433
28/12/2011,30.88,-0.022098577
27/12/2011,31.57,-0.004424786
23/12/2011,31.71,0.010142718
22/12/2011,31.39,0.013147536
21/12/2011,30.98,0.011361914
20/12/2011,30.63,0.050554698
19/12/2011,29.12,-0.025429409
16/12/2011,29.87,0.003017605
15/12/2011,29.78,-0.014004897
14/12/2011,30.2,-0.031934939
13/12/2011,31.18,-0.010845401
12/12/2011,31.52,-0.03123302
09/12/2011,32.52,0.023018124
08/12/2011,31.78,-0.045217606
07/12/2011,33.25,-0.016110134
06/12/2011,33.79,-0.006195624
05/12/2011,34,0.022305758
02/12/2011,33.25,-0.00210305
01/12/2011,33.32,-0.017552139
30/11/2011,33.91,0.041854671
29/11/2011,32.52,0.001538699
28/11/2011,32.47,0.037018028
25/11/2011,31.29,-0.001277547
23/11/2011,31.33,-0.045547486
22/11/2011,32.79,0.00305437
21/11/2011,32.69,-0.019988552
18/11/2011,33.35,0.004206737
17/11/2011,33.21,-0.051639516
16/11/2011,34.97,-0.010807841
15/11/2011,35.35,0.015393691
14/11/2011,34.81,-0.022159998
11/11/2011,35.59,0.021872765
10/11/2011,34.82,0.019429348
09/11/2011,34.15,-0.044668176
08/11/2011,35.71,0.020368455
07/11/2011,34.99,-0.018125673
04/11/2011,35.63,0.002529157
03/11/2011,35.54,0.068410197
02/11/2011,33.19,0.036512723
01/11/2011,32,-0.074933524
31/10/2011,34.49,-0.059105552
28/10/2011,36.59,0.011821444
27/10/2011,36.16,0.038623546
26/10/2011,34.79,0.013893132
25/10/2011,34.31,-0.031557409
24/10/2011,35.41,0.050090077
21/10/2011,33.68,0.009246897
20/10/2011,33.37,0.0093332
19/10/2011,33.06,-0.018876965
18/10/2011,33.69,0.024032397
17/10/2011,32.89,-0.022249866
14/10/2011,33.63,0.032641157
13/10/2011,32.55,-0.014033177
12/10/2011,33.01,0.009435468
11/10/2011,32.7,0.000305857
10/10/2011,32.69,0.053082016
07/10/2011,31,-0.015682831
06/10/2011,31.49,0.030632735
05/10/2011,30.54,0.016174639
04/10/2011,30.05,0.030064754
03/10/2011,29.16,-0.034712837
30/09/2011,30.19,-0.053526638
29/09/2011,31.85,-0.013410461
28/09/2011,32.28,-0.040078224
27/09/2011,33.6,0.007168489
26/09/2011,33.36,0.039436564
23/09/2011,32.07,-0.015470606
22/09/2011,32.57,-0.078506373
21/09/2011,35.23,-0.029092961
20/09/2011,36.27,-0.028538423
19/09/2011,37.32,-0.017266998
16/09/2011,37.97,0.01085672
15/09/2011,37.56,0.020441809
14/09/2011,36.8,0.033433146
13/09/2011,35.59,0.0201511
12/09/2011,34.88,0
09/09/2011,34.88,-0.029937282
08/09/2011,35.94,-0.012168292
07/09/2011,36.38,0.064428577
06/09/2011,34.11,-0.009337681
02/09/2011,34.43,-0.046533218
01/09/2011,36.07,0
31/08/2011,36.07,0.005281458
30/08/2011,35.88,0.029413885
29/08/2011,34.84,0.048517526
26/08/2011,33.19,0.041839384
25/08/2011,31.83,-0.019599321
24/08/2011,32.46,-0.003996931
23/08/2011,32.59,0.027373404
22/08/2011,31.71,-0.008165875
19/08/2011,31.97,-0.018286578
18/08/2011,32.56,-0.05671469
17/08/2011,34.46,0.001452011
16/08/2011,34.41,-0.03596278
15/08/2011,35.67,0.040915448
12/08/2011,34.24,0.001753874
11/08/2011,34.18,0.062161789
10/08/2011,32.12,-0.041469357
09/08/2011,33.48,0.092238439
08/08/2011,30.53,-0.105589772
05/08/2011,33.93,-0.015209419
04/08/2011,34.45,-0.110109743
03/08/2011,38.46,-0.00828591
02/08/2011,38.78,-0.006169685
01/08/2011,39.02,-0.003836812
29/07/2011,39.17,0.001021711
28/07/2011,39.13,0.011308268
27/07/2011,38.69,-0.025770019
26/07/2011,39.7,0.024736694
25/07/2011,38.73,0.004139721
22/07/2011,38.57,0.001297185
21/07/2011,38.52,0.002079003
20/07/2011,38.44,0.02315893
19/07/2011,37.56,0.023162899
18/07/2011,36.7,-0.010300986
15/07/2011,37.08,0.013576098
14/07/2011,36.58,-0.007082568
13/07/2011,36.84,0.013390007
12/07/2011,36.35,-0.018804206
11/07/2011,37.04,-0.037880307
08/07/2011,38.47,-0.009056861
07/07/2011,38.82,-0.002058673
06/07/2011,38.9,-0.011755822
05/07/2011,39.36,0.005094255
01/07/2011,39.16,0.008977872
30/06/2011,38.81,0.019776861
29/06/2011,38.05,0.01296143
28/06/2011,37.56,0.039923836
27/06/2011,36.09,0.004721575
24/06/2011,35.92,-0.027729985
23/06/2011,36.93,-0.006208685
22/06/2011,37.16,0.003234504
21/06/2011,37.04,0.0295912
20/06/2011,35.96,-0.008859416
17/06/2011,36.28,-0.004125986
16/06/2011,36.43,0.010485747
15/06/2011,36.05,-0.025199909
