Date,Close,VNO
01/08/2011,92.31,-0.013343575
29/07/2011,93.55,-0.001815561
28/07/2011,93.72,-0.001279591
27/07/2011,93.84,-0.030745825
26/07/2011,96.77,-0.003713259
25/07/2011,97.13,-0.015020974
22/07/2011,98.6,0.013580645
21/07/2011,97.27,0.017422405
20/07/2011,95.59,0.018050841
19/07/2011,93.88,0.016756568
18/07/2011,92.32,-0.012914514
15/07/2011,93.52,0.012048339
14/07/2011,92.4,-0.002270149
13/07/2011,92.61,-0.019249873
12/07/2011,94.41,-0.001904762
11/07/2011,94.59,-0.020923454
08/07/2011,96.59,-0.003720165
07/07/2011,96.95,0.01078513
06/07/2011,95.91,0.005122052
05/07/2011,95.42,0.00588608
01/07/2011,94.86,0.017869014
30/06/2011,93.18,-0.000536452
29/06/2011,93.23,0.01143486
28/06/2011,92.17,0.006530991
27/06/2011,91.57,0.009877165
24/06/2011,90.67,0.001103509
23/06/2011,90.57,-0.029161026
22/06/2011,93.25,-0.005347606
21/06/2011,93.75,0.011910651
20/06/2011,92.64,0.012600645
17/06/2011,91.48,0
16/06/2011,91.48,0.005920421
15/06/2011,90.94,-0.018736932
14/06/2011,92.66,0.011723973
13/06/2011,91.58,0.003281202
10/06/2011,91.28,-0.025739498
09/06/2011,93.66,-0.007128069
08/06/2011,94.33,-0.005813663
07/06/2011,94.88,0.016042841
06/06/2011,93.37,-0.016885656
03/06/2011,94.96,0.006338496
02/06/2011,94.36,-0.00875764
01/06/2011,95.19,-0.032962637
31/05/2011,98.38,0.017948279
27/05/2011,96.63,0.004148093
26/05/2011,96.23,0.012022517
25/05/2011,95.08,0.00094702
24/05/2011,94.99,0.004960171
23/05/2011,94.52,-0.014807307
20/05/2011,95.93,-0.012225598
19/05/2011,97.11,0.00536914
18/05/2011,96.59,0.012920884
17/05/2011,95.35,-0.000838662
16/05/2011,95.43,0.006834578
13/05/2011,94.78,-0.007672538
12/05/2011,95.51,0.003671269
11/05/2011,95.16,-0.013983323
10/05/2011,96.5,0.01787909
09/05/2011,94.79,0.008369136
06/05/2011,94,-0.002125399
05/05/2011,94.2,-0.008982887
04/05/2011,95.05,-0.008485725
03/05/2011,95.86,-0.010171338
02/05/2011,96.84,0.001653576
29/04/2011,96.68,0.000827815
28/04/2011,96.6,0.014913975
27/04/2011,95.17,0.009395688
26/04/2011,94.28,0.009377733
25/04/2011,93.4,0.012714318
21/04/2011,92.22,0.008822145
20/04/2011,91.41,0.010005031
19/04/2011,90.5,0.009213586
18/04/2011,89.67,-0.01219257
15/04/2011,90.77,0.012861914
14/04/2011,89.61,0.020063793
13/04/2011,87.83,-0.003863641
12/04/2011,88.17,-0.00203943
11/04/2011,88.35,0.009210367
08/04/2011,87.54,-0.004217732
07/04/2011,87.91,-0.007705421
06/04/2011,88.59,0.002486439
05/04/2011,88.37,0.00385488
04/04/2011,88.03,0.000340851
01/04/2011,88,0.005698021
31/03/2011,87.5,0.007456301
30/03/2011,86.85,0.018594377
29/03/2011,85.25,0.001526091
28/03/2011,85.12,-0.005038975
25/03/2011,85.55,0.009159294
24/03/2011,84.77,0.002243875
23/03/2011,84.58,-0.014437718
22/03/2011,85.81,-0.011471072
21/03/2011,86.8,0.00984089
18/03/2011,85.95,-0.001162791
17/03/2011,86.05,0.011454076
16/03/2011,85.07,-0.02220376
15/03/2011,86.98,-0.007331075
14/03/2011,87.62,-0.008862687
11/03/2011,88.4,0.012750628
10/03/2011,87.28,-0.01715269
09/03/2011,88.79,0.007007262
08/03/2011,88.17,0.006257487
07/03/2011,87.62,-0.007844069
04/03/2011,88.31,-0.018511776
03/03/2011,89.96,0.003451927
02/03/2011,89.65,-0.016922375
01/03/2011,91.18,-0.023306025
28/02/2011,93.33,0.036554176
25/02/2011,89.98,0.024070446
24/02/2011,87.84,-0.004656718
23/02/2011,88.25,-0.01059523
22/02/2011,89.19,-0.00715007
18/02/2011,89.83,0.014125795
17/02/2011,88.57,0.004299622
16/02/2011,88.19,-0.005879045
15/02/2011,88.71,0.000112733
14/02/2011,88.7,-0.003264115
11/02/2011,88.99,0.007783896
10/02/2011,88.3,0.004654075
09/02/2011,87.89,0.010177914
