Date,Close,BXP
22/05/2012,103.28,-0.002127866
21/05/2012,103.5,0.025739054
18/05/2012,100.87,-0.008293068
17/05/2012,101.71,-0.030786555
16/05/2012,104.89,-0.015232803
15/05/2012,106.5,-0.009531892
14/05/2012,107.52,-0.007320609
11/05/2012,108.31,0.001016119
10/05/2012,108.2,0.003518196
09/05/2012,107.82,-0.00481126
08/05/2012,108.34,-0.000830373
07/05/2012,108.43,0.004436647
04/05/2012,107.95,0.000463285
03/05/2012,107.9,-0.013897421
02/05/2012,109.41,-0.003102758
01/05/2012,109.75,0.013761685
30/04/2012,108.25,0.004165708
27/04/2012,107.8,0.003158973
26/04/2012,107.46,0.006348042
25/04/2012,106.78,0.005823253
24/04/2012,106.16,0.016143167
23/04/2012,104.46,-0.005346585
20/04/2012,105.02,0.016126285
19/04/2012,103.34,0.002519137
18/04/2012,103.08,-0.00541797
17/04/2012,103.64,0.016931415
16/04/2012,101.9,0.015826245
13/04/2012,100.3,-0.016905153
12/04/2012,102.01,0.015410756
11/04/2012,100.45,0.014237257
10/04/2012,99.03,-0.023551632
09/04/2012,101.39,-0.013421705
05/04/2012,102.76,-0.008237678
04/04/2012,103.61,-0.011896907
03/04/2012,104.85,-0.003427595
02/04/2012,105.21,0.002093245
30/03/2012,104.99,0.010821269
29/03/2012,103.86,-0.004515114
28/03/2012,104.33,0.001822805
27/03/2012,104.14,-0.003259518
26/03/2012,104.48,0.004508617
23/03/2012,104.01,0.006075529
22/03/2012,103.38,-0.009339114
21/03/2012,104.35,-0.006971331
20/03/2012,105.08,-0.000856124
19/03/2012,105.17,-0.007294808
16/03/2012,105.94,0.011391807
15/03/2012,104.74,-0.003240876
14/03/2012,105.08,-0.005977531
13/03/2012,105.71,0.018522584
12/03/2012,103.77,0.014169492
09/03/2012,102.31,0.003917349
08/03/2012,101.91,-0.011221272
07/03/2012,103.06,0.004960858
06/03/2012,102.55,-0.00457266
05/03/2012,103.02,0.005450666
02/03/2012,102.46,-9.75943E-05
01/03/2012,102.47,0.009018785
29/02/2012,101.55,-0.002557043
28/02/2012,101.81,-0.005973675
27/02/2012,102.42,-0.001950839
24/02/2012,102.62,-0.004957483
23/02/2012,103.13,0.013373229
22/02/2012,101.76,-0.015407423
21/02/2012,103.34,-0.014410856
17/02/2012,104.84,0.000381607
16/02/2012,104.8,0.01946299
15/02/2012,102.78,-0.003399547
14/02/2012,103.13,-0.012909621
13/02/2012,104.47,0.006626675
10/02/2012,103.78,-0.009207815
09/02/2012,104.74,-0.011958005
08/02/2012,106,-0.002826191
07/02/2012,106.3,-0.008897272
06/02/2012,107.25,-0.002979241
03/02/2012,107.57,0.012723532
02/02/2012,106.21,0.000659289
01/02/2012,106.14,0.019887425
31/01/2012,104.05,0.014521068
30/01/2012,102.55,-0.016345448
27/01/2012,104.24,0.0053867
26/01/2012,103.68,-0.000674927
25/01/2012,103.75,0.017501662
24/01/2012,101.95,0.012138107
23/01/2012,100.72,0.008575185
20/01/2012,99.86,0.001001904
19/01/2012,99.76,0.00583092
18/01/2012,99.18,0.004851435
17/01/2012,98.7,0.012335138
13/01/2012,97.49,-0.007358235
12/01/2012,98.21,-0.016961537
11/01/2012,99.89,0.003108239
10/01/2012,99.58,0.009484482
09/01/2012,98.64,-0.005862748
06/01/2012,99.22,-0.002818037
05/01/2012,99.5,0.001710004
04/01/2012,99.33,-0.019836185
03/01/2012,101.32,0.017121661
30/12/2011,99.6,-0.004307976
29/12/2011,100.03,0.00964347
28/12/2011,99.07,-0.025118434
27/12/2011,101.59,0.005725583
23/12/2011,101.01,0.009749381
22/12/2011,100.03,0.021523591
21/12/2011,97.9,-0.004992623
20/12/2011,98.39,0.033905056
19/12/2011,95.11,-0.008897321
16/12/2011,95.96,0.009633582
15/12/2011,95.04,0.014733427
14/12/2011,93.65,0.011923445
13/12/2011,92.54,-0.008714887
12/12/2011,93.35,-0.02266566
09/12/2011,95.49,0.017963289
08/12/2011,93.79,-0.021934867
07/12/2011,95.87,0.010064033
06/12/2011,94.91,-0.003365944
05/12/2011,95.23,0.015876709
02/12/2011,93.73,0.001708489
01/12/2011,93.57,-0.019159094
30/11/2011,95.38,0.058503786
29/11/2011,89.96,-0.003661585
28/11/2011,90.29,0.012706368
25/11/2011,89.15,0.003708494
23/11/2011,88.82,-0.036588773
22/11/2011,92.13,-0.004008021
21/11/2011,92.5,-0.028035733
18/11/2011,95.13,0.014399402
17/11/2011,93.77,-0.016079898
16/11/2011,95.29,-0.011477588
15/11/2011,96.39,0.008229642
14/11/2011,95.6,-0.025712605
