Date,Close,PSX
09/04/2013,64.66,0.016214886
08/04/2013,63.62,0.02080596
05/04/2013,62.31,-0.00128308
04/04/2013,62.39,-0.001121346
03/04/2013,62.46,-0.067775352
02/04/2013,66.84,-0.037008629
01/04/2013,69.36,-0.008756246
28/03/2013,69.97,0.024596147
27/03/2013,68.27,0.015202123
26/03/2013,67.24,0.005667428
25/03/2013,66.86,-0.010267183
22/03/2013,67.55,0.010865627
21/03/2013,66.82,-0.010717578
20/03/2013,67.54,0.032044863
19/03/2013,65.41,0.00582645
18/03/2013,65.03,0.013624611
15/03/2013,64.15,-0.012393652
14/03/2013,64.95,0.006177626
13/03/2013,64.55,-0.025542415
12/03/2013,66.22,0.008035825
11/03/2013,65.69,-0.005162477
08/03/2013,66.03,0.002426082
07/03/2013,65.87,-0.002728928
06/03/2013,66.05,0.004248224
05/03/2013,65.77,0.001369342
04/03/2013,65.68,0.027475104
01/03/2013,63.9,0.014819757
28/02/2013,62.96,-0.00047638
27/02/2013,62.99,0.028338718
26/02/2013,61.23,-0.001794893
25/02/2013,61.34,-0.044168199
22/02/2013,64.11,0.028799459
21/02/2013,62.29,-0.005603152
20/02/2013,62.64,-0.033284077
19/02/2013,64.76,0.009152317
15/02/2013,64.17,-0.010232647
14/02/2013,64.83,0.011168101
13/02/2013,64.11,-0.004979005
12/02/2013,64.43,0.003887727
11/02/2013,64.18,0.002496101
08/02/2013,64.02,0.011942317
07/02/2013,63.26,0.02464519
06/02/2013,61.72,0.011570242
05/02/2013,61.01,-0.003436148
04/02/2013,61.22,-0.024684644
01/02/2013,62.75,0.035358857
31/01/2013,60.57,-0.003131957
30/01/2013,60.76,0.014589118
29/01/2013,59.88,0.04771359
28/01/2013,57.09,0.004916603
25/01/2013,56.81,0.012220111
24/01/2013,56.12,0.010748939
23/01/2013,55.52,0.0165263
22/01/2013,54.61,-0.008388087
18/01/2013,55.07,-0.001451642
17/01/2013,55.15,0.011489139
16/01/2013,54.52,0.042719122
15/01/2013,52.24,0.017183549
14/01/2013,51.35,0.015108695
11/01/2013,50.58,-0.018219722
10/01/2013,51.51,0.003695424
09/01/2013,51.32,-0.005247316
08/01/2013,51.59,0.004468196
07/01/2013,51.36,-0.034070281
04/01/2013,53.14,-0.000940468
03/01/2013,53.19,-0.038178911
02/01/2013,55.26,0.039872391
31/12/2012,53.1,0.048818413
28/12/2012,50.57,-0.019387663
27/12/2012,51.56,0.003886519
26/12/2012,51.36,-0.01180697
24/12/2012,51.97,-0.003649289
21/12/2012,52.16,-0.00497228
20/12/2012,52.42,-0.001524972
19/12/2012,52.5,-0.012681158
18/12/2012,53.17,-0.006561088
17/12/2012,53.52,0.000934667
14/12/2012,53.47,0.023846702
13/12/2012,52.21,-0.015960818
12/12/2012,53.05,0.000188519
11/12/2012,53.04,-0.010129518
10/12/2012,53.58,0.023414967
07/12/2012,52.34,0.026523673
06/12/2012,50.97,0.005508572
