Date,Close,HD
23/08/2011,33.11,0.025387508
22/08/2011,32.28,0.012468989
19/08/2011,31.88,-0.00874459
18/08/2011,32.16,-0.038131812
17/08/2011,33.41,0.008717927
16/08/2011,33.12,0.051420432
15/08/2011,31.46,0.028370697
12/08/2011,30.58,0.01748354
11/08/2011,30.05,0.052607758
10/08/2011,28.51,-0.05593002
09/08/2011,30.15,0.041305804
08/08/2011,28.93,-0.060685619
05/08/2011,30.74,-0.030751943
04/08/2011,31.7,-0.03867458
03/08/2011,32.95,0.003953175
02/08/2011,32.82,-0.042648479
01/08/2011,34.25,-0.019659494
29/07/2011,34.93,-0.006278559
28/07/2011,35.15,-0.013563361
27/07/2011,35.63,-0.021106032
26/07/2011,36.39,-0.007119417
25/07/2011,36.65,0.003553373
22/07/2011,36.52,-0.00546151
21/07/2011,36.72,0.008478104
20/07/2011,36.41,0.008273627
19/07/2011,36.11,0.011699298
18/07/2011,35.69,-0.006145271
15/07/2011,35.91,-0.001391401
14/07/2011,35.96,-0.004716336
13/07/2011,36.13,0.00055371
12/07/2011,36.11,-0.006899434
11/07/2011,36.36,-0.00712527
08/07/2011,36.62,-0.011673812
07/07/2011,37.05,0.01304012
06/07/2011,36.57,-0.000546747
05/07/2011,36.59,-0.003818881
01/07/2011,36.73,0.013982407
30/06/2011,36.22,0.006648224
29/06/2011,35.98,-0.002220989
28/06/2011,36.06,0.024138135
27/06/2011,35.2,0.003414915
24/06/2011,35.08,-0.016117979
23/06/2011,35.65,0.020403088
22/06/2011,34.93,-0.01421286
21/06/2011,35.43,0.018803973
20/06/2011,34.77,0.006926435
17/06/2011,34.53,0.000869187
16/06/2011,34.5,0.018134454
15/06/2011,33.88,-0.025354702
14/06/2011,34.75,0.03633567
13/06/2011,33.51,0.001194387
10/06/2011,33.47,-0.025370092
09/06/2011,34.33,0.006722223
08/06/2011,34.1,-0.006722223
07/06/2011,34.33,0.001165841
06/06/2011,34.29,-0.009866592
03/06/2011,34.63,-0.013195831
02/06/2011,35.09,-0.008795631
01/06/2011,35.4,-0.024554805
31/05/2011,36.28,0.007747687
27/05/2011,36,-0.005263899
26/05/2011,36.19,-0.012084739
25/05/2011,36.63,0.002186391
24/05/2011,36.55,-0.00735999
23/05/2011,36.82,-0.006227176
20/05/2011,37.05,-0.009134937
19/05/2011,37.39,-0.001870408
18/05/2011,37.46,0.001602993
17/05/2011,37.4,0.011293478
16/05/2011,36.98,-0.00081092
13/05/2011,37.01,-0.007537048
12/05/2011,37.29,0.001610306
11/05/2011,37.23,-0.001073826
10/05/2011,37.27,0.008352467
09/05/2011,36.96,-0.000811359
06/05/2011,36.99,-0.000540541
05/05/2011,37.01,-0.004851762
04/05/2011,37.19,-0.004293004
03/05/2011,37.35,0
02/05/2011,37.35,0.00536914
29/04/2011,37.15,-0.008576842
28/04/2011,37.47,0.004011237
27/04/2011,37.32,0.002951834
26/04/2011,37.21,-0.009362112
25/04/2011,37.56,-0.006369448
21/04/2011,37.8,-0.003696862
20/04/2011,37.94,0.004490828
19/04/2011,37.77,0.000264795
18/04/2011,37.76,-0.010799525
15/04/2011,38.17,0.008683123
14/04/2011,37.84,0.004502722
13/04/2011,37.67,-0.00238632
12/04/2011,37.76,0.004246291
11/04/2011,37.6,0.003730353
08/04/2011,37.46,-0.009828742
07/04/2011,37.83,0.008761506
06/04/2011,37.5,-0.002663117
05/04/2011,37.6,0.003463438
04/04/2011,37.47,-0.002399042
01/04/2011,37.56,0.013401433
31/03/2011,37.06,-0.013667639
30/03/2011,37.57,-0.003454235
29/03/2011,37.7,0.028246666
28/03/2011,36.65,-0.020791893
25/03/2011,37.42,0.001604707
24/03/2011,37.36,0.020006074
23/03/2011,36.62,0.009052318
22/03/2011,36.29,-0.00385039
21/03/2011,36.43,0.011873673
18/03/2011,36,0.006688988
17/03/2011,35.76,0.002239643
16/03/2011,35.68,-0.016951914
15/03/2011,36.29,-0.010689426
14/03/2011,36.68,-0.012462909
11/03/2011,37.14,0.001886539
10/03/2011,37.07,-0.016056005
09/03/2011,37.67,0.016865612
08/03/2011,37.04,0.004600198
07/03/2011,36.87,-0.009448039
04/03/2011,37.22,-0.008827127
03/03/2011,37.55,0.023987136
02/03/2011,36.66,-0.002724055
01/03/2011,36.76,-0.019130315
28/02/2011,37.47,0.010462872
25/02/2011,37.08,-0.001616815
24/02/2011,37.14,-0.004298771
23/02/2011,37.3,-0.020958454
22/02/2011,38.09,-0.010186845
18/02/2011,38.48,0.007826807
17/02/2011,38.18,0.008416673
16/02/2011,37.86,0.004500339
15/02/2011,37.69,0.002922813
