Date,Close,HSP
06/06/2012,32.47,0.011149078
05/06/2012,32.11,0.003431605
04/06/2012,32,0.020202707
01/06/2012,31.36,0.00319387
31/05/2012,31.26,-0.020893448
30/05/2012,31.92,-0.021079516
29/05/2012,32.6,0.00677134
25/05/2012,32.38,0.012430241
24/05/2012,31.98,0.001564701
23/05/2012,31.93,-0.025967456
22/05/2012,32.77,0.003668607
21/05/2012,32.65,0.024179727
18/05/2012,31.87,-0.021419413
17/05/2012,32.56,-0.008867204
16/05/2012,32.85,0.004270903
15/05/2012,32.71,-0.00091673
14/05/2012,32.74,-0.018160305
11/05/2012,33.34,-0.012814957
10/05/2012,33.77,-0.00384218
09/05/2012,33.9,-0.00588237
08/05/2012,34.1,-0.001465202
07/05/2012,34.15,0.007937716
04/05/2012,33.88,-0.01552235
03/05/2012,34.41,-0.033155366
02/05/2012,35.57,0.001969889
01/05/2012,35.5,0.010761928
30/04/2012,35.12,-0.008505864
27/04/2012,35.42,0.008505864
26/04/2012,35.12,0.002851442
25/04/2012,35.02,0.013801254
24/04/2012,34.54,0.012527476
23/04/2012,34.11,-0.009337681
20/04/2012,34.43,0.001162453
19/04/2012,34.39,-0.01271326
18/04/2012,34.83,-0.004583222
17/04/2012,34.99,0.015553309
16/04/2012,34.45,-0.000290234
13/04/2012,34.46,-0.021246852
12/04/2012,35.2,0.004555817
11/04/2012,35.04,0.009174376
10/04/2012,34.72,-0.012308728
09/04/2012,35.15,-0.02805233
05/04/2012,36.15,0.003880271
04/04/2012,36.01,-0.022244498
03/04/2012,36.82,-0.020962875
02/04/2012,37.6,0.005600761
30/03/2012,37.39,-0.007460733
29/03/2012,37.67,-0.003974042
28/03/2012,37.82,-0.008425537
27/03/2012,38.14,0.003151263
26/03/2012,38.02,0.035335582
23/03/2012,36.7,-0.008681552
22/03/2012,37.02,-0.000540103
21/03/2012,37.04,-0.007798883
20/03/2012,37.33,-0.00080332
19/03/2012,37.36,0.006175345
16/03/2012,37.13,0.008655721
15/03/2012,36.81,0
14/03/2012,36.81,0.003265309
13/03/2012,36.69,0.030439539
12/03/2012,35.59,-0.009786182
09/03/2012,35.94,0.019101704
08/03/2012,35.26,0.023530497
07/03/2012,34.44,0.01462442
06/03/2012,33.94,-0.016944606
05/03/2012,34.52,-0.012665685
02/03/2012,34.96,-0.015609796
01/03/2012,35.51,-0.003092931
29/02/2012,35.62,-0.022210796
28/02/2012,36.42,0.001648805
27/02/2012,36.36,0.005515734
24/02/2012,36.16,-0.005515734
23/02/2012,36.36,0.002478316
22/02/2012,36.27,-0.016678445
21/02/2012,36.88,-0.007294372
17/02/2012,37.15,-0.020514906
16/02/2012,37.92,0.041184666
15/02/2012,36.39,0.00247627
14/02/2012,36.3,0.059007473
13/02/2012,34.22,0.012645368
10/02/2012,33.79,-0.009425696
09/02/2012,34.11,-0.018588976
08/02/2012,34.75,-0.014853172
07/02/2012,35.27,-0.005654525
06/02/2012,35.47,0.00622174
03/02/2012,35.25,0.017456446
02/02/2012,34.64,0.00404976
01/02/2012,34.5,0.001160093
31/01/2012,34.46,-0.00665223
30/01/2012,34.69,-0.015446531
27/01/2012,35.23,0.006549931
26/01/2012,35,-0.014747857
25/01/2012,35.52,0.042559614
24/01/2012,34.04,-0.000880928
23/01/2012,34.07,-0.003808412
20/01/2012,34.2,0.007926065
19/01/2012,33.93,0.028095094
18/01/2012,32.99,0.025792035
17/01/2012,32.15,0.020107495
13/01/2012,31.51,-0.024142888
12/01/2012,32.28,0.014667138
11/01/2012,31.81,0.046984188
10/01/2012,30.35,0.006943324
09/01/2012,30.14,-0.005624498
06/01/2012,30.31,-0.019278493
05/01/2012,30.9,-0.014139053
04/01/2012,31.34,-0.000637959
03/01/2012,31.36,0.032077916
30/12/2011,30.37,-0.008198111
29/12/2011,30.62,0.015136847
28/12/2011,30.16,-0.012520757
27/12/2011,30.54,-0.012365924
23/12/2011,30.92,0.01531723
22/12/2011,30.45,0.039181305
21/12/2011,29.28,0.00273598
20/12/2011,29.2,0.019364367
19/12/2011,28.64,-0.009729055
16/12/2011,28.92,0.002770085
