Date,Close,AET
20/07/2012,37.66,-0.013189323
19/07/2012,38.16,-0.0217738
18/07/2012,39,0.008756172
17/07/2012,38.66,0.016430152
16/07/2012,38.03,-0.003412525
13/07/2012,38.16,0.016114468
12/07/2012,37.55,-0.005576963
11/07/2012,37.76,0.001855534
10/07/2012,37.69,-0.00924343
09/07/2012,38.04,0.010836633
06/07/2012,37.63,-0.006093541
05/07/2012,37.86,-0.007630612
03/07/2012,38.15,-0.010949014
02/07/2012,38.57,-0.005171979
29/06/2012,38.77,-0.027475654
28/06/2012,39.85,-0.027473575
27/06/2012,40.96,0.00685941
26/06/2012,40.68,-0.000245791
25/06/2012,40.69,-0.02427893
22/06/2012,41.69,0.022560084
21/06/2012,40.76,-0.005626926
20/06/2012,40.99,0.002198071
19/06/2012,40.9,-0.005121338
18/06/2012,41.11,0.002923266
15/06/2012,40.99,-0.012365293
14/06/2012,41.5,-0.002166327
13/06/2012,41.59,-0.030545763
12/06/2012,42.88,0.003036321
11/06/2012,42.75,-0.011396797
08/06/2012,43.24,0.029096374
07/06/2012,42,-0.010186041
06/06/2012,42.43,0.016156208
05/06/2012,41.75,0.030397477
04/06/2012,40.5,0.000246944
01/06/2012,40.49,-0.009830504
31/05/2012,40.89,-0.011428696
30/05/2012,41.36,-0.010821315
29/05/2012,41.81,0.014697289
25/05/2012,41.2,0.001700474
24/05/2012,41.13,0.01939425
23/05/2012,40.34,0.001985112
22/05/2012,40.26,-0.012833345
21/05/2012,40.78,0.038750005
18/05/2012,39.23,-0.009892281
17/05/2012,39.62,-0.01478168
16/05/2012,40.21,-0.015301384
15/05/2012,40.83,-0.016998952
14/05/2012,41.53,0.007007398
11/05/2012,41.24,-0.014444161
10/05/2012,41.84,-0.005719749
09/05/2012,42.08,-0.022789662
08/05/2012,43.05,0.00162734
07/05/2012,42.98,-0.00371575
04/05/2012,43.14,-0.01996624
03/05/2012,44.01,-0.020688842
02/05/2012,44.93,0.010740761
01/05/2012,44.45,0.00926665
30/04/2012,44.04,0.011877709
27/04/2012,43.52,-0.040307156
26/04/2012,45.31,-0.085612621
25/04/2012,49.36,0.006504088
24/04/2012,49.04,0.002245586
23/04/2012,48.93,-0.00570615
20/04/2012,49.21,0.002849005
19/04/2012,49.07,0.023923599
18/04/2012,47.91,0.002926423
17/04/2012,47.77,0.011368543
16/04/2012,47.23,-0.012414678
13/04/2012,47.82,-0.007707569
12/04/2012,48.19,0.010429798
11/04/2012,47.69,0.000419463
10/04/2012,47.67,-0.022813101
09/04/2012,48.77,-0.017278609
05/04/2012,49.62,-0.000402982
04/04/2012,49.64,-0.005825064
03/04/2012,49.93,-0.005990433
02/04/2012,50.23,0.001394561
30/03/2012,50.16,0.01203384
29/03/2012,49.56,0.063301729
28/03/2012,46.52,-0.010265274
27/03/2012,47,0
26/03/2012,47,0.030239885
23/03/2012,45.6,-0.019544596
22/03/2012,46.5,-0.000430015
21/03/2012,46.52,0.004740367
20/03/2012,46.3,-0.009244396
19/03/2012,46.73,0.004934044
16/03/2012,46.5,0.01168086
15/03/2012,45.96,0.005673155
14/03/2012,45.7,-0.00349498
13/03/2012,45.86,-0.003048119
12/03/2012,46,-0.018523037
09/03/2012,46.86,0.011806513
08/03/2012,46.31,0.012822082
07/03/2012,45.72,0.001532232
06/03/2012,45.65,-0.024665898
05/03/2012,46.79,0.00449824
02/03/2012,46.58,-0.013646267
01/03/2012,47.22,0.009789395
29/02/2012,46.76,0.002569595
28/02/2012,46.64,-0.002141787
27/02/2012,46.74,-0.003204104
24/02/2012,46.89,0.004274424
23/02/2012,46.69,-0.009591889
22/02/2012,47.14,0.005744086
21/02/2012,46.87,-0.00447047
17/02/2012,47.08,-0.001909815
16/02/2012,47.17,-0.000211977
15/02/2012,47.18,-0.001905771
14/02/2012,47.27,0.021598188
13/02/2012,46.26,0.012179359
10/02/2012,45.7,-0.002185793
09/02/2012,45.8,0.01451532
08/02/2012,45.14,0.009571581
07/02/2012,44.71,0.021934175
06/02/2012,43.74,-0.008423499
03/02/2012,44.11,-0.015298386
02/02/2012,44.79,-0.006231936
01/02/2012,45.07,0.030868735
31/01/2012,43.7,-0.007295974
30/01/2012,44.02,0.01349363
27/01/2012,43.43,0.019061479
26/01/2012,42.61,-0.000469263
25/01/2012,42.63,-0.003278691
24/01/2012,42.77,-0.018761407
23/01/2012,43.58,-0.003664686
20/01/2012,43.74,-0.008876808
19/01/2012,44.13,-0.017520664
18/01/2012,44.91,0.0075995
17/01/2012,44.57,0.019712885
13/01/2012,43.7,-0.005249356
12/01/2012,43.93,-0.005901061
11/01/2012,44.19,-0.002937523
10/01/2012,44.32,0.004069642
09/01/2012,44.14,0.001587122
06/01/2012,44.07,0.010034292
05/01/2012,43.63,0.009904492
04/01/2012,43.2,0.018692133
03/01/2012,42.4,0.004965136
30/12/2011,42.19,-0.019481898
29/12/2011,43.02,0.006763874
28/12/2011,42.73,-0.023133116
27/12/2011,43.73,0.007574924
23/12/2011,43.4,0.022603782
22/12/2011,42.43,0.008758489
21/12/2011,42.06,0.009795802
20/12/2011,41.65,0.036429893
19/12/2011,40.16,-0.005710754
16/12/2011,40.39,0.008453556
15/12/2011,40.05,0.01941319
14/12/2011,39.28,-0.008366128
13/12/2011,39.61,-0.010297718
12/12/2011,40.02,-0.021995203
09/12/2011,40.91,0.016264528
08/12/2011,40.25,-0.035630904
07/12/2011,41.71,0.008668487
06/12/2011,41.35,0.0121656
05/12/2011,40.85,-0.003909118
02/12/2011,41.01,-0.016205458
01/12/2011,41.68,-0.003353297
30/11/2011,41.82,0.046246773
29/11/2011,39.93,0.021773012
28/11/2011,39.07,0.030667684
25/11/2011,37.89,-0.006576375
23/11/2011,38.14,-0.026392217
22/11/2011,39.16,-0.007124712
21/11/2011,39.44,-0.006318737
18/11/2011,39.69,0.005811766
17/11/2011,39.46,-0.006819069
16/11/2011,39.73,-0.045512713
15/11/2011,41.58,-0.002402115
14/11/2011,41.68,0.007707167
11/11/2011,41.36,0.027701244
10/11/2011,40.23,0.019578939
09/11/2011,39.45,-0.027748312
08/11/2011,40.56,0.012903405
07/11/2011,40.04,0.009788006
04/11/2011,39.65,0.00126183
03/11/2011,39.6,-0.000757289
02/11/2011,39.63,0.007598821
01/11/2011,39.33,-0.010873795
31/10/2011,39.76,-0.021645328
28/10/2011,40.63,-0.004910395
27/10/2011,40.83,0.048422855
26/10/2011,38.9,0.015283292
25/10/2011,38.31,-0.008059318
24/10/2011,38.62,0.013031198
21/10/2011,38.12,0.020673941
20/10/2011,37.34,0.012666926
19/10/2011,36.87,-0.006218757
18/10/2011,37.1,-0.010457261
17/10/2011,37.49,-0.009820915
14/10/2011,37.86,0.022706999
13/10/2011,37.01,-0.012352466
12/10/2011,37.47,0.02403897
11/10/2011,36.58,-0.007082568
10/10/2011,36.84,0.037896943
07/10/2011,35.47,-0.000845428
06/10/2011,35.5,0.00678352
05/10/2011,35.26,-0.008753409
04/10/2011,35.57,0.035482978
03/10/2011,34.33,-0.056899455
30/09/2011,36.34,-0.023927188
29/09/2011,37.22,-0.010157799
28/09/2011,37.6,-0.039885386
27/09/2011,39.13,-0.008144611
26/09/2011,39.45,0.020487272
23/09/2011,38.65,0.019595663
22/09/2011,37.9,-0.023984466
21/09/2011,38.82,-0.042613279
20/09/2011,40.51,-0.014459264
19/09/2011,41.1,-0.010407936
16/09/2011,41.53,0.006037936
15/09/2011,41.28,0.025019701
14/09/2011,40.26,-0.00668402
13/09/2011,40.53,0.052943857
12/09/2011,38.44,0.011512424
09/09/2011,38,-0.030835452
08/09/2011,39.19,-0.01920706
07/09/2011,39.95,0.036970431
06/09/2011,38.5,-0.010078907
02/09/2011,38.89,-0.025137797
01/09/2011,39.88,-0.003754228
31/08/2011,40.03,0.002250845
30/08/2011,39.94,0.01972251
29/08/2011,39.16,0.02403527
26/08/2011,38.23,0.022217259
25/08/2011,37.39,-0.013811641
24/08/2011,37.91,0.022676709
23/08/2011,37.06,0.050640229
22/08/2011,35.23,-0.007071165
19/08/2011,35.48,-0.026697915
18/08/2011,36.44,-0.03849217
17/08/2011,37.87,0.001056803
16/08/2011,37.83,-0.013652089
15/08/2011,38.35,0.028029334
12/08/2011,37.29,0.017584654
11/08/2011,36.64,0.043794476
10/08/2011,35.07,-0.050594447
09/08/2011,36.89,0.065532961
08/08/2011,34.55,-0.079797771
05/08/2011,37.42,-0.011425659
04/08/2011,37.85,-0.035045767
03/08/2011,39.2,0.000765599
02/08/2011,39.17,-0.028192152
01/08/2011,40.29,-0.029349135
29/07/2011,41.49,-0.01197906
28/07/2011,41.99,0.006450865
27/07/2011,41.72,-0.021342997
26/07/2011,42.62,-0.004915165
25/07/2011,42.83,-0.011837204
22/07/2011,43.34,0.002772645
21/07/2011,43.22,-0.004386478
20/07/2011,43.41,0.003230275
19/07/2011,43.27,0.007422906
18/07/2011,42.95,-0.009500709
15/07/2011,43.36,-0.001843318
14/07/2011,43.44,0.001151676
13/07/2011,43.39,0.001153004
12/07/2011,43.34,0.007643349
11/07/2011,43.01,-0.02955203
08/07/2011,44.3,-0.002254792
07/07/2011,44.4,-0.010975583
06/07/2011,44.89,0.00446529
05/07/2011,44.69,-0.012010821
01/07/2011,45.23,0.025527584
